item,Description,size decimal,cost,chop,join,group
ANNATLAV212,CFC Angles Natural/Lavender 2 1/2,2.5,21.00,21.00,21.00,Wood
ANNATLEN212,"CFC Angles Natural/Lentil 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATOR212,"CFC Angles Natural/Orange 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATPNK212,"CFC Angles Natural/Pink 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATPRP212,"CFC Angles Natural/Purple 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATPUT212,"CFC Angles Natural/Putty 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATRD212,CFC Angles Natural/Red 2 1/2,2.5,21.00,21.00,21.00,Wood
ANNATSG212,"CFC Angles Natural/Sage 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATTL212,"CFC Angles Natural/Teal 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANNATTRQ212,CFC Angles Natural/Turquoise 2 1/2,2.5,21.00,21.00,21.00,Wood
ANNATWT212,CFC Angles Natural/White 2 1/2,2.5,21.00,21.00,21.00,Wood
ANNATY212,CFC Angles Natural/Yellow 2 1/2,2.5,21.00,21.00,21.00,Wood
ANOR212,"CFC Angles Orange/Orange 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANORBK212,"CFC Angles Orange/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANORGLD212,"CFC Angles Orange / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANORNAT212,"CFC Angles Orange/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANORWHT212,"CFC Angles Orange/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPNK212,"CFC Angles Pink/Pink 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPNKBK212,"CFC Angles Pink/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPNKGLD212,"CFC Angles Pink / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANPNKNAT212,"CFC Angles Pink/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPNKWHT212,"CFC Angles Pink/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPRP212,"CFC Angles Purple/Purple 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPRPBK212,"CFC Angles Purple/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPRPGLD212,"CFC Angles Purple / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANPRPNAT212,"CFC Angles Purple/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPRPWHT212,"CFC Angles Purple/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPUT212,"CFC Angles Putty/Putty 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPUTBK212,"CFC Angles Putty/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPUTGLD212,"CFC Angles Putty / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANPUTNAT212,"CFC Angles Putty/Natural 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANPUTWHT212,"CFC Angles Putty/White 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANRD212,"CFC Angles Red/Red 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANRDBK212,"CFC Angles Red/Black 2 1/2""",2.5,21.00,21.00,21.00,Wood
ANRDGLD212,"CFC Angles Red / Gold 2 1/2""",2.5,25.00,25.00,25.00,Wood
ANRDGRY212,"CFC Angles Red/Gray 2 1/2""",2.5,21.00,21.00,21.00,Wood
