item,Description,size decimal,cost,chop,join,group
FLDISNATGLD2,Floater Distressed Natural/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISNATSIL1,Floater Distressed Natural/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISNATSIL2,Floater Distressed Natural/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISOR1,Floater Distressed Orange 1”,0.375,19.00,19.00,19.00,Wood
FLDISOR2,Floater Distressed Orange 2”,0.375,21.00,21.00,21.00,Wood
FLDISORGLD1,Floater Distressed Orange/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISORGLD2,Floater Distressed Orange/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISORSIL1,Floater Distressed Orange/Silver1”,0.375,24.00,24.00,24.00,Wood
FLDISORSIL2,Floater Distressed Orange/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISPRP1,Floater Distressed Purple 1”,0.375,19.00,19.00,19.00,Wood
FLDISPRP2,Floater Distressed Purple 2”,0.375,21.00,21.00,21.00,Wood
FLDISPRPGLD1,Floater Distressed Purple/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISPRPGLD2,Floater Distressed Purple/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISPRPSIL1,Floater Distressed Purple/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISPRPSIL2,Floater Distressed Purple/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISRD1,Floater Distressed Red 1”,0.375,19.00,19.00,19.00,Wood
FLDISRD2,Floater Distressed Red 2”,0.375,21.00,21.00,21.00,Wood
FLDISRDGLD1,Floater Distressed Red/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISRDGLD2,Floater Distressed Red/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISRDSIL1,Floater Distressed Red/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISRDSIL2,Floater Distressed Red/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISSG1,Floater Distressed Sage 1”,0.375,19.00,19.00,19.00,Wood
FLDISSG2,Floater Distressed Sage 2”,0.375,21.00,21.00,21.00,Wood
FLDISSGGLD1,Floater Distressed Sage/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISSGGLD2,Floater Distressed Sage/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISSGSIL1,Floater Distressed Sage/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISSGSIL2,Floater Distressed Sage/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISTRQ1,Floater Distressed Turquoise 1”,0.375,19.00,19.00,19.00,Wood
FLDISTRQ2,Floater Distressed Turquoise 2”,0.375,21.00,21.00,21.00,Wood
FLDISTRQGLD1,Floater Distressed Turquoise/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISTRQGLD2,Floater Distressed Turquoise/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISTRQSIL1,Floater Distressed Turquoise/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISTRQSIL2,Floater Distressed Turquoise/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDISWHT1,Floater Distressed White 1”,0.375,19.00,19.00,19.00,Wood
FLDISWHT2,Floater Distressed White 2”,0.375,21.00,21.00,21.00,Wood
FLDISWHTGLD1,Floater Distressed White/Gold 1”,0.375,24.00,24.00,24.00,Wood
FLDISWHTGLD2,Floater Distressed White/Gold 2”,0.375,26.00,26.00,26.00,Wood
FLDISWHTSIL1,Floater Distressed White/Silver 1”,0.375,24.00,24.00,24.00,Wood
FLDISWHTSIL2,Floater Distressed White/Silver 2”,0.375,26.00,26.00,26.00,Wood
FLDRKGRRD1,Floater Dark Green/Red 1”,0.375,19.00,19.00,19.00,Wood
FLDRKGRRD2,Floater Dark Green/Red 2”,0.375,21.00,21.00,21.00,Wood
FLGRNOR1,Floater Green/Orange 1”,0.375,19.00,19.00,19.00,Wood
FLGRNOR2,Floater Green/Orange 2”,0.375,21.00,21.00,21.00,Wood
FLGRPRP1,Floater Green/Purple 1”,0.375,19.00,19.00,19.00,Wood
FLGRPRP2,Floater Green/Purple 2”,0.375,21.00,21.00,21.00,Wood
FLGRYBK1,Floater Gray/Black 1”,0.375,19.00,19.00,19.00,Wood
FLGRYBK2,Floater Gray/Black 2”,0.375,21.00,21.00,21.00,Wood
FLGRYWHT1,Floater Gray/White 1”,0.375,19.00,19.00,19.00,Wood
FLGRYWHT2,Floater Gray/White 2”,0.375,21.00,21.00,21.00,Wood
FLLTBLRD1,Floater Light Blue/Red 1”,0.375,19.00,19.00,19.00,Wood
FLLTBLRD2,Floater Light Blue/Red 2”,0.375,21.00,21.00,21.00,Wood
FLPRPOR1,Floater Purple/Red 1”,0.375,19.00,19.00,19.00,Wood
FLPRPRD1,"Floater Purple/Red 1""",0.375,19.00,19.00,19.00,Wood
FLPRPRD2,Floater Purple Red 2”,0.375,21.00,21.00,21.00,Wood
FLRDPRP1,Floater Red/Purple 1”,0.375,19.00,19.00,19.00,Wood
FLRDPRP2,Floater Red/Purple 2”,0.375,21.00,21.00,21.00,Wood
FLTBLRD,Fillet Light Blue over Red 1/4”,0.25,8.50,8.50,8.50,Wood
FLTRQOR1,Floater Turquoise /Orange 1”,0.375,19.00,19.00,19.00,Wood
FLTRQOR2,Floater Turquoise /Orange 2”,0.375,21.00,21.00,21.00,Wood
FLWHTBK1,Floater White/Black 1”,0.375,19.00,19.00,19.00,Wood
FLWHTBK2,Floater White/Black 2”,0.375,21.00,21.00,21.00,Wood
FLWHTGRY1,Floater White/Gray 1”,0.375,19.00,19.00,19.00,Wood
FLWHTGRY2,Floater White/Gray 2”,0.375,21.00,21.00,21.00,Wood
FLYGR1,Floater Yellow/Green 1”,0.375,19.00,19.00,19.00,Wood
FLYGR2,Floater Yellow/Green 2”,0.375,21.00,21.00,21.00,Wood
FPRPOR,Fillet Purple over Orange 1/4”,0.25,8.50,8.50,8.50,Wood
FPRPRD,Fillet Purple over Red 1/4”,0.25,8.50,8.50,8.50,Wood
FRDPRP,Fillet Red over Purple 1/4”,0.25,8.50,8.50,8.50,Wood
FWTBK,Fillet White over Black 1/4”,0.25,8.50,8.50,8.50,Wood
FWTGRY,Fillet White over Gray 1/4”,0.25,8.50,8.50,8.50,Wood
GRBL114,CFC Brights - Green Over Blue 1 1/4,1.25,15.00,15.00,15.00,Wood
GRBL58,CFC Brights - Green Over Blue 5/8,0.625,14.00,14.00,14.00,Wood
GROR114,CFC Brights - Green Over Orange 1 1/4,1.25,15.00,15.00,15.00,Wood
GROR58,CFC Brights - Green Over Orange 5/8,0.625,14.00,14.00,14.00,Wood
GRPRP114,CFC Brights - Green Over Purple 1 1/4,1.25,15.00,15.00,15.00,Wood
GRPRP58,CFC Brights - Green Over Purple 5/8,0.625,14.00,14.00,14.00,Wood
GRYBLK114,CFC Soho - Gray Over Black 1 1/4,1.25,15.00,15.00,15.00,Wood
GRYBLK58,CFC Soho - Gray Over Black 5/8,0.625,14.00,14.00,14.00,Wood
GRYWHT114,CFC Soho - Gray Over White 1 1/4,1.25,15.00,15.00,15.00,Wood
GRYWHT58,CFC Soho - Gray Over White 5/8,0.625,14.00,14.00,14.00,Wood
LTBLRD114,CFC Brights - Light Blue Over Red 1 1/4,1.25,15.00,15.00,15.00,Wood
LTBLRD58,CFC Brights - Light Blue Over Red 5/8,0.625,14.00,14.00,14.00,Wood
PRPOR114,CFC Brights - Purple Over Orange 1 1/4,1.25,15.00,15.00,15.00,Wood
PRPOR58,CFC Brights - Purple Over Orange 5/8,0.625,14.00,14.00,14.00,Wood
PRPRD114,CFC Brights - Purple Over Red 1 1/4,1.25,15.00,15.00,15.00,Wood
PRPRD58,CFC Brights - Purple Over Red 5/8,0.625,14.00,14.00,14.00,Wood
RDPRP114,CFC Brights - Red Over Purple 1 1/4,1.25,15.00,15.00,15.00,Wood
RDPRP58,CFC Brights - Red Over Purple 5/8,0.625,14.00,14.00,14.00,Wood
RDYL114,CFC Brights - Red Over Yellow 1 1/4,1.25,15.00,15.00,15.00,Wood
RDYL58,CFC Brights - Red Over Yellow 5/8,0.625,14.00,14.00,14.00,Wood
RKBK134,CFC Rockland Black/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKBL134,CFC Rockland Black/Blue 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKBRN134,CFC Rockland Black/Brown 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKDRKGRN134,CFC Rockland Black/Dark Green 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKGRY134,CFC Rockland Black/Gray 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKLAV134,CFC Rockland Black/Lavender 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKLEN134,CFC Rockland Black/Lentil 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKNAT134,CFC Rockland Black/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKOR134,CFC Rockland Black/Orange 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKPNK134,CFC Rockland Black/Pink 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKPRP134,CFC Rockland Black/Purple 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKPUT134,CFC Rockland Black/Putty 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKRD134,CFC Rockland Black/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKSG134,CFC Rockland Black/Sage 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKTL134,CFC Rockland Black/Teal 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKTURQ134,CFC Rockland Black/Turquoise 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKWHT134,CFC Rockland Black/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBKY134,CFC Rockland Black/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBL134,CFC Rockland Blue/Blue 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBLBK134,CFC Rockland Blue/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBLNAT134,CFC Rockland Blue/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBLRD134,CFC Rockland Blue/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBLWHT134,CFC Rockland Blue/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBRN134,CFC Rockland Brown/Brown 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBRNBK134,CFC Rockland Brown/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBRNNAT134,CFC Rockland Brown/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKBRNWHT134,CFC Rockland Brown/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKCUST134,CFC Rockland Custom Color 1 3/4,1.75,20.50,20.50,20.50,Wood
RKDRKGRN134,CFC Rockland Dark Green/Dark Green 1 3/4,1.75,20.50,20.50,20.50,Wood
RKDRKGRNBK134,CFC Rockland Dark Green/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKDRKGRNNAT134,CFC Rockland Dark Green/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKDRKGRNWHT134,CFC Rockland Dark Green/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRNNAT134,CFC Rockland Green/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRNOR134,CFC Rockland Green/Orange 1 3/4”,1.75,20.00,20.00,20.00,Wood
RKGRPRP134,CFC Rockland Green/Purple 1 3/4”,1.75,20.00,20.00,20.00,Wood
RKGRY134,CFC Rockland Gray/Gray 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRYBK134,CFC Rockland Gray/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRYNAT134,CFC Rockland Gray/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRYRD134,CFC Rockland Gray/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKGRYWHT134,CFC Rockland Gray/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLAV134,CFC Rockland Lavender/Lavender 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLAVBK134,CFC Rockland Lavender/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLAVNAT134,CFC Rockland Lavender/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLAVWHT134,CFC Rockland Lavender/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLEN134,CFC Rockland Lentil/Lentil 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLENBK134,CFC Rockland Lentil/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLENNAT134,CFC Rockland Lentil/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKLENWHT134,CFC Rockland Lentil/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNAT134,CFC Rockland Natural/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATBK134,CFC Rockland Natural/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATBL134,CFC Rockland Natural/Blue 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATBRN134,CFC Rockland Natural/Brown 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATDRKGRN134,CFC Rockland Natural/Dark Green 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATGRN134,CFC Rockland Natural/Green 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATGRY134,CFC Rockland Natural/Gray 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATLAV134,CFC Rockland Natural/Lavender 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATLEN134,CFC Rockland Natural/Lentil 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATOR134,CFC Rockland Natural/Orange 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATPNK134,CFC Rockland Natural/Pink 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATPRP134,CFC Rockland Natural/Purple 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATPUT134,CFC Rockland Natural/Putty 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATRD134,CFC Rockland Natural/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATSG134,CFC Rockland Natural/Sage 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATTL134,CFC Rockland Natural/Teal 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATTURQ134,CFC Rockland Natural/Turquoise 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATWHT134,CFC Rockland Natural/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKNATY134,CFC Rockland Natural/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKOR134,CFC Rockland Orange/Orange 1 3/4,1.75,20.50,20.50,20.50,Wood
RKORBK134,CFC Rockland Orange/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKORGRN134,CFC Rockland Orange/Green 1 3/4”,1.75,20.00,20.00,20.00,Wood
RKORNAT134,CFC Rockland Orange/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKORWHT134,CFC Rockland Orange/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPNK134,CFC Rockland Pink/Pink 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPNKBK134,CFC Rockland Pink/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPNKNAT134,CFC Rockland Pink/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPNKWHT134,CFC Rockland Pink/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPRP134,CFC Rockland Purple/Purple 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPRPBK134,CFC Rockland Purple/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPRPGRN134,CFC Rockland Purple/Green 1 3/4”,1.75,20.00,20.00,20.00,Wood
RKPRPNAT134,CFC Rockland Purple/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPRPWHT134,CFC Rockland Purple/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPRPY134,CFC Rockland Purple/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPUT134,CFC Rockland Putty/Putty 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPUTBK134,CFC Rockland Putty/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPUTNAT134,CFC Rockland Putty/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKPUTWHT134,CFC Rockland Putty/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRD134,CFC Rockland Red/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDBK134,CFC Rockland Red/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDBL134,CFC Rockland Red/Blue 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDGRY134,CFC Rockland Red/Gray 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDNAT134,CFC Rockland Red/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDTL134,CFC Rockland Red/Teal 1 3/4,1.75,20.50,20.50,20.50,Wood
RKRDWHT134,CFC Rockland Red/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKSB1CUST,"Rockland Shadow Box 1"" Deep",1.625,22.00,22.00,22.00,Wood
RKSB2CUST,"Rockland Shadow Box 2"" Deep",1.625,24.00,24.00,24.00,Wood
RKSB3CUST,"Rockland Shadow Box 3"" Deep",1.625,26.00,26.00,26.00,Wood
RKSB4CUST,"Rockland Shadow Box 4"" Deep",1.625,28.00,28.00,28.00,Wood
RKSB5CUST,"Rockland Shadow Box 5"" Deep",1.625,30.00,30.00,30.00,Wood
RKSB6CUST,"Rockland Shadow Box 6"" Deep",1.625,32.00,32.00,32.00,Wood
RKSG134,CFC Rockland Sage/Sage 1 3/4,1.75,20.50,20.50,20.50,Wood
RKSGBK134,CFC Rockland Sage/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKSGNAT134,CFC Rockland Sage/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKSGWHT134,CFC Rockland Sage/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTL134,CFC Rockland Teal/Teal 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTLBK134,CFC Rockland Teal/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTLNAT134,CFC Rockland Teal/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTLRD134,CFC Rockland Teal/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTURQ134,CFC Rockland Turquoise/Turquoise 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTURQBK134,CFC Rockland Turquoise/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTURQNAT134,CFC Rockland Turquoise/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKTURQWHT134,CFC Rockland Turquoise/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHT134,CFC Rockland White/White 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTBK134,CFC Rockland White/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTBL134,CFC Rockland White/Blue 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTBRN134,CFC Rockland White/Brown 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTDRKGRN134,CFC Rockland White/Dark Green 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTGRY134,CFC Rockland White/Gray 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTLAV134,CFC Rockland White/Lavender 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTLEN134,CFC Rockland White/Lentil 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTNAT134,CFC Rockland White/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTOR134,CFC Rockland White/Orange 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTPNK134,CFC Rockland White/Pink 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTPRP134,CFC Rockland White/Purple 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTPUT134,CFC Rockland White/Putty 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTRD134,CFC Rockland White/Red 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTSG134,CFC Rockland White/Sage 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTTURQ134,CFC Rockland White/Turquoise 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTY134,CFC Rockland White/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKWHTY134,CFC Rockland White/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKY134,CFC Rockland Yellow/Yellow 1 3/4,1.75,20.50,20.50,20.50,Wood
RKYBK134,CFC Rockland Yellow/Black 1 3/4,1.75,20.50,20.50,20.50,Wood
RKYNAT134,CFC Rockland Yellow/Natural 1 3/4,1.75,20.50,20.50,20.50,Wood
RKYPRP134,CFC Rockland Yellow/Purple 1 3/4,1.75,20.50,20.50,20.50,Wood
RKYRD134,CFC Rockland Yellow/Red  1 3/4”,1.75,20.00,20.00,20.00,Wood
RKYWHT134,CFC Rockland Yellow/White 1 3/4,1.75,20.50,20.50,20.50,Wood
SHSB1CUST,"SoHo Shadow Box 1"" Deep",1.25,17.50,17.50,17.50,Wood
SHSB2CUST,"SoHo Shadow Box 2"" Deep",1.25,18.50,18.50,18.50,Wood
SHSB3CUST,"SoHo Shadow Box 3"" Deep",1.25,20.00,20.00,20.00,Wood
SHSB4CUST,"SoHo Shadow Box 4"" Deep",1.25,22.00,22.00,22.00,Wood
SHSB5CUST,"SoHo Shadow Box 5"" Deep",1.25,26.00,26.00,26.00,Wood
SHSB6CUST,"SoHo Shadow Box 6"" Deep",1.25,28.00,28.00,28.00,Wood
SHWW2CUST,"SoHo Wider Width Custom 2""",2,18.50,18.50,18.50,Wood
SHWW3CUST,"SoHo Wider Width Custom 3""",3,20.00,20.00,20.00,Wood
SHWW4CUST,"SoHo Wider Width Custom 4""",4,22.00,22.00,22.00,Wood
STBK134,CFC Steps Black/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKBL134,CFC Steps Black/Blue 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKBRN134,CFC Steps Black/Brown 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKDRKGRN134,CFC Steps Black/Dark Green 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKGLD134,"CFC Steps Black / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STBKGRN134,CFC Steps Black/Green 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKGRY134,CFC Steps Black/Gray 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKLAV134,CFC Steps Black/Lavender 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKLEN134,CFC Steps Black/Lentil 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKNAT135,CFC Steps Black/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKOR134,CFC Steps Black/Orange 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKPNK134,CFC Steps Black/Pink 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKPRP134,CFC Steps Black/Purple 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKPUT134,CFC Steps Black/Putty 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKRD134,CFC Steps Black/Red 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKSG134,CFC Steps Black/Sage 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKTL134,CFC Steps Black/Teal 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKTURQ134,CFC Steps Black/Turquoise 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKWT134,CFC Steps Black/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STBKY134,CFC Steps Black/Yellow 1 3/4,1.75,18.00,18.00,18.00,Wood
STBL134,CFC Steps Blue/Blue 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLBK134,CFC Steps Blue/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLGLD134,"CFC Steps Blue / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STBLGRN134,CFC Steps Blue/Green 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLNAT134,CFC Steps Blue/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLRD134,CFC Steps Blue/Red 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLWT134,CFC Steps Blue/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STBLY134,CFC Steps Blue/Yellow 1 3/4,1.75,18.00,18.00,18.00,Wood
STBRN134,CFC Steps Brown/Brown 1 3/4,1.75,18.00,18.00,18.00,Wood
STBRNBK134,CFC Steps Brown/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STBRNGLD134,"CFC Steps Brown / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STBRNNAT134,CFC Steps Brown/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STBRNWHT134,CFC Steps Brown/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STCUST134,CFC Steps Custom 1 3/4,1.75,18.00,18.00,18.00,Wood
STCUST134,CFC Steps Custom Colors 1 3/4,1.75,18.00,18.00,18.00,Wood
STCUST234,CFC Steps Custom Colors 2 3/4 ,2.75,18.00,18.00,18.00,Wood
STCUSTGLD134,"CFC Steps Custom / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STDRKGRN134,CFC Steps Dark Green/Dark Green 1 3/4,1.75,18.00,18.00,18.00,Wood
STDRKGRN134,CFC Steps Dark Green/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STDRKGRNBK134,CFC Steps Dark Green/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STDRKGRNGLD134,"CFC Steps Dark Green / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STDRKGRNNAT134,CFC Steps Dark Green/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNBK134,CFC Steps Green/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNBL134,CFC Steps Green/Blue 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNGLD134,"CFC Steps Green / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STGRNLAV134,CFC Steps Green/Lavender 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNNAT134,CFC Steps Green/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNRD134,CFC Steps Green/Red 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNWT134,CFC Steps Green/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRNY134,CFC Steps Green/Yellow 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRY134,CFC Steps Gray/Gray 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRYBK134,CFC Steps Gray/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRYGLD134,"CFC Steps Gray / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
STGRYNAT134,CFC Steps Gray/Natural 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRYRD,CFC Steps Gray/Red 1 3/4,1.75,18.00,18.00,18.00,Wood
STGRYWHT134,CFC Steps Gray/White 1 3/4,1.75,18.00,18.00,18.00,Wood
STLAV134,CFC Steps Lavender/Lavender 1 3/4,1.75,18.00,18.00,18.00,Wood
STLAVBK134,CFC Steps Lavender/Black 1 3/4,1.75,18.00,18.00,18.00,Wood
STLAVGLD134,"CFC Steps Lavender / Gold 1 3/4""",1.75,24.00,24.00,24.00,Wood
