ITEM,description,WIDTH,UPC,cost,chop,join,group
484110,"CR2 FLOATER SILVER 1 3/4""",1.75,,14.3,24.02,25.02,Wood
485110,BRIGHTON LG SCOOP WAL 2,2,,5.75,9.66,10.66,Wood
485120,BRIGHTON LG SCOOP MAH 2,2,,5.75,9.66,10.66,Wood
485130,BRIGHTON LG SCOOP ESP 2,2,,5.75,9.66,10.66,Wood
486180,HUDSON GOLD SCOOP,1.5625,,6.7,11.26,12.26,Wood
486190,HUDSON SILVER SCOOP,1.5625,,6.7,11.26,12.26,Wood
486200,HUDSON II IVORY SCOOP 1 9/16,1.5625,,6.74,11.33,12.33,Wood
486220,"HUDSON II BLKGLD SCP 1 9/16""",1.5625,,6.71,11.28,12.28,Wood
487BDG,WILLIAMSBURG COLLECTION,#VALUE!,720472102681,8.2,13.77,14.77,Wood
488150,"SPENCER GOLD CUBE 1 1/4""",1.25,,5.97,10.04,11.04,Wood
488151,"SPENCER SIL/BRN CUBE 1 1/4""",1.25,,5.97,10.04,11.04,Wood
488152,"SPENCER SIL/BLK CUBE 1 1/4""",1.25,,5.97,10.04,11.04,Wood
488153,"SPENCER II SLVR CUBE 1 1/4""",1.25,,6.67,11.2,12.2,Wood
488154,"SPENCER II GOLD CUBE 1 1/4""",1.25,,6.67,11.2,12.2,Wood
489500,"FINN FLAT BLACK 1 3/4""",1.75,720472193559,9.17,15.41,16.41,Wood
489510,"FINN FLAT NATURAL 1 3/4""",1.75,720472193566,9.17,15.41,16.41,Wood
492150,SPENCER GOLD TALL FLOAT,1.9375,,8.97,15.06,16.06,Wood
492151,SPENCER SIL/BRN TALL FLOAT,1.9375,,8.97,15.06,16.06,Wood
492152,SPENCER SIL/BLK TALL FLOAT,1.9375,,8.97,15.06,16.06,Wood
492153,"SPENCER II SLVR FLOAT 1 15/16""",1.9375,,8.6,14.45,15.45,Wood
492154,"SPENCER II GOLD FLOAT 1 15/16""",1.9375,,8.6,14.45,15.45,Wood
492G,MARQUIS,1.5,720472102742,13.9,23.36,24.36,Wood
493200,"SALON 1789 GOLD SM CAP 1 3/16""",1.1875,,5.94,9.98,10.98,Wood
493225,"SALON 1789 SIL SM CAP 1 3/16""",1.1875,,5.94,9.98,10.98,Wood
493615,EASTLAKE (493615),1.625,,10.74,18.04,19.04,Wood
494100,"SPOLETO REVERSE SILVER 2""",2,,14.62,24.56,25.56,Wood
494110,"SPOLETO REVERSE PEWTER 2""",2,,14.62,24.56,25.56,Wood
494130,"SPOLETO REVERSE BRONZE 2""",2,,14.62,24.56,25.56,Wood
496200,"SALON 1789 GLD SM EMB 1 5/16""",1.3125,,6.14,10.31,11.31,Wood
496225,"SALON 1789 SIL SM EMB 1 5/16""",1.3125,,6.14,10.31,11.31,Wood
497150,"SPENCER GOLD FLAT 1 15/16""",1.9375,,6.6,11.09,12.09,Wood
497152,"SPENCER SIL/BLK FLAT 1 15/16""",1.9375,,6.6,11.09,12.09,Wood
497153,"SPENCER II SLVR CAP 1 15/16""",1.9375,,6.3,10.57,11.57,Wood
497154,"SPENCER II GOLD 1 15/16""",1.9375,,6.3,10.57,11.57,Wood
500CG,MARQUIS,2,720472102827,15.39,25.85,26.85,Wood
500CS,MARQUIS,2,720472102834,15.39,25.85,26.85,Wood
508200,"SALON 1789 LG GLD CAP 1 3/4""",1.875,,8.42,14.13,15.13,Wood
509706,"OLSEN MAPLE FLAT 2""",1.875,,8.55,14.36,15.36,Wood
509708,"OLSEN OAK FLAT 2""",1.875,,8.55,14.36,15.36,Wood
510BL,REFLECTIONS,0.8125,720472119481,11.73,19.7,20.7,Wood
511124,"RAVELLO CROSSGRN MP FLO 2 1/4""",2.25,,10.12,16.2,17.2,Wood
511125,"RAVELLO ELM BURL FLOAT 2 1/4""",2.25,,10.12,16.2,17.2,Wood
511126,"RAVELLO DANIELA WAL FLO 2 1/4""",2.25,,10.12,16.2,17.2,Wood
511127,"RAVELLO POPLAR BURL FLO 2 1/4""",2.25,,10.12,16.2,17.2,Wood
511128,"RAVELLO BIRDSEYE MP FLO 2 1/4""",2.25,,10.12,16.2,17.2,Wood
512500,"FINN FLOAT BLACK 1 3/4""",1.75,720472193597,12.09,20.31,21.31,Wood
512510,"FINN FLOAT NATURAL 1 3/4""",1.75,720472193603,12.09,20.31,21.31,Wood
512520,"FINN FLOAT ESPRESSO 1 3/4""",1.75,720472193610,12.09,20.31,21.31,Wood
513200,"SALON 1789 SM GLD PANEL 2""",2,,7.45,12.52,13.52,Wood
513225,"SALON 1789 SM SIL PANEL 2""",2,,7.45,12.52,13.52,Wood
516250,"ANDOVER SML FLOAT BLK 1 9/16""",1.5625,,10.63,17.85,18.85,Wood
516270,"ANDOVER SML FLOAT SIL 1 9/16""",1.5625,,10.63,17.85,18.85,Wood
516280,"ANDOVER SML FLOAT GLD 1 9/16""",1.5625,,10.63,17.85,18.85,Wood
516290,"ANDOVER SML FLOAT SUD 1 9/16""",1.5625,,10.63,17.85,18.85,Wood
517250,"ANDOVER LGE FLOAT BLK 2 1/4""",2.25,,13.87,23.3,24.3,Wood
517270,"ANDOVER LGE FLOAT SIL 2 1/4""",2.25,,13.87,23.3,24.3,Wood
517280,"ANDOVER LGE FLOAT GLD 2 1/4""",2.25,,13.87,23.3,24.3,Wood
520750,SOFIA BRONZE ORNATE REV.,2.5,720472154918,16.87,28.35,29.35,Wood
520751,SOFIA GOLD ORNATE REV.,2.5,720472154864,16.87,28.35,29.35,Wood
520752,SOFIA IRON ORNATE,2.5,720472154819,16.87,28.35,29.35,Wood
521720,VERMONT BRICK RED,2.25,720472154314,11.17,18.75,19.75,Wood
521726,VERMONT OAT,2.25,720472154376,11.17,18.75,19.75,Wood
524940,GALLERY ONE BLACK FLOAT,2.75,720472159821,11.17,18.75,19.75,Wood
524941,GALLERY ONE WHITE FLOAT,2.75,720472159838,11.17,18.75,19.75,Wood
525552,FERROSA 2 PEWTER,1.5625,720472146647,14.86,26.15,27.15,Wood
525554,FERROSA 2 IRON,1.5625,720472146654,16.35,27.46,28.46,Wood
525556,FERROSA 2 BRONZE,1.5625,720472146661,16.35,27.46,28.46,Wood
530650,"TATE BLACK WIDE FLAT 2 1/4""",2.25,,6.77,11.36,12.36,Wood
530660,"TATE SILVER WIDE FLAT 2 1/4""",2.25,,6.77,11.36,12.36,Wood
530670,"TATE GOLD WIDE FLAT 2 1/4""",2.25,,6.77,11.36,12.36,Wood
531610,"AXEL SMOKED TIMBER 2 9/16""",2.5625,,24.95,41.92,42.92,Wood
533276,"MILO MAPLE FLAT 1 1/4""",1.25,,6.31,10.61,11.61,Wood
533277,"MILO WALNUT FLAT 1 1/4""",1.25,,6.31,10.61,11.61,Wood
533278,"MILO CERUSED OAK FLAT 1 1/4""",1.25,,5.93,9.96,10.96,Wood
