ITEM,description,WIDTH,cost,group
B4428,HEATHER GREY 32X40 NEWLIN,32x40,111.46,Matboard
B4429,DELFT 32X40 TATAMI SILK,32x40,147.78,Matboard
B4430,JUNDO  TATAMI SILK 32X40,32x40,179.23,Matboard
B4432,UMI    TATAMI SILK 32X40,32x40,179.23,Matboard
B4433,Katana TATAMI SILK 32X40,32x40,179.23,Matboard
B4434,Kazan  TATAMI SILK 32X40,32x40,179.23,Matboard
B4435,.UMI   TATAMI SILK 32X40,32x40,181.02,Matboard
B4436,TORII  TATAMI SILK 32X40,32x40,179.23,Matboard
B4440,DILL 32X40 TATAMI SILK,32x40,147.77,Matboard
B4451,PISTACHIO 32X40TATAMI SILK,32x40,117.27,Matboard
B4452,PEACH MELBA 32X40TATAMISIL,32x40,117.27,Matboard
B4454,VIOLETTA 32X40 TATAMI SILK,32x40,117.27,Matboard
B4457,PHANTOM 32X40 TATAMI SILK,32x40,147.77,Matboard
B4459,NIGHTSHA 32X40 TATAMI SILK,32x40,117.27,Matboard
B4460,TOURMALINE 32X40 TATAMISIL,32x40,117.27,Matboard
B4461,CHINCHILLA 32X40 TATAMSILK,32x40,118.44,Matboard
B468085,IRON FORGED MTLS 32X40,32x40,68.43,Matboard
B4700,WHT ARMOR METRICE PPR32X40,32x40,109.24,Matboard
B4702,GLD COIN METRICE PPR 32X40,32x40,109.24,Matboard
B4704,BRIDALPTH METRICE PP 32X40,32x40,86.68,Matboard
B4705,CRYSTAL MET RICE PPR 32X40,32x40,86.68,Matboard
B4706,GENTIAN MET RICE PPR 32X40,32x40,86.68,Matboard
B4707,NIAGRA MET RICE PPR 32X40,32x40,87.55,Matboard
B4709,MOONLIGHT MET RICEPPR32X40,32x40,86.68,Matboard
B4710,PUMICE MET RICE PPR 32X40,32x40,87.55,Matboard
B4830,SNOW SILKENS 32X40,32x40,142.17,Matboard
B4834,SILKENS PETAL GREEN 32X40,32x40,107.48,Matboard
B4836,SILKENS IMPERIAL BLUE 32X40,32x40,142.17,Matboard
B4836L,SILKEN IMPERIAL BLUE 40X60,40x60,194.47,Matboard
B4837,SILKENS BURGUNDY 32X40,32x40,142.17,Matboard
B4838,SILKENS DYNASTY RED 32X40,32x40,142.17,Matboard
B4840,SILKENS WHITE 32X40,32x40,108.55,Matboard
B4843,WHEATFIELD SILKENS 32X40,32x40,142.17,Matboard
B4846,MOLTEN SILKENS 32X40,32x40,142.17,Matboard
B4848,SHITAKE SILKENS 32X40,32x40,142.17,Matboard
B4850,WASABI SILKENS 32X40,32x40,107.48,Matboard
B4851,TABRIZ SILKENS 32X40,32x40,142.17,Matboard
B4853,DOLPHIN SHANTUNG 32X40,32x40,107.48,Matboard
B4854,CAFFE SHANTUNG 32X40,32x40,148.88,Matboard
B4855,NEW MOON SHANTUNG 32X40,32x40,148.88,Matboard
B4960,OYSTER RAW SILK 32X40,32x40,129.99,Matboard
B4964,GREENBRIER RAW SILK 32X40,32x40,129.99,Matboard
B4970,BLACK KNIGHTRAW SILK 32X40,32x40,129.99,Matboard
B5501,32X40 BROOK SUEDE SELCON,32x40,58.06,Matboard
B5512,32X40 CLEMNTN SUED SELCN,32x40,72.42,Matboard
B5515,32X40 THICKET SUED SELCN,32x40,57.49,Matboard
B5533,32X40 VINTG WHT LINEN SE,32x40,87.43,Matboard
B5539,32X40 CREAM SEL JUTE,32x40,69.85,Matboard
B5542,32X40 BLACK SEL JUTE,32x40,69.85,Matboard
B5559,32X40 TAN VINTG LINEN SE,32x40,70.78,Matboard
B5561,32X40 SAND VINTG LINN SE,32x40,126.8,Matboard
B5632,32X40 WMWHT VINTG LIN SE,32x40,126.8,Matboard
B5636,32X40 PURPLE TORCH SEL SDE,32x40,58.06,Matboard
B5638,32X40 TILE BLUE SEL SUEDE,32x40,57.49,Matboard
B5654,32X40 NATURAL SEL JUTE,32x40,69.85,Matboard
B5658,32X40 SEL PCH BRONZED SAND,32x40,53.5,Matboard
B5660,32X40 WHT SHIMR LINEN SE,32x40,58.49,Matboard
B5661,32X40 IVRY SHIMR LINN SE,32x40,57.91,Matboard
B5698,32X40 SEL PCH SILVER SAND,32x40,52.97,Matboard
B5699,32X40SEL PCH GRAPHITE SAND,32x40,52.97,Matboard
B5851,32X40 GOLD SHIMR LINN SE,32x40,58.49,Matboard
B5852,32X40 SIL SHIMR LINEN SE,32x40,80.14,Matboard
B5853,32X40 EBNY SHIMR LINN SE,32x40,80.14,Matboard
B608155,TORNADO AMER.VINTAGE 32X40,32x40,58.96,Matboard
B608181,BLK DENIM AMER.VINTAGE 32X40,32x40,58.96,Matboard
B608512,JAVA AMER.VINTAGE 32X40,32x40,58.96,Matboard
B6601,32X40 PUR WHT PHOTORG 4PL,32x40,34.91,Matboard
B69745,FOOTBALL 32X40 BLK SELEC,32x40,31.33,Matboard
B69746,BASKETBALL 32X40 BLK SEL,32x40,31.02,Matboard
B768528,BARNYARD ALPHA HERTAG 32X40,32x40,62.08,Matboard
B8002,SILVER ALPHA METALS 32X40,32x40,44.53,Matboard
B8003,GOLD ALPHA METALS 32X40,32x40,56.13,Matboard
B8004,WARM GOLD ALPHA METALS 32X40,32x40,56.2,Matboard
B8006,BRUSH SIL ALPHA METALS 32X40,32x40,56.12,Matboard
B8007,BRS PALE GLD ALPHA METAL 32X40,32x40,56.12,Matboard
B8008,BRUSH GOLD ALPHA METALS 32X40,32x40,56.14,Matboard
B8012,BRUSH ONYX ALPHA METALS 32X40,32x40,56.12,Matboard
B8013,MATADOR ALPHA 32X40,32x40,35.32,Matboard
B8014,GREY QUARTZ ALPHA METALS 32X40,32x40,56.12,Matboard
B8015,SMOKY TOPAZ ALPHA METALS 32X40,32x40,56.12,Matboard
B8020,RED RAVE ALPHA 32X40,32x40,56.12,Matboard
B8022,LEMONDROP ALPHA 32X40,32x40,56.2,Matboard
B8037,LIME ALPHA 32X40,32x40,56.13,Matboard
B8052,PRECIOUS PINK ALPHA 32X40,32x40,35.31,Matboard
B8055,ARDENT BLUE ALPHA 32X40,32x40,35.32,Matboard
B8056,BALMY BLUE ALPHA 32X40,32x40,35.31,Matboard
