item,cost,chop,join,width,description,group
PR8602,6.01,10.52,12.62,1.38,,Wood
PR8621,4.18,7.52,9.03,2.5,,Wood
PR8622,4.18,7.52,9.03,2.5,,Wood
PR8714,1.47,3.31,3.97,0.5,,Wood
PR8721,6.59,11.53,13.84,3.63,,Wood
PR8722,6.59,11.53,13.84,3.63,,Wood
PR8831,5.3,9.28,11.14,1.63,,Wood
PR8832,5.3,9.28,11.14,1.63,,Wood
PR8833,5.3,9.28,11.14,1.63,,Wood
PR8834,5.3,9.28,11.14,1.63,,Wood
PR8915,4.21,7.8,9.36,1.75,,Wood
PR9170,5.06,8.86,10.63,1,,Wood
PR9171,5.06,8.86,10.63,1,,Wood
PR9172,5.06,8.86,10.63,1,,Wood
PR9211,3.06,6.22,7.46,0.75,,Wood
PR9212,3.06,6.22,7.46,0.75,,Wood
PR9222,3.48,6.58,7.9,1,,Wood
PR9313,4.8,8.39,10.08,1.5,,Wood
PR9372,6.29,10.92,13.11,1.63,,Wood
PR9415,2.95,5.6,6.72,1,,Wood
PR9416,2.95,5.6,6.72,1,,Wood
PR9417,2.95,5.6,6.72,1,,Wood
PR9421,7.01,12.27,14.72,2.38,,Wood
PR9422,6.06,10.6,12.73,2.38,,Wood
PR9423,7.01,12.27,14.72,2.38,,Wood
PR9431,7.36,12.88,15.46,1.38,,Wood
PR9432,7.36,12.88,15.46,1.38,,Wood
PR9433,7.36,12.88,15.46,1.38,,Wood
PR9441,6.83,11.96,14.34,1.38,,Wood
PR9461,4.41,7.72,9.26,0.75,,Wood
PR9471,6.18,10.82,12.99,1,,Wood
PR9481,8.36,14.63,17.56,2.13,,Wood
PR9501,3.88,6.99,8.38,0.75,,Wood
PR9502,3.88,6.99,8.38,0.75,,Wood
PR9511,0.98,2.08,2.5,0.25,,Wood
PR9513,0.98,2.08,2.5,0.25,,Wood
PR9514,4.65,8.14,9.77,1.75,,Wood
PR9515,4.65,8.14,9.77,1.75,,Wood
PR9516,4.65,8.14,9.77,1.75,,Wood
PR9531,10.89,18.51,22.22,2.5,,Wood
