item,cost,chop,join,width,description,group
2010-56,4.76,7.69,9.23,0.63,"5/8"" Gold Matrix",Wood
2010-57,4.76,7.69,9.23,0.63,"5/8"" Copper Matrix",Wood
2010-58,4.76,7.69,9.23,0.63,"5/8"" Bronzo Matrix",Wood
2010-755,3.52,5.81,6.97,0.63,"5/8"" Matte Blue",Wood
2010-756,3.52,5.81,6.97,0.63,"5/8"" Matte Light Blue",Wood
2010-757,3.52,5.81,6.97,0.63,"5/8"" Matte Baby Blue",Wood
2010-758,3.52,5.81,6.97,0.63,"5/8"" Matte Viola",Wood
2010-759,3.52,5.81,6.97,0.63,"5/8"" Matte Lilac",Wood
2010-760,3.52,5.81,6.97,0.63,"5/8"" Matte Dark Green",Wood
2010-761,3.52,5.81,6.97,0.63,"5/8"" Matte Spring Green",Wood
2010-762,3.52,5.81,6.97,0.63,"5/8"" Matte Red",Wood
2010-763,3.52,5.81,6.97,0.63,"5/8"" Matte Tangerine Red",Wood
2010-764,3.52,5.81,6.97,0.63,"5/8"" Matte Orange",Wood
2010-765,3.52,5.81,6.97,0.63,"5/8"" Matte Yellow",Wood
2010-769,3.52,5.81,6.97,0.63,"5/8"" Matte Pink",Wood
2010-770,3.52,5.81,6.97,0.63,"5/8"" Matte Teal",Wood
2010-801,3.73,6.52,7.82,0.63,"5/8"" Voyager Satin Gold",Wood
2010-802,3.73,6.52,7.82,0.63,"5/8"" Voyager Satin Aluminum",Wood
2010-803,3.73,6.52,7.82,0.63,"5/8"" Voyager Satin Gray Steel",Wood
2010-804,3.73,6.52,7.82,0.63,"5/8"" Voyager Satin Bronze",Wood
2010-805,3.73,6.52,7.82,0.63,"5/8"" Voyager Satin Rose Gold",Wood
2131,4.06,6.9,8.28,0.63,"5/8"" Ornate Black",Wood
2132,4.06,6.9,8.28,0.63,"5/8"" Ornate White",Wood
2133,4.2,7.14,8.57,0.63,"5/8"" Ornate Bronze",Wood
2134,4.2,7.14,8.57,0.63,"5/8"" Ornate Gold",Wood
2135,4.2,7.14,8.57,0.63,"5/8"" Ornate Gunmetal",Wood
2136,4.2,7.14,8.57,0.63,"5/8"" Ornate Silver",Wood
2168,2.77,4.85,5.82,1.12,"1-1/8"" Mahogany Glossy w/Gold Lip",Wood
2169,2.77,4.85,5.82,1.12,"1-1/8"" Pecan Glossy w/Gold Lip",Wood
2302,5.29,8.73,10.48,2.31,"<GG> 2-5/16"" Timberland Etched Light Pecan Burl",Wood
2303,5.29,8.73,10.48,2.31,"2-5/16"" Timberland Graphite Black Burl",Wood
2304,5.29,8.73,10.48,2.31,"2-5/16"" Timberland Etched Burl",Wood
2306,3.98,6.77,8.12,1.56,"1-9/16"" Timberland Etched Pecan Burl",Wood
2307,3.98,6.77,8.12,1.56,"1-9/16"" Timberland Etched Light Pecan Burl",Wood
2308,3.98,6.77,8.12,1.56,"1-9/16"" Timberland Etched Graphite Black Burl",Wood
2309,3.98,6.77,8.12,1.56,"1-9/16"" Timberland Etched Burl",Wood
2500,4.82,7.94,9.53,1.13,"1-1/8"" Ornate Black",Wood
2501,4.82,7.94,9.53,1.13,"1-1/8"" Ornate White",Wood
2502,4.82,7.94,9.53,1.13,"1-1/8"" Ornate Bronze",Wood
2503,4.82,7.94,9.53,1.13,"1-1/8"" Ornate Gold",Wood
2504,4.82,7.94,9.53,1.13,"1-1/8"" Ornate Gunmetal",Wood
2505,4.82,7.94,9.53,1.13,"1-1/8"" Ornate Silver",Wood
2600-436,12.9,20.65,24.78,1.57,"1-9/16"" Icona Gold Leaf",Wood
2600-437,12.9,20.65,24.78,1.57,"1-9/16"" Icona Silver Leaf",Wood
2602-436,9.66,15.46,18.55,1.57,"1-9/16"" Icona Gold Leaf",Wood
2602-437,9.66,15.46,18.55,0.63,"1-9/16"" Icona Silver Leaf",Wood
2604-436,6.78,10.84,13.01,0.63,"5/8"" Icona Gold Leaf",Wood
2604-437,6.78,10.84,13.01,0.63,"5/8"" Icona Silver Leaf",Wood
2701,3.97,6.55,7.86,1.13,"1-1/8"" Etched Suntan",Wood
2702,3.97,6.55,7.86,1.13,"1-1/8"" Etched White",Wood
2703,3.97,6.55,7.86,1.13,"1-1/8"" Etched Dark Gray",Wood
2704,3.97,6.55,7.86,1.13,"1-1/8"" Etched Spanish Yellow",Wood
2705,3.97,6.55,7.86,1.13,"1-1/8"" Etched Blue Bird",Wood
2706,3.97,6.55,7.86,1.13,"1-1/8"" Etched Summer Red",Wood
3121,3.88,6.6,7.92,1.13,"1-1/8"" Distressed Black Paint",Wood
3122,3.88,6.6,7.92,1.13,"1-1/8"" Distressed White Paint",Wood
3123,3.88,6.6,7.92,1.13,"1-1/8"" Distressed Gray Paint",Wood
3221,3.37,5.72,6.86,1.13,"1-1/8"" Black Grey",Wood
3222,3.37,5.72,6.86,1.13,"1-1/8"" Dark Gray",Wood
3223,3.37,5.72,6.86,1.13,"1-1/8"" Painted White",Wood
3224,3.37,5.72,6.86,1.13,"1-1/8"" Copley Gray",Wood
3301,5.72,9.15,10.98,2,"2"" Charcoal Black Wood Grain",Wood
3302,5.72,9.15,10.98,2,"2"" Moth Gray Wood Grain",Wood
3303,5.72,9.15,10.98,2,"2"" Sandy Gray Wood Grain",Wood
3304,5.72,9.15,10.98,2,"2"" Tan Wood Grain",Wood
3305,5.72,9.15,10.98,2,"2"" Walnut Wood Grain",Wood
3401,3.83,6.5,7.8,1.13,"1-1/8"" Charcoal Black Wood Grain",Wood
3402,3.83,6.5,7.8,1.13,"1-1/8"" Moth Gray Wood Grain",Wood
3403,3.83,6.5,7.8,1.13,"1-1/8"" Sandy Gray Wood Grain",Wood
3404,3.83,6.5,7.8,1.13,"1-1/8"" Tan Wood Grain",Wood
3405,3.83,6.5,7.8,1.13,"1-1/8"" Walnut Wood Grain",Wood
4100,5.38,8.88,10.66,2,"2"" Chisel Matte Black",Wood
4101,5.59,9.53,11.44,2.38,"2-3/8"" Angled Reverse Matte Black",Wood
4102,5.2,8.58,10.3,1.19,"1-3/16"" Angled Cap Matte Black",Wood
4103,5.45,8.98,10.78,1.19,"1-3/16"" Angled Cap Matte Black w/Silver",Wood
4105,5.45,8.98,10.78,1.19,"1-3/16"" Angled Cap Matte Black w/ Red",Wood
4120,3.58,6.25,7.5,1.75,"1-3/4"" Matte Black Flat w/Lip",Wood
4121,2.86,5.54,6.65,1.31,"1-5/16"" Flat w/Lip Matte Black",Wood
4125,2.78,5.28,6.34,1.13,"1-1/8"" x 3/4"" Square Cap Matte White",Wood
4200,1.94,3.96,4.75,0.75,"3/4"" Square Cap Matte Black",Wood
4201,2.88,5.18,6.22,0.75,"3/4"" x 1-1/4"" Cap Matte Black",Wood
4202,3.6,6.9,8.28,0.63,"5/8"" x 1-3/4"" Square Cap Matte Black",Wood
4203,6.69,10.76,12.91,0.88,"7/8"" x 3"" Matte Black Shadow Box",Wood
4204,5.28,8.45,10.14,0.88,"3/4"" x 2-1/4"" Cap Matte Black",Wood
4205,2.41,4.58,5.5,1.13,"1-1/8"" x 3/4"" Cap Matte Black",Wood
4206,3.54,6.19,7.43,2,"1-3/4"" x 13/16"" Cap Matte Black",Wood
4207,2.02,3.94,4.73,0.81,"13/16"" x 1/2"" Cap Matte Black PR41B",Wood
4211,3.7,6.47,7.76,0.75,"3/4"" x 1-1/4"" Square Cap Satin Black",Wood
4212,2.88,5.18,6.22,0.75,"3/4"" x 1-1/4"" Square Cap White",Wood
4213,4.06,7.1,8.52,0.75,"3/4"" x 1-1/4"" Square Cap Silver",Wood
4214,4.02,7.03,8.44,0.75,"3/4"" x 1-1/4"" Square Cap Coffee Brown",Wood
4215,2.52,4.79,5.75,0.81,"13/16"" x 1/2"" Square Cap Silver Smooth",Wood
4273,10.35,16.58,19.9,1.19,"1-3/16"" x 3-3/4"" x 3-1/4"" Matte Black Tall Cap",Wood
4306,4.27,7.25,8.7,1.57,"1-9/16"" x 1-5/16"" Cap Matte Black",Wood
4322,4.02,6.83,8.2,0.63,"5/8"" x 1-3/4"" Square Cap White",Wood
4331,3.54,6.19,7.43,0.75,"3/4"" Pewter",Wood
4332,3.54,6.19,7.43,0.75,"3/4"" Light Gold",Wood
4333,3.54,6.19,7.43,0.75,"3/4"" Sterling Silver",Wood
4334,3.69,6.45,7.74,0.75,"3/4"" Bronze",Wood
4335,3.69,6.45,7.74,0.75,"3/4"" Champagne",Wood
4336,3.69,6.45,7.74,0.75,"3/4"" Dirty Silver",Wood
4337,3.69,6.45,7.74,0.75,"3/4"" Shaded Silver",Wood
4381,7.28,11.65,13.98,1.75,"3/8"" x 2-5/8 x 2-1/8"" Matte Black Floater",Wood
4382,8.56,13.7,16.44,1.75,"3/8"" x 2-5/8 x 2-1/8"" Soft Silver Floater",Wood
4383,8.56,13.7,16.44,1.75,"3/8"" x 2-5/8 x 2-1/8"" Gold Floater",Wood
4385,8.56,13.7,16.44,1.75,"3/8"" x 2-5/8 x 2-1/8"" Light Maple Floater",Wood
4386,9.89,15.82,18.98,1.75,"3/8"" x 2-5/8 x 2-1/8"" Lacquer Black Floater",Wood
4387,7.28,11.65,13.98,1.75,"3/8"" x 2-5/8 x 2-1/8"" White Floater",Wood
4388,9.89,15.82,18.98,1.75,"3/8"" x 2-5/8 x 2-1/8"" Lacquer White Floater",Wood
4389,8.94,14.31,17.17,1.75,"3/8"" x 2-5/8 x 2-1/8"" Shiny Silver Floater",Wood
4500,3.69,6.45,7.74,0.88,"7/8"" Matte Black Sloped Cap",Wood
4501,2.97,5.49,6.59,1.31,"1-5/16"" Rounded Cap Matte Black",Wood
4505,2.29,4.46,5.35,1,"1"" Matte Black Rounded",Wood
4506,7.32,12.07,14.48,2.13,"2-1/8"" Shiny Black Lacquer Rounded Rev.",Wood
4507,5.48,9.03,10.84,2.13,"2-1/8"" Matte Black Rounded Reverse",Wood
4508,5.62,9.28,11.14,2.13,"2-1/8"" Mahogany Rounded Reverse",Wood
4509,5.71,9.42,11.3,2.51,"2-1/2"" Matte Black Reverse",Wood
4561,4.83,7.72,9.26,1.65,"1-5/8"" Matte Black Scoop w/Beads",Wood
4562,3.11,5.6,6.72,0.75,"3/4"" Cap w/Diamond Lip Matte Blk",Wood
4600,4.53,7.48,8.98,1.75,"1-3/4"" Matte Black Angle Scoop",Wood
4601,3.08,5.54,6.65,1.31,"1-5/16"" Small Wave Matte Black",Wood
4602,6.64,10.96,13.15,2.5,"2-1/2"" Matte Black Big Wave",Wood
4603,3.17,5.93,7.12,0.88,"7/8"" Wedge Matte Black",Wood
4650,3.32,6.12,7.34,1.38,"1-1/2"" Stair Step Reverse Matte Black",Wood
4651,4.2,7.63,9.16,1.38,"2"" Stair Step Reverse Matte Black",Wood
4700,3.31,5.8,6.96,1.25,"1-1/4"" Matte Black w/ Flat panel",Wood
4701,3.14,5.89,7.07,0.63,"5/8"" x 1-1/2"" Cap Matte Black",Wood
4712,3.14,5.89,7.07,0.63,"5/8"" x 1-1/2"" Cap White",Wood
4715,4.18,7.21,8.65,0.63,"5/8"" x 1-1/2"" Maple Veneer",Wood
4781,6.25,10,12,0.75,"3/8"" x1-15/16""H x1-9/16"" R Matte Black",Wood
4782,7.38,11.8,14.16,1.58,"3/8"" Top x1-15/16""H x1-9/16"" R Soft Silver",Wood
4787,6.25,10,12,1.58,"3/8"" x 1-15/16"" x 1-9/16"" R Matte White Floater",Wood
4789,7.94,12.71,15.25,1.58,"3/8""Top x1-15/16""H x1-9/16""R Shiny Silver Leaf",Wood
4800,2.04,3.87,4.64,0.5,"3/16"" Fillet Square Lip Matte Black -5C",Fillet
4801,2.04,3.87,4.64,0.5,Fillet Scoop Matte Black,Fillet
4802,2.04,3.87,4.64,0.5,Fillet Mahogany Scoop,Fillet
4803,2.04,3.87,4.64,0.5,Fillet Walnut Scoop,Fillet
4804,2.04,3.87,4.64,0.5,Fillet Graphite Scoop,Fillet
4805,2.04,3.87,4.64,0.5,Fillet Light Walnut w/Gold Bead -5C,Fillet
4806,2.04,4.24,5.09,0.5,Fillet Light Walnut w/Silver Bead,Fillet
4807,2.04,3.87,4.64,0.5,Fillet Walnut w/Dark Bead,Fillet
4808,2.04,3.87,4.64,0.25,"1/8"" Fillet Square Matte Black",Fillet
4901,4.44,7.87,9.44,1,"1"" x 1-7/8"" Cap Matte Black",Wood
4912,4.44,7.87,9.44,1,"1"" x 1-7/8"" Cap White",Wood
5004,3.03,5.34,6.41,0.75,"3/4"" Antique Ribbed Silver Black Back Wedge",Wood
5012,5.03,8.25,9.9,1.13,"1-1/8"" Antique Ribbed Silver Black Back Wedge",Wood
5112,10.02,15.04,18.05,2.75,"<GG> 2-3/4"" Antique Mahogany w/Gold Embossed Lip",Wood
5120,4.41,6.62,7.94,1.5,"<GG> 1-1/2"" Antique White w/Gold Embossed Reverse",Wood
5121,6.92,10.38,12.46,2,"<GG> 2"" Antique White w/Gold Double Embossed Reverse",Wood
5231,6.92,10.38,12.46,2,"<GG> 2"" Antique Walnut w/Embossed Gold Lip",Wood
5232,10.02,15.04,18.05,2.75,"<GG> 2-3/4"" Antique Walnut w/Embossed Gold Lip",Wood
5300,6.92,10.38,12.46,2.06,"<GG> 2"" Mahogany w/Gold Embossed",Wood
5301,9.91,14.86,17.83,2.75,"<GG> 2 3/4"" Mahogany w/Gold Double Embossed",Wood
5302,5.26,7.89,9.47,1.5,"<GG> 1 1/2"" Mahogany w/Gold Lip-Cap",Wood
5401,2.77,4.98,5.98,1.38,"<GG> 1-3/8"" Distressed Reddish Brown - Ribbed",Wood
5403,2.77,4.98,5.98,1.38,"<GG> 1-3/8"" Distressed Walnut - Ribbed",Wood
5405,2.77,4.98,5.98,1.38,"<GG> 1-3/8"" Distressed Antique White - Ribbed",Wood
5411,3.85,6.55,7.86,2.38,"<GG> 2-3/8"" Dist. Reddish Brown - Ribbed -14A, 4D",Wood
5412,3.85,6.55,7.86,2.38,"<GG> 2-3/8"" Distressed Olive - Ribbed",Wood
5415,3.85,6.55,7.86,2.38,"<GG> 2-3/8"" Distressed White - Ribbed",Wood
5450,4.46,7.14,8.57,2.38,"<GG> 2-3/8"" Honey on Pine Reverse",Wood
5560,4.41,6.62,7.94,1.5,"<GG> 1-1/2"" White w/Silver Embossed Reverse",Wood
5561,6.92,10.38,12.46,2,"<GG> 2"" White w/Silver Double Embossed Reverse",Wood
5562,10.64,15.96,19.15,3.25,"<GG> 3 -1/4"" White w/Silver Double Embossed Reverse",Wood
5600,2.16,4.09,4.91,0.75,Fillet Antique Gold Embossed,Fillet
5601,2.16,4.09,4.91,0.75,Fillet Antique Silver Embossed,Fillet
5653,14.83,25.21,30.25,3.88,"<GG> 3-7/8"" Mahogany w/Antique Silver Leaf Panel -1-D",Wood
5655,9.12,14.59,17.51,3.88,"3-7/8"" Antique White w/Silver Leaf Panel",Wood
5665,16.75,24.29,29.15,4,"4"" Antique Blk w/Broken Silver Leaf -1-C",Wood
5666,5.34,8.37,10.04,1.75,"1-3/4"" Antique Black w/Broken Silv Leaf - 1-D",Wood
5667,16.75,24.29,29.15,4,"<GG> 4"" Antique Mahog w/Broken Silv Leaf -D-2",Wood
5668,5.34,8.37,10.04,1.75,"1-3/4"" Antique Mahog w/Broken Sil Leaf - D-2",Wood
5669,16.75,24.29,29.15,4,"4"" Antique Mahogany w/Broken Gold Leaf - 1-C 9'.10""",Wood
5670,5.34,8.37,10.04,1.75,"1-3/4"" Antique Mahog w/Broken Gold Leaf -D-2",Wood
5671,13.2,20.46,24.55,4,"4"" Antique Taupe w/Black Highlights 1-C",Wood
5672,4.85,7.61,9.13,1.75,"<GG> 1-3/4"" Antique Taupe w/Black Highlight - 1-D",Wood
5673,13.2,20.46,24.55,4,"4"" Antique Taupe w/Pecan Highlight -1C",Wood
5674,4.85,7.61,9.13,1.75,"<GG> 1-3/4"" Antique Taupe w/Pecan Wash -1-D",Wood
5676,5.34,8.37,10.04,1.75,"<GG> 1-3/4"" Antique Black w/Broken Gold Leaf - 1-D",Wood
5677,4.85,7.61,9.13,1.75,"<GG> 1-3/4"" Antique Taupe w/Sienna Highlight - D-2",Wood
5678,4.85,7.61,9.13,1.75,"<GG> 1-3/4"" Antique Taupe w/Rose Highlight - D-2",Wood
5679,4.85,7.61,9.13,1.75,"1-3/4"" Antique Taupe w/Green Highlight -D-2",Wood
5680,16.75,24.29,29.15,4,"4"" Antique Black w/Broken Gold Leaf",Wood
5755,3.41,5.46,6.55,1.38,"<GG> 1-3/8"" Antique Mustard w/Green Wave",Wood
5757,3.41,5.46,6.55,1.38,"<GG> 1-3/8"" Antique Honey Wave",Wood
5774,6.83,10.24,12.29,2,"<GG> 2"" Antique Mustard w/Brown Wave",Wood
5775,6.83,10.24,12.29,2,"<GG> 2"" Antique Mustard w/Green Wave",Wood
5777,6.83,10.24,12.29,2,"<GG> 2"" Antique Honey Wave",Wood
5784,7.52,11.66,13.99,2.75,"<GG> 2-3/4"" Antique Mustard w/Brown Wave- 11C",Wood
5787,7.52,11.66,13.99,2.75,"<GG> 2-3/4"" Antique Honey Wave - 11C",Wood
5800,10.43,15.65,18.78,3.25,"<GG> 3-1/4"" Antique Brown w/Gold Embossed-Flat",Wood
5801,10.43,15.65,18.78,3.25,"<GG> 3-1/4"" Antique Mahogany w/Gold Embossed-Flat",Wood
5900,6.36,9.85,11.82,2.06,"<GG> 2"" Black w/Gold Double Embossed",Wood
5901,9.11,13.66,16.39,2.75,"2-3/4"" Black w/Gold Double Embossed",Wood
5902,4.83,7.48,8.98,1.5,"<GG> 1-1/2"" Black w/Gold Lip-Cap",Wood
5920,6.36,9.85,11.82,2.06,"<GG> 2"" Black w/Silver Double Embossed - 1D",Wood
5921,9.11,13.66,16.39,2.75,"2-3/4"" Black w/Silver Double Embossed",Wood
5940,6.36,9.85,11.82,2.06,"2"" Walnut w/Gold Double Embossed",Wood
5941,9.11,13.66,16.39,2.75,"<GG> 2-3/4"" Walnut w/Gold Double Embossed",Wood
6006-801,9.63,16.06,19.27,1.5,"1-1/2"" Voyager Satin Gold",Wood
6006-802,9.63,16.06,19.27,1.5,"1-1/2"" Voyager Satin Aluminum",Wood
6006-803,9.63,16.06,19.27,1.5,"1-1/2"" Voyager Satin Gray Steel",Wood
6006-804,9.63,16.06,19.27,1.5,"1-1/2"" Voyager Satin Bronze",Wood
6006-805,9.63,16.06,19.27,1.5,"1-1/2"" Voyager Satin Rose Gold",Wood
6007-46,9.55,15.27,18.32,0.75,"3/4"" Alluminio Matrix",Wood
6007-464,9.78,15.65,18.78,,"3/4"" Gold Leaf Walnut",Wood
6007-465,9.78,15.65,18.78,,"3/4"" Silver Leaf Walnut",Wood
6007-47,9.55,15.27,18.32,0.75,"3/4"" Cromo Matrix",Wood
6007-56,9.55,15.27,18.32,0.75,"3/4"" Gold Matrix",Wood
6007-58,9.55,15.27,18.32,0.75,"3/4"" Bronzo Matrix",Wood
6007-801,7.55,12.08,14.5,0.75,"3/4"" Voyager Satin Gold",Wood
6007-802,7.55,12.08,14.5,0.75,"3/4"" Voyager Satin Aluminum",Wood
6007-803,7.55,12.08,14.5,0.75,"3/4"" Voyager Satin Gray Steel",Wood
6007-804,7.55,12.08,14.5,0.75,"3/4"" Voyager Satin Bronze",Wood
6007-805,7.55,12.08,14.5,0.75,"3/4"" Voyager Satin Rose Gold",Wood
6008-464,7.93,12.69,15.23,,"3/4"" Gold Leaf Walnut",Wood
6008-465,7.93,12.69,15.23,,"3/4"" Silver Leaf Walnut",Wood
6011-463,9.03,14.45,17.34,,"3/4"" Vertex Walnut",Wood
6011-464,12.05,19.28,23.14,,"3/4"" Vertex Walnut w/Gold Leaf",Wood
6011-465,12.05,19.28,23.14,,"3/4"" Vertex Walnut w/Silver Leaf",Wood
6012-1742,6.95,11.46,13.75,,"9/16"" Lemon Lime Pastel",Wood
6012-1743,6.95,11.46,13.75,,"9/16"" Mint Blue Pastel",Wood
6012-1744,6.95,11.46,13.75,,"9/16"" Peach Fuzz Pastel",Wood
6012-1745,6.95,11.46,13.75,,"9/16"" Sweet Honey Pastel",Wood
6013-46,14.7,22.63,27.16,2.88,"2-7/8"" Liquid Mirror",Wood
6013-47,14.7,22.63,27.16,2.88,"2-7/8"" Liquid Mirror Smoke",Wood
6036-463,10.99,17.58,21.1,,"3/16"" Svelte Walnut Floater",Wood
6036-464,12.8,20.48,24.58,,"3/16"" Svelte Walnut w/Gold Floater",Wood
6036-465,12.8,20.48,24.58,,"3/16"" Svelte Walnut w/Silver Floater",Wood
6208-843,6.14,9.82,11.78,0.88,"7/8"" Gold w/Beaded Lip",Wood
6208-844,6.14,9.82,11.78,0.88,"7/8"" Silver w/Beaded Lip",Wood
6208-845,6.14,9.82,11.78,0.88,"7/8"" Brown w/Gold Beaded Lip",Wood
6208-847,6.14,9.82,11.78,0.88,"7/8"" Black w/Gold Beaded Lip",Wood
6208-848,6.14,9.82,11.78,0.88,"7/8"" Black w/Silver Beaded Lip",Wood
6208-849,6.14,9.82,11.78,0.88,"7/8"" Antique White w/Gold Beaded Lip",Wood
6208-850,6.14,9.82,11.78,0.88,"7/8"" Antique White w/Silver Beaded Lip",Wood
7201,9.17,14.67,17.6,1.88,"1-3/4"" x 2-1/2"" Square Cap Matte Black",Wood
7212,9.17,14.67,17.6,1.88,"1-3/4"" x 2-1/2"" Square Cap White",Wood
7213,10.8,17.25,20.7,1.88,"1-3/4"" x 2-1/2"" Square Cap Silver",Wood
7214,10,16.49,19.79,1.88,"1-3/4"" x 2-1/2"" Square Cap Coffee Brown",Wood
7711,3.73,6.52,7.82,1.19,"1-3/16"" Black Metalline",Wood
7713,3.73,6.52,7.82,1.19,"1-3/16"" Gunmetal W/ Black Lip",Wood
8152,2.31,3.81,4.57,1.25,"<GG> 1-1/4"" x 1"" x 1/2"" plum leaf pattern",Wood
8251,3.12,5.15,6.18,1,"<GG> 1"" Smooth Silv Dome Cap 1-3/4"" Rabbit- B-2",Wood
8261,3.43,5.65,6.78,1.38,"<GG> 1-3/8"" Antique Silver Cap 1"" Rabbit -22A",Wood
8268,3.07,5.21,6.25,1,"<GG> 1"" Black Cap w/Silver Bead 1 1/4"" Rabbit -1B",Wood
8281,3.91,6.63,7.96,2.63,"<GG> 2-5/8"" Antique Silver Rope Reverse -13A, 14A",Wood
8321,2.5,4.37,5.24,1.25,"<GG> 1-1/4"" Silver w/Beaded Lip Scoop -6A",Wood
8350,3.83,6.13,7.36,2.31,"<GG> 2-5/16"" Soft Silver Flat Profile w/Beaded Lip",Wood
8358,2.93,4.97,5.96,1.38,"<GG> 1-3/8"" Distressed Wood w/Silver Lip - 2D",Wood
8430,2.02,3.44,4.13,1,"<GG> 1"" Gold Cap -22A",Wood
8440,2.78,4.73,5.68,1.5,"<GG> 1-1/2"" Plum w/Antique Silver Panel -2A",Wood
8450,7.77,12.42,14.9,4.75,"<GG> W4 -3/4"" h2"" r1 1/4"" Gold Leaf Reverse - 7B",Wood
8501,5.57,8.9,10.68,2.88,"2-7/8"" Antique Black Imperial Reverse -9C",Wood
8651,1.65,3.05,3.66,0.75,"<GG> 3/4"" Silver Flower Traditional -1-B",Wood
8652,1.65,3.05,3.66,0.75,"<GG> 3/4"" Plum Flower Traditional",Wood
8702,1.76,3.17,3.8,0.75,"<GG> 3/4"" Matte Black Big Bead -9C",Wood
8851,2.52,4.24,5.09,1.25,"1-1/4"" Pewter Scoop Beaded Lip -1-B",Wood
8877,4.95,7.92,9.5,2.5,"<GG> 2-1/2"" Gold w/Red Beaded Lip Trad. -5A",Wood
8891,6.77,10.82,12.98,3.25,"3-1/4"" Antique Silver w/Black Panel Rev -4C",Wood
8893,6.77,10.82,12.98,3.25,"<GG> 3-1/4"" Antique Silver w/Smooth Pan Rev - 7C",Wood
8894,6.77,10.82,12.98,3.25,"3-1/4"" Soft Gold w/Smooth Panel Reverse",Wood
8902,2.42,4.25,5.1,0.88,"<GG> 7/8"" Khaki Ribbed -1-B",Wood
8991,2.17,3.89,4.67,1.38,"<GG> 1-3/8"" Soft Gold Rope Reverse -13B, 22C",Wood
8993,2.17,3.89,4.67,1.38,"<GG> 1-3/8"" Gold w/Brown Panel Rope Reverse -22A",Wood
9501,3.49,5.75,6.9,2.38,"<GG> 2-3/8"" Antique Gold Reverse -B-2",Wood
9821,1.88,3.01,3.61,1.25,"<GG> 1-1/4"" Purple/Violet",Wood
9822,1.88,3.01,3.61,1.25,"<GG> 1-1/4"" Kelly Green",Wood
9823,1.88,3.01,3.61,1.25,"<GG> 1-1/4"" Sky Blue",Wood
9828,1.88,3.01,3.61,1.25,"<GG> 1-1/4"" Barn Red",Wood
10841,5.1,8.42,10.1,2.63,"<GG> 2 5/8"" Antique Black Beaded Reverse - 7C",Wood
15002,1.39,2.59,3.11,0.5,Small Silver Twist Fillet,Fillet
15006,1.39,2.59,3.11,0.5,Medium Silver Twist Fillet,Fillet
15008,1.39,2.59,3.11,0.5,Large Silver Twist Fillet -5C,Fillet
15101,1.39,2.59,3.11,0.5,Silver Small Bead Fillet,Fillet
15106,1.39,2.59,3.11,0.5,Big Silver Bead Fillet,Fillet
15200,1.39,2.59,3.11,0.5,Gold Lamb's Tongue Fillet,Fillet
15201,1.39,2.59,3.11,0.5,Silver Lamb's Tongue Fillet,Fillet
15203,1.39,2.59,3.11,0.5,Silver Fleur De Leaf Fillet,Fillet
15321,1.39,2.59,3.11,0.5,Fillet Fluted Gold,Fillet
15322,1.39,2.59,3.11,0.5,Fillet Fluted Silver,Fillet
43005,4.02,7.02,8.42,1.25,"1-1/4"" Mahogany Oval Top",Wood
43006,4.02,7.02,8.42,1.25,"1-1/4"" Walnut Oval Top",Wood
43007,4.37,7.37,8.84,1.5,"1-1/2"" Mahogany Step test",Wood
43008,4.37,7.37,8.84,1.5,"1-1/2"" Walnut Reverse Step",Wood
43011,6.57,10.51,12.61,2.38,"2-3/8"" Reverse Mahogany",Wood
43012,6.57,10.51,12.61,2.38,"2-3/8"" Reverse Walnut",Wood
43014,4.74,7.7,9.24,2.25,"2-1/4"" Two Toned Mahogany",Wood
43017,6.29,10.07,12.08,2.5,"2-1/2"" Mahogany",Wood
43018,6.29,10.07,12.08,2.5,"2-1/2"" Walnut",Wood
43019,6.04,9.66,11.59,2.5,"2-1/2"" Matte Black",Wood
43021,5.41,8.73,10.48,2.56,"2-9/16"" Espresso",Wood
44870,7.48,11.97,14.36,1.13,"1-1/8"" Bleached Natural Italy",Wood
44872,7.48,11.97,14.36,1.13,"1-1/8"" Bleached Rose Italy",Wood
44874,7.48,11.97,14.36,1.13,"1-1/8"" Bleached Green Italy",Wood
45416,6.34,10.13,12.16,2,"2"" Two Toned Mahogany",Wood
45508,7.03,11.24,13.49,2,"2"" Mahogany Reverse Step",Wood
45509,7.03,11.24,13.49,2,"2"" Walnut Reverse Step",Wood
53721,7.25,11.59,13.91,1.06,"1-1/16"" Gold Leaf Hand Finished Italy",Wood
53722,7.25,11.59,13.91,1.06,"1-1/16"" Silver Leaf Hand Finished Italy",Wood
53723,7.25,11.59,13.91,1.06,"1-1/16"" Black Silver Hand Finished Italy",Wood
86830,6.73,10.77,12.92,1.13,"1-1/8"" x 1-11/16"" White Creamy Italy",Wood
86831,6.73,10.77,12.92,1.13,"1-1/8"" x 1-11/16"" Matte Black Italy",Wood
86899,5.59,9.48,11.38,1.13,"1-1/8"" x 1-11/16"" Natural Ayous Italy",Wood
89770,4.27,7.04,8.45,1.88,"1-3/16"" Vintage White Italy",Wood
89773,4.27,7.04,8.45,1.88,"1-3/16"" Vintage Black Italy",Wood
89775,4.27,7.04,8.45,1.88,"1-3/16"" Vintage Dark Gray Italy",Wood
89777,4.27,7.04,8.45,1.88,"1-3/16"" Vintage Chestnut Italy",Wood
222144,4.79,7.66,9.19,1,"1"" Dark Maple Italy",Wood
