ITEM,description,WIDTH,cost,group
C2298,ANTQWHT RAG MUSSOL UNBUF 32X40,32x40,45.14,Matboard
C229848,JET BLACK 32X40 8PL SELECT,32x40,38.55,Matboard
C2299,WHT 4PL RAG 32X40 UNBUFR,32x40,45.13,Matboard
C25700,VIVD WHT 32X40 8PL SELSL,32x40,54.09,Matboard
C25702,WHT 32X40 8PL SEL CNSSLD,32x40,54.09,Matboard
C25703,ANTQWHT 32X40 8PL SELSLD,32x40,54.09,Matboard
C25704,CRM 32X40 8PL SEL CNSSLD,32x40,54.09,Matboard
C25706,TAN 32X40 8PL SEL CNSSLD,32x40,54.09,Matboard
C25711,BLK 32X40 8PL SEL CNSSLD,32x40,48.23,Matboard
C25712,CLOUD GRY32X40 8PL SEL SLD,32x40,43.37,Matboard
C29301,SELECT ECLIPSE 32X40 6PLY,32x40,59.91,Matboard
C29302,SELECT URBAN MOON  32X40 6PLY,32x40,60.51,Matboard
C29303,SELECT SHADOWFALL  32X40 6PLY,32x40,59.91,Matboard
C29304,SELECT JUNIPER  32X40 6PLY,32x40,59.91,Matboard
C29305,SELECT FERN  32X40 6PLY,32x40,60.51,Matboard
C29306,SELECT CYPRESS    32X40 6PLY,32x40,60.51,Matboard
C29307,SELECT CLAYSTONE  32X40 6PLY,32x40,59.91,Matboard
C29308,SELECT MOSSWOOD   32X40 6PLY,32x40,59.91,Matboard
C29309,SELECT SUNBAKED   32X40 6PLY,32x40,59.91,Matboard
C29500,WHT GLOVE 32X40 6PL SEL,32x40,34.97,Matboard
C29502,WHT SALE 32X40 6PL SELEC,32x40,34.97,Matboard
C29505,WHT WASH 32X40 6PLY SEL,32x40,34.97,Matboard
C29507,WHT ELEPHNT 32X40 6PL SE,32x40,34.97,Matboard
C29599,AFTER DARK 32X40 6PL SEL,32x40,34.97,Matboard
C3290,SNOW WHITE 32X40,32x40,16.44,Matboard
C3291,FRENCH BUFF 32X40,32x40,13.22,Matboard
C3293,ANTIQUE WHITE 32X40,32x40,13.22,Matboard
C3300,ALABASTER FLANNEL 32X40,32x40,13.22,Matboard
C3311,GRANITE FLANNEL 32X40,32x40,13.22,Matboard
C3319,TOPAZ 32X40,32x40,13.22,Matboard
C3320,SAFFRON 32X40,32x40,13.22,Matboard
C3323,REAL TEAL 32X40,32x40,13.22,Matboard
C3326,LAPIS 32X40,32x40,16.44,Matboard
C3331,SAGE 32X40,32x40,13.22,Matboard
C3333,BLACK WATCH 32X40,32x40,13.22,Matboard
C3342,MIDNIGHT GREEN 32X40,32x40,13.22,Matboard
C3343,OFF-WHITE 32X40,32x40,13.22,Matboard
C3352,LT. UMBRIA 32X40,32x40,16.44,Matboard
C3354,WINTER WHITE 32X40,32x40,13.22,Matboard
C3359,SUNDOWN SHADOW 32X40,32x40,13.22,Matboard
C3360,CHINA BLUE 32X40,32x40,13.22,Matboard
C3380,HAY 32X40,32x40,13.22,Matboard
C3387,RATTAN 32X40,32x40,13.22,Matboard
C34.12,WHT/CRM PEBBLE DEC 32X40,32x40,11.35,Matboard
C5400,ETCHED BRUSHED BRASS 32X40 SEL,32x40,35.89,Matboard
C5402,ETCHED GUNMETAL 32X40 SEL,32x40,35.89,Matboard
C5403,ETCHED OILRUB BRNZ32X40SEL,32x40,35.89,Matboard
C5579,ETCHED BLK 32X40 BLK SEL,32x40,37.25,Matboard
C5598,ETCHD BLK 32X40 SEL IMPC,32x40,29.67,Matboard
C5638,NEW B5638    32X40 TILE BLUE,32x40,57.49,Matboard
C5647,CARNATION 32X40 SEL,32x40,25.6,Matboard
C5648,PEONY 32X40 SEL,32x40,25.6,Matboard
C5651,BLUEBIRD 32X40 SEL,32x40,25.6,Matboard
C5700,VIVIDWHT 32X40 SEL CNSSL,32x40,29.53,Matboard
C5701,ARCTCWHT 32X40 SEL CNSSL,32x40,29.53,Matboard
C5702,WHT 32X40 CRESSEL CNSSLD,32x40,29.53,Matboard
C5703,ANTQWHT 32X40 SEL CNSSLD,32x40,29.53,Matboard
C5704,CREAM 32X40 SEL CNSSLD,32x40,29.53,Matboard
C5705,BUFF 32X40 SEL CNS SEL,32x40,29.53,Matboard
C5706,TAN 32X40 CRESSEL CNSSLD,32x40,29.53,Matboard
C5708,DK BRN 32X40 SEL CNSSLD,32x40,33.31,Matboard
C5709,GRAY 32X40 CRESSEL CNSSL,32x40,33.31,Matboard
C5710,DK GRAY 32X40 SEL CNSSLD,32x40,37.78,Matboard
C5711,BLACK 32X40 SELECT CNSSL,32x40,33.31,Matboard
C5712,32X40 CLOUD GRAY SEL SLD,32x40,29.53,Matboard
C5713,32X40 NEUTRAL GRAY SEL SLD,32x40,37.68,Matboard
C5714,32X40 CLASSIC GRAY SEL SLD,32x40,34.52,Matboard
C61019,PHOTO GREY B.C. 32X40,32x40,17.14,Matboard
C61023,CRIMSOM B.C. 32X40,32x40,21.33,Matboard
C61027,SILVER GRAY B.C. 32X40,32x40,17.14,Matboard
C61029,WHEAT B.C. 32X40,32x40,17.14,Matboard
C61033,DARK ASH B.C. 32X40,32x40,17.14,Matboard
C61038,MAROON B.C. 32X40,32x40,17.14,Matboard
C61073,BISCAY BLUE B.C. 32X40,32x40,17.14,Matboard
C61088,MIST B.C. 32X40,32x40,17.14,Matboard
C63300,ALABASTER BC FLANL 32X40,32x40,17.14,Matboard
C63311,GRANITE BC FLANNEL 32X40,32x40,21.33,Matboard
C63326,LAPIS B.C. 32X40,32x40,17.14,Matboard
C67101,PERLE SUEDE B.C. 32X40,32x40,68.23,Matboard
C67102,DUNE SUEDE B.C. 32X40,32x40,68.23,Matboard
C67111,SHAMRK GRN SUEDE BC 32X4,32x40,68.23,Matboard
C67112,BORDEAUX SUEDE BC 32X40,32x40,68.23,Matboard
C67113,MARINE BLU SUEDE BC 32X40,32x40,68.94,Matboard
C67114,CARBON BLK SUEDE BC 32X4,32x40,86,Matboard
C67139,ANTHRACITE SUEDE BC 32X4,32x40,68.23,Matboard
C6915,FOG B.C. FLANNEL 32X40,32x40,17.14,Matboard
C7100,MOUTARDE MOORMAN 32X40,32x40,86,Matboard
C7101,PERLE MOORMAN 32X40,32x40,86,Matboard
C7102,DUNE MOORMAN 32X40,32x40,68.26,Matboard
C7104,CHAMOIS MOORMAN 32X40,32x40,68.26,Matboard
C7105,DARK RUST MOORMAN 32X40,32x40,68.94,Matboard
C7106,ANTELOPE MOORMAN 32X40,32x40,86,Matboard
C7109,TAUPE MOORMAN 32X40,32x40,68.26,Matboard
C7111,SHAMRK GRN MOORMAN 32X40,32x40,68.94,Matboard
C7112,MOORMAN BORDEAUX 32X40,32x40,68.26,Matboard
C7113,MARINE BLUE MOORMAN 32X4,32x40,86.35,Matboard
C7114,CARBON BLK MOORMAN 32X40,32x40,86,Matboard
C7115,MOKA MOORMAN 32X40,32x40,68.26,Matboard
C7116,CHINESE RED MOORMAN 32X4,32x40,68.26,Matboard
C7120,POLARIS MOORMAN 32X40,32x40,68.94,Matboard
C7128,OFF WHITE MOORMAN 32X40,32x40,87.42,Matboard
C7132,WHISPER MOORMAN 32X40,32x40,68.94,Matboard
C7133,DUSTY GREEN MOORMAN 32X4,32x40,68.26,Matboard
C7134,ASPARAGUS MOORMAN 32X40,32x40,86,Matboard
C7135,PINE GRN MRM SUEDE 32X40,32x40,68.26,Matboard
C7136,LE BEIGE MOORMAN 32X40,32x40,68.26,Matboard
C7139,ANTHRACITE MOORMAN 32X40,32x40,86,Matboard
C7140,WEESP BLUE MOORMAN 32X40,32x40,86,Matboard
C7141,PLATINUM MOORMAN 32X40,32x40,86,Matboard
C7155,WILDGRASS MOORMAN 32X40,32x40,68.94,Matboard
C7156,SUMMER SKY MOORMAN 32X40,32x40,86,Matboard
C7157,CATTAIL MOORMAN 32X40,32x40,68.26,Matboard
C7158,STORM GRAY MOORMAN 32X40,32x40,86,Matboard
C7159,COTTAGE STONE MRMAN 32X4,32x40,68.26,Matboard
C7160,EMBER MOORMAN 32X40,32x40,68.94,Matboard
C7162,REED MOORMAN 32X40,32x40,68.94,Matboard
C7163,RATTAN MOORMAN 32X40,32x40,68.26,Matboard
C7164,MEADOW MOORMAN 32X40,32x40,68.94,Matboard
C7165,EVERGREEN MOORMAN 32X40,32x40,68.26,Matboard
C7166,NAVY MOORMAN 32X40,32x40,68.26,Matboard
C7167,BOULDER MOORMAN 32X40,32x40,68.26,Matboard
C7168,GRAPHITE MOORMAN 32X40,32x40,68.94,Matboard
C7180,WHITE MOORMAN 32X40,32x40,68.94,Matboard
C7181,SUNSET MOORMAN 32X40,32x40,68.94,Matboard
C7182,BRONZE MOORMAN 32X40,32x40,86,Matboard
C7183,MOCCASIN MOORMAN 32X40,32x40,86,Matboard
C7184,CINNAMON MOORMAN 32X40,32x40,68.26,Matboard
C7185,CHAMBORD MOORMAN 32X40,32x40,86,Matboard
C7186,FR LAVENDER MOORMAN 32X4,32x40,86,Matboard
C7187,CELESTIAL MOORMAN 32X40,32x40,86,Matboard
C7188,MERCURY MOORMAN 32X40,32x40,86,Matboard
C7190,OLIVE MOORMAN 32X40,32x40,86,Matboard
C7191,PFALZGRAFF MOORMAN 32X40,32x40,68.26,Matboard
C7194,GARNET SUEDE 32X40,32x40,86,Matboard
C7195,SAPPHIRE SUEDE 32X40,32x40,68.94,Matboard
C7196,TEAL SUEDE 32X40,32x40,86,Matboard
C7199,SPRUCE SUEDE 32X40,32x40,68.94,Matboard
C7310,32X40 ICICLE MRM LINEN,32x40,136.44,Matboard
C7311,32X40 GOLD MOON MRM LINEN,32x40,136.44,Matboard
C7312,32X40 MINT JULEP MRM LINEN,32x40,136.44,Matboard
C7314,32X40 STARDUST MRM LINEN,32x40,136.44,Matboard
C7315,32X40 BLUE GALAXY MRM LINE,32x40,136.44,Matboard
C7501,VINK TWEED MOORMAN 32X40,32x40,58.58,Matboard
C7513,FOREST GRN MOORMAN 32X40,32x40,59.17,Matboard
C7519,WHITE MOORMAN 32X40,32x40,73.81,Matboard
C7520,MEDIUM GRAY MOORMAN 32X4,32x40,58.58,Matboard
C7521,BLUE GRAY MOORMAN 32X40,32x40,73.81,Matboard
C7526,CREAM MOORMAN 32X40,32x40,58.58,Matboard
C7531,LIGHT GRAY MOORMAN 32X40,32x40,58.58,Matboard
C7533,MEDIUM BLUE MOORMAN 32X4,32x40,73.81,Matboard
C7536,BLUE GREEN MOORMAN 32X40,32x40,59.17,Matboard
C7537,LIGHT MOSS MOORMAN 32X40,32x40,58.58,Matboard
C7540,LIGHT BEIGE MOORMAN 32X4,32x40,73.81,Matboard
C7541,SILVER GRAY MOORMAN 32X4,32x40,73.81,Matboard
C7542,32X40 RED CARPET MRM LINEN,32x40,73.8,Matboard
C7543,DARK MAUVE MOORMAN 32X40,32x40,59.17,Matboard
C7548,32X40 TRUE BLUE MRM LINEN,32x40,58.58,Matboard
C7549,32X40 JASPER BRN MRM LINEN,32x40,59.17,Matboard
C7550,SMOKEY HILL MOORMAN 32X4,32x40,73.81,Matboard
C7551,FLAX MOORMAN 32X40,32x40,73.81,Matboard
C7553,EDELWEISS MOORMAN 32X40,32x40,73.81,Matboard
C7554,NORTH SEA MOORMAN 32X40,32x40,59.17,Matboard
C7556,32X40 DUTCH CHOC MRM LINEN,32x40,73.81,Matboard
C7557,32X40 TOPIARY MRM LINEN,32x40,73.81,Matboard
C7560,BASQUE MOORMAN 32X40,32x40,59.17,Matboard
C7564,MAROON MOORMAN 32X40,32x40,59.17,Matboard
C7565,VINTGE RUBY MOORMAN 32X4,32x40,58.58,Matboard
C7566,AMETHYST MOORMAN 32X40,32x40,58.58,Matboard
C7567,MARINE BLUE MOORMAN 32X4,32x40,59.17,Matboard
C7569,LODEN GREEN MOORMAN 32X4,32x40,73.81,Matboard
C7572,32X40 WORN GRAY MRM LINEN,32x40,58.58,Matboard
C7573,32X40 BRINDLE BRN MRMLINEN,32x40,58.58,Matboard
C7580,BURGUNDY LINEN 32X40,32x40,73.81,Matboard
C7581,JEWEL BLUE 32X40,32x40,73.81,Matboard
C7582,LOTUS LINEN MOORMAN 32X4,32x40,59.17,Matboard
C7583,SCROLL LINEN MORMAN 32X4,32x40,58.58,Matboard
C7584,HAVANA LINEN MORMAN 32X4,32x40,58.58,Matboard
C7586,SUMI LINEN MOORMAN 32X40,32x40,59.17,Matboard
C7588,KHAKI LINEN MOORMAN 32X4,32x40,73.81,Matboard
C7597,OFF WHITE MOORMAN 32X40,32x40,73.81,Matboard
C7700,WARM WHITE MOORMAN 32X40,32x40,102.14,Matboard
C7701,CANVAS MOORMAN 32X40,32x40,81.89,Matboard
C7702,PARCHMENT MOORMAN 32X40,32x40,102.14,Matboard
C7703,WILLOW MOORMAN 32X40,32x40,102.14,Matboard
C7704,LAGOON MOORMAN 32X40,32x40,102.14,Matboard
C7705,STONE MOORMAN 32X40,32x40,102.14,Matboard
