Item,Description,Price,FortybySixty
C85706,TAN CONSERVATION SOLIDS 40 X 60,47.74,
C85711,DEEP BLACK CONSERVATION SOLIDS40X60,53.94,
C85712,CLOUD GRAY 40 X 60,47.74,
C85713,NEUTRAL GRAY 40 X 60,47.74,
C85714,CLASSIC GRAY 40 X 60,53.94,
C85853,EBONY SHIMMER 40 X 60 BT,121.52,
C86989,RAVEN BLACK BLACK CORE 40 X 60,32.27,
C87100,MOUTARDE SUEDE 40 X 60,107.81,
C87101,PERLE SUEDE 40 X 60,107.81,
C87102,DUNE SUEDE 40 X 60,107.81,
C87104,CHAMOIS SUEDE 40 X 60,107.81,
C87105,DARK RUST SUEDE 40 X 60,107.81,
C87106,ANTELOPE SUEDE 40 X 60,107.81,
C87109,TAUPE SUEDE 40 X 60,107.81,
C87111,SHAMROCK GREEN SUEDE 40 X 60,107.81,
C87112,BORDEAUX SUEDE 40 X 60,107.81,
C87113,MARINE BLUE SUEDE 40 X 60,107.81,
C87114,CARBON BLACK SUEDE 40 X 60,107.81,
C87115,MOKA SUEDE 40 X 60,107.81,
C87116,CHINESE RED SUEDE 40 X 60,107.81,
C87120,POLARIS SUEDE 40 X 60,107.81,
C87127,MILKWEED SUEDE 40 X 60,107.81,
C87128,OFF WHITE SUEDE 40 X 60,107.81,
C87132,WHISPER SUEDE 40 X 60,107.81,
C87133,DUSTY GREEN SUEDE 40 X 60,107.81,
C87134,ASPARAGUS SUEDE 40 X 60,107.81,
C87135,PINE GREEN SUEDE 40 X 60,107.81,
C87136,LE BEIGE SUEDE 40 X 60,107.81,
C87139,ANTHRACITE SUEDE 40 X 60,107.81,
C87141,PLATINUM SUEDE 40 X 60,107.81,
C87154,MARIGOLD SUEDE 40 X 60,107.81,
C87155,WILDGRASS SUEDE 40 X 60,107.81,
C87157,CATTAIL SUEDE 40 X 60,107.81,
C87158,STORM GRAY SUEDE 40 X 60,107.81,
C87163,RATTAN SUEDE 40 X 60,107.81,
C87164,MEADOW SUEDE 40 X 60,107.81,
C87166,NAVY SUEDE 40 X 60,107.81,
C87168,GRAPHITE SUEDE 40 X 60,107.81,
C87180,WHITE SUEDE 40 X 60,107.81,
C87182,BRONZE SUEDE 40 X 60,107.81,
C87183,MOCCASIN SUEDE 40 X 60,107.81,
C87184,CINNAMON SUEDE 40 X 60,107.81,
C87185,CHAMBORD SUEDE 40 X 60,107.81,
C87188,MERCURY SUEDE 40 X 60,107.81,
C87190,OLIVE SUEDE 40 X 60,107.81,
C87191,PFALZGRAFF SUEDE 40 X 60,107.81,
C87193,TUMBLEWEED SUEDE 40 X 60,107.81,
C87195,SAPPHIRE SUEDE 40 X 60,107.81,
C87199,SPRUCE SUEDE 40 X 60,107.81,
C87501,VINK TWEED LINEN 40 X 60,104.7,
C87513,FOREST GREEN LINEN 40 X 60,104.7,
C87519,WHITE LINEN 40 X 60,104.7,
C87522,BLACK LINEN 40 X 60,104.7,
C87526,CREAM LINEN 40 X 60,104.7,
C87540,LIGHT BEIGE LINEN 40 X 60,104.7,
C87541,SILVER GRAY LINEN 40 X 60,104.7,
C87542,RED CARPET LINENS 40 X 60,104.7,
C87548,TRUE BLUE LINENS 40 X 60,104.7,
C87549,JASPER BROWN LINENS 40 X 60,104.7,
C87550,SMOKEY HILL LINEN 40 X 60,104.7,
C87551,FLAX LINEN 40 X 60,104.7,
C87553,EDELWEISS LINEN 40 X 60,104.7,
C87554,NORTH SEA LINEN 40 X 60,104.7,
C87556,DUTCH CHOCOLATE LINENS 40 X 60,104.7,
C87557,TOPIARY LINENS 40 X 60,104.7,
C87560,BASQUE LINEN 40 X 60,104.7,
C87564,MAROON LINEN 40 X 60,104.7,
C87569,LODEN GREEN LINEN 40 X 60,104.7,
C87572,WORN GRAY LINENS 40 X 60,104.7,
C87580,BURGANDY LINEN 40 X 60,104.7,
C87581,JEWEL BLUE LINEN 40 X 60,104.7,
C87582,LOTUS PACIFIC LINEN 40 X 60,104.7,
C87586,SUMI PACIFIC LINEN 40 X 60,104.7,
C87597,OFF WHITE LINEN 40 X 60,104.7,
C87700,WARM WHITE LINENS 40 X 60,175.08,
C87705,STONE LINENS 40 X 60,175.08,
C87706,HARVEST LINENS 40 X 60,175.08,
C87707,MIDNIGHT LINENS 40 X 60,175.08,
C89500,WHITE GLOVE 40 X 60,37.23,
C89501,WHITE COLLAR 40 X 60,37.23,
C89502,WHITE SALE 40 X 60,37.23,
C89505,WHITE WASH 40 X 60,37.23,
C89506,EGG WHITE 40 X 60,36.89,
C89507,WHITE ELEPHANT 40 X 60,37.23,
C89508,WHITE SANDS 40 X 60,37.23,
C89511,FOSSIL 40 X 60,37.23,
C89514,TOASTY 40 X 60,37.23,
C89516,TUSK 40 X 60,37.23,
C89518,SUMMER 40 X 60,37.23,
C89520,HAYSTACK 40 X 60,37.23,
C89521,GOLD RUSH METALLICS 40 X 60,42.89,
C89574,MAROONED 40 X 60,37.23,
C89527,WISE GREEN 40 X 60,37.23,
C89533,BONSAI 40 X 60,37.23,
C89542,BLUE MONDAY 40 X 60,37.23,
C89552,NYPD 40 X 60,37.23,
C89553,MOODY BLUE 40 X 60,37.23,
C89554,PHARAOH 40 X 60,37.23,
C89591,TOP SOIL 40 X 60,37.23,
C89592,BLIZZARD 40 X 60,37.23,
C89598,BEFORE DARK 40 X 60,37.23,
C89599,AFTER DARK 40 X 60,37.23,
C89601,SANDPAPER 40 X 60,37.23,
C89610,CODE RED 40 X 60,37.23,
C89613,SUPER WHITE 40 X 60,37.23,
C89614,GLOW 40 X 60,37.23,
C89618,TATER 40 X 60,37.23,
C89632,BLACK BELT 40 X 60,37.23,
C89633,MORNING 40 X 60,37.23,
C89634,CLOUDBURST 40 X 60,37.23,
C89635,NIGHTFALL 40 X 60,37.23,
C89800,BAKER'S WHITE 40 X 60 T5928L,37.23,
C89801,CHALK 40 X 60 T1922L,37.23,
C89804,PURE WHITE 40 X 60 T1909L,37.23,
C89806,DOVE 40 X 60 T1930L,37.23,
C89807,OFF WHITE 40 X 60 T1904L,37.23,
C89808,IVORY ART 40 X 60 T1949L,37.23,
C89809,TWILIGHT 40 X 60 T5911L,37.23,
C89812,OLD IVORY 40 X 60 T5912L,37.23,
C89813,SANDSTONE 40 X 60 T5916L,37.23,
C89814,AUTUMN GOLD 40 X 60 T1915L,37.23,
C89820,FOREST GREEN 40 X 60 T1935L,37.23,
C89822,SIERRA OLIVE 40 X 60 T5931L,37.23,
C89826,MOCHA GREEN 40 X 60 T5943L,37.23,
C89827,FLAG BLUE 40 X 60 T5909L,37.23,
C89830,BLUE NIGHT 40 X 60 T5937L,37.23,
C89833,ORANGE ADE 40 X 60 T5951L,37.23,
C89834,RUSSET 40 X 60 T1974L,37.23,
C89837,ALL AMERICAN RED 40 X 60 T5901L,37.23,
C89838,BRICK 40 X 60 T1921L,37.23,
C89839,CABERNET 40 X 60 T5904L,37.23,
C89840,PLUM 40 X 60 T1965L,37.23,
C89846,DARK SHALE 40 X 60 T5939L,37.23,
C89848,JET BLACK 40 X 60 T1953L,37.23,
C89849,ANTWERPEN 40 X 60 T2150L,42.89,
C89850,SILVER 40 X 60 T1998L,42.89,
C89851,GOLD NUGGET 40 X 60 T19102L,42.89,
C89853,BRUXELLES 40 X 60 T2151L,42.89,
C89854,ROSE 40 X 60 T1996L,42.89,
C89855,SPANISH GOLD 40 X 60 T19100L,42.89,
C89856,SUN 40 X 60 T1991L,42.89,
C89861,YORK 40 X 60 T2143L,37.23,
C89865,KENSINGTON 40 X 60 T2119L,37.23,
C89866,PLYMOUTH 40 X 60 T2138L,37.23,
C89870,SILVER STAR METALLICS 40 X 60,42.89,
C89874,RED LINE 40 X 60,37.23,
C89876,MANDARIN ORANGE 40 X 60,37.23,
C89877,MIDNIGHT GREEN 40 X 60,37.23,
C89881,REAL TEAL 40 X 60,37.23,
C89882,CORNFLOWER 40 X 60,37.23,
C89886,DARK PURPLE 40 X 60,37.23,
C89889,DEEP BLUE 40 X 60,37.23,
C89892,DEEP ORANGE 40 X 60,37.23,
C89894,GOLDEN 40 X 60,37.23,
C89899,RED HOT 40 X 60,37.23,
C89901,CHALK 40 X 60 T2322L,50.45,
C89904,PURE WHITE 40 X 60 T2309L,50.45,
C89944,JET BLACK 40 X 60 T2353L,50.45,
C89948,BLACK BELT 40 X 60,50.45,
C821112,8 PLY SOFT WHITE MUSEUM 40 X 60,138.55,
C821115,8 PLY BLACK MUSEUM 40 X 60,205.23,
C821171,SILK 8 PLY RAGMAT MUSUEM SOLID 40X60,138.55,
C821188,8PLY WINTER WHITE RAG/MUS/SOL 40X60,138.55,
C229502,WHITE SALE 8 PLY 32 X 40,31.28,
C8229502,WHITE SALE 8 PLY 40 X 60,66.33,
C229508,WHITE SANDS 8 PLY 32 X 40,31.28,
C8229508,WHITE SANDS 8 PLY 40 X 60,66.33,
C229598,BEFORE DARK 8 PLY 32 X 40,31.28,
C8229598,BEFORE DARK 8 PLY 40 X 60,66.33,
C229613,SUPER WHITE 8 PLY 32 X 40,31.28,
C8229613,SUPER WHITE 8 PLY 40 X 60,66.33,
C229848,JET BLACK 8 PLY 32 X 40,31.28,
C8229848,JET BLACK 8 PLY 40 X 60,66.33,
C825700,8 PLY VIVID WHITE CON. SOLIDS 40X60,86.14,
C825702,8 PLY WHITE CON. SOLIDS 40 X 60,86.14,
C825703,8 PLY ANTIQUE WHITE CON SOLIDS 40X60,86.14,
C825706,8 PLY TAN CONSERVATION SOLIDS 40X60,86.14,
C825711,8 PLY DEEP BLACK CON. SOLIDS 40X60,95,
C825712,CLOUD GRAY 8 PLY 40 X 60,86.14,
CBR14921,BLACK/BLUE ON BLUE CORE 32 X 40,54.58,
CBR14987,WHITE/BLUE ON BLUE CORE 32 X 40,54.58,
CBR24921,BLACK/GREEN ON GREEN CORE 32 X 40,54.58,
CBR24987,WHITE/GREEN ON GREEN CORE 32 X 40,54.58,
CBR34921,BLACK/RED ON RED CORE 32 X 40,54.58,
CBR34987,WHITE/RED ON RED CORE 32 X 40,54.58,
CBR44921,BLACK/YELLOW ON YELLOW CORE 32 X 40,54.58,
CBR44987,WHITE/YELLOW ON YELLOW CORE 32 X 40,54.58,
CBR54921,BLACK/ORANGE ON ORANGE CORE 32 X 40,54.48,
CBR54987,WHITE/ORANGE ON ORANGE CORE 32 X 40,54.58,
CBR64921,BLACK/PURPLE ON PURPLE CORE 32 X 40,54.58,
CBR64987,WHITE/PURPLE ON PURPLE CORE 32 X 40,54.58,
CBR74987,WHITE ON PINK 32 X 40,54.58,
CBR74921,BLACK ON PINK 32 X 40,54.58,
CBR84987,WHITE ON AQUA 32 X 40,54.58,
CBR84921,BLACK ON AQUA 32 X 40,54.58,
CBR214921,8PLY BLACK ON BLUE BRITECORE 32X40,68.35,
CBR214987,8PLY WHITE ON BLUE BRITECORE 32X40,68.35,
CBR224921,8PLY BLACK ON GREEN BRITECORE 32X40,68.35,
CBR224987,8PLY WHITE ON GREEN BRITECORE 32X40,68.35,
CBR234921,8PLY BLACK ON RED BRITECORE 32 X 40,68.35,
CBR234987,8PLY WHITE ON RED BRITECORE 32 X 40,68.35,
CBR244921,8PLY BLACK ON YELLOW BRITECORE32X40,68.35,
CBR244987,8PLY WHITE ON YELLOW BRITECORE32X40,68.35,
CBR814921,BLACK ON BLUE BRITECORE 4,63.92,
CBR814987,WHITE ON BLUE BRITECORE 40 X 60,63.92,
CBR824921,BLACK ON GREEN BRITECORE 40 X 60,63.92,
CBR824987,WHITE ON GREEN BRITECORE 40 X 60,63.92,
CBR834921,BLACK ON RED BRITECORE 40 X 60,63.92,
CBR834987,WHITE ON RED BRITECORE 40 X 60,63.92,
CBR844921,BLACK ON YELLOW BRITECORE 40 X 60,63.92,
CBR844987,WHITE ON YELLOW BRITECORE 40 X 60,63.92,
CI24X36,B FOAMCORE 3/16 24 X 36,4.45,
CI32X40,B FOAMCORE 3/16 32 X 40,6.47,
CI40X60,B FOAMCORE 3/16 40 X 60,12.15,
CI48X96,B FOAMCORE 3/16 48 X 96,23.27,
CIAF32X40,B ARTCARE ARCHIVAL FC 3/16 32 X 40,8.18,
CIAF40X60,B ARTCARE ARCHIVAL FC 3/16 40 X 60,15.38,
CIT32X40,B FOAMCORE 1/8 32 X 40,6.47,
CIT40X60,B FOAMCORE 1/8 40 X 60,12.15,
CIAFT32X40,B ARTCARE ARCHIVAL FC 1/8 32 X 40,8.18,
CIAFT40X60,B ARTCARE ARCHIVAL FC 1/8 40 X 60,15.38,
CISM32X40,B SPEEDMOUNT FC 3/16 32 X 40,7.59,
CISM40X60,B SPEEDMOUNT FC 3/16 40 X 60,14.45,
CAF32X40,B ACID FREE FOAMBOARD 3/16 32 X 40,5.9,
CAFT32X40,B ACID FREE FOAMBOARD 1/8 32 X 40,5.9,
CAF40X60,B ACID FREE FOAMBOARD 3/16 40 X 60,11.05,
CAFT40X60,B ACID FREE FOAMBOARD 1/8 40 X 60,11.05,
CAF48X96,B ACID FREE FOAMBOARD 3/16 48 X 96,21.22,
CAFB32X40,B ACID FREE BLACK FC 3/16 32 X 40,7.12,
CAFB40X60,B ACID FREE BLACK FC 3/16 40 X 60,13.35,
CPSFC,PERFECT MOUNT FOAMCORE,31.16,
G48X96,GATORFOAM 3/16 48 X 96,113.47,
GTH48X96,GATORFOAM 1/2 WHITE 48X96,184.54,
GB48X96,BLACK GATORFOAM 3/16 48X96,119.14,
G32X40,GATORFOAM 3/16 32 X 40,42.19,
G40X60,GATORFOAM 3/16 40 X 60,82.75,
S2770,CRESCENT CLEAR BAGS 250 32 X 40,268.25,
S2771,CRESCENT CLEAR BAGS 150 40 X 60,268.25,
