ITEM,description,fortybysixty,UPC,cost,group
C85711,SELECT DEEP BLACK 40X60,40x60,93924177743,45.04,Matboard
C85713,40X60 SEL SLD Neutral Gray,40x60,93924184161,40.22,Matboard
C85714,40X60 SEL SLD Classic Gray,40x60,93924184178,45.04,Matboard
C863297,(BC) ARCTIC WHITE 40X60,40x60,93924103186,27.45,Matboard
C87100,MOORMAN SUEDE-MOUTARDE 40X60,40x60,93924103773,96.36,Matboard
C87101,MOORMAN SUEDE PERLE 40X60,40x60,93924127410,96.36,Matboard
C87102,MOORMAN SUEDE DUNE 40X60,40x60,93924103780,96.36,Matboard
C87104,MOORMAN SUEDE CHAMOIS 40X60,40x60,93924103797,96.36,Matboard
C87105,MOORMAN SUEDE-DARK RUST 40X60,40x60,93924127427,96.36,Matboard
C87106,MOORMAN SUEDE ANTELOPE 40X60,40x60,93924103803,96.36,Matboard
C87109,MOORMAN SUEDE TAUPE 40X60,40x60,93924103810,96.36,Matboard
C87111,MOORMAN SUEDE SHMRK GRN 40X60,40x60,93924103827,96.36,Matboard
C87112,MOORMAN SUEDE-BORDEAUX 40X60,40x60,93924127434,96.36,Matboard
C87113,MOORMAN SUEDE MARINE BLUE40X60,40x60,93924103834,96.36,Matboard
C87114,*MOORMAN SUEDE CARBN BLK 40X60,40x60,93924103841,96.36,Matboard
C87115,MOORMAN SUEDE-MOKA 40X60,40x60,93924127441,96.36,Matboard
C87116,MOORMAN SUEDE CHINESE RED40X60,40x60,93924103858,96.36,Matboard
C87120,MOORMAN SUEDE POLARIS 40X60,40x60,93924103865,96.36,Matboard
C87127,40X60 MRM SDE Milkweed9,40x60,93924185786,96.36,Matboard
C87128,MOORMAN SUEDE OFF WHITE 40X60,40x60,93924103872,96.36,Matboard
C87132,MOORMAN SUEDE WHISPER 40X60,40x60,93924103889,96.36,Matboard
C87133,MOORMAN SUEDE-DUSTY GREEN,40x60,93924127458,96.36,Matboard
C87134,MOORMAN SUEDE-ASPARAGUS 40X60,40x60,93924127465,96.36,Matboard
C87135,40X60 MRM SDE Pine Green,40x60,93924185793,96.36,Matboard
C87136,MOORMAN SUEDE LE BEIGE 40X60,40x60,93924103896,96.36,Matboard
C87139,MOORMAN SUEDE-ANTHRACITE 40X60,40x60,93924127472,96.36,Matboard
C87141,MOORMAN SUEDE PLATINUM 40X60,40x60,93924103926,96.36,Matboard
C87155,MOORMAN SUEDE WILDGRASS  40X60,40x60,93924136894,96.36,Matboard
C87157,MOORMAN SUEDE CATTAIL  40X60,40x60,93924136917,96.47,Matboard
C87158,MOORMAN SUEDE STORM GRAY 40X60,40x60,93924136924,96.36,Matboard
C87163,MOORMAN SUEDE-RATTAN 40X60,40x60,93924160073,96.36,Matboard
C87164,MOORMAN SUEDE-MEADOW 40X60,40x60,93924160097,96.36,Matboard
C87166,MOORMAN SUEDE-NAVY 40X60,40x60,93924160134,96.36,Matboard
C87168,MOORMAN SUEDE-GRAPHITE 40X60,40x60,93924160172,96.36,Matboard
C87180,MOORMAN SUEDE-WHITE 40X60,40x60,93924127489,96.36,Matboard
C87182,MOORMAN SUEDE-BRONZE 40X60,40x60,93924127502,96.36,Matboard
C87183,MOORMAN SUEDE-MOCCASIN 40X60,40x60,93924127519,96.36,Matboard
C87184,MOORMAN SUEDE-CINNAMON 40X60,40x60,93924127526,96.36,Matboard
C87185,MOORMAN SUEDE CHAMBORD 40X60,40x60,93924133367,96.36,Matboard
C87188,MOORMAN SUEDE MERCURY 40X60,40x60,93924133398,96.36,Matboard
C87190,MOORMAN SUEDE-OLIVE 40X60,40x60,93924127533,96.36,Matboard
C87191,MOORMAN SUEDE-PFALZGRAFF 40X60,40x60,93924127540,96.36,Matboard
C87193,MOORMAN SUEDE TUMBLEWEED 40X60,40x60,93924112805,96.36,Matboard
C87195,MOORMAN SUEDE-SAPPHIRE 40X60,40x60,93924127564,96.36,Matboard
C87199,MOORMAN SUEDE-SPRUCE 40X60,40x60,93924127595,96.36,Matboard
C87501,MOORMAN LINEN VINK TWEED 40X60,40x60,93924104343,92.66,Matboard
C87513,MOORMAN LINEN FOREST GRN 40X60,40x60,93924104350,92.66,Matboard
C87519,MOORMAN LINEN WHITE 40X60,40x60,93924104374,92.66,Matboard
C87522,MOORMAN LINEN BLACK 40X60,40x60,93924104398,92.66,Matboard
C87526,MOORMAN LINEN CREAM 40X60,40x60,93924104404,92.66,Matboard
C87540,MOORMAN LINEN LGHT BEIGE 40X60,40x60,93924127861,92.66,Matboard
C87541,MOORMAN LINEN SILVER GRAY40X60,40x60,93924104435,92.66,Matboard
C87542,40X60 MRM LIN Red Carpet,40x60,93924185847,92.66,Matboard
C87548,40X60 MRM LIN True Blue,40x60,93924185830,92.66,Matboard
C87549,40X60 MRM LIN Jasper Brown,40x60,93924185816,92.66,Matboard
C87550,MOORMAN LINEN SMOKEY HILL40X60,40x60,93924104459,92.66,Matboard
C87551,MOORMAN LINEN FLAX 40X60,40x60,93924104466,92.66,Matboard
C87553,MOORMAN LINEN EDELWEISS 40X60,40x60,93924104480,92.66,Matboard
C87554,MOORMAN LINEN NORTH SEA 40X60,40x60,93924127885,92.66,Matboard
C87556,40X60 MRM LIN Dutch Chocolate,40x60,93924185823,92.66,Matboard
C87557,40X60 MRM LIN Topiary,40x60,93924185809,92.66,Matboard
C87560,MOORMAN LINEN BASQUE 40X60,40x60,93924104497,92.66,Matboard
C87564,MOORMAN LINEN MAROON 40X60,40x60,93924131790,92.66,Matboard
C87571,40X60 MRM LIN Delft Brown,40x60,93924185854,91.41,Matboard
C87572,40X60 MRM LIN Worn Gray,40x60,93924185861,92.66,Matboard
C87573,40X60 MRM LIN Brindle Brown,40x60,93924185878,91.41,Matboard
