item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
NC73101,5/16 X 1 3/4 ANTI GOLD FLOATER,15.20,22.80,29.64,1  5/16,1  3/4 ,Wood
NC73201,1/2 X 1 1/2 ANT GOLD FLOATER,19.64,31.42,40.85,1  1/2 ,2,Wood
NC73202,1/2 X 1 1/2 ANT SILVER FLOATER,19.64,31.42,40.85,1  1/2 ,2,Wood
NC73311,1 7/16 BLACK/GOLD,7.23,11.56,15.03, 5/8 ,1  7/16,Wood
NC73404,2 ANTIQUE BLACK,7.46,11.94,15.52, 5/8 ,2,Wood
NC73411,2 BLACK GOLD,8.34,13.34,17.34, 5/8 ,2,Wood
NC73701,3/4 CAP ANTIQUE GOLD,5.88,9.41,12.23,1, 3/4 ,Wood
NC73702,3/4 ANTIQUE SILVER CAP,5.88,9.41,12.23,1, 3/4 ,Wood
NC73704,3/4 CAP ANTIQUE BLACK,5.26,8.42,10.94,1, 3/4 ,Wood
NC73804,1 3/16 FLAT CAP ANTIQUE BLACK,5.99,9.58,12.45, 5/8 ,1  3/16,Wood
NC85741,3/4 BLACK GOLD,6.02,9.64,12.53, 1/2 , 3/4 ,Wood
NC85744,3/4 BROWN GOLD,6.02,9.64,12.53, 1/2 , 3/4 ,Wood
NC85841,1 1/4 BLACK GOLD,7.46,11.94,15.52, 5/8 ,1  1/4 ,Wood
NC85844,1 1/4 BROWN GOLD,7.46,11.94,15.52, 5/8 ,1  1/4 ,Wood
NC85941,2 1/8 BLACK GOLD,10.30,16.48,21.43, 5/8 ,2  1/8 ,Wood
NC85944,2 1/8 BROWN GOLD,10.30,16.48,21.43,,2  1/8 ,Wood
NC86041,1 3/4 BLACK GOLD,12.61,20.18,26.23, 3/8 ,1  3/4 ,Wood
NC86044,1 3/4 BROWN GOLD,12.61,20.18,26.23, 3/8 ,1  3/4 ,Wood
NC86141,2 BLACK GOLD,13.87,22.19,28.85, 3/8 ,2  1/8 ,Wood
NC86144,2 BROWN GOLD,13.87,22.19,28.85, 3/8 ,2  1/8 ,Wood
NC86241,1 3/8 BLACK GOLD,10.01,16.02,20.82, 1/2 ,1  3/8 ,Wood
NC86244,1 3/8 BROWN GOLD,10.01,16.02,20.82, 1/2 ,1  3/8 ,Wood
NC87101,3/4 GOLD LEAF,5.99,9.88,13.34, 3/8 , 3/4 ,Wood
NC87102,3/4 SILVER LEAF,5.99,9.88,13.34, 3/8 , 3/4 ,Wood
NC87104,3/4 BLACK,3.73,6.34,8.56, 3/8 , 3/4 ,Wood
NC87109,3/4 BROWN,3.73,6.34,8.56, 3/8 , 3/4 ,Wood
