item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
H4217,1/2 GOLD LEAF PRECIOUS METALS,1.20,2.33,3.03, 5/8 , 1/2 ,Wood
H5000,1 1/8 GOLD LUMINOSO,3.10,6.04,7.85, 5/8 ,1  1/8 ,Wood
H5001,1 1/8 SILVER LUMINOSO,3.10,6.04,7.85, 5/8 ,1  1/8 ,Wood
H5002,1 1/8 BRONZE LUMINOSO,3.10,6.04,7.85, 5/8 ,1  1/8 ,Wood
H5003,1 1/8 SMOKE LUMINOSO,3.10,6.04,7.85, 5/8 ,1  1/8 ,Wood
I405,1 3/16 ESPRESSO,3.69,7.20,9.36, 3/4 ,1  7/8 ,Wood
MM24,"1 1/4"" REVERSE MAHOGANY",2.11,3.69,4.61, 3/8 ,1  1/4 ,Wood
N2540,4 FLAT MATTE BLACK,6.22,12.14,15.78, 3/4 ,4,Wood
N2620,13/16 COLLINS BLACK STEM,2.86,5.57,7.24, 5/8 ,13/16,Wood
N2621,13/16 COLLINS WHITE STEM,2.86,5.57,7.24, 5/8 ,13/16,Wood
P1705,3/8 X 2 ESPRESSO FLOATER,4.07,7.94,10.32,1  1/2 , 3/8 ,Wood
P1706,3/8 X 2 BORDEAUX FLOATER GALLE,4.07,7.94,10.32,1  9/16, 3/8 ,Wood
P1707,3/8 X 2 GOLD LEAF FLOATER,5.45,10.64,13.83,1  9/16, 3/8 ,Wood
P1708,3/8 X 2 SILVER LEAF FLOATER,5.45,10.64,13.83,1  9/16, 3/8 ,Wood
P1710,3/8 X 2 MATTE BLACK FLOATER,4.19,8.17,10.62,1  9/16, 3/8 ,Wood
P1711,3/8 X 2 MATTE WHITE FLOATER,4.19,8.17,10.62,1  9/16, 3/8 ,Wood
P1712,3/8 X 2 NATURAL FLOATER GALLER,4.33,8.44,10.97,1  9/16, 3/8 ,Wood
P1722,3/8 X 2 OPEN GRAIN BLACK FLOAT,4.19,8.17,10.62,1  9/16, 3/8 ,Wood
P1728,3/8 X 2 DARK SILVER FLOATER,5.44,10.60,13.78,1  9/16, 3/8 ,Wood
P1730,3/8 X 2 WOOD GRAIN BLACK FLOAT,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
P1732,3/8 X 2 NATURAL FLOATER GALLER,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
P1733,3/8 X 2 MAPLE FLOATER GALLERY,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
P1734,3/8 X 2 WALNUT FLOATER GALLERY,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
P1735,3/8 X 2 ESPRESSO FLOATER,3.16,3.16,8.02,1  1/2 , 3/8 ,Wood
P1736,3/8 X 2 BORDEAUX FLOATER,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
P1739,3/8 X 2 LIGHT WALNUT FLOATER,3.16,6.17,8.02,1  1/2 , 3/8 ,Wood
STRAINER,"STRAINER 1 5/16 X5/8"" DEEP",2.11,3.17,3.96, 5/8 ,1  3/8 ,Extender
V100B,1 1/4 BLACK LINEN LINER,1.73,3.37,4.38, 3/16,1  1/4 ,Liner
WM1678,"1 1/2"" WHITE WASH",2.38,4.12,5.48, 3/4 ,1  1/2 ,Wood
WM2039,"1/2"" WHITE",1.65,2.97,3.71, 5/16, 1/2 ,Wood
WM2045,"1 1/2"" BLACK",3.10,5.63,7.18, 5/16,1  1/2 ,Wood
WM2046,"1 1/2"" WHITE",3.10,5.63,7.18, 5/16,1  1/2 ,Wood
WM2048,"3/4"" WHITE",1.93,3.40,4.26, 5/16, 3/4 ,Wood
WM2049,"1 1/8"" BLACK",2.59,4.66,5.83, 5/16,1  1/8 ,Wood
WM2050,"1 1/8"" WHITE",2.52,4.48,5.60, 5/16,1  1/8 ,Wood
WM2109,"1 1/8"" SMOKY SAGE SPLASH",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2110,"1 1/8"" ACID WASH CAPPUCINO",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2111,"1 1/8"" ACID WASH GREEN",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2112,"1 1/8"" ACID WASH SUNFLOWER",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2113,"1 1/8"" ACID WASH RED ROSE",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2115,"1 1/8"" ACID WASH COBALT BLUE",6.92,12.61,15.77, 3/8 ,1  1/8 ,Wood
WM2116,1 5/8 EMPIRE BLACK,4.57,8.14,10.18, 7/16,1  5/8 ,Wood
WM2125,"1"" SATIN BLACK",3.29,3.57,4.46, 7/16,1,Wood
WM2126,"1"" WALNUT BLACK",3.30,5.83,7.29, 7/16,1,Wood
WM2130,"1 1/2"" SATIN BLACK",4.45,8.16,10.40, 7/16,1  1/2 ,Wood
WM2131,"1 1/2"" WALNUT BLACK",4.45,8.16,10.40, 7/16,1  1/2 ,Wood
WM2132,1 1/2 TEAK BLACK,2.65,4.51,5.63, 7/16,1  1/2 ,Wood
WM2133,1 1/2 CHERRY BLACK,2.65,4.51,5.63, 7/16,1  1/2 ,Wood
WM2219,"1 3/4"" MADRIGUAL NATURAL",2.92,5.13,6.41, 3/8 ,1  3/4 ,Wood
WM2220,"1 3/4"" MADRIGAL WALNUT",2.92,5.13,6.41, 3/8 ,1  3/4 ,Wood
WM2221,"2 1/2"" MADRIGAL NATURAL",3.90,7.02,8.87, 9/16,2  1/2 ,Wood
WM2222,"2 1/2"" MADRIGAL WALNUT",3.90,7.02,8.87, 9/16,2  1/2 ,Wood
WM2260,"2 1/4"" WHITE",4.59,8.49,10.61, 1/2 ,2  1/4 ,Wood
WM2261,"2 1/4"" TEAK",4.59,8.49,10.61, 1/2 ,2  1/4 ,Wood
WM2262,"2 1/4"" OLIVINE",4.59,8.49,10.61, 1/2 ,2  1/4 ,Wood
WM2263,"1 1/4"" WHITE",2.92,5.41,6.76, 1/2 ,1  1/4 ,Wood
WM2264,"1 1/4"" TEAK",2.92,5.41,6.76, 1/2 ,1  1/4 ,Wood
WM2265,"1 1/4"" OLIVINE",2.92,5.41,6.76, 1/2 ,1  1/4 ,Wood
WM2310,"STRAINER 1 11/16"" (11/16)DEEP",2.24,3.36,4.37,,1  5/8 ,Extender
WM2415,1 1/2 BLACK SCOOP WITH RIDGE,2.10,3.68,4.60, 7/16,1  1/2 ,Wood
WM2417,1 1/8 CONCAVE BLACK WITH LIP,2.02,3.54,4.43, 1/2 ,1  1/8 ,Wood
WM2418,3/4 CONCAVE BLACK WITH LIP,1.31,2.29,2.87, 1/2 , 3/4 ,Wood
WM2419,7/8 BLACK CAP,2.05,3.69,4.61, 7/8 , 7/8 ,Wood
WM2421,1 1/4 DEEP FLAT BLACK,3.27,5.69,6.99, 7/8 ,1  1/4 ,Wood
WM2460,3/4 SILVER WITH BEADING,2.09,3.80,4.85, 1/2 , 3/4 ,Wood
WM2461,3/4 GOLD WITH BEADING,2.09,3.80,4.85, 1/2 , 3/4 ,Wood
WM2462,3/4 SILVER WITH FLOWERS,1.85,3.29,4.12, 1/2 , 3/4 ,Wood
WM2463,3/4 GOLD WITH FLOWERS,1.85,4.11,5.14, 1/2 , 3/4 ,Wood
WM2464,3/4 SMOOTH SILVER,2.92,5.19,6.50, 7/16, 3/4 ,Wood
WM2465,3/4 SMOOTH GOLD,2.92,5.19,6.50, 7/16, 3/4 ,Wood
WM2492,"1 3/8"" CAPPUCCINO BRETTON SCRO",2.92,5.20,6.50, 1/2 ,1  3/8 ,Wood
WM2493,"1 3/8"" ESPRESSO BRETTON SCROLL",2.92,5.20,6.50, 1/2 ,1  3/8 ,Wood
WM2496,"2 1/8"" CAPPUCCINO BRETTON SCRO",4.44,8.21,10.27, 1/2 ,2  1/8 ,Wood
WM2497,"2 1/8"" ESPRESSO BRETTON SCROLL",4.44,8.21,10.27, 1/2 ,2  1/8 ,Wood
WM2511,"1 5/8"" BEIGE",5.86,10.12,12.64, 1/2 ,1  5/8 ,Wood
WM2512,"1 5/8"" WALNUT",5.86,10.12,12.64, 1/2 ,1  5/8 ,Wood
WM2513,"1 5/8"" CHARCOAL",5.86,10.12,12.64, 1/2 ,1  5/8 ,Wood
WM2514,"2 3/4"" BEIGE",9.05,16.46,20.57, 1/2 ,2  3/4 ,Wood
WM2515,"2 3/4"" WALNUT",9.05,16.46,20.57, 1/2 ,2  3/4 ,Wood
WM2516,"2 3/4"" CHARCOAL",9.05,16.46,20.57, 1/2 ,2  3/4 ,Wood
WM2517,"1/2"" ANTIQUE SILVER CAP",3.17,5.50,6.87, 5/8 , 1/2 ,Wood
WM2518,"1/2"" ANTIQUE GOLD CAP",3.17,5.50,6.87, 5/8 , 1/2 ,Wood
WM2519,"3/4"" ANTIQUE SILVER CAP",3.69,6.63,8.29, 7/8 , 3/4 ,Wood
WM2520,"3/4"" ANTIQUE GOLD CAP",3.69,6.63,8.29, 7/8 , 3/4 ,Wood
WM2521,"5/8"" ANTIQUE SILVER REVERSE",2.55,4.51,5.69, 1/2 , 5/8 ,Wood
WM2522,"5/8"" ANTIQUE GOLD REVERSE",2.54,4.51,5.69, 1/2 , 5/8 ,Wood
WM2523,"1"" ANTIQUE SILVER REVERSE",3.66,6.53,8.17, 5/8 ,1,Wood
WM2531,"1 1/4"" AGED SILVER",3.91,7.22,9.20, 3/8 ,1  1/4 ,Wood
WM2532,"1 1/4"" AGED GOLD",3.91,7.22,9.20, 3/8 ,1  1/4 ,Wood
WM2533,"1 1/4"" AGED BLACK",3.74,6.73,8.41, 3/8 ,1  1/4 ,Wood
WM2534,"2"" AGED SILVER",5.94,10.62,13.27, 1/2 ,2,Wood
WM2535,"2"" AGED GOLD",5.94,10.62,13.27, 1/2 ,2,Wood
WM2540,"1 1/8"" COLA",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2541,"1 1/8"" ROOT BEER",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2542,"1 1/8"" CREAM",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2543,"1 1/8"" CHERRY",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2544,"1 1/8"" BLUEBERRY",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2545,"1 1/8"" ARTIC CHILL",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2546,"1 1/8"" LIMEADE",5.00,9.24,11.55, 1/2 ,1  1/8 ,Wood
WM2561,"1"" LIGHT WALNUT ALTA",4.79,8.28,10.35, 1/2 ,1,Wood
WM2562,"1"" MEDIUM WALNUT ALTA",4.79,8.28,10.35, 1/2 ,1,Wood
WM2563,"1"" DARK WALNUT ALTA",4.79,8.28,10.35, 1/2 ,1,Wood
WM2577,3/4 LATTE DAKOTA,4.90,9.07,11.34, 7/16, 3/4 ,Wood
WM2596,3 1/4 SCOOP ANTIQUE GOLD FLAT,13.12,23.62,29.53,1  5/8 ,3  1/4 ,Wood
WM2599,2 5/8 SCOOP GOLD BLACK,7.81,14.06,17.58, 1/2 ,2  5/8 ,Wood
WM2600,1 SCOOP GOLD SHADOW BOX,5.84,10.51,13.14,1  5/16,1,Wood
WM2610,1 1/2 NATURAL BRITANNICA,7.22,12.51,15.64, 5/8 ,1  1/2 ,Wood
WM2611,1 1/2 WALNUT BRITANNICA,7.22,12.51,15.64, 5/8 ,1  1/2 ,Wood
WM2612,1 1/2 PLUM BRITANNICA,7.22,12.51,15.64, 5/8 ,1  1/2 ,Wood
WM2616,1 1/8 SILVER ORION,3.05,5.59,7.13, 1/2 ,1  1/8 ,Wood
WM2617,1 1/8 GOLD ORION,3.05,5.59,7.13, 1/2 ,1  1/8 ,Wood
WM2618,1 1/8 WALNUT ORION,2.91,5.11,6.39, 1/2 ,1  1/8 ,Wood
WM2619,2 SILVER ORION,4.75,8.72,11.01, 1/2 ,2,Wood
WM2620,2 GOLD ORION,4.75,8.72,11.01, 1/2 ,2,Wood
WM2621,2 WALNUT ORION,4.54,8.40,10.71, 1/2 ,2,Wood
WM2645,2 WHITE LINEN LINER,2.54,4.45,5.76, 1/4 ,2,Liner
WM2649,1 1/4 WHITE LINEN LINER,1.70,2.98,3.87, 1/4 ,1  1/4 ,Liner
WM2650,1 1/4 NATURAL LINEN LINER,1.70,2.98,3.87, 1/4 ,1  1/4 ,Liner
WM2653,1 1/4 WHITE LINEN LINER W/GOLD,1.70,2.98,3.73, 1/4 ,1  1/4 ,Liner
WM2655,3/4 WHITE LINEN LINER,1.46,2.45,3.06, 1/4 , 3/4 ,Liner
WM2657,1 1/4 NATURAL LINER W/GOLD,1.70,2.98,3.73, 1/4 ,1  1/4 ,Liner
WM2659,5/8 CHERRY VENEER,2.37,4.38,5.48, 3/8 , 5/8 ,Wood
WM2700,1 1/8 FLAT WHITE WASH W/SILVER,1.29,2.26,2.83, 3/8 ,1  1/8 ,Wood
WM2701,1 1/8 FLAT WALNUT W/SILVER,1.29,2.26,2.83, 3/8 ,1  1/8 ,Wood
WM2702,1 1/8 FLAT RED MAHOGANY WITH,1.29,2.26,2.83, 3/8 ,1  1/8 ,Wood
WM2703,1 1/8 FLAT SILVER W/ANTIQUE,1.29,2.26,2.83, 3/8 ,1  1/8 ,Wood
WM2705,1 1/8 FLAT GOLD W/ANTIQUE,1.29,2.26,2.83, 3/8 ,1  1/8 ,Wood
WM2707,1 1/4 SILVER W/BLACK PANEL,1.38,2.42,3.03, 3/8 ,1  1/4 ,Wood
WM2712,1 3/4 MED WALNUT W/GOLD WASH,2.43,4.25,5.31, 1/2 ,1  3/4 ,Wood
WM2713,1 1/2 PEWTER REVERSE,1.77,3.10,3.88, 1/2 ,1  1/2 ,Wood
WM2714,1 3/8 CHAMPAGNE CONCAVE,1.56,2.73,3.41, 3/8 ,1  3/8 ,Wood
WM2715,1 3/8 GOLD CONCAVE,1.56,2.73,3.41, 3/8 ,1  3/8 ,Wood
WM2716,1 3/16 SLOPE OFF WHITE,1.80,3.15,3.94, 1/4 ,1  3/16,Wood
WM2718,1/2 BLACK,1.32,2.18,2.83, 5/16, 1/2 ,Wood
WM2722,2 3/8 ANTIQUE GOLD REVERSE,2.37,4.15,5.19, 1/2 ,2  3/8 ,Wood
WM2723,2 3/8 PEWTER REVERSE,2.37,4.15,5.19, 1/2 ,2  3/8 ,Wood
WM2724,1 1/2 ANTIQUE GOLD REVERSE,1.80,3.15,3.94, 1/2 ,1  1/2 ,Wood
WM2728,1 1/2 REVERSE MAHOGANY,1.77,3.10,3.88, 3/4 ,1  1/2 ,Wood
WM2729,1 3/8 CHERRY STEP,1.53,2.68,3.35, 3/8 ,1  3/8 ,Wood
WM2730,1 3/4 MED. WALNUT W/SILVER,2.43,4.25,5.31, 1/2 ,1  3/4 ,Wood
WM2731,1 3/4 WALNUT W/SILVER WASH LIP,2.43,4.25,5.31, 1/2 ,1  3/4 ,Wood
WM2732,1 3/4 CHERRY WITH SILVER,2.43,4.25,5.31, 1/2 ,1  3/4 ,Wood
WM2733,1 3/16 PECAN CONCAVE,1.80,3.15,3.94, 1/4 ,1  3/16,Wood
WM2734,1 3/4 BLONDE,3.68,6.52,8.16, 1/2 ,1  3/4 ,Wood
WM2735,1 3/4 CHESTNUT,3.68,6.52,8.16, 1/2 ,1  3/4 ,Wood
WM2736,1 3/4 WALNUT,3.68,6.52,8.16, 1/2 ,1  3/4 ,Wood
WM2737,1 3/4 CHARCOAL,3.68,6.52,8.16, 1/2 ,1  3/4 ,Wood
WM2789,1 1/8 LIGHT BROWN DUNE,3.24,5.74,7.17, 1/2 ,1  1/8 ,Wood
WM2790,1 1/8 BLUE GRAY DUNE,3.24,5.74,7.17, 1/2 ,1  1/8 ,Wood
WM2791,1 3/4 LIGHT BROWN DUNE,4.24,7.84,9.80, 1/2 ,1  3/4 ,Wood
WM2792,1 3/4 BLUE GRAY DUNE,4.24,7.84,9.80, 1/2 ,1  3/4 ,Wood
WM2793,2 1/2 LIGHT BROWN DUNE,6.36,11.77,14.72, 1/2 ,2  1/2 ,Wood
WM2794,2 1/2 BLUE GRAY DUNE,6.36,11.77,14.72, 1/2 ,2  1/2 ,Wood
WM2795,1/2 CHARCOAL PADDOCK,1.46,2.70,3.38, 3/8 , 1/2 ,Wood
WM2796,1/2 WALNUT PADDOCK,1.46,2.70,3.38, 3/8 , 1/2 ,Wood
WM2797,1/2 CHESTNUT PADDOCK,1.46,2.70,3.38, 3/8 , 1/2 ,Wood
WM2798,1/2 BLONDE PADDOCK,1.46,2.70,3.38, 3/8 , 1/2 ,Wood
WM2996,3/4 MATTE BLACK DEPTH 7/8,2.86,5.15,6.44, 7/8 , 3/4 ,Wood
WM2997,7/8 SATIN BLACK 9/16 DEPTH,1.98,3.56,4.47, 5/8 , 7/8 ,Wood
WM2998,1 5/8 SATIN BLACK 9/16 DEPTH,3.41,6.10,7.63, 1/2 ,1  5/8 ,Wood
WM3003,5/8 WALNUT HIGH GLOSS VENEER,2.42,4.48,5.60, 3/8 , 5/8 ,Wood
WM3004,3/4 WALNUT HIGH GLOSS VENEER,2.68,4.75,5.94, 3/8 , 3/4 ,Wood
WM3005,1 1/4 WALNUT HIGH GLOSS VENEER,3.68,6.81,8.51, 3/8 ,1  1/4 ,Wood
WM3006,1 1/2 WALNUT HIGH GLOSS VENEER,4.50,7.81,9.76, 3/8 ,1  1/2 ,Wood
WM3029,2 3/4 SATIN BLACK,2.90,5.22,6.52,50/73,2  3/4 ,Wood
WM3031,3/4 GALLERY BLACK 1 1/2 DEPTH,4.38,8.02,10.21,1  1/2 , 3/4 ,Wood
WM3032,2 SILVER LEAF PARLIAMENT,3.75,6.75,8.43, 3/4 ,2,Wood
WM3033,2 GOLD LEAF PARLIAMENT,3.75,6.75,8.43, 3/4 ,2,Wood
WM3043,1 3/4 WALNUT OLIVE STRIA,5.75,10.64,13.30, 1/2 ,1  3/4 ,Wood
WM3045,3/4 GALLERY MAHOGANY DEP 1 1/2,4.94,8.90,11.13,1  1/2 , 3/4 ,Wood
WM3063,1 EMPIRE SATIN BLACK,2.85,5.07,6.34, 1/2 ,1,Wood
WM3111,5/8 SILVER 1/2 RABBET,2.50,4.93,6.16, 1/2 , 5/8 ,Wood
WM3112,5/8 GOLD 1/2 RABBET,2.74,4.93,6.16, 1/2 , 5/8 ,Wood
WM3113,1 SILVER 1/2 RABBET,3.62,6.51,8.14, 1/2 ,1,Wood
WM3114,1 GOLD 1/2 RABBET,3.62,6.51,8.14, 1/2 ,1,Wood
WM3147,3/4 NATURAL CABOT,2.61,4.77,6.09, 1/2 , 3/4 ,Wood
WM3148,3/4 CHERRY CABOT,2.61,4.69,5.98, 1/2 , 3/4 ,Wood
WM3149,3/4 DARK WALNUT CABOT,2.61,4.69,5.98, 1/2 , 3/4 ,Wood
WM3150,1 3/8 NATURAL CABOT,4.49,8.08,10.10, 1/2 ,1  3/8 ,Wood
WM3151,1 3/8 CHERRY CABOT,4.49,8.08,10.10, 1/2 ,1  3/8 ,Wood
WM3152,1 3/8 DARK WALNUT CABOT,4.49,8.08,10.10, 1/2 ,1  3/8 ,Wood
WM3165,3/4 WHITE(SUB 2400-40),2.00,3.55,4.44, 5/8 , 3/4 ,Wood
WM3166,1 1/4 SILVER,4.49,8.03,10.25, 3/4 ,1  1/4 ,Wood
WM3167,1 1/4 GOLD,4.49,8.03,10.25, 3/4 ,1  1/4 ,Wood
WM3168,1 1/4 BROWN,4.49,8.03,10.25, 3/4 ,1  1/4 ,Wood
WM3169,1 1/4 BLACK,4.49,8.03,10.25, 3/4 ,1  1/4 ,Wood
WM3237,3/4 FLAT BLACK MATTE,2.04,3.66,4.58,68/99, 3/4 ,Wood
WM3268,13/16 SILVER W/RED ACCENT,0.90,1.58,1.97,1  6/97, 3/4 ,Wood
WM3271,3/4 OG BLACK SUB 104B,1.26,2.27,2.83, 7/16, 3/4 ,Wood
WM3272,1 OG BLACK,1.85,3.32,4.16,11/16,1,Wood
WM3273,1 7/8 SWIRL SILVER,4.05,7.09,8.86,33/80,1  7/8 ,Wood
WM3274,1 7/8 SWIRL GOLD,4.05,7.09,8.86,33/80,1  7/8 ,Wood
WM3276,3/4 SATIN WHITE,3.14,5.81,7.40,1,0,Wood
WM3277,1 1/8 SATIN WHITE SCOOP,3.20,5.70,7.12, 1/2 ,1  1/8 ,Wood
WM3287,3 AGED PINE COFFEE,5.35,10.44,13.57, 1/2 ,3,Wood
WM3312,7/8 SATIN BLACK,3.14,5.81,7.40,1, 7/8 ,Wood
WM3313,1 1/8 SATIN BLACK SCOOP,3.20,5.70,7.12, 1/2 ,1  1/8 ,Wood
WM3314,1 LIGHT BROWN QUINCY,6.36,11.77,14.72,1  1/2 ,1,Wood
WM3315,1 DARK BROWN QUINCY,6.36,11.77,14.72,1  1/2 ,1,Wood
WM3316,1 3/4 LIGHT BROWN QUINCY,6.07,10.78,13.48, 1/2 ,1  3/4 ,Wood
WM3317,1 3/4 DARK BROWN QUINCY,6.07,10.78,13.48, 1/2 ,1  3/4 ,Wood
WM3421,7/8 ANT W/BLK FLOWER SIL LIP,1.84,3.31,4.14, 1/2 , 7/8 ,Wood
WM3422,STRAINER 2 5/16 X 7/8,4.72,7.08,8.86,,2  1/2 ,Extender
WM3425,1 1/4 FLAT SILVER,3.50,6.45,8.21, 1/2 ,1  1/4 ,Wood
WM3426,1 1/4 FLAT GOLD,3.50,6.45,8.21, 1/2 ,1  1/4 ,Wood
WM3427,1 1/4 ORNATE GOLD,1.43,2.50,3.13, 3/8 ,1  1/4 ,Wood
WM3431,2 1/8 CHARCOAL CAP 3/4 DEEP,3.26,5.71,7.14, 3/4 ,2  1/8 ,Wood
WM3432,1 BROWN GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3433,1 GRAY GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3435,1 RED GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3436,1 BLUE GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3437,1 PURPLE GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3438,1 GREEN GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3439,1 TURQUOIS BLUE GELATO,3.79,7.02,8.77, 3/8 ,1,Wood
WM3440,1 3/8 WHITE SHADES,4.09,7.33,9.16, 5/8 ,1  3/8 ,Wood
WM3443,1 3/8 BLACK SHADES,4.09,7.33,9.16, 5/8 ,1  3/8 ,Wood
WM3444,2 1/8 WHITE SHADES,5.05,9.34,11.68, 1/2 ,2  1/8 ,Wood
WM3445,2 1/8 BEIGE SHADES,5.05,9.34,11.68, 1/2 ,2  1/8 ,Wood
WM3446,2 1/8 GRAY SHADES,5.05,9.34,11.68, 1/2 ,2  1/8 ,Wood
WM3447,2 1/8 BLACK SHADES,5.05,9.34,11.68, 1/2 ,2  1/8 ,Wood
WM3448,1 1/4 WALNUT BROWN ADIRONDACK,3.89,7.19,8.98, 1/2 ,1  1/4 ,Wood
WM3449,1 1/4 GRAY ADIRONDACK,3.89,7.19,8.98, 1/2 ,1  1/4 ,Wood
WM3450,1 3/4 WALNUT BROWN ADIRONDACK,4.35,8.04,10.05, 1/2 ,1  3/4 ,Wood
WM3451,1 3/4 GRAY ADIRONDACK,4.35,8.04,10.05, 1/2 ,1  3/4 ,Wood
WM3526,1/2 ANTIQUE SILVER SLOPE,1.80,3.22,4.02, 1/2 , 1/2 ,Wood
WM3527,1/2 ANTIQUE GOLD SLOPE,1.80,3.22,4.02, 1/2 , 1/2 ,Wood
WM3530,1/2 SILVER ANTIQUED,1.85,3.29,4.12, 1/2 , 1/2 ,Wood
WM3531,1/2 GOLD ANTIQUED,1.85,3.29,4.12, 1/2 , 1/2 ,Wood
WM3532,3/4 SILVER ANTIQUED,2.34,4.29,5.48, 1/2 , 3/4 ,Wood
WM3533,3/4 GOLD ANTIQUED,2.34,4.29,5.48, 1/2 , 3/4 ,Wood
WM3534,1 1/4 SILVER,2.75,5.09,6.49, 1/2 ,1  1/4 ,Wood
WM3535,1 1/4 GOLD,2.75,5.09,6.49, 1/2 ,1  1/4 ,Wood
WM3545,1 3/8 BROWN,3.85,7.12,9.08, 1/2 ,1  3/8 ,Wood
WM3549,1 3/8 DARK BLUE,3.85,7.12,9.08, 1/2 ,1  3/8 ,Wood
WM3550,1 3/8 LIGHT BLUE,3.85,7.12,9.08, 1/2 ,1  3/8 ,Wood
WM3551,1 3/8 GREEN,3.85,7.12,9.08, 1/2 ,1  3/8 ,Wood
WM3552,1 3/8 WHITE,3.85,7.12,9.08, 1/2 ,1  3/8 ,Wood
WM3553,1 5/8 WHITE WEATHERED,4.90,9.07,11.34, 1/2 ,1  5/8 ,Wood
WM3555,1 5/8 GRAY WEATHERED,4.90,9.07,11.34, 1/2 ,1  5/8 ,Wood
WM3556,2 5/8 WHITE WEATHERED,7.62,13.19,16.49, 1/2 ,2  5/8 ,Wood
WM3558,2 5/8 GRAY WEATHERED,7.62,13.19,16.49, 1/2 ,2  5/8 ,Wood
WM3565,1 1/2 CHARCOAL BLACK COUNTRY,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3566,1 1/2 MARSHMALLOW WHITE,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3567,1 1/2 WHISKEY BROWN COUNTRY,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3568,1 1/2 ALABAMA RED COUNTRY,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3569,1 1/2 WEATHERED BLUE COUNTRY,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3570,1 1/2 DIXIE GREY COUNTRY,1.94,3.74,4.86, 1/2 ,1  1/2 ,Wood
WM3577,1 WHITE SILVER GRUNGE,5.55,9.63,12.03, 1/2 ,1  1/8 ,Wood
WM3578,1 GRAY SILVER GRUNGE,5.55,10.08,12.78, 1/2 ,1  1/8 ,Wood
WM3579,1 COPPER GRUNGE,5.55,10.08,12.74, 1/2 ,1  1/8 ,Wood
WM3580,1 BLACK SILVER GRUNGE,5.55,10.08,12.74, 1/2 ,1  1/8 ,Wood
WM3581,1 3/4 WHITE SILVER GRUNGE,8.14,15.06,18.82, 1/2 ,1  3/4 ,Wood
WM3582,1 3/4 GRAY SILVER GRUNGE,8.14,15.06,18.82, 1/2 ,1  3/4 ,Wood
WM3583,1 3/4 COPPER GRUNGE,8.14,15.06,18.82, 1/2 ,1  3/4 ,Wood
WM3584,1 3/4 BLACK SILVER GRUNGE,8.14,15.06,18.82, 1/2 ,1  3/4 ,Wood
WM3591,3/4 WALNUT VENEER,4.14,7.42,9.28, 5/8 , 3/4 ,Wood
WM3592,1 WALNUT VENEER TALL,5.86,10.60,13.25,1  1/2 ,1,Wood
WM3593,2 1/8 WALNUT VENEER,7.88,13.68,17.10, 1/2 ,2  1/8 ,Wood
WM3639,3/4 WHITE SAND,3.38,6.16,7.71, 3/4 ,1  1/4 ,Wood
WM3640,3/4 GRAY SAND,3.38,6.16,7.71, 3/4 ,1  1/4 ,Wood
WM3641,3/4 BROWN SAND,3.38,6.16,7.71, 3/4 ,1  1/4 ,Wood
WM3642,3/4 BLUE SAND,3.38,6.16,7.71, 3/4 ,1  1/4 ,Wood
WM3643,3/4 BLACK SAND,3.38,6.16,7.71, 3/4 ,1  1/4 ,Wood
WM3662,2 DARK WALNUT W/GOLD LIP,6.94,11.80,14.75, 1/2 ,2,Wood
WM3663,2 BLACK W/SILVER LIP,6.94,11.80,14.75, 1/2 ,2,Wood
WM3667,1 DARK WALNUT W/GOLD LIP,4.54,7.75,9.59, 1/2 ,1,Wood
WM3668,1 BLACK W/SILVER LIP,4.74,7.75,9.59, 1/2 ,1,Wood
WM3672,3/4 GOLD,3.98,6.97,8.71, 7/16, 3/4 ,Wood
