CFS #,Description,Size,Length,Chop,Join,group
0101,Raw Stretcher Bar,2 1/2,5.58,10.06,13.19,Extender
01011,"Gallery Wrap 2 3/8""",7/8,5.58,10.06,13.19,Extender
0202,"1 1/2"" x 1 3/8"" Stretcher Bar",1 1/2,4.80,8.65,11.35,Extender
0701,Instant Edge Silver ,1/8,1.12,,,Wood
0702,Instant Edge Gold,1/8,1.12,,,Wood
0703,Instant Edge Black,1/8,1.12,,,Wood
1045,Gold w Beaded Lip,3/4,4.09,7.94,10.33,Wood
2025,Broken Gold w Bead,2,7.00,12.74,16.64,Wood
2514603,Forged Pewter,3/4,6.16,10.17,13.22,Wood
2514604,Forged Iron,3/4,6.16,10.17,13.22,Wood
2514606,Forged Brass,3/4,6.16,10.17,13.22,Wood
2514609,Forged Bronze,3/4,6.16,10.17,13.22,Wood
2514703,Forged Pewter,1 1/4,8.07,13.32,17.32,Wood
2514704,Forged Iron,1 1/4,8.07,13.32,17.32,Wood
2514706,Forged Brass,1 1/4,8.07,13.32,17.32,Wood
2514709,Forged Bronze,1 1/4,8.07,13.32,17.32,Wood
2514803,Forged Pewter,2 3/8,11.71,19.33,25.12,Wood
2514804,Forged Iron,2 3/8,11.71,19.33,25.12,Wood
2514806,Forged Brass,2 3/8,11.71,19.33,25.12,Wood
2514809,Forged Bronze,2 3/8,11.71,19.33,25.12,Wood
2517004,Ebony w/Natural Edge,2,8.98,14.82,19.27,Wood
2517005,White Oak w/Black Edge,2,8.98,14.82,19.27,Wood
2517009,Mahogany w/Black Edge,2,8.98,14.82,19.27,Wood
2517013,Black Walnut w/Black Edge,2,8.98,14.82,19.27,Wood
2517017,Honey Birch w/Black Edge,2,8.98,14.82,19.27,Wood
2517027,Hickory w/Black Edge,2,8.98,14.82,19.27,Wood
2517104,Ebony w/Natural Edge,1 1/2,7.25,11.96,15.54,Wood
2517105,White Oak w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517109,Mahogany w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517113,Black Walnut w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517117,Honey Birch w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517127,Hickory w/Black Edge,1 1/2,7.25,11.96,15.54,Wood
2517403,Colonna Windswept,1 1/2,7.25,11.96,15.54,Wood
2517404,Colonna Gilded Black,1 1/2,7.25,11.96,15.54,Wood
2517409,Colonna Sepia,1 1/2,7.25,11.96,15.54,Wood
2517481,Colonna Sage,1 1/2,7.25,11.96,15.54,Wood
2517491,Colonna Terra,1 1/2,7.25,11.96,15.54,Wood
2517492,Colonna Slate,1 1/2,7.25,11.96,15.54,Wood
2517503,Colonna Windswept,2 1/4,9.04,14.91,19.39,Wood
2517504,Colonna Gilded Black,2 1/4,9.04,14.91,19.39,Wood
2517509,Colonna Sepia,2 1/4,9.04,14.91,19.39,Wood
2517581,Colonna Sage,2 1/4,9.04,14.91,19.39,Wood
2517591,Colonna Terra,2 1/4,9.04,14.91,19.39,Wood
2517592,Colonna Slate,2 1/4,9.04,14.91,19.39,Wood
2517607,Painted Desert Nouveau Sun,1 3/8,9.68,15.98,20.77,Wood
2517609,Painted Desert Nouveau Grey,1 3/8,9.68,15.98,20.77,Wood
2517641,Painted Desert Nouveau Noir,1 3/8,9.68,15.98,20.77,Wood
2517681,Painted Desert Nouveau Sage,1 3/8,9.68,15.98,20.77,Wood
2517691,Painted Desert Nouveau Clay,1 3/8,9.68,15.98,20.77,Wood
2517692,Painted Desert Nouveau Fog,1 3/8,9.68,15.98,20.77,Wood
2517703,Rialto Pelican,1 3/4,7.26,11.99,15.58,Wood
2517704,Rialto Cypress,1 3/4,7.26,11.99,15.58,Wood
2517707,Painted Desert Deco Sun,1 3/8,9.68,15.98,20.77,Wood
2517709,Rialto Walnut,1 3/4,7.26,11.99,15.58,Wood
2517741,Painted Desert Deco Noir,1 3/8,9.68,15.98,20.77,Wood
2517781,Painted Desert Deco Sage,1 3/8,9.68,15.98,20.77,Wood
2517791,Rialto Cedar,1 3/4,7.26,11.99,15.58,Wood
2517792,Painted Desert Deco Fog,1 3/8,9.68,15.98,20.77,Wood
2517793,Painted Desert Deco Grey,1 3/8,9.68,15.98,20.77,Wood
2517794,Painted Desert Deco Clay,1 3/8,9.68,15.98,20.77,Wood
2517803,Rialto Pelican,2 1/2,9.22,15.22,19.78,Wood
2517804,Rialto Cypress,2 1/2,9.22,15.22,19.78,Wood
2517809,Rialto Walnut,2 1/2,9.22,15.22,19.78,Wood
2517891,Rialto Cedar,2 1/2,9.22,15.22,19.78,Wood
2517902,Marrakesh Medina Silver,1,4.86,8.02,10.43,Wood
2517914,Marrakesh Galena Black,1,4.86,8.02,10.43,Wood
2517915,Marrakesh Tajine,1,4.86,8.02,10.43,Wood
2517941,Marrakesh Saffron Gold,1,4.86,8.02,10.43,Wood
2518002,Marrakesh Medina Silver,2 1/4,9.83,16.05,20.87,Wood
2518014,Marrakesh Galena Black,2 1/4,9.83,16.05,20.87,Wood
2518015,Marrakesh Tajine,2 1/4,9.83,16.05,20.87,Wood
2518041,Marrakesh Saffron Gold,2 1/4,9.83,16.05,20.87,Wood
2518102,Marrakesh Medina Silver,1 3/8,7.61,12.56,16.34,Wood
2518114,Marrakesh Galena Black,1 3/8,7.61,12.56,16.34,Wood
2518115,Marrakesh Tajine,1 3/8,7.61,12.56,16.34,Wood
2518141,Marrakesh Saffron Gold,1 3/8,7.61,12.56,16.34,Wood
2518302,Marrakesh Minis Medina Silver,3/4,3.94,6.50,8.45,Wood
2518314,Marrakesh Minis Galena Black,3/4,3.94,6.50,8.45,Wood
2518315,Marrakesh Minis Saffron Gold,3/4,3.94,6.50,8.45,Wood
2518341,Marrakesh Minis Tajine,3/4,3.94,6.50,8.45,Wood
2518402,Marrakesh Minis Medina Silver,5/8,3.57,5.90,7.67,Wood
2518414,Marrakesh Minis Galena Black,5/8,3.57,5.90,7.67,Wood
2518415,Marrakesh Minis Saffron Gold,5/8,3.57,5.90,7.67,Wood
2518441,Marrakesh Minis Tajine,5/8,3.57,5.90,7.67,Wood
2519104,Nantucket Black Cap,3/4,4.33,7.15,9.29,Wood
2519123,Nantucket Dover Grey Cap,3/4,4.33,7.15,9.29,Wood
2519127,Nantucket Taupe Cap,3/4,4.33,7.15,9.29,Wood
2519131,Nantucket Driftwood Cap,3/4,4.33,7.15,9.29,Wood
2519192,Nantucket Blue Grey Cap,3/4,4.33,7.15,9.29,Wood
2519304,Nantucket Black Flat,1 3/4,5.63,9.30,12.11,Wood
2519323,Nantucket Dover Grey Flat,1 3/4,5.63,9.30,12.11,Wood
2519327,Nantucket Taupe Flat,1 3/4,5.63,9.30,12.11,Wood
2519331,Nantucket Driftwood Flat,1 3/4,5.63,9.30,12.11,Wood
2519392,Nantucket Blue Grey Flat,1 3/4,5.63,9.30,12.11,Wood
2542331,American Hardwood Natural Maple,5/8,6.86,11.33,14.74,Wood
2542332,American Hardwood White Wash Maple,5/8,6.17,10.20,13.26,Wood
2542414,American Hardwood Black Ash,3/4,6.33,10.48,13.63,Wood
2542431,American Hardwood Natural Maple,3/4,7.52,12.44,16.18,Wood
2542432,American Hardwood White Wash Maple,3/4,8.07,13.34,17.38,Wood
2542631,American Hardwood Natural Maple,3/4,11.63,19.20,24.95,Wood
2545204,Provence Charred Black w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545207,Provence Cottage White w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545209,Provence Weathered Brown w/Beveled Lip,3/4,4.24,6.98,9.07,Wood
2545304,Provence Charred Black w/Beveled Lip,1 1/8,3.85,6.36,8.28,Wood
2545307,Provence Cottage White w/Beveled Lip,1 1/8,3.85,6.36,8.28,Wood
2545309,Provence Weathered Brown w/Beveled Lip,1 1/8,3.85,6.36,8.28,Wood
2545404,Provence Charred Black w/Beveled Lip,1 1/4,6.60,10.88,14.13,Wood
2545407,Provence Cottage White w/Beveled Lip,1 1/4,6.60,10.88,14.13,Wood
2545604,Provence Charred Black w/Beveled Lip,1 7/8,7.30,12.03,15.64,Wood
2545607,Provence Cottage White w/Beveled Lip,1 7/8,7.30,12.03,15.64,Wood
2545609,Provence Weathered Brown w/Beveled Lip,1 7/8,7.30,12.03,15.64,Wood
2546101,Minis Antique Gold Leaf,5/8,4.64,7.68,10.01,Wood
2546102,Minis Antique Silver Leaf,5/8,4.64,7.68,10.01,Wood
2546104,Minis Antique Black,5/8,3.58,5.92,7.69,Wood
2546111,Minis Black w/Gold Leaf Lip,5/8,3.95,6.50,8.46,Wood
2546112,Minis Black w/Silver Leaf Lip,5/8,3.95,6.50,8.46,Wood
2546116,Minis Copper,5/8,4.05,6.70,8.72,Wood
2546198,Minis Black Verdigris,5/8,4.05,6.70,8.72,Wood
2546205,Minis Oxidized Copper,5/8,4.99,8.23,10.71,Wood
2546207,Minis Oxidized Gold,5/8,4.84,8.00,10.41,Wood
2546209,Minis Oxidized Silver,5/8,4.84,8.00,10.41,Wood
2546242,Minis Oxidized Black,5/8,4.43,7.34,9.54,Wood
2546307,Minis Beaded Oxidized Gold,5/8,5.30,8.74,11.36,Wood
2546309,Minis Beaded Oxidized Silver,5/8,5.09,8.40,10.92,Wood
2546342,Minis Beaded Oxidized Black,5/8,4.43,7.34,9.54,Wood
2546501,Minis Antique Gold,9/16,3.86,6.35,8.27,Wood
2546502,Minis Antique Silver,9/16,3.86,6.35,8.27,Wood
2546504,Minis Antique Black,9/16,3.36,5.55,7.23,Wood
2546601,Minis Antique Gold Leaf Scoop,3/4,4.56,7.52,9.76,Wood
2546671,Minis Brown & Gold Leaf Scoop,3/4,4.04,6.66,8.67,Wood
2565201,Treviso Sterling Silver Scoop,1,9.44,15.56,20.24,Wood
2565202,Treviso Gold Scoop,1,9.44,15.56,20.24,Wood
2565204,Treviso Midnight Black Scoop,1,6.65,11.00,14.30,Wood
2565206,Treviso Aged Brass,1,9.44,15.56,20.24,Wood
2565207,Treviso Pewter Scoop,1,9.48,15.66,20.37,Wood
2565214,Treviso Matte Black Scoop,1,9.44,15.56,20.24,Wood
2565243,Treviso Ebony,1,9.44,15.56,20.24,Wood
2565301,Treviso Sterling Silver Reverse,1 3/4,14.21,23.47,30.50,Wood
2565302,Treviso Gold Reverse,1 3/4,14.21,23.47,30.50,Wood
2565304,Treviso Midnight Black Reverse,1 3/4,11.18,18.46,24.01,Wood
2565306,Treviso Aged Brass,1 3/4,14.21,23.47,30.50,Wood
2565307,Treviso Pewter Reverse,1 3/4,14.29,23.56,30.67,Wood
2565314,Treviso Matte Black Reverse,1 3/4,14.29,23.56,30.67,Wood
2565343,Treviso Ebony,1 3/4,14.21,23.47,30.50,Wood
2565401,Treviso Sterling Silver Scoop,2 3/4,18.44,30.43,39.56,Wood
2565402,Treviso Gold Scoop,2 3/4,18.80,31.02,40.34,Wood
2565404,Treviso Midnight Black Scoop,2 3/4,13.52,22.31,28.99,Wood
2565406,Treviso Aged Brass,2 5/16,18.44,30.43,39.56,Wood
2565407,Treviso Pewter Scoop,2 3/4,18.71,30.87,40.12,Wood
2565414,Treviso Matte Black Scoop,2 3/4,18.80,31.02,40.34,Wood
2565443,Treviso Ebony,2 5/16,18.44,30.43,39.56,Wood
2585741,Heritage Black w/Gold Square,3/4,6.63,10.96,14.26,Wood
2585744,Heritage Brown w/Gold Square,3/4,6.63,10.96,14.26,Wood
2585841,Heritage Black w/Gold Flat,1 1/4,8.21,13.56,17.64,Wood
2585844,Heritage Brown w/Gold Flat,1 1/4,8.21,13.56,17.64,Wood
2585941,Heritage Black w/Gold Flat,2 1/8,11.18,18.46,24.01,Wood
2585944,Heritage Brown w/Gold Flat,2 1/8,11.18,18.46,24.01,Wood
2586041,Heritage Black w/Gold Reverse,1 3/4,13.66,22.56,29.32,Wood
2586044,Heritage Brown w/Gold Reverse,1 3/4,13.66,22.56,29.32,Wood
2586141,Heritage Black w/Gold Scoop,2,15.24,25.17,32.72,Wood
2586144,Heritage Brown w/Gold Scoop,2,15.24,25.17,32.72,Wood
2586241,Heritage Black w/Gold Scoop,1 3/8,11.03,18.22,23.69,Wood
2586244,Heritage Brown w/Gold Scoop,1 3/8,11.03,18.22,23.69,Wood
2593809,Hygge Carbon Scoop,2 5/16,11.70,19.31,25.10,Wood
2593817,Hygge Natural Scoop,2 5/16,11.70,19.31,25.10,Wood
2593823,Hygge Dover Grey Scoop,2 5/16,11.70,19.31,25.10,Wood
2593827,Hygge Walnut Scoop,2 5/16,11.70,19.31,25.10,Wood
2593831,Hygge Driftwood Scoop,2 5/16,11.70,19.31,25.10,Wood
2593909,Hygge Carbon Small Scoop,1,6.78,11.20,14.56,Wood
2593917,Hygge Natural Small Scoop,1,6.78,11.20,14.56,Wood
2593923,Hygge Dover Grey Small Scoop,1,6.78,11.20,14.56,Wood
2593927,Hygge Walnut Small Scoop,1,6.78,11.20,14.56,Wood
2593931,Hygge Driftwood Small Scoop,1,6.78,11.20,14.56,Wood
2594009,Hygge Carbon Reverse,2 3/16,10.57,17.45,22.70,Wood
2594017,Hygge Natural Reverse,2 3/16,10.57,17.45,22.70,Wood
2594023,Hygge Dover Grey Reverse,2 3/16,10.57,17.45,22.70,Wood
2594027,Hygge Walnut Reverse,2 3/16,10.57,17.45,22.70,Wood
2594031,Hygge Driftwood Reverse,2 3/16,10.57,17.45,22.70,Wood
2597101,Palladio Color Antique Gold,3/4,6.95,11.48,14.94,Wood
2597102,Palladio Color Antique Silver,3/4,6.95,11.48,14.94,Wood
2597132,Palladio Color Wedgewood Blue w/Silver Leaf,3/4,6.95,11.48,14.94,Wood
2597141,Palladio Color Expresso w/Gold Leaf,3/4,6.95,11.46,14.90,Wood
2597142,Palladio Color Graphite w/Silver Leaf,3/4,6.95,11.48,14.94,Wood
2597181,Palladio Color Evergreen w/Gold Leaf,3/4,6.95,11.48,14.94,Wood
2597191,Palladio Color Rosewood w/Gold Leaf,3/4,6.95,11.48,14.94,Wood
2597201,Palladio Color Antique Gold,1 1/2,10.45,17.24,22.43,Wood
2597202,Palladio Color Antique Silver,1 1/2,10.45,17.24,22.43,Wood
2597232,Palladio Color Wedgewood Blue w/Silver Leaf,1 1/2,10.45,17.24,22.43,Wood
2597241,Palladio Color Expresso w/Gold Leaf,1 1/2,10.45,17.24,22.43,Wood
2597242,Palladio Color Graphite w/Silver Leaf,1 1/2,10.49,17.30,22.51,Wood
2597281,Palladio Color Evergreen w/Gold Leaf,1 1/2,10.49,17.30,22.51,Wood
3478870,Small Gold Bamboo,5/8,5.15,10.30,13.38,Wood
3478871,Small Silver Bamboo,5/8,5.15,10.30,13.38,Wood
3478872,Small Black Bamboo,5/8,4.65,9.30,12.09,Wood
3478873,Small Natural Bamboo,5/8,4.65,9.30,12.09,Wood
3478874,Small Walnut Bamboo,5/8,4.65,9.30,12.09,Wood
3478875,Medium Gold Bamboo,1,5.81,11.04,14.36,Wood
3478876,Medium Silver Bamboo,1,5.81,11.04,14.36,Wood
3478877,Medium Black Bamboo,1,5.72,10.87,14.14,Wood
3478879,Medium Walnut Bamboo,1,5.72,10.87,14.14,Wood
3480993,Dark Bronze Panel,4 1/8,17.53,30.16,39.21,Wood
3480994,Gold Panel w/Raised Back,3,12.34,21.23,27.61,Wood
3480995,Dark Bronze Panel,3,12.34,21.23,27.61,Wood
3483360,Hammered Silver Scoop,1 3/16,4.62,9.71,12.63,Wood
3483367,Black w/Red Scoop w/Gold Lip,3,12.43,21.38,27.80,Wood
3483368,Deep Silver Scoop,3,12.43,21.38,27.80,Wood
3483381,Gold Panel,1 1/2,8.35,15.87,20.64,Wood
3483383,Black Panel w/Gold Lip & Back,1 1/2,8.35,15.87,20.64,Wood
3483384,Black Panel w/Silver Lip & Back,1 1/2,8.35,15.87,20.64,Wood
3483385,Silver Panel,1 1/2,8.35,15.87,20.64,Wood
3483386,White Panel,1 1/2,8.35,15.87,20.64,Wood
3483452,Distressed Cream w/Silver Lip,7/8,6.28,11.94,15.53,Wood
3483472,White Wood Grain,1 1/2,6.02,12.65,16.45,Wood
3483477,White Wood Grain Scoop,1 3/4,4.95,10.40,13.53,Wood
3483530,White Barnwood Scoop,1 1/2,6.54,12.43,16.15,Wood
3483531,Grey Barnwood Scoop,1 1/2,6.54,12.43,16.15,Wood
3483533,White Barnwood Scoop,2,7.65,13.16,17.12,Wood
3483534,Grey Barnwood Scoop,2,7.65,13.16,17.12,Wood
3483536,White Barnwood Scoop,3,9.68,16.66,21.66,Wood
3483562,Whisky Veneer Square w/Gold Embossing,1 5/8,16.10,27.70,36.02,Wood
3483563,Whisky Veneer Scoop w/Gold Embossing,1 1/2,12.12,20.85,27.11,Wood
3483637,Amaretto Olive Veneer Scoop,3 1/4,33.99,50.99,66.29,Wood
3483638,Amaretto Olive Veneer Scoop,2 1/8,20.96,31.45,40.88,Wood
3483726,Glossy Crimson Scoop,1 1/4,7.49,12.89,16.76,Wood
3483727,Glossy Tangerine Scoop,1 1/4,7.49,12.89,16.76,Wood
3483728,Glossy Canary Scoop,1 1/4,7.49,12.89,16.76,Wood
3483729,Glossy Lime Scoop,1 1/4,7.49,12.89,16.76,Wood
3483730,Glossy Sky Scoop,1 1/4,7.49,12.89,16.76,Wood
3483731,Glossy Charcoal Scoop,1 1/4,7.49,12.89,16.76,Wood
3483732,Glossy Crimson Scoop,3/4,6.16,11.71,15.23,Wood
3483733,Glossy Tangerine Scoop,3/4,6.16,11.71,15.23,Wood
3483734,Glossy Canary Scoop,3/4,6.16,11.71,15.23,Wood
3483735,Glossy Lime Scoop,3/4,6.16,11.71,15.23,Wood
3483736,Glossy Sky Scoop,3/4,6.16,11.71,15.23,Wood
3483737,Glossy Charcoal Scoop,3/4,6.16,11.71,15.23,Wood
3483752,Miramar Distressed White,1 1/2,7.02,13.34,17.35,Wood
3483753,Miramar Distressed Driftwood,1 1/2,7.02,13.34,17.35,Wood
3483754,Miramar Distressed Charcoal Grey,1 1/2,7.02,13.34,17.35,Wood
3483755,Miramar Distressed White,2 1/2,9.77,18.57,24.14,Wood
3483756,Miramar Distressed Driftwood,2 1/2,9.77,18.57,24.14,Wood
3483757,Miramar Distressed Charcoal Grey,2 1/2,9.77,18.57,24.14,Wood
3483803,Rustique Aged White Square,1 1/4,6.47,12.30,15.99,Wood
3483804,Rustique Scorched Walnut Square,1 1/4,6.47,12.30,15.99,Wood
3483805,Rustique Aged White Panel,1 3/4,7.59,14.43,18.76,Wood
3483806,Rustique Scorched Walnut Panel,1 3/4,7.59,14.43,18.76,Wood
3483811,Ermine Antique Gold Ornate,1 5/8,7.85,14.92,19.40,Wood
3483812,Ermine Silver Ornate,1 5/8,7.85,14.92,19.40,Wood
3483813,Ermine Black Ornate,1 5/8,6.88,13.07,17.00,Wood
3483836,Hampshire Rustic White,3/4,7.09,12.19,15.86,Wood
3483838,Hampshire Rustic Sable,3/4,7.09,12.19,15.86,Wood
3483839,Hampshire Rustic Chestnut,3/4,7.09,12.19,15.86,Wood
3483840,Hampshire Rustic Caramel,3/4,7.09,12.19,15.86,Wood
3483841,Hampshire Rustic Green,3/4,7.09,12.19,15.86,Wood
3483842,Hampshire Rustic White,2,9.08,17.26,22.43,Wood
3483844,Hampshire Rustic Sable,2,9.08,17.26,22.43,Wood
3483845,Hampshire Rustic Chestnut,2,9.08,17.26,22.43,Wood
3483846,Hampshire Rustic Caramel,2,9.08,17.26,22.43,Wood
3483878,Mercer Tall Square Antique Gold,1 3/4,11.58,19.92,25.91,Wood
3483879,Mercer Tall Square Antique Silver,1 3/4,11.58,19.92,25.91,Wood
3483880,Mercer Tall Square Antique Black,1 3/4,11.58,19.92,25.91,Wood
3483881,Mercer Tall Square Antique Red,1 3/4,11.58,19.92,25.91,Wood
3483882,Mercer Tall Square Antique White w/Silver,1 3/4,11.58,19.92,25.91,Wood
3483883,Mercer Tall Square Antique Silver/Grey,1 3/4,11.58,19.92,25.91,Wood
3483884,Mercer Tall Square Antique Gold,1 1/4,5.97,10.27,13.36,Wood
3483885,Mercer Square Antique Silver,1 1/4,5.97,10.27,13.36,Wood
3483886,Mercer Square Antique Black,1 1/4,5.97,10.27,13.36,Wood
3483887,Mercer Square Antique Red,1 1/4,5.97,10.27,13.36,Wood
3483888,Mercer Square Antique White w/Silver,1 1/4,5.97,10.27,13.36,Wood
3483889,Mercer Square Antique Silver/Grey,1 1/4,5.97,10.27,13.36,Wood
3483902,Aspen White Distressed w/Silver Lip Cap,3/4,6.76,12.84,16.70,Wood
3483903,Aspen Flax Distressed w/Gold Lip Cap,3/4,6.76,12.84,16.70,Wood
3483904,Aspen Grey Distressed w/Silver Lip Cap,3/4,6.76,12.84,16.70,Wood
3483905,Aspen Walnut Distressed w/Gold Lip Cap,3/4,6.76,12.84,16.70,Wood
3483931,Orion Mottled Gold Panel w/Step,1 3/8,8.44,14.52,18.89,Wood
3483932,Orion Mottled Silver Panel w/Step,1 3/8,8.44,14.52,18.89,Wood
3483933,Orion Mottled Pewter Panel w/Step,1 3/8,8.44,14.52,18.89,Wood
3483934,Orion Tall Mottled Gold w/Step,1,8.44,14.52,18.89,Wood
3483935,Orion Tall Mottled Silver w/Step,1,8.44,14.52,18.89,Wood
3483936,Orion Tall Mottled Pewter w/Step,1,8.44,14.52,18.89,Wood
3483937,Serenity Tall White Square w/Silver,3/4,4.62,9.71,12.63,Wood
3483938,Serenity Tall Tan Square w/Silver,3/4,4.62,9.71,12.63,Wood
3483939,Serenity Tall Brown Square w/Gold,3/4,4.62,9.71,12.63,Wood
3483940,Serenity Tall Black Square w/Gold,3/4,4.62,9.71,12.63,Wood
3483941,Serenity Chalk White Square w/Silver,1 1/8,4.24,8.91,11.59,Wood
3483942,Serenity Chalk Tan Square w/Silver,1 1/8,4.24,8.91,11.59,Wood
3483943,Serenity Chalk Brown Square w/Gold,1 1/8,4.24,8.91,11.59,Wood
3483944,Serenity Chalk Black Square w/Gold,1 1/8,4.24,8.91,11.59,Wood
3483949,High Line White Panel w/Silver Edges,1 1/8,8.07,13.88,18.05,Wood
3483950,High Line Silver Panel w/Silver Edges,1 1/8,8.07,13.88,18.05,Wood
3483951,High Line Grey Panel w/Silver Edges,1 1/8,8.07,13.88,18.05,Wood
3483952,High Line Charcoal Panel w/Silver Edges,1 1/8,8.07,13.88,18.05,Wood
3483953,High Line White Panel w/Silver Edges,1 5/8,10.79,18.56,24.13,Wood
3483954,High Line Silver Panel w/Silver Edges,1 5/8,10.79,18.56,24.13,Wood
3483955,High Line Grey Panel w/Silver Edges,1 5/8,10.79,18.56,24.13,Wood
3483956,High Line Charcoal Panel w/Silver Edges,1 5/8,10.79,18.56,24.13,Wood
3483958,Plateau Silver Flat,1 1/4,3.62,7.61,9.90,Wood
3483961,Plateau Silver Cap,3/4,3.08,6.47,8.43,Wood
3483962,Plateau Silver Square,1 5/8,5.95,11.31,14.71,Wood
3483987,Relics Weathered Brown,3 3/4,10.69,18.39,23.92,Wood
3483988,Relics Weathered Grey,3 3/4,10.69,18.39,23.92,Wood
3483989,Relics Weathered Brown,2 5/8,6.92,13.15,17.11,Wood
3483990,Relics Weathered Grey,2 5/8,6.92,13.15,17.11,Wood
3483991,Relics Weathered Brown,1 5/8,4.46,9.37,12.18,Wood
3483992,Relics Weathered Grey,1 5/8,4.46,9.37,12.18,Wood
3483993,Relics Weathered Brown Cap,7/8,5.02,10.55,13.72,Wood
3483994,Relics Weathered Grey Cap,7/8,5.02,10.55,13.72,Wood
3483995,Relics Weathered Brown Floater,1 3/4,7.13,13.55,17.62,Wood
3483996,Relics Weathered Grey Floater,1 3/4,7.13,13.55,17.62,Wood
3483997,Jensen Natural Tall w/Slant,3/4,6.90,11.87,15.44,Wood
3483998,Jensen Grey Tall w/Slant,3/4,6.90,11.87,15.44,Wood
3483999,Jensen Slate Tall w/Slant,3/4,6.90,11.87,15.44,Wood
3484000,Jensen Cappuccino Tall w/Slant,3/4,6.90,11.87,15.44,Wood
3484001,Jensen Natural Flat,1 1/2,5.41,9.31,12.12,Wood
3484002,Jensen Grey Flat,1 1/2,5.41,9.31,12.12,Wood
3484003,Jensen Slate Flat,1 1/2,5.41,9.31,12.12,Wood
3484004,Jensen Cappuccino Flat,1 1/2,5.41,9.31,12.12,Wood
3484005,Jensen Natural Cap,7/8,4.88,8.40,10.93,Wood
3484006,Jensen Grey Cap,7/8,4.88,8.40,10.93,Wood
3484007,Jensen Slate Cap,7/8,4.88,8.40,10.93,Wood
3484008,Jensen Cappuccino Cap,7/8,4.88,8.40,10.93,Wood
3484009,Jensen Natural Floater,1 1/8,8.58,14.76,19.20,Wood
3484010,Jensen Grey Floater,1 1/8,8.58,14.76,19.20,Wood
3484011,Jensen Slate Floater,1 1/8,8.58,14.76,19.20,Wood
3484012,Jensen Cappuccino Floater,1 1/8,8.58,14.76,19.20,Wood
3484030,Prism Gloss Ruby,1/2,6.85,13.02,16.94,Wood
3484031,Prism Gloss Tangerine,1/2,6.85,13.02,16.94,Wood
3484032,Prism Gloss Canary,1/2,6.85,13.02,16.94,Wood
3484033,Prism Gloss Emerald,1/2,6.85,13.02,16.94,Wood
3484034,Prism Gloss True Blue,1/2,6.85,13.02,16.94,Wood
3484035,Prism Gloss Azure,1/2,6.85,13.02,16.94,Wood
3484036,Prism Gloss Powder Blue,1/2,6.85,13.02,16.94,Wood
3484037,Prism Gloss Vanilla,1/2,6.85,13.02,16.94,Wood
3484048,Theo Grey/Pewter Scoop,1 5/8,11.01,18.94,24.63,Wood
3484049,Theo Rust/Pewter Scoop,1 5/8,11.01,18.94,24.63,Wood
3484050,Theo Bisque/Pewter Scoop,1 5/8,11.01,18.94,24.63,Wood
3484051,Theo Grey/Pewter Scoop,2 3/4,17.74,30.52,39.68,Wood
3484052,Theo Rust/Pewter Scoop,2 3/4,17.74,30.52,39.68,Wood
3484053,Theo Bisque/Pewter Scoop,2 3/4,17.74,30.52,39.68,Wood
3484068,Adrienne Gold Reverse,1 3/8,8.21,14.13,18.37,Wood
3484069,Adrienne Silver Reverse,1 3/8,8.21,14.13,18.37,Wood
3484070,Adrienne Gold Reverse,2,10.43,17.95,23.34,Wood
3484071,Adrienne Silver Reverse,2,10.43,17.95,23.34,Wood
3484081,Adrienne Tall Gold w/Step,3/4,7.59,13.06,16.99,Wood
3484082,Adrienne Tall Silver w/Step,3/4,7.59,13.06,16.99,Wood
3484083,Gloss Crimson Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484084,Gloss Tangerine Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484085,Gloss Canary Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484086,Gloss Lime Green Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484087,Gloss Sky Blue Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484088,Gloss Charcoal Angle w/White Top,3/4,7.49,12.89,16.76,Wood
3484099,Aspen Distressed White w/Silver Lip,1,4.28,9.00,11.70,Wood
3484100,Aspen Distressed White w/Gold Lip,1,4.28,9.00,11.70,Wood
3484101,Aspen Distressed Flax w/Gold Lip,1,4.28,9.00,11.70,Wood
3484102,Aspen Distressed Grey w/Silver Lip,1,4.28,9.00,11.70,Wood
3484103,Aspen Distressed Walnut w/Gold Lip,1,4.28,9.00,11.70,Wood
3484118,Weathered White Floater,1 5/8,8.06,15.32,19.93,Wood
3484119,Weathered Driftwood Floater,1 5/8,8.06,15.32,19.93,Wood
3484120,Weathered Anthracite Floater,1 5/8,8.06,15.32,19.93,Wood
3484121,Weathered White Square w/Gold Lip,1 3/4,8.23,15.64,20.34,Wood
3484122,Weathered White Square w/Silver Lip,1 3/4,8.23,15.64,20.34,Wood
3484123,Weathered Driftwood Square w/Silver Lip,1 3/4,8.23,15.64,20.34,Wood
