Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
520379,OSCAR GOLD SCOOP,LaLa,2,.5, $ 15.18 , $ 24.90 , $ 30.39 , $ 65.20 ,
520381,LUNAR SURFACE SCOOP,Luna,2,.5, $ 17.20 , $ 28.17 , $ 33.99 , $ 73.40 ,
520382,MARS ROVER SCOOP,Luna,2,.5, $ 17.20 , $ 28.17 , $ 33.99 , $ 73.40 ,
520383,"2"" LUNAR SURFACE",Luna,2,.5, $ 15.08 , $ 24.73 , $ 30.20 , $ 64.80 ,
520384,"2"" MARS ROVER",Luna,2,.5, $ 15.08 , $ 24.73 , $ 30.20 , $ 64.80 ,
520385,"2"" SILVER MOONWALK NEBULA",Luna,2,.5, $ 19.19 , $ 31.39 , $ 37.53 , $ 81.50 ,
520386,"2"" TEAL GALAXY NEBULA",Luna,2,.5, $ 19.19 , $ 31.39 , $ 37.53 , $ 81.50 ,
520387,"2"" DEEP SPACE NEBULA",Luna,2,.5, $ 19.19 , $ 31.39 , $ 37.53 , $ 81.50 ,
520388,SILVER MOONWALK NEBULA BLOCK,Luna,1.1875,.6875, $ 15.72 , $ 25.77 , $ 31.35 , $ 67.40 ,
520389,TEAL GALAXY NEBULA BLOCK,Luna,1.1875,.6875, $ 15.72 , $ 25.77 , $ 31.35 , $ 67.40 ,
