item,description,cost,Chop,join,WIDTH,rabbet,group
27960,MATT WHITE ,5.46,9.07,11.39,1,2  1/4 ,Wood
28103,OMNI BLACK /GOLD LIP ,3.98,7.28,9.36,1  1/2 ,7/8,Wood
28104,OMNI BLACK/SILVER LIP ,3.98,7.28,9.36,1  1/2 ,7/8,Wood
28105,OMNI BLACK/GUNMETAL LIP ,3.98,7.28,9.36,1  1/2 ,7/8,Wood
28201,MATT BLACK 24,6.14,9.87,12.26,1  1/4 ,2  1/2 ,Wood
28203,OMNI BLACK/GOLD LIP ,6.38,10.22,12.65,2  1/4 ,1  1/8 ,Wood
28204,OMNI BLACK/SILVER LIP,6.38,10.22,12.65,2  1/4 ,1  1/8 ,Wood
28205,OMNI BLACK/GUNMETAL LIP ,6.38,10.22,12.65,2  1/4 ,1  1/8 ,Wood
28235,OPUS MATT BLACK/SILVER,4.19,7.56,9.68,1,1  1/8 ,Wood
28245,OPUS MATT BLACK/GOLD ,4.19,7.56,9.68,1,1  1/8 ,Wood
28255,OPUS MATT BLACK/COPPER ,4.19,7.56,9.68,1,1  1/8 ,Wood
28260,MATT WHITE 24,6.14,9.87,12.26,1  1/4 ,2  1/2 ,Wood
28265,OPUS MATT BLACK/GUNMETAL ,4.19,7.56,9.68,1,1  1/8 ,Wood
28303,OMNI BLACK/GOLD LIP,9.00,13.93,16.71,3,1  3/8 ,Wood
28304,OMNI BLACK/SILVER LIP,9.00,13.93,16.71,3,1  3/8 ,Wood
28305,OMNI BLACK/GUNMETAL LIP,9.00,13.93,16.71,3,1  3/8 ,Wood
28701,MVP MATT BLACK/EMBOSSED,3.96,7.25,9.33,1  5/8 ,1,Wood
28901,MVP MATT BLACK/EMBOSSED,4.55,8.03,10.21,1  5/8 ,1  3/16,Wood
28960,MATT WHITE ,4.55,8.03,10.21,1  5/8 ,1  3/16,Wood
29201,MVP MATT BLACK ,4.64,8.14,10.34,2  3/8 ,7/8,Wood
29301,MATT BLACK 24,6.29,10.09,12.51,1  7/16,1  7/16,Wood
29360,MATT  WHITE 24,6.29,10.09,12.51,1  7/16,1  7/16,Wood
29601,MATT BLACK 24,2.84,5.56,7.32,1,1  1/8 ,Wood
29660,MATT  WHITE 24,2.84,5.56,7.32,1,1  1/8 ,Wood
29701,MATT BLACK 24,4.28,7.68,9.82,2  1/16,1  1/8 ,Wood
29760,MATT  WHITE 24,4.28,7.68,9.82,2  1/16,1  1/8 ,Wood
30040,HONORS GLOSS MAHOGANY ,4.21,7.59,9.71,1  3/16, 7/8 ,Wood
30045,HONORS GLOSS MAHOGANY/GOLD ,4.39,7.82,9.98,1  3/16, 7/8 ,Wood
30050,HONORS MATT MAHOGANY ,3.77,6.98,9.00,1  3/16, 7/8 ,Wood
30055,HONORS MATT MHGNY/GOLD ,4.01,7.32,9.41,1  3/16, 7/8 ,Wood
30075,HONORS GLOSS BLACK/GOLD ,4.21,7.59,9.71,1  3/16, 7/8 ,Wood
30120,KOTA COFFEE BROWN ,3.07,5.93,7.74,13/16,13/16,Wood
30124,KOTA PECAN ,3.07,5.93,7.74,13/16,13/16,Wood
30125,KOTA CHERRY ,3.07,5.93,7.74,13/16,13/16,Wood
30128,KOTA WALNUT ,3.07,5.93,7.74,13/16,13/16,Wood
30129,KOTA NATURAL ,3.07,5.93,7.74,13/16,13/16,Wood
30159,KOTA BLACK ,3.07,5.93,7.74,13/16,13/16,Wood
30220,KOTA COFFEE ,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30224,KOTA PECAN,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30225,KOTA CHERRY ,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30228,KOTA WALNUT ,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30229,KOTA NATURAL ,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30259,KOTA BLACK ,6.23,10.00,12.41,1  3/4 ,13/16,Wood
30320,KOTA COFFEE BROWN ,4.79,8.32,10.55,1  5/16,13/16,Wood
30324,KOTA PECAN ,4.79,8.32,10.55,1  5/16,13/16,Wood
30325,KOTA CHERRY,4.79,8.32,10.55,1  5/16,13/16,Wood
30328,KOTA WALNUT ,4.79,8.32,10.55,1  5/16,13/16,Wood
30329,KOTA NATURAL ,4.79,8.32,10.55,1  5/16,13/16,Wood
30359,KOTA BLACK ,4.79,8.32,10.55,1  5/16,13/16,Wood
30420,KOTA COFFEE BROWN ,4.79,8.32,10.55,13/16,1  5/16,Wood
30424,KOTA PECAN ,4.79,8.32,10.55,13/16,1  5/16,Wood
