item,description,cost,Chop,join,WIDTH,rabbet,group
48503,CASCADE PLATINUM ,7.50,11.84,14.42,1  7/8 ,1,Wood
48504,CASCADE DARK SILVER  ,7.50,11.84,14.42,1  7/8 ,1,Wood
48505,CASCADE BLACK ,7.50,11.84,14.42,1  7/8 ,1,Wood
48601,CASCADE II GOLD ,7.50,11.84,14.42,1,1  7/8 ,Wood
48602,CASCADE II LIGHT BRONZE ,7.50,11.84,14.42,1,1  7/8 ,Wood
48603,CASCADE II PLATINUM ,7.50,11.84,14.42,1,1  7/8 ,Wood
48604,CASCADE II DARK SILVER ,7.50,11.84,14.42,1,1  7/8 ,Wood
48605,CASCADE II BLACK ,7.50,11.84,14.42,1,1  7/8 ,Wood
48701,CASADE II GOLD ,9.27,14.32,17.14,2  1/2 ,1  1/8 ,Wood
48702,CASCADE II LIGHT BRONZE ,9.27,14.32,17.14,2  1/2 ,1  1/8 ,Wood
48703,CASCADE II PLATINUM ,9.27,14.32,17.14,2  1/2 ,1  1/8 ,Wood
48704,CASCADE II DARK SILVER ,9.27,14.32,17.14,2  1/2 ,1  1/8 ,Wood
48705,CASCADE II BLACK ,9.27,14.32,17.14,2  1/2 ,1  1/8 ,Wood
49140,ARIA GOLD/BLACK LIP ,8.68,13.49,16.23,2  1/2 ,1  3/8 ,Wood
49150,ARIA SILVER/BLACK LIP ,8.68,13.49,16.23,2  1/2 ,1  3/8 ,Wood
49240,ARIA GOLD/BLACK LIP ,6.37,10.21,12.64,1  3/4 ,1  1/4 ,Wood
49250,ARIA SILVER/BLACK LIP ,6.37,10.21,12.64,1  3/4 ,1  1/4 ,Wood
51020,OLEA COFFEE BROWN ,4.52,7.99,10.17, 3/4 ,1  1/16,Wood
51024,OLEA PECAN ,4.52,7.99,10.17, 3/4 ,1  1/16,Wood
51025,OLEA CHERRY ,4.52,7.99,10.17, 3/4 ,1  1/16,Wood
51040,OLEA TAUPE ,4.52,7.99,10.17, 3/4 ,1  1/16,Wood
51045,OLEA GRAY ,4.52,7.99,10.17, 3/4 ,1  1/16,Wood
52020,OLEA COFFEE BROWN ,6.53,10.44,12.89,1  3/8 ,1  1/8 ,Wood
52024,OLEA PECAN ,6.53,10.44,12.89,1  3/8 ,1  1/8 ,Wood
52025,OLEA CHERRY ,6.53,10.44,12.89,1  3/8 ,1  1/8 ,Wood
52040,OLEA TAUPE ,6.53,10.44,12.89,1  3/8 ,1  1/8 ,Wood
52045,OLEA GRAY ,6.53,10.44,12.89,1  3/8 ,1  1/8 ,Wood
53020,OLEA COFFEE BROWN ,13.44,20.42,23.69,2  3/4 ,1  3/8 ,Wood
53024,OLEA PECAN ,13.44,20.42,23.69,2  3/4 ,1  3/8 ,Wood
53025,OLEA CHERRY ,13.44,20.42,23.69,2  3/4 ,1  3/8 ,Wood
53040,OLEA TAUPE ,13.44,20.42,23.69,2  3/4 ,1  3/8 ,Wood
53045,OLEA GRAY ,13.44,20.42,23.69,2  3/4 ,1  3/8 ,Wood
53103,ONYX SEMI GLOSS BLACK,3.46,6.53,8.46, 5/8 ,1  1/2 ,Wood
54020,OLEA COFFEE ,7.25,11.48,14.03,1 49/87,1  1/16,Wood
54024,OLEA PECAN ,7.25,11.48,14.03,1 49/87,1  1/16,Wood
54025,OLEA CHERRY ,7.25,11.48,14.03,1 49/87,1  1/16,Wood
54040,OLEA TAUPE ,7.25,11.48,14.03,1 49/87,1  1/16,Wood
54045,OLEA GRAY ,7.25,11.48,14.03,1 49/87,1  1/16,Wood
54703,ONYX SEMI GLOSS BLACK,5.10,8.68,10.95,1,1  7/8 ,Wood
54720,PLUME COFFEE BROWN ,7.37,11.66,14.22,1  3/4 ,1  1/16,Wood
54724,PLUME PECAN ,7.37,11.66,14.22,1  3/4 ,1  1/16,Wood
54725,PLUME CHERRY ,7.37,11.66,14.22,1  3/4 ,1  1/16,Wood
54740,PLUME TAUPE ,7.37,11.66,14.22,1  3/4 ,1  1/16,Wood
54745,PLUME GRAY,7.37,11.66,14.22,1  3/4 ,1  1/16,Wood
56020,D'ORME COFFEE,6.02,9.69,12.07,1  3/16,1  1/16,Wood
56023,D'ORME LT PECAN ,6.02,9.69,12.07,1  3/16,1  1/16,Wood
56025,D'ORME CHERRY,6.02,9.69,12.07,1  3/16,1  1/16,Wood
56040,D'ORME TAUPE,6.02,9.69,12.07,1  3/16,1  1/16,Wood
56045,D'ORME GRAY ,6.02,9.69,12.07,1  3/16,1  1/16,Wood
56103,ONYX SEMI GLOSS BLACK,3.19,6.12,7.97,1  3/16,7/8,Wood
56303,ONYX SEMI GLOSS BLACK,4.41,7.85,10.01,1  3/4 ,7/8,Wood
57020,D'ORME COFFEE ,7.54,11.90,14.48,1 49/87,1  1/16,Wood
57023,D'ORME LT PECAN ,7.54,11.90,14.48,1 49/87,1  1/16,Wood
57025,D'ORME CHERRY ,7.54,11.90,14.48,1 49/87,1  1/16,Wood
57040,D'ORME TAUPE ,7.54,11.90,14.48,1 49/87,1  1/16,Wood
57045,D'ORME GRAY ,7.54,11.90,14.48,1 49/87,1  1/16,Wood
57503,ONYX SEMI GLOSS BLACK,5.36,8.96,11.27,1  5/8 ,1  3/8 ,Wood
57703,ONYX SEMI GLOSS BLACK,3.00,5.82,7.61, 3/4 ,1  1/8 ,Wood
57803,ONYX SEMI GLOSS BLACK,7.49,11.83,14.41,1  1/2 ,2  1/4 ,Wood
58020,D'ORME COFFEE ,14.60,22.13,25.51,2  3/4 ,1  3/8 ,Wood
58023,D'ORME LT PECAN ,14.60,22.13,25.51,2  3/4 ,1  3/8 ,Wood
58025,D'ORME CHERRY ,14.60,22.13,25.51,2  3/4 ,1  3/8 ,Wood
58040,D'ORME TAUPE ,14.60,22.13,25.51,2  3/4 ,1  3/8 ,Wood
58045,D'ORME GRAY ,14.60,22.13,25.51,2  3/4 ,1  3/8 ,Wood
60020,LYRA COFFEE,3.65,6.81,8.80,1,7/8,Wood
60026,LYRA GREIGE ,3.65,6.81,8.80,1,7/8,Wood
60045,LYRA TAUPE,3.65,6.81,8.80,1,7/8,Wood
60058,LYRA IVORY,3.65,6.81,8.80,1,7/8,Wood
61020,LYRA COFFEE ,5.12,8.70,10.98,1  1/2 ,7/8,Wood
61026,LYRA BEIGE,5.12,8.70,10.98,1  1/2 ,7/8,Wood
61045,LYRA TAUPE,5.12,8.70,10.98,1  1/2 ,7/8,Wood
61058,LYRA IVORY,5.12,8.70,10.98,1  1/2 ,7/8,Wood
61105,AVANT EBONY BROWN ,6.05,9.73,12.12,1  3/4 ,1  1/4 ,Wood
61205,AVANT EBONY BROWN ,7.28,11.53,14.08,2  1/4 ,1  1/4 ,Wood
61305,AVANT EBONY BROWN ,10.49,16.10,19.07,3,1  5/8 ,Wood
62320,ARMOUR GUNMETAL ,5.42,9.03,11.34,1  1/4 ,1  3/8 ,Wood
62330,ARMOUR SILVER ,5.42,9.03,11.34,1  1/4 ,1  3/8 ,Wood
62340,ARMOUR BRONZE ,5.42,9.03,11.34,1  1/4 ,1  3/8 ,Wood
62350,ARMOUR COPPER ,5.42,9.03,11.34,1  1/4 ,1  3/8 ,Wood
63320,ARMOUR GUNMETAL ,5.87,9.50,11.86,1  3/4 ,1  1/4 ,Wood
63330,ARMOUR SILVER ,5.87,9.50,11.86,1  3/4 ,1  1/4 ,Wood
63340,ARMOUR BRONZE ,5.87,9.50,11.86,1  3/4 ,1  1/4 ,Wood
63350,ARMOUR COPPER ,5.87,9.50,11.86,1  3/4 ,1  1/4 ,Wood
64010,DUNE SAND ,4.04,7.36,9.45,1  3/16, 7/8 ,Wood
65010,DUNE SAND ,4.00,7.31,9.39, 3/4 ,1  1/8 ,Wood
66010,DUNE SAND ,6.04,9.72,12.10,1,1  7/8 ,Wood
66030,DUNE BARK ,6.04,9.72,12.10,1,1  7/8 ,Wood
67024,WILLOW PECAN,4.36,7.79,9.94,1  3/8 ,1  3/16,Wood
67028,WILLOW WALNUT ,4.36,7.79,9.94,1  3/8 ,1  3/16,Wood
67045,WILLOW GRAY ,4.36,7.79,9.94,1  3/8 ,1  3/16,Wood
67058,WILLOW IVORY,4.36,7.79,9.94,1  3/8 ,1  3/16,Wood
67124,WILLOW PECAN ,7.32,11.59,14.14,2  3/16,1  7/16,Wood
67128,WILLOW WALNUT ,7.32,11.59,14.14,2  3/16,1  7/16,Wood
67145,WILLOW GRAY  ,7.32,11.59,14.14,2  3/16,1  7/16,Wood
67158,WILLOW IVORY ,7.32,11.59,14.14,2  3/16,1  7/16,Wood
68030,PIATTO SILVER,7.99,12.54,15.18,1  7/8 ,1  3/16,Wood
68040,PIATTO GOLD,7.99,12.54,15.18,1  7/8 ,1  3/16,Wood
68059,PIATTO BLACK ,7.47,11.80,14.38,1  7/8 ,1  3/16,Wood
68060,PIATTO WHITE ,7.47,11.80,14.38,1  7/8 ,1  3/16,Wood
68130,PIATTO SILVER,13.31,20.24,23.49,2  3/4 ,1  1/2 ,Wood
68140,PIATTO GOLD,13.31,20.24,23.49,2  3/4 ,1  1/2 ,Wood
68159,PIATTO BLACK ,12.44,18.97,22.13,2  3/4 ,1  1/2 ,Wood
68160,PIATTO WHITE ,12.44,18.97,22.13,2  3/4 ,1  1/2 ,Wood
68230,PIATTO SILVER,5.83,9.45,11.80,1  3/16,1  3/16,Wood
68240,PIATTO GOLD,5.83,9.45,11.80,1  3/16,1  3/16,Wood
68259,PIATTO BLACK ,5.30,8.90,11.20,1  3/16,1  3/16,Wood
71402,BLACK LACQUER ,3.08,5.95,7.76, 3/4 ,7/8,Wood
71460,MATT WHITE,2.06,4.22,5.81, 3/4 ,7/8,Wood
71502,BLACK LACQUER ,3.14,6.04,7.87, 3/4 ,13/16,Wood
71602,BLACK LACQUER ,3.33,6.34,8.22,1, 5/8,Wood
71702,BLACK LACQUER ,5.22,8.81,11.10,1,1  3/8 ,Wood
71802,BLACK LACQUER ,4.64,8.14,10.34,1  3/8 , 7/8,Wood
72302,BLACK LACQUER ,4.88,8.43,10.67,1  3/8 ,3/4,Wood
72402,BLACK LACQUER ,7.90,12.41,15.04,2  1/4 ,1  1/8 ,Wood
72850,PRIMA WHITE LACQUER ,6.91,10.99,13.50,1  3/4 ,1  1/2 ,Wood
73102,MIORE BLACK LACQUER ,5.18,8.77,11.05,1  5/8 ,7/8,Wood
73150,PRIMA WHITE LACQUER 24 ,5.18,8.77,11.05,1  5/8 ,7/8,Wood
73202,MIORE BLACK LACQUER ,5.51,9.12,11.44,1, 1  3/8 ,Wood
73250,PRIMA WHITE LACQUER 24,5.51,9.12,11.44,1,1  3/8 ,Wood
73502,MIORE BLACK LACQUER ,3.03,5.87,7.66, 3/4 ,5/8,Wood
74502,MIORE BLACK LACQUER ,7.62,12.01,14.61,2 50/89,7/8,Wood
74650,PRIMA WHITE LACQUER ,6.18,9.93,12.33,2,7/8,Wood
74702,MIORE BLACK LACQUER ,7.60,11.98,14.58,1, 2  1/8 ,Wood
74750,PRIMA WHITE LACQUER ,6.43,10.29,12.73,1,1  7/8 ,Wood
75702,MIORE BLACK LACQUER 24,6.34,10.16,12.59,1, 1  7/8 ,Wood
75750,PRIMA WHITE LACQUER 24 ,7.60,11.98,14.58,1,2  1/8 ,Wood
76102,MIORE BLACK LACQUER ,4.16,7.52,9.64,1  3/16,7/8,Wood
76150,PRIMA WHITE LACQUER ,4.22,7.60,9.73,1  3/16,7/8,Wood
77502,MIORE BLACK LACQUER ,6.84,10.89,13.39,1  5/8 , 1  3/8 ,Wood
77550,PRIMA WHITE LACQUER ,6.55,10.47,12.92,1  5/8 , 1  3/8 ,Wood
77702,MIORE BLACK LAQUER ,3.94,7.22,9.29, 3/4 , 1  1/8 ,Wood
77750,PRIMA WHITE LACQUER ,4.01,7.32,9.41, 3/4 , 1  1/8 ,Wood
77850,PRIMA WHITE LACQUER ,8.35,13.04,15.73,1  1/2 , 2  1/4 ,Wood
78002,LUXOR BLACK ,5.97,9.62,12.00,1  3/16,1 13/16,Wood
78050,LUXOR WHITE,5.97,9.62,12.00,1  3/16,1 13/16,Wood
78102,LUXOR BLACK ,6.83,10.88,13.37,2,7/8,Wood
78150,LUXOR WHITE,6.83,10.88,13.37,2,7/8,Wood
78202,LUXOR BLACK FLOATER,8.12,12.72,15.38,1  9/16,2,Wood
78250,LUXOR WHITE FLOATER,8.12,12.72,15.38,1  9/16,2,Wood
80041,EOS GRAY ,5.59,9.20,11.53,1  1/2 ,15/16,Wood
80104,ETHOS MAPLE VENEER,7.24,11.47,14.02, 3/4 ,2,Wood
80204,ETHOS MAPLE VENEER,5.57,9.18,11.51, 3/4 ,1  1/2 ,Wood
80304,ETHOS MAPLE VENEER,4.47,7.93,10.10, 5/8 ,1  5/16,Wood
84104,ETHOS MAPLE VENEER,4.71,8.22,10.44,1  3/8 ,1  1/4 ,Wood
85104,ETHOS MAPLE VENEER,7.16,11.36,13.89,1  1/2 ,2,Wood
90030,SERENE SILVER,7.75,12.20,14.81,1 15/16,1  3/16,Wood
90040,SERENE GOLD,7.75,12.20,14.81,1 15/16,1  3/16,Wood
90050,SERENE BRASS,7.75,12.20,14.81,1 15/16,1  3/16,Wood
90059,SERENE BLACK,7.75,12.20,14.81,1 15/16,1  3/16,Wood
90130,SERENE SILVER,10.50,16.25,19.21,2 15/16,1  3/8 ,Wood
90140,SERENE GOLD,10.50,16.25,19.21,2 15/16,1  3/8 ,Wood
90150,SERENE BRASS,10.50,16.25,19.21,2 15/16,1  3/8 ,Wood
90159,SERENE BLACK,10.50,16.25,19.21,2 15/16,1  3/8 ,Wood
240-134,ELAN MAHOGANY,4.90,8.45,10.70,1  1/2 ,15/16,Wood
241-120,ELAN COFFEE ,6.16,9.90,12.30,2,15/16,Wood
241-134,ELAN MAHOGANY ,6.16,9.90,12.30,2,15/16,Wood
277-120R,COFFEE BROWN STAIN,4.65,8.15,10.35, 3/4 ,1  1/4 ,Wood
277-124R,HONEY MAPLE STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-125R,CHERRY STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-128R,WALNUT STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-129R,CLEAR STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-134R,MAHOGANY STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-145R,CHARCOAL STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-158R,WHITEWASH STAIN ,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
277-159R,BLACK STAIN,4.65,8.15,10.35,  3/4 ,1  1/4 ,Wood
321-128,NUANCE WALNUT,4.20,7.58,9.70,1,1  1/4 ,Wood
321-145,NUANCE GRAY,4.20,7.58,9.70,1,1  1/4 ,Wood
322-124,NUANCE HONEY MAPLE,4.52,7.99,10.17,1  1/2 ,7/8,Wood
322-125,NUANCE CHERRY,4.52,7.99,10.17,1  1/2 ,7/8,Wood
361-120R,COFFEE BROWN STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-124R,HONEY MAPLE STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-125R,CHERRY STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-128R,WALNUT STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-129R,CLEAR STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-135R,DARK MAHOGANY STAIN,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-142R,WHITEWASH STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-145R,CHARCOAL STAIN ,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
361-159R,BLACK STAIN,4.47,7.93,10.10,1  3/16 , 3/4 ,Wood
369-120R,COFFEE BROWN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-124R,HONEY PECAN STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-125R,CHERRY STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-128R,WALNUT STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-129R,CLEAR STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-134R,MAHOGANY STAIN,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-145R,CHARCOAL STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-158R,WHITEWASH STAIN ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
369-159R,OPAQUE BLACK ,3.05,5.90,7.70,  3/4 , 3/4 ,Wood
370-120R,COFFEE BROWN STAIN ,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
370-124R,HONEY PECAN STAIN ,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
370-125R,CHERRY STAIN ,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
370-128R,WALNUT STAIN,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
370-134R,MAHOGANY STAIN ,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
370-159R,OPAQUE BLACK STAIN ,4.44,7.89,10.05,1  1/8 , 3/4 ,Wood
393-159,AINTREE BLACK,2.65,5.25,6.96,1  1/4 ,3/4,Wood
394-159,AINTREE BLACK ,3.74,6.94,8.95,1  3/4 ,1,Wood
403-002,MATT BLACK W/GOLD TRIM,3.05,5.90,7.70, 7/8 ,3/4,Wood
405-002,MATT BLACK W/GOLD TRIM ,3.89,7.15,9.21,1  3/8 ,11/16,Wood
501-128,GROVE WALNUT ,5.01,8.58,10.84, 3/4 ,1  1/8 ,Wood
501-129,GROVE NATURAL ,5.01,8.58,10.84, 3/4 ,1  1/8 ,Wood
501-141,GROVE WENGE ,5.01,8.58,10.84, 3/4 ,1  1/8 ,Wood
501-144,GROVE LT GRAY ,5.01,8.58,10.84, 3/4 ,1  1/8 ,Wood
501-158,GROVE WHITE ,5.01,8.58,10.84, 3/4 ,1  1/8 ,Wood
502-128,GROVE WALNUT ,7.16,11.36,13.89,1  1/2 ,1  1/8 ,Wood
502-129,GROVE NATURAL ,7.16,11.36,13.89,1  1/2 ,1  1/8 ,Wood
502-141,GROVE WENGE ,7.16,11.36,13.89,1  1/2 ,1  1/8 ,Wood
502-144,GROVE LT GRAY ,7.16,11.36,13.89,1  1/2 ,1  1/8 ,Wood
502-158,GROVE WHITE ,7.16,11.36,13.89,1  1/2 ,1  1/8 ,Wood
601-124,MILAN  PECAN  ,4.44,7.89,10.05,1  3/16, 3/4 ,Wood
601-127,MILAN  LT WALNUT,4.44,7.89,10.05,1  3/16, 3/4 ,Wood
601-128,MILAN  WALNUT ,4.44,7.89,10.05,1  3/16, 3/4 ,Wood
601-140,MILAN TAUPE  ,4.44,7.89,10.05,1  3/16, 3/4 ,Wood
601-145,MILAN  CHARCOAL,4.44,7.89,10.05,1  3/16, 3/4 ,Wood
602-124,MILAN  PECAN,8.23,12.87,15.55,2,1,Wood
602-127,MILAN  LT WALNUT ,8.23,12.87,15.55,2,1,Wood
602-128,MILAN  WALNUT,8.23,12.87,15.55,2,1,Wood
602-140,MILAN TAUPE  ,8.23,12.87,15.55,2,1,Wood
602-145,MILAN  CHARCOAL,8.23,12.87,15.55,2,1,Wood
F020,OLEA COFFEE BROWN FILLET,2.40,4.82,6.49, 9/16, 1/4 ,Fillet
F024,OLEA PEACAN FILLET,2.40,4.82,6.49, 9/16, 1/4 ,Fillet
F025,OLEA CHERRY FILLET,2.40,4.82,6.49, 9/16, 1/4 ,Fillet
F040,OLEA TAUPE FILLET,2.12,4.32,5.93, 9/16, 1/4 ,Fillet
F20,B&B FILLET SABLE BROWN,2.12,4.32,5.93, 5/8 , 1/8 ,Fillet
F2143,UTOPIA GOLD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2233,SILVER BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2243,GOLD BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2259,BLACK BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2333,SILVER BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2343,GOLD BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F2359,BLACK BEAD FILLET,2.28,4.61,6.25, 1/2 , 3/16,Fillet
F240,ARIA GOLD FILLET,2.22,4.50,6.13, 1/2 , 3/16,Fillet
F2433,SILVER BEAD FILLET,2.24,4.54,6.17, 1/2 , 3/16,Fillet
F2443,GOLD BEAD FILLET,2.24,4.54,6.17, 1/2 , 3/16,Fillet
F250,ARIA SILVER FILLET,2.22,4.50,6.13, 1/2 , 3/16,Fillet
F320,GLOSSY COFFEE BROWN FILLET,2.30,4.65,6.29, 7/16, 3/16,Fillet
F322,VIRTU GOLD FILLET,2.26,4.57,6.21, 5/8 , 1/8 ,Fillet
F332,VIRTU SILVER FILLET,2.26,4.57,6.21, 5/8 , 1/8 ,Fillet
F345,GLOSSY GRAY FILLET,2.30,4.65,6.29, 3/8 , 3/16,Fillet
F35,SILVER FILLET,2.28,4.61,6.25, 3/8 , 3/16,Fillet
F370,MATT BLACK FILLET,2.00,4.11,5.69, 9/16, 1/8 ,Fillet
F45,GOLD FILLET,2.28,4.61,6.25, 3/8 , 3/16,Fillet
F55,SABI ANTIQUE GOLD FILLET,2.28,4.61,6.25, 3/8 , 3/16,Fillet
F65,ELEVE GOLD FILLET,2.28,4.61,6.25, 3/8 , 1/8 ,Fillet
F75,ELEVE SILVER FILLET,2.28,4.61,6.25, 3/8 , 1/8 ,Fillet
F81,PLACER GOLD FILLET,2.28,4.61,6.25, 3/8 , 3/16,Fillet
F812,REGIA DARK GOLD FILLET,2.28,4.61,6.25, 7/16, 3/16,Fillet
F814,REGIA DARK SILVER FILLET,2.22,4.50,6.13, 7/16, 3/16,Fillet
F822,REGIA GOLD FILLET,2.24,4.54,6.17, 7/16, 3/16,Fillet
F824,REGIA SILVER FILLET,2.24,4.54,6.17, 7/16, 3/16,Fillet
F85,ELEVE DARK SILVER FILLET,2.22,4.50,6.13, 3/8 , 1/8 ,Fillet
F91,PLACER SILVER FILLET,2.30,4.65,6.29, 3/8 , 3/16,Fillet
FL10,LISO CHAMPAGNE SILVER FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
FL20,LISO GUNMETAL FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
FL30,LISO SILVER FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
FL50,LISO BRASS FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
FL80,LISO VI GOLD FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
FL90,LISO ARCTIC SILVER FILLET,2.12,4.32,5.93, 3/8 , 3/16,Fillet
STRCH-A,STRETCHER BAR,2.48,4.96,6.64,2.13, 7/16,Extender
STRCH-B,STRETCHER BAR,1.31,2.79,4.12,1.38, 3/4 ,Extender
