ITEM,description,WIDTH,cost,group
A4705,ANTIQUE SCC BILTMRE 32X40 ARTQ,32x40,32.78,Matboard
A4706,SLATE SCC BILTMORE 32X40 ARTQ,32x40,32.61,Matboard
A4707,PISGAH SCC BILTMORE 32X40 ARTQ,32x40,32.78,Matboard
A4708,CANVAS SCC BILTMORE 32X40 ARTQ,32x40,32.57,Matboard
A4709,IRON SCC BILTMORE 32X40 ARTQ,32x40,32.78,Matboard
A4800,MACADAMIA 32X40 ARTIQUE,32x40,22.44,Matboard
A4801,PARCHMENT 32X40 ARTIQUE,32x40,22.36,Matboard
A4802,OYSTER 32X40 ARTIQUE,32x40,22.44,Matboard
A4803,WHITECAP 32X40 ARTIQUE,32x40,22.42,Matboard
A4804,EGGPLANT 32X40 ARTIQUE,32x40,22.37,Matboard
A4805,CINNABAR 32X40 ARTIQUE,32x40,22.4,Matboard
A4806,ANTIQUE BRICK 32X40 ARTIQUE,32x40,22.39,Matboard
A4807,TUDOR 32X40 ARTIQUE,32x40,22.39,Matboard
A4809,KHAKI 32X40 ARTIQUE,32x40,22.44,Matboard
A4810,CANYON 32X40 ARTIQUE,32x40,22.44,Matboard
A4811,PLATINUM 32X40 ARTIQUE,32x40,22.44,Matboard
A4812,SEASPRAY 32X40 ARTIQUE,32x40,22.44,Matboard
A4813,BLUE ASH 32X40 ARTIQUE,32x40,22.44,Matboard
A4814,JETTY 32X40 ARTIQUE,32x40,22.34,Matboard
A4815,GOBELIN 32X40 ARTIQUE,32x40,22.4,Matboard
A4816,HARBOR BLUE 32X40 ARTIQUE,32x40,22.32,Matboard
A4817,SEASIDE 32X40 ARTIQUE,32x40,22.44,Matboard
A4818,BRIDGEWATER 32X40 ARTIQUE,32x40,22.44,Matboard
A4819,TETON SKY 32X40 ARTIQUE,32x40,22.4,Matboard
A4820,BOTANICAL 32X40 ARTIQUE,32x40,22.44,Matboard
A4821,FOREST 32X40 ARTIQUE,32x40,22.44,Matboard
A4822,EVERGREEN 32X40 ARTIQUE,32x40,22.39,Matboard
A4823,ACORN 32X40 ARTIQUE,32x40,22.4,Matboard
A4825,BALMORAL 32X40 ARTIQUE,32x40,22.37,Matboard
A4826,PUMICE 32X40 ARTIQUE,32x40,22.26,Matboard
A4827,IVY 32X40 ARTIQUE,32x40,22.39,Matboard
A4828,SHARROW BAY 32X40 ARTIQUE,32x40,22.34,Matboard
A4830,VANILLA BEAN 32X40 ARTIQUE,32x40,22.44,Matboard
A4832,PUMPKIN 32X40 ARTIQUE,32x40,22.39,Matboard
A4833,GRAPHITE 32X40 ARTIQUE,32x40,22.4,Matboard
A4834,SANGRIA 32X40 ARTIQUE,32x40,22.36,Matboard
A4835,CYPRESS 32X40 ARTIQUE,32x40,22.44,Matboard
A4836,CLOVE 32X40 ARTIQUE,32x40,22.44,Matboard
A4837,BIRCH 32X40 ARTIQUE,32x40,22.38,Matboard
A4838,GREY FELL 32X40 ARTIQUE,32x40,22.44,Matboard
A4840,GULL 32X40 ARTIQUE,32x40,22.44,Matboard
A4841,GOLD METALLIC 32X40 ARTIQUE,32x40,22.44,Matboard
A4842,SILVER METALLIC 32X40 ARTIQUE,32x40,22.23,Matboard
A4843,INK 32X40 ARTIQUE,32x40,22.4,Matboard
A4844,MOSS 32X40 ARTIQUE,32x40,22.44,Matboard
A4846,CUSTARD 32X40 ARTIQUE,32x40,22.44,Matboard
A4849,NICKEL 32X40 ARTIQUE,32x40,22.44,Matboard
A4851,DOESKIN 32X40 ARTIQUE,32x40,22.44,Matboard
A4852,SAFFRON 32X40 ARTIQUE,32x40,22.44,Matboard
A4853,OLIVE 32X40 ARTIQUE,32x40,22.44,Matboard
A4854,MIRO 32X40 ARTIQUE,32x40,22.4,Matboard
A4855,MARINER 32X40 ARTIQUE,32x40,22.35,Matboard
A4856,NOTTINGHAM 32X40 ARTIQUE,32x40,22.44,Matboard
A4857,VINEYARD 32X40 ARTIQUE,32x40,22.35,Matboard
A4858,RAVEN 32X40 ARTIQUE,32x40,22.39,Matboard
A4859,STONEHENGE 32X40 ARTIQUE,32x40,22.39,Matboard
A4860,COTSWOLD GREY 32X40 ARTIQUE,32x40,22.44,Matboard
A4861,BUFF 32X40 ARTIQUE,32x40,22.44,Matboard
A4862,SNOWDRIFT 32X40 ARTIQUE,32x40,22.32,Matboard
A4863,SHEFFIELD 32X40 ARTIQUE,32x40,22.4,Matboard
A4864,COBBLESTONE 32X40 ARTIQUE,32x40,22.4,Matboard
A4865,DOVER WHITE 32X40 ARTIQUE,32x40,22.41,Matboard
A4866,EVEREST 32X40 ARTIQUE,32x40,22.44,Matboard
A4868,BRIDLE PATH 32X40 ARTIQUE,32x40,22.44,Matboard
A4870,IRIS 32X40 ARTIQUE,32x40,22.44,Matboard
A4871,MULBERRY 32X40 ARTIQUE,32x40,22.44,Matboard
A4872,THISTLE 32X40 ARTIQUE,32x40,22.41,Matboard
A4873,JARDIN 32X40 ARTIQUE,32x40,22.44,Matboard
A4874,CHALK 32X40 ARTIQUE,32x40,22.43,Matboard
A4875,COAL 32X40 ARTIQUE,32x40,22.44,Matboard
A4876,AGAVE 32X40 ARTIQUE,32x40,22.44,Matboard
A4877,ALOE 32X40 ARTIQUE,32x40,22.32,Matboard
A4878,LAPIS 32X40 ARTIQUE,32x40,22.37,Matboard
A4879,LAURA 32X40 ARTIQUE,32x40,22.44,Matboard
A4880,REED 32X40 ARTIQUE,32x40,22.44,Matboard
A4881,SEDONA 32X40 ARTIQUE,32x40,22.44,Matboard
A4882,TALCUM 32X40 ARTIQUE,32x40,22.44,Matboard
A4883,FRESCO 32X40 ARTIQUE,32x40,22.39,Matboard
A4885,DUNE 32X40 ARTIQUE,32x40,22.44,Matboard
A4886,BARLEY 32X40 ARTIQUE,32x40,22.44,Matboard
A4901,WHITE 32X40 ARTIQUE,32x40,22.44,Matboard
A4902,OFF WHITE 32X40 ARTIQUE,32x40,22.43,Matboard
A4903,IVORY 32X40 ARTIQUE,32x40,22.41,Matboard
A4905,SHALETONE 32X40 ARTIQUE,32x40,22.42,Matboard
A4906,DEVONSHIRE 32X40 ARTIQUE,32x40,22.41,Matboard
A4907,TRUE BLACK 32X40 ARTIQUE,32x40,22.37,Matboard
A4908,SAPPHIRE 32X40 ARTIQUE,32x40,22.44,Matboard
A4909,ROYAL BLUE 32X40 ARTIQUE,32x40,22.34,Matboard
A4910,ECRU 32X40 ARTIQUE,32x40,22.44,Matboard
A4911,LOGANBERRY 32X40 ARTIQUE,32x40,22.44,Matboard
A4912,ADMIRALTY 32X40 ARTIQUE,32x40,22.44,Matboard
A4913,EMERALD 32X40 ARTIQUE,32x40,22.28,Matboard
A4914,HERITAGE BLUE 32X40 ARTIQUE,32x40,22.33,Matboard
A4915,BERRY RED 32X40 ARTIQUE,32x40,22.39,Matboard
A4916,MAGNOLIA 32X40 ARTIQUE,32x40,22.35,Matboard
A4917,LINEN 32X40 ARTIQUE,32x40,22.37,Matboard
A4918,SNOW WHITE 32X40 ARTIQUE,32x40,22.43,Matboard
A4920,SILVER GHOST 32X40 ARTIQUE,32x40,22.44,Matboard
A4921,PEBBLE 32X40 ARTIQUE,32x40,22.44,Matboard
A4924,VERMILLION 32X40 ARTIQUE,32x40,22.35,Matboard
A4926,REGAL RED 32X40 ARTIQUE,32x40,22.25,Matboard
A4927,DIJON 32X40 ARTIQUE,32x40,22.34,Matboard
A4928,SUNSHINE 32X40 ARTIQUE,32x40,22.44,Matboard
A4929,WISTERIA 32X40 ARTIQUE,32x40,22.33,Matboard
A4930,OLIVE GREY 32X40 ARTIQUE,32x40,22.44,Matboard
A4931,LAVENDER 32X40 ARTIQUE,32x40,22.44,Matboard
A4933,AQUAMIST 32X40 ARTIQUE,32x40,22.38,Matboard
A4934,CHESTNUT 32X40 ARTIQUE,32x40,22.39,Matboard
A4935,MUSHROOM 32X40 ARTIQUE,32x40,22.36,Matboard
A4937,THATCH 32X40 ARTIQUE,32x40,22.41,Matboard
A4938,SEA 32X40 ARTIQUE,32x40,22.44,Matboard
A4940,MISTY JADE 32X40 ARTIQUE,32x40,22.44,Matboard
A4941,WEDGEWOOD 32X40 ARTIQUE,32x40,22.44,Matboard
A4942,SKY 32X40 ARTIQUE,32x40,22.44,Matboard
A4943,VICTORIA 32X40 ARTIQUE,32x40,22.44,Matboard
A4944,SEAWALL 32X40 ARTIQUE,32x40,22.44,Matboard
A4945,FERN 32X40 ARTIQUE,32x40,22.44,Matboard
A4946,PINEWOOD 32X40 ARTIQUE,32x40,22.1,Matboard
A4947,LILAC 32X40 ARTIQUE,32x40,22.44,Matboard
A4950,AMBER 32X40 ARTIQUE,32x40,22.31,Matboard
A4952,WALNUT 32X40 ARTIQUE,32x40,22.44,Matboard
A4953,DUSKY PINK 32X40 ARTIQUE,32x40,22.44,Matboard
A4954,POWDER 32X40 ARTIQUE,32x40,22.44,Matboard
A4955,AUBERGINE 32X40 ARTIQUE,32x40,22.44,Matboard
A4957,EMPIRE TURK 32X40 ARTIQUE,32x40,22.41,Matboard
A4958,FUCHSIA 32X40 ARTIQUE,32x40,22.44,Matboard
A4959,SPRUCE 32X40 ARTIQUE,32x40,22.44,Matboard
A4960,PEWTER 32X40 ARTIQUE,32x40,22.41,Matboard
A4961,CRYSTAL 32X40 ARTIQUE,32x40,22.37,Matboard
A4962,BAY LEAF 32X40 ARTIQUE,32x40,22.44,Matboard
A4963,COCOA 32X40 ARTIQUE,32x40,22.44,Matboard
A4964,VEIL 32X40 ARTIQUE,32x40,22.38,Matboard
A4965,LEATHER 32X40 ARTIQUE,32x40,22.4,Matboard
A4966,MUSLIN 32X40 ARTIQUE,32x40,22.35,Matboard
A4967,MIDNIGHT BLUE 32X40 ARTIQUE,32x40,22.41,Matboard
A4968,ONYX 32X40 ARTIQUE,32x40,22.44,Matboard
A4969,NIGHT 32X40 ARTIQUE,32x40,22.4,Matboard
A4970,HEMLOCK 32X40 ARTIQUE,32x40,22.44,Matboard
A4971,CATTAIL 32X40 ARTIQUE,32x40,22.4,Matboard
A4972,RAINIER 32X40 ARTIQUE,32x40,22.42,Matboard
A4973,DRIZZLE 32X40 ARTIQUE,32x40,22.44,Matboard
A4974,MIST 32X40 ARTIQUE,32x40,22.35,Matboard
A4975,LICHEN 32X40 ARTIQUE,32x40,22.44,Matboard
A4976,COAST 32X40 ARTIQUE,32x40,22.44,Matboard
A4977,DIGITAL WHITE 32X40 ARTIQUE,32x40,22.41,Matboard
A4979,HENNA RIPPLE 32X40 ARTIQUE,32x40,25.05,Matboard
A4980,LENTIL RIPPLE 32X40 ARTIQUE,32x40,25.05,Matboard
A4981,CAMEL RIPPLE 32X40 ARTIQUE,32x40,25.05,Matboard
A4982,FOG RIPPLE 32X40 ARTIQUE,32x40,25.05,Matboard
A4983,CUMIN RIPPLE 32X40 ARTIQUE,32x40,24.65,Matboard
A4984,BERBER RIPPLE 32X40 ARTIQUE,32x40,25.05,Matboard
A4985,MINT TEA 32X40 ARTIQUE,32x40,22.44,Matboard
A4986,INDIGO 32X40 ARTIQUE,32x40,22.44,Matboard
A4988,KILIM RED 32X40 ARTIQUE,32x40,22.44,Matboard
A4989,DATE 32X40 ARTIQUE,32x40,22.44,Matboard
A4990,SAGE 32X40 ARTIQUE,32x40,22.4,Matboard
A6100,WINTER WHT 40X60 4PL RAG ARTQ,40x60,72.07,Matboard
A6200,WINTER WHT 32X40 4PL RAG 25PK,32x40,42.43,Matboard
A6201,DOWN 32X40 4PL RAG ARTQ 25PK,32x40,42.55,Matboard
A6202,WHITEWASH 32X40 4PL RAG 25PK,32x40,42.39,Matboard
A6203,SWEET CRM 32X40 4PL RAG 25PK,32x40,42.52,Matboard
A6204,NIGHTFALL 32X40 4PL RAG 25PK,32x40,42.56,Matboard
A6205,OATMEAL 32X40 4PL RAG 25PK,32x40,43.98,Matboard
A6206,BAVARN CRM 32X40 4PL RAG 25PK,32x40,42.41,Matboard
A6207,BUTTR PECAN 32X40 4PL RAG 25PK,32x40,42.4,Matboard
A6208,SEASHELL 32X40 4PL RAG 25PK,32x40,44.15,Matboard
A6209,BISQUE 32X40 4PL RAG 25PK,32x40,42.55,Matboard
A6210,FRAPPE 32X40 4PL RAG 25PK,32x40,43.98,Matboard
A6211,MARBLE 32X40 4PL RAG 25PK,32x40,42.41,Matboard
A6400,WINTER WHT 48X72 4PL RAG ARTQ,48x72,118.93,Matboard
A6500,WINTER WHT 48X96 4PL RAG ARTQ,48x96,184.67,Matboard
A84101,WHITE 8PLY 40X60 ARTIQUE 2PK,40x60,90.09,Matboard
A84118,CHESTNUT 8PLY 40X60 ARTQ 2PK,40x60,73.32,Matboard
A84120,THATCH 8PLY 40X60 ARTIQUE 2PK,40x60,90.1,Matboard
A84127,RAVEN 8PLY 40X60 ARTIQUE 2PK,40x60,93.91,Matboard
A84141,NIGHT 8PLY 40X60 ARTIQUE 2PK,40x60,93.2,Matboard
A84143,DOVER WHITE 8PLY 40X60 2PK,40x60,90.09,Matboard
