item,Description,category,size decimal,rabbet decimal,cost,Chop,Join, upc ,group
520379,OSCAR GOLD SCOOP,LaLa,2,.5,15.18,24.90,30.39,,Wood
520381,LUNAR SURFACE SCOOP,Luna,2,.5,17.20,28.17,33.99,,Wood
520382,MARS ROVER SCOOP,Luna,2,.5,17.20,28.17,33.99,,Wood
520383,2 LUNAR SURFACE,Luna,2,.5,15.08,24.73,30.20,,Wood
520384,2 MARS ROVER,Luna,2,.5,15.08,24.73,30.20,,Wood
520385,2 SILVER MOONWALK NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520386,2 TEAL GALAXY NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520387,2 DEEP SPACE NEBULA,Luna,2,.5,19.19,31.39,37.53,,Wood
520388,SILVER MOONWALK NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520389,TEAL GALAXY NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520390,DEEP SPACE NEBULA BLOCK,Luna,1.1875,.6875,15.72,25.77,31.35,,Wood
520391,APRICOT METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520394,PERIWINKLE METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520395,BUBBLEGUM METALLIC GINGHAM,Gingham,1.7500,.5625,14.21,23.33,28.66,,Wood
520396,EBONY ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520397,CHERUB ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520398,OLIVE ARABESQUE,Bernini,1,.375,10.07,16.61,21.28,,Wood
520399,STERLING ARABESQUE,Bernini,1,.375,11.74,19.32,24.25,,Wood
520400,CERULEAN BLUE LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520401,PHARAOH GREEN LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520402,ROYAL HEATHER LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520403,EBONY ROSE LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520404,OLIVE GREEN LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520405,CHIFFON GOLD LAUREL,Daphne,1,.375,10.07,16.61,21.28,,Wood
520406,COPPER FLAME RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520407,FELDSPAR GREEN RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520408,SPARTA GOLD RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520409,COBALT BLUE RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520410,COPPER RED RAKU DEEP CAP,Raku,0.7500,1,14.06,23.07,28.38,,Wood
520411,COPPER FLAME RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520412,FELDSPAR GREEN RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520413,SPARTA GOLD RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520414,COBALT BLUE RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520415,COPPER RED RAKU BLOCK,Raku,1.1875,.6875,14.47,23.75,29.12,,Wood
520416,TINY COPPER FLAME RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520417,TINY FELDSPAR GREEN RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520418,TINY SPARTA GOLD RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520419,TINY COBALT BLUE RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520420,TINY COPPER RED RAKU ,Raku,0.5625,.5,8.14,13.48,17.83,,Wood
520451,CELESTINE BLUE FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520452,CHIFFON GOLD FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520453,CAPPUCCINO ROSE FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520454,ITALIAN ORCHID FILIGREE,Bernini,2.0000,0.5000,21.35,34.88,41.37,,Wood
520459,CAMPFIRE BLACK TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625,12.10,19.91,24.90,,Wood
520462,SCOUT BLUE TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625,12.10,19.91,24.90,,Wood
520463,CAMPFIRE BLACK TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520464,CABINE RED TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520465,SCOUT GREEN TRACKS BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520466,SCOUT BLUE TRACKS  BLOCK,Scout,1.1250,0.6875,9.35,15.45,20.00,,Wood
520473,GILDED BERRIES OF VERSAILLES,Marie,2.6875,0.5000,27.36,44.62,52.08,,Wood
520474,VERDANT BERRIES OF VERSAILLES,Marie,2.6875,0.5000,27.36,44.62,52.08,,Wood
520475,PETITE GOLD AND GREY ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
520476,PETITE GOLD AND ROUGE ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
520477,PETITE BRIGHT GOLD ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
520478,PETITE GOLD AND GREEN ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
520479,PETITE GOLD AND BLEU ROCOCO RUFFLE,Marie,0.7500,0.375,12.72,20.90,25.99,,Wood
520482,GOLDEN PEARL TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520483,COPPER CORAL TINY SCALLOP,Abalone,0.5625,0.4375,10.47,17.26,21.99,,Wood
520484,DOLPHIN BLUE TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520485,OYSTER PEARL TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520486,SILVER SANDS TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520487,SILVER SHARKL TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520488,MOON JELLYFISH TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520489,MAROONED TINY SCALLOP,Abalone,0.5625,0.4375,9.62,15.89,20.48,,Wood
520496,JET BLACK POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520497,ELECTRIC BLUE POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520498,PARADISE BLUE POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520499,KALE POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520500,EMERALD POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520501,GREENERY POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520503,MIMOSA POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520504,TIGERLILY POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520505,BORDEAUX POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520506,FUCHSIA POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520507,CARAMEL POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520508,ROOT BEER POP,Pop!,0.625,0.3125,9.51,15.70,20.27,,Wood
520509,CARAMEL ANGLE,Pop!,1.125,0.5000,10.84,17.86,22.64,,Wood
520510,JET BLACK ANGLE,Pop!,1.125,0.5000,11.81,19.44,24.38,,Wood
520511,ELECTRIC BLUE ANGLE,Pop!,1.125,0.5000,11.81,19.44,24.38,,Wood
520512,FUCHSIA ANGLE,Pop!,1.125,0.5000,11.81,19.44,24.38,,Wood
520513,LILAC AMETHYST BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520515,WHITE MOONSTONE BLOCK,Quarry,1.9375,0.7500,22.18,36.23,42.86,,Wood
520516,TURQUOISE BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520517,GREEN JASPER BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520518,LAPIS LAZULI BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520519,TIGERS EYE BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520520,RED GARNET BLOCK,Quarry,1.9375,0.7500,24.18,39.47,46.41,,Wood
520521,LILAC AMETHYST DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520522,ROSE QUARTZ DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520523,WHITE MOONSTONE DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520524,TURQUOISE DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520525,GREEN JASPER DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520526,LAPIS LAZULI DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520527,TIGERS EYE DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520528,RED GARNET DOME CAP,Quarry,1.1875,1.1875,20.87,34.11,40.52,,Wood
520529,FERRIS STEEL TIVOLI DEEP CAP,Tivoli,0.75,1,17.41,28.50,34.35,,Wood
520530,JACKPOT GOLD TIVOLI DEEP CAP,Tivoli,0.75,1,17.41,28.50,34.35,,Wood
520532,CHERRY ICE TIVOLI DEEP CAP,Tivoli,0.75,1,17.41,28.50,34.35,,Wood
520533,JUPITER GREEN TIVOLI DEEP CAP,Tivoli,0.75,1,17.41,28.50,34.35,,Wood
520534,VIOLET SIDESHOW TIVOLI DEEP CAP,Tivoli,0.75,1,22.29,36.41,43.06,,Wood
520535,JACKPOT GOLD TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520536,GOLDEN HOUR TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520537,CHERRY ICE TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520538,PEGASUS BLUE TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520539,VIOLET SIDESHOW TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520540,MERRY GO BROWN TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520541,GREEN PLEASURE GARDEN TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520542,LIMELIGHT TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520543,COPPER CANDY TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520545,CHAMPAGNE WALTZ TIVOLI,Tivoli,1,0.4375,11.22,18.47,23.32,,Wood
520550,WINTER GREY DRAGONS SCALES,Castelli,1.25,0.5625,17.31,28.34,34.17,,Wood
520551,FLAMING BRONZE DRAGONS SCALES,Castelli,1.25,0.5625,17.31,28.34,34.17,,Wood
520552,SMOLDERING SILVER DRAGONS SCALES,Castelli,1.25,0.5625,22.16,36.19,42.81,,Wood
520553,ALCHEMIST GOLD DRAGONS SCALES,Castelli,1.25,0.5625,17.31,28.34,34.17,,Wood
520554,MOLTEN SILVER FLAT,Castelli,1,0.4375,13.44,22.07,27.28,,Wood
520555,ALCHEMIST GOLD FLAT,Castelli,1,0.4375,10.58,17.44,22.19,,Wood
520556,BURNT BRONZE FLAT,Castelli,1,0.4375,10.58,17.44,22.19,,Wood
520557,BURNT BRASS FLAT,Castelli,1,0.4375,10.58,17.44,22.19,,Wood
520558,MOLTEN SILVER DRAGONS TONGUE,Castelli,1.0625,0.3750,22.18,36.23,42.86,,Wood
520559,BURNT BRONZE DRAGONS TONGUE,Castelli,1.0625,0.3750,22.18,36.23,42.86,,Wood
520560,ALCHEMIST GOLD DRAGONS TONGUE,Castelli,1.0625,0.3750,17.32,28.35,34.19,,Wood
520561,BATHTUB GIN ANGLED,Ellington,2.5,0.8750,20.69,33.82,40.20,,Wood
520562,COUNT BASIE BRONZE ANGLED,Ellington,2.5,0.8750,20.69,33.82,40.20,,Wood
520564,COTTON CLUB PINK ANGLED,Ellington,2.5,0.8750,20.69,33.82,40.20,,Wood
520565,MOOD INDIGO ANGLED,Ellington,2.5,0.8750,20.69,33.82,40.20,,Wood
520566,COUNT BASIE BRONZE TINY TRACKS,Ellington,0.625,0.3125,8.50,14.08,18.48,,Wood
520567,BATHTUB GIN TINY TRACKS,Ellington,0.625,0.3125,8.50,14.08,18.48,,Wood
520568,COTTON CLUB PINK TINY TRACKS,Ellington,0.625,0.3125,8.50,14.08,18.48,,Wood
520569,SOPHISTICATED LILAC TINY TRACKS,Ellington,0.625,0.3125,8.50,14.08,18.48,,Wood
520570,MOOD INDIGO TINY TRACKS,Ellington,0.625,0.3125,8.50,14.08,18.48,,Wood
520571,DARK CRIMSON BAY LEAF AND BERRY,Daphne,1.375,0.6250,18.12,29.66,35.62,,Wood
520572,DARK OLIVE BAY LEAF AND BERRY,Daphne,1.375,0.6250,18.12,29.66,35.62,,Wood
520573,PHARAOH GREEN BAY LEAF AND BERRY,Daphne,1.375,0.6250,18.12,29.66,35.62,,Wood
520574,EBONY BAY LEAF AND BERRY,Daphne,1.375,0.6250,18.12,29.66,35.62,,Wood
520575,CHIFFON GOLD BAY LEAF AND BERRY,Daphne,1.375,0.6250,18.12,29.66,35.62,,Wood
520576,EBONY PETITE ARABESQUE,Daphne,0.6258,0.3125,10.67,17.59,22.34,,Wood
520577,PHARAOH GREEN PETITE ARABESQUE,Daphne,0.6258,0.3125,10.67,17.59,22.34,,Wood
520578,CERULEAN BLUE PETITE ARABESQUE,Daphne,0.6258,0.3125,10.67,17.59,22.34,,Wood
520579,OLIVE GREEN PETITE ARABESQUE,Daphne,0.6258,0.3125,10.67,17.59,22.34,,Wood
520580,CRIMSON PETITE ARABESQUE,Daphne,0.6258,0.3125,10.67,17.59,22.34,,Wood
520581,MORNING MIST MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520582,SHADOW BLACK MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520583,LILAC SKY MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520584,SERENE CERULEAN MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520585,GILDED SUN MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520586,CASTELLO GREY MOUNTAIN PINE,Garda,2,0.75,23.21,37.91,44.70,,Wood
520587,MORNING MIST ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520588,SHADOW BLACK ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520589,LILAC SKY ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520590,SERENE CERULEAN ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520591,GILDED SUN ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520592,CASTELLO GREY ORNATE RIPPLE CAP,Garda,1.0625,1.1875,18.66,30.53,36.59,,Wood
520593,TINY AMBER ORANGE RAKU,Raku,0.5625,0.50,8.14,13.48,17.83,,Wood
520594,AMBER ORANGE RAKU BLOCK,Raku,0.8125,0.6875,14.47,23.75,29.12,,Wood
520595,AMBER ORANGE RAKU DEEP CAP,Raku,0.75,1,14.06,23.07,28.38,,Wood
520596,AMBER ORANGE RAKU,Raku,1.9375,0.75,16.28,26.67,32.34,,Wood
520597,SILVER MOONWALK NEBULA FLOATER,Raku,0.8125,1.9375,38.11,62.04,71.24,,Wood
520598,AMBER ORANGE RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520599,SPARTA GOLD RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520600,COPPER FLAME RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520601,COPPER RED RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520602,COBALT BLUE RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520603,FELDSPAR GREEN RAKU FLOATER,Raku,0.8125,1.9375,29.57,48.20,56.02,,Wood
520604,TINY ESPRESSO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520605,TINY FRUTTI DE BOSCO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520606,TINY LIMONCELLO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520607,TINY ROSMARINO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520608,TINY PISTACHIO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520609,TINY MENTA ,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520610,TINY AMARETTO,Gelato,0.5625,0.3750,8.29,13.73,18.11,,Wood
520611,DUESTED MOON SILVER TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520612,SUN KING GOLD TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520613,SOIL BLACK TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520614,FOUNTAIN GREY TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520615,BORDEAUX BRICK TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520616,DELPHINIUM BLEU TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520617,AQUA VERT TREILLIS,Jardin,1.375,0.5000,14.53,23.84,29.23,,Wood
520618,DUSTED MOON VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520619,SUN KING GOLD VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
