item,Description,category,size decimal,rabbet decimal,cost,Chop,Join, upc ,group
520620,SOIL BLACK VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520621,FOUNTAIN GREY VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520622,BORDEAUX BRICK VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520623,DELPHINIUM BLEU VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520624,AQUA VERT VIGNE,Jardin,2.25,0.5000,24.61,40.17,47.18,,Wood
520625,DUSTED MOON FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520626,SUN KING GOLD FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520627,SOIL BLACK FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520628,FOUNTAIN GREY FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520629,BORDEAUX BRICK FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520630,DELPHINIM BLEU FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520631,AQUA VERT FOLIAGE CAP,Jardin,0.875,1.7500,21.83,35.66,42.23,,Wood
520632,PROPHECY BLACK COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520633,LUSH HARVEST GREEN COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520634,DEEP POSEIDON BLUE COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520635,TRUE TYRIAN PURPLE COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520636,RUSTED CYPRESS COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520637,REGAL LINEN COINS CAP,Helena,0.75,1.000,18.36,30.05,36.06,,Wood
520638,LIQUID DUSK EPOXY ANGLE,Resina,1.5,0.375,17.30,28.32,34.15,,Wood
520639,ENDLESS AZURE EPOXY ANGLE,Resina,1.5,0.375,17.30,28.32,34.15,,Wood
520640,OPALINE EMERALD EPOXY ANGLE,Resina,1.5,0.375,17.30,28.32,34.15,,Wood
520641,ROBUST RUBY EPOXY ANGLE,Resina,1.5,0.375,17.30,28.32,34.15,,Wood
520642,BURNT GINGER EPOXY ANGLE,Resina,1.5,0.375,17.30,28.32,34.15,,Wood
520643,LIQUID DUSK SERRATED SCOOP,Resina,2.25,0.750,25.12,40.99,48.09,,Wood
520644,ENDLESS AZURE SERRATED SCOOP,Resina,2.25,0.750,25.12,40.99,48.09,,Wood
520645,OPALINE EMERALD SERRATED SCOOP,Resina,2.25,0.750,25.12,40.99,48.09,,Wood
520646,ROBUST RUBY SERRATED SCOOP,Resina,2.25,0.750,25.12,40.99,48.09,,Wood
520647,BURNT GINGER SERRATED SCOOP,Resina,2.25,0.750,25.12,40.99,48.09,,Wood
520648,ARDOISE NOIR PANEL W/ GOLD,Barbizon,1.1875,0.375,16.77,27.46,33.21,,Wood
520649,VERDURE VIRIDIAN PANEL W/ GOLD,Barbizon,1.1875,0.375,16.77,27.46,33.21,,Wood
520650,CRÈME DE SIENNE PANEL W/ GOLD,Barbizon,1.1875,0.375,16.77,27.46,33.21,,Wood
520651,ARDOISE NOIR PANEL SCOOP W/ GOLD,Barbizon,2.500,1.000,30.44,49.62,57.58,,Wood
520652,VERDURE VIRIDIAN PANEL SCOOP W/ GOLD,Barbizon,2.500,1.000,30.44,49.62,57.58,,Wood
520653,CRÈME DE SIENNE PANEL SCOOP W/ GOLD,Barbizon,2.500,1.000,30.44,49.62,57.58,,Wood
520654,GOLDEN GROUPER HALF ROUND,IL Mare,0.625,0.3125,11.51,18.94,23.83,,Wood
520655,KINETIC KELP HALF ROUND,IL Mare,0.625,0.3125,11.51,18.94,23.83,,Wood
520656,NEON PINK POLPO HALF ROUND,IL Mare,0.625,0.3125,11.51,18.94,23.83,,Wood
520657,LUSCIOUS LANGOSTINO HALF ROUND,IL Mare,0.625,0.3125,11.51,18.94,23.83,,Wood
520658,ELECTRIC BARRACUDA BLUE HALF ROUND,IL Mare,0.625,0.3125,11.51,18.94,23.83,,Wood
520659,GOLDEN TIDAL WAVE,IL Mare,1.500,0.625,24.29,39.64,46.61,,Wood
520660,TURQUIOSE TIDAL WAVE,IL Mare,1.500,0.625,24.29,39.64,46.61,,Wood
520661,AMETHYST TIDAL WAVE,IL Mare,1.500,0.625,24.29,39.64,46.61,,Wood
520662,BLUSHED TIDAL WAVE,IL Mare,1.500,0.625,24.29,39.64,46.61,,Wood
520663,AEGEAN BLUE TIDAL WAVE,IL Mare,1.500,0.625,24.29,39.64,46.61,,Wood
520664,BLACK ABYSS CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520665,TURQUOISE COVE CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520666,AMETHYST REEF CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520667,BLUSHED SHORE CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520668,AEGEAN BLUE CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520669,SALTED IVORY CORALLO W/ GOLD,IL Mare,1.875,0.875,27.66,45.11,52.62,,Wood
520670,TRES LECHES BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520671,AZTLAN GOLD BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520672,POSADA BLACK BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520673,BOHEMIA BLUE BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520674,THALIA TEAL BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520675,EL MORADO MURAL BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520676,MIDWAY MARIGOLD BRICK CAP,Pilsen,0.813,0.9375,18.37,30.05,36.06,,Wood
520677,TRES LECHES SWAN,Pilsen,2.688,1.375,29.84,48.65,56.51,,Wood
520678,AZTLAN GOLD SWAN,Pilsen,2.688,1.375,29.84,48.65,56.51,,Wood
520679,POSADA BLACK SWAN,Pilsen,2.688,1.375,29.84,48.65,56.51,,Wood
520680,ANCIENT COBALT ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520681,OXIDIZED PURPLE ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520682,ALHAMBRA RED ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520683,EARTHEN BROWN ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520684,VALLEY OF TURQUOISE ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520685,OLIVED PERIDOT ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520686,CARVED CREAM ARABESQUE,Alhambra,0.9375,0.375,10.57,17.43,22.17,,Wood
520687,TALL BRONZE W/ KALEIDOSCOPE SIDES,Kaleidoscope,1.1250,1.000,25.12,40.99,48.09,,Wood
520688,TALL TEAL W/ KALEIDOSCOPE SIDES,Kaleidoscope,1.1250,1.000,25.12,40.99,48.09,,Wood
520689,TALL GOLD W/ KALEIDOSCOPE SIDES,Kaleidoscope,1.1250,1.000,25.12,40.99,48.09,,Wood
520690,ATOMIC SCARLET W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520691,MIDNIGHT DREAMS W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520692,MOSS TRAILS W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520693,MYSTIC VIOLET W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520694,TRANQUIL TEAL W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520695,SAFFRON CITRUS W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520696,SEPIA NIGHT W/ BLACK RAYS,Kaleidoscope,1.1875,0.6875,14.81,24.29,29.72,,Wood
520697,TEAL KALEIDOSCOPE,Kaleidoscope,0.9375,0.375,14.10,23.14,28.46,,Wood
520698,BRONZE KALEIDOSCOPE,Kaleidoscope,0.9375,0.375,14.10,23.14,28.46,,Wood
554552,GIRAFFE,The Zoo,1.0000,0.4380,6.18,10.31,13.08,,Wood
554557,1 1/2 CRYSTAL GLITTER,Vegas,1.5000,0.4375,17.67,28.93,34.82,,Wood
554558,1 1/2 COCO GLITTER,Vegas,1.5000,0.4375,16.21,26.57,32.22,,Wood
554564, 1 1/2 PINKY GLITTER,Vegas,1.5000,0.4375,16.21,26.57,32.22,,Wood
554572,1 CRYSTAL GLITTER,Vegas,1,0.5000,10.38,17.12,21.83,680569348456,Wood
554573,1 COCO GLITTER ,Vegas,1,0.5000,10.38,17.12,21.83,,Wood
554575,1 PINKY GLITTER,Vegas,1,0.5000,10.38,17.12,21.83,680569348463,Wood
554576,1 RUBY GLITTER,Vegas,1,0.5000,10.38,17.12,21.83,680569348470,Wood
554577,1 SAPPHIRE GLITTER,Vegas,1,0.5000,10.38,17.12,21.83,,Wood
554623,NATURAL CORK,Tappo,1,.3125,7.05,11.72,15.89,,Wood
554624,DOVE CORK,Tappo,1,.3125,4.64,7.52,10.50,,Wood
554625,COCOA CORK,Tappo,1,.3125,7.05,11.72,15.89,,Wood
554626,CONCRETE CORK,Tappo,1,.3125,7.05,11.72,15.89,,Wood
554627,INDIGO CORK,Tappo,1,.3125,7.05,11.72,15.89,,Wood
554628,MUSHROOM CORK,Tappo,1,.3125,7.05,11.72,15.89,,Wood
554629,ROUND HAMMERED SILVER,Marcello,.8125,.375,4.94,8.31,12.14,,Wood
554630,ROUND HAMMERED TITANIUM,Marcello,.8125,.375,5.39,9.03,12.93,,Wood
554631,ROUND HAMMERED CHAMPAGNE GOLD,Marcello,.8125,.375,5.39,9.03,12.93,,Wood
554632,ROUND HAMMERED TUNGSTEN,Marcello,.8125,.375,5.39,9.03,12.93,,Wood
554633,ROUND HAMMERED ROSE GOLD,Marcello,.8125,.375,5.39,9.03,12.93,,Wood
554634,ROUND HAMMERED BRONZE,Marcello,.8125,.375,5.39,9.03,12.93,,Wood
554635,SAND DOLLAR CAP,Malecon,.8125,1.0625,6.93,11.53,15.69,,Wood
554636,BLACK RUBBER CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554637,PELICAN GREY CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554638,PURPLE PASSION CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554639,SALSA RED CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554640,HORIZON BLUE CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554642,JUNGLE GREEN CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554643,ORANGE HIBISCUS CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554644,CLASSIC CHEVY BLUE CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554645,BUTTERFLY BLUE CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554646,PARROT GREEN CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554647,CANARY YELLOW CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554648,BAHAMA BLUE CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554649,CHA CHA PINK CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554650,PINK FLAMINGO CAP,Malecon,.8125,1.0625,7.56,12.54,16.80,,Wood
554651,SMALL COHIBA COGNAC LEATHER PANEL,Tobak,1.375,.5,13.33,21.90,27.09,,Wood
554652,SMALL BOLIVAR BROWN LEATHER PANEL,Tobak,1.375,.5,13.33,21.90,27.09,,Wood
554653,SMALL HABANA GREY LEATHER PANEL,Tobak,1.375,.5,13.33,21.90,27.09,,Wood
554654,LARGE COHIBA COGNAC LEATHER PANEL,Tobak,2.125,.75,14.18,23.28,28.60,,Wood
554655,LARGE BOLIVAR BROWN LEATHER PANEL,Tobak,2.125,.75,14.18,23.28,28.60,,Wood
554656,LARGE HABANA GREY LEATHER PANEL,Tobak,2.125,.75,14.18,23.28,28.60,,Wood
554663,FEATHERED WALNUT VENEER CAP,Renzo,.75,1.125,9.19,15.18,19.70,,Wood
554665,DOVE POPLAR VENEER CAP,Renzo,.75,1.125,8.43,13.95,18.35,,Wood
554669,DARK ROSEWOOD VENEER CAP,Renzo,.75,1.125,8.43,13.95,18.35,,Wood
554680,MIDNIGHT BLUE SEQUINS,Cabaret,2.8750,.375,18.35,30.02,36.02,,Wood
554681,CHAMPAGNE ROSE SEQUINS,Cabaret,2.8750,.375,18.35,30.02,36.02,,Wood
554683,GOLD GILDED OAK SLOPE,Whistler,2,.625,15.65,25.66,31.22,,Wood
554686,GOLD WHISTLER REED CAP,Whistler,0.7500,1.125,9.39,15.52,20.07,,Wood
554687,SILVER WHISTLER REED CAP,Whistler,0.7500,1.125,9.39,15.52,20.07,,Wood
554688,BRONZE WHISTLER REED CAP,Whistler,0.7500,1.125,9.39,15.52,20.07,,Wood
554689,GOLD GILDED OAK SMALL CAP,Whistler,0.7500,1.125,8.97,14.83,19.31,,Wood
554690,SILVER GILDED OAK SMALL CAP,Whistler,0.7500,1.125,8.97,14.83,19.31,,Wood
554691,BRONZE GILDED OAK SMALL CAP,Whistler,0.7500,1.125,8.97,14.83,19.31,,Wood
554692,1 MARBLEHEAD WHITE,Harbour,1.0625,0.4375,8.42,13.94,18.34,,Wood
554693,1 NEW HAMPSHIRE RED,Harbour,1.0625,0.4375,8.42,13.94,18.34,,Wood
554694,1 BAR HARBOR BLUE GREY,Harbour,1.0625,0.4375,8.42,13.94,18.34,,Wood
554695,1 ADIRONACK BLACK,Harbour,1.0625,0.4375,8.42,13.94,18.34,,Wood
554696,MARBLEHEAD WHITE TALL CAP,Harbour,1.0625,2,15.03,24.65,30.12,,Wood
554699,ADIRONACK BLACK TALL CAP,Harbour,1.0625,2,15.03,24.65,30.12,,Wood
554700,2 MARBLEHEAD WHITE,Harbour,2.0625,0.7500,13.21,21.70,26.87,,Wood
554701,2 NEW HAMPSHIRE RED,Harbour,2.0625,0.7500,13.21,21.70,26.87,,Wood
554702,2 BAR HARBOR BLUE GREY,Harbour,2.0625,0.7500,12.12,19.94,24.93,,Wood
554703,2 ADIRONACK BLACK,Harbour,2.0625,0.7500,13.21,21.70,26.87,,Wood
554706,GOLD LEAF NATURAL CORK,Tappo,0.8125,0.3750,7.47,12.39,16.63,,Wood
554707,SILVER LEAF NATURAL CORK,Tappo,0.8125,0.3750,7.47,12.39,16.63,,Wood
554708,BADA BING BRONZE SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554709,JAZZ HANDS BLUE SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554711,EVENING VELVET SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554712,MOULIN ROUGE SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554713,TAP DANCE SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554714,BACKSTAGE BLACK SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554715,PINK FEATHER BOA SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554716,GREEN WITH ENVY SHIMMER,Cabaret,0.6875,0.7500,7.13,11.85,16.04,,Wood
554717,RAINBOW GLITTER,Vegas,1,0.4375,10.27,16.94,21.64,,Wood
554718,BLACK MAGIC EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,11.88,19.54,24.50,,Wood
554719,XOLO NERO EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,11.88,19.54,24.50,,Wood
554720,IRON RETABLO EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,11.88,19.54,24.50,,Wood
554721,DIEGO BRONZE EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,10.90,17.95,22.75,,Wood
554722,AZTEC GOLD EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,11.88,19.54,24.50,,Wood
554723,CALLA LILY EMBOSSED FLORA BLOCK,Frida,1.9375,1.0625,11.88,19.54,24.50,,Wood
554725,BLACK MAGIC EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554726,XOLO NERO EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554727,MOLE ROJO EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.39,10.65,14.71,,Wood
554728,CASA AZUL EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554729,CORAZON EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554730,QUINCEANERA EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554731,MARIGOLD EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554732,IRON RETABLO EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554733,DIEGO BRONZE EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554734,AZTEC GOLD EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554735,CALLA LILY EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554737,NOPALES EMBOSSED FLORA CAP,Frida,0.6875,0.7500,6.96,11.58,15.74,,Wood
554738,EBONY BLACK DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554739,BUFFALO BROWN DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554740,EGGSHELL WHITE DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554741,INDIGO BLUE DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554742,GOLDEN MUSTARD DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554743,MINTED SAGE DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
554744,ORANGE BURST DIAMOND BLOCK,Bungalow,1.5,0.7500,16.30,26.71,32.38,,Wood
570005,WHITE DECO GROOVE W/ BEAD,Marcello,1.8125,0.4375,8.89,14.70,19.17,,Wood
570006,BLACK DECO GROOVE W/ BEAD,Marcello,1.8125,0.4375,8.89,14.70,19.17,,Wood
570007,CHAMPAGNE DECO GROOVE W/ BEAD,Marcello,1.8125,0.4375,8.89,14.70,19.17,,Wood
570008,SILVER DECO GROOVE W/ BEAD,Marcello,1.8125,0.4375,8.89,14.70,19.17,,Wood
570009,TINY WHITE DECO GROOVE,Marcello,.8125,.375,5.67,9.48,13.43,,Wood
570010,TINY BLACK DECO GROOVE,Marcello,.8125,.375,5.67,9.48,13.43,,Wood
570011,TINY CHAMPAGNE DECO GROOVE,Marcello,.8125,.375,5.67,9.48,13.43,,Wood
570012,TINY SILVER DECO GROOVE,Marcello,.8125,.375,5.67,9.48,13.43,,Wood
570013,TINY BLACK CROSS STITCH,Jax,.625,.5,5.38,9.02,12.92,,Wood
570014,TINY RED W/ GOLD CROSS STITCH,Jax,.625,.5,5.38,9.02,12.92,,Wood
570015,TINY BROWN CROSS STITCH,Jax,.625,.5,5.38,9.02,12.92,,Wood
570016,TINY BROWN W/ GOLD CROSS STITCH,Jax,.625,.5,5.38,9.02,12.92,,Wood
570036,SILVER CHROME CAROL CUBE,Mackie,0.5625,0.3750,6.86,11.41,15.55,,Wood
570037,CHERS GRAMMY GOLD CUBE,Mackie,0.5625,0.3750,6.86,11.41,15.55,,Wood
570038,DIANA ROSE GOLD CUBE,Mackie,0.5625,0.3750,6.86,11.41,15.55,,Wood
570039,SILVER CHROME CAROL BLOCK,Mackie,1.0000,0.9375,10.26,16.92,21.61,,Wood
570040,CHERS GRAMMY GOLD BLOCK,Mackie,1.0000,0.9375,10.26,16.92,21.61,,Wood
570041,DIANA ROSE GOLD BLOCK,Mackie,1.0000,0.9375,10.26,16.92,21.61,,Wood
570042,SILVER CHROME CAROL PANEL,Mackie,2.7500,0.7500,20.90,34.15,40.57,,Wood
570043,CHERS GRAMMY GOLD PANEL,Mackie,2.7500,0.7500,20.90,34.15,40.57,,Wood
580230,SMALL KABUKI WHITE,Sumi,0.7500,.4375,5.05,8.49,12.34,,Wood
580231,SMALL HIBACHI CHARCOAL,Sumi,0.7500,.4375,5.05,8.49,12.34,,Wood
580232,SMALL SAMURAI SMOKE,Sumi,0.7500,.4375,5.05,8.49,12.34,,Wood
580233,SMALL MISO BROWN,Sumi,0.7500,.4375,5.05,8.49,12.34,,Wood
580234,MEDIUM KABUKI WHITE,Sumi,1.3750,.4375,6.81,11.33,15.46,,Wood
580235,MEDIUM HIBACHI CHARCOAL,Sumi,1.3750,.4375,6.81,11.33,15.46,,Wood
580236,MEDIUM SAMURAI SMOKE,Sumi,1.3750,.4375,6.81,11.33,15.46,,Wood
580237,MEDIUM MISO BROWN,Sumi,1.3750,.4375,6.81,11.33,15.46,,Wood
590001,BLANC BIJOU DARGENT,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590002,ROUGE BIJOU DARGENT,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590003,VERT BIJOU DOR,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590004,BLEU BIJOU DARGENT,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590005,GRIS BIJOU DARGENT,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590006,TAUPE BIJOU DOR,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590007,NOIR BIJOU DARGENT,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
590008,NOIR BIJOU DI BRONZE,Bijou,0.75,0.4375,6.72,11.19,15.31,,Wood
618514,PURPLE W/BLUE MARQUETRY,Confetti,0.7500,0.5000,9.53,15.73,20.30,,Wood
618528,RED W/ MULTI  MARQUETRY,Confetti,0.7500,0.5000,9.53,15.73,20.30,,Wood
618540,RED/BLACK CHECKERBOARD,Checkmate,0.7500,0.5000,9.16,15.14,19.65,,Wood
618541,BLACK/WHITE CHECKERBOARD,Checkmate,0.7500,0.5000,9.16,15.14,19.65,,Wood
618556,SMALL WENGE LACQUER,Wild Thing,0.7500,0.5000,5.69,9.52,13.47,,Wood
618584,BLUE PIANO KEYS MARQUETRY,Liberace,1.1250,0.5000,11.61,19.11,24.02,,Wood
618585,BLACK & WHITE PIANO KEYS MARQUETRY,Liberace,1.1250,0.5000,11.61,19.11,24.02,,Wood
618591,BLACK HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618592,BLUE HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618593,RED HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618596,GREEN HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618608,LIGHT GREEN HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618609,LIGHT BLUE HERRINGBONE,Rainbow Trout,1.1250,0.5000,8.02,13.29,17.61,,Wood
618613,PECAN HERRINGBONE,Rainbow Trout,1.1250,0.5000,7.90,13.09,17.40,,Wood
618620,GREEN PINSTRIPE,Zoot Suit,1.1250,0.5000,12.07,19.85,24.83,,Wood
618626,"WENGE, BLUE, TEAL SQUARES",Piazza,0.7500,0.5000,8.51,14.09,18.50,,Wood
618636,BLACK W/ MULTI  MARQUETRY,Confetti,0.7500,0.5000,9.71,16.03,20.64,,Wood
618637,SMALL TANGERINE,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,,Wood
618641,SMALL CINNAMON,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,,Wood
618642,SMALL COOL MINT,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348494,Wood
618643,SMALL CAPPUCCINO,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348500,Wood
618645,SMALL GRAPE JELLY,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348517,Wood
618646,SMALL JALAPENO,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348524,Wood
618647,SMALL BUTTERED POPCORN,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348531,Wood
618648,SMALL BERRY BLUE,Jelly Bellas,0.7500,0.5000,8.90,14.72,19.19,680569348548,Wood
618657,WENGE NERO,Compagno,0.7500,0.5000,8.73,14.44,18.89,,Wood
618659,EBANO,Compagno,0.7500,0.5000,8.73,14.44,18.89,,Wood
618660,MOGANO,Compagno,0.7500,0.5000,8.73,14.44,18.89,,Wood
618662,WENGE NOCE ,Compagno,0.7500,0.5000,8.73,14.44,18.89,,Wood
618667,PEARL & CHARCOAL,Darma,1.1250,0.5000,12.58,20.68,25.75,,Wood
618681,WHITE HEARTS ,Charms,.75,0.5000,9.53,15.74,20.31,,Wood
618694,MEDIUM BERRY BLUE,Jelly Bellas,1.125,.5,9.00,14.88,19.37,,Wood
618695,MEDIUM GRAPE JELLY,Jelly Bellas,1.125,.5,9.00,14.88,19.37,,Wood
618696,MEDIUM CINNAMON,Jelly Bellas,1.125,.5,9.00,14.88,19.37,680569348609,Wood
618698,BLACK STRIPE WITH RED/WHITE CHECK,Zoot Suit,1.125,.5,8.62,14.26,18.69,,Wood
618699,GREY STRIPE WITH B/W CHECK,Zoot Suit,1.125,.5,8.62,14.26,18.69,,Wood
618702,SMALL GREY PINSTRIPE,Zoot Suit,1.125,.5,8.35,13.83,18.21,,Wood
618703,SMALL SKY BLUE,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618704,SMALL GRASS GREEN,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618705,SMALL EGGPLANT,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618706,SMALL SUNSHINE,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618707,SMALL PISTACHIO,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618708,SMALL PINK CARNATION,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618709,SMALL MARMALADE,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618710,SMALL ROSE RED,Parade,.75,0.5000,8.28,13.71,18.08,,Wood
618712,MEDIUM ERMINE & ANGORA CHEVRON,Calzini,1.1250,0.5000,10.15,16.75,21.42,,Wood
618713,MEDIUM SABLE & ANGORA CHEVRON,Calzini,1.1250,0.5000,10.15,16.75,21.42,,Wood
618714,SMALL ERMINE & ANGORA CHEVRON,Calzini,0.7500,0.5000,7.16,11.90,16.09,,Wood
618715,SMALL SABLE & ANGORA CHEVRON,Calzini,0.7500,0.5000,7.16,11.90,16.09,,Wood
618716,MEDIUM RAINBOW,Parade,1.1250,0.5000,10.35,17.07,21.78,,Wood
618717,SMALL RAINBOW,Parade,0.7500,0.5000,7.82,12.96,17.26,,Wood
