Code,Description,Width,rabbet,category,Cost,chop,group
6440BG,64x40mm Black and Gold Closed Grain Hanover Scoop Moulding,64,17,Black,10.04,20.08,Wood
6440BK,64x40mm Black Closed Grain Hanover Scoop Moulding,64,17,Black,9.48,18.96,Wood
6440BS,64x40mm Black and Silver Closed Grain Hanover Scoop Moulding,64,17,Black,10.04,20.08,Wood
6440SI,64x40mm Silver Foil Hanover Scoop Moulding,64,17,Silver,11.55,23.1,Wood
6440WH,64x40mm White Closed Grain Hanover Scoop Moulding,64,17,White,9.48,18.96,Wood
6441BG,37x29mm Black and Gold Closed Grain Hanover Scoop Moulding,37,12,Black,7.56,15.12,Wood
6441BK,37x29mm Black Closed Grain Hanover Scoop Moulding,37,12,Black,6.8,13.61,Wood
6441BS,37x29mm Black and Silver Closed Grain Hanover Scoop Moulding,37,12,Black,7.56,15.12,Wood
6441SI,37x29mm Silver Foil Hanover Scoop Moulding,37,12,Silver,9.05,18.1,Wood
6441WH,37x29mm White Closed Grain Hanover Scoop Moulding,37,12,White,6.8,13.61,Wood
6510CH,33x23mm Champagne Bevel Moulding,33,13,Gold,8.04,16.09,Wood
6510GD,33x23mm Gold Bevel Moulding,33,13,Gold,8.04,16.09,Wood
6510PT,33x23mm Pewter Bevel Moulding,33,13,Pewter,8.04,16.09,Wood
6520BU,40x26mm Blue LUXE Palatino Scoop Moulding,40,14,Blue,10.74,21.48,Wood
6520CH,40x26mm Charcoal LUXE Palatino Scoop Moulding,40,14,Black,10.74,21.48,Wood
6520CM,40x26mm Cream LUXE Palatino Scoop Moulding,40,14,Cream,10.74,21.48,Wood
6520GN,40x26mm Green LUXE Palatino Scoop Moulding,40,14,Green,10.74,21.48,Wood
6520RD,40x26mm Red LUXE Palatino Scoop Moulding,40,14,Red,10.74,21.48,Wood
6521BU,70x33mm Blue LUXE Palatino Scoop Moulding,70,18,Blue,20.38,40.76,Wood
6521CH,70x33mm Charcoal LUXE Palatino Scoop Moulding,70,18,Black,20.38,40.76,Wood
6521CM,70x33mm Cream LUXE Palatino Scoop Moulding,70,18,Cream,20.38,40.76,Wood
6521GN,70x33mm Green LUXE Palatino Scoop Moulding,70,18,Green,20.38,40.76,Wood
6521RD,70x33mm Red LUXE Palatino Scoop Moulding,70,18,Red,20.38,40.76,Wood
6566OB,40x20mm Raw Obeche Reverse Moulding,40,14,Natural,4.67,9.35,Wood
6643BL,20x33mm Gloss Black Flat Moulding,20,28,Black,8.52,17.03,Wood
6643LO,20x33mm Light Oak Melrose Cushion Moulding,20,28,Brown,8.59,17.18,Wood
6643WA,20x33mm Walnut Melrose Cushion Moulding,20,28,Brown,8.59,17.18,Wood
6643WH,20x33mm Gloss White Flat Moulding,20,28,White,8.52,17.03,Wood
6650BG,30x20mm Black & Gold Fiume Flat Moulding,30,12,Black,7.71,15.41,Wood
6650BS,30x20mm Black & Silver Fiume Flat Moulding,30,12,Black,7.71,15.41,Wood
6650BU,30x20mm Blue Fiume Flat Moulding,30,12,Blue,7.71,15.41,Wood
6650GN,30x20mm Green Fiume Flat Moulding,30,12,Green,7.71,15.41,Wood
6650GY,30x20mm Grey Fiume Flat Moulding,30,12,Grey,7.71,15.41,Wood
6650RD,30x20mm Red Fiume Flat Moulding,30,12,Red,7.71,15.41,Wood
6750AG,31x14mm Antique Gold Step Moulding,31,7,Gold,5.43,10.86,Wood
6750AS,31x14mm Antique Silver Step Moulding,31,7,Silver,5.43,10.86,Wood
6750GD,31x14mm Antique Gold Foil Step Moulding,31,7,Gold,5.43,10.86,Wood
6750wa,30x15mm Walnut Step Moulding,30,7,Brown,3.98,7.96,Wood
6790BK,30x20mm Black Scoop Moulding,30,10,Black,7.35,14.7,Wood
6790BL,30x20mm Black & Silver Scoop Moulding,30,10,Black,7.35,14.7,Wood
6790BR,30x20mm Bronze Scoop Moulding,30,10,Bronze,7.35,14.7,Wood
6790BS,30x20mm Silver & Black Scoop Moulding,30,10,Silver,7.35,14.7,Wood
6790GD,30x20mm Gold Scoop Moulding,30,10,Gold,7.35,14.7,Wood
6790SI,30x20mm Silver Scoop Moulding,30,10,Silver,7.35,14.7,Wood
6790WH,30x20mm White Scoop Moulding,30,10,White,7.35,14.7,Wood
6800BR,17x17mm Bronze Luxe Esquilino Scoop Moulding,17,10,Bronze,6.51,13.02,Wood
6800PT,17x17mm Pewter LUXE Esquilino Scoop Moulding,17,10,Pewter,6.51,13.02,Wood
6810BR,40x23mm Bronze LUXE Esquilino Scoop Moulding,40,11,Bronze,11.09,22.18,Wood
6810BS,40x23mm Black/Silver SE LUXE Esquilino Scoop Moulding,40,11,Black,10.7,21.4,Wood
6810MB,40x23mm Matt Black LUXE Esquilino Scoop Moulding,40,11,Black,9.99,19.97,Wood
6810MW,40x23mm Matt White LUXE Esquilino Scoop Moulding,40,11,White,9.99,19.97,Wood
