Code,Description,Width,rabbet,category,Cost,chop,group
9045GD,53x30mm Gold Leaf LUXE Knightsbridge Decorative Scoop Moulding,53,19,Gold,15.87,31.73,Wood
9045SI,53x30mm Silver Leaf LUXE Knightsbridge Decorative Scoop Moulding,53,19,Silver,15.87,31.73,Wood
9046BG,80x40mm Black with Gold Leaf LUXE Knightsbridge Decorative Scoop Moulding,80,26,Black,24.55,49.1,Wood
9046GD,80x40mm Gold Leaf LUXE Knightsbridge Decorative Scoop Moulding,80,26,Gold,24.55,49.1,Wood
9046SI,80x40mm Silver Leaf LUXE Knightsbridge Decorative Scoop Moulding,80,26,Silver,24.55,49.1,Wood
9254BR,35x25mm Bronze LUXE Hampton Scoop Moulding FSC,35,12,Bronze,8.88,17.77,Wood
9254GD,35x25mm Gold LUXE Hampton Scoop Moulding FSC,35,12,Gold,8.88,17.77,Wood
9254PT,35x25mm Pewter LUXE Hampton Scoop Moulding FSC,35,12,Pewter,8.88,17.77,Wood
9254SI,35x25mm Silver LUXE Hampton Scoop Moulding FSC,35,12,Silver,8.88,17.77,Wood
9255BR,59x42mm Bronze LUXE Hampton Scoop Moulding FSC,59,14,Bronze,16.08,32.15,Wood
9255GD,59x42mm Gold LUXE Hampton Scoop Moulding FSC,59,14,Gold,16.08,32.15,Wood
9255PT,59x42mm Pewter LUXE Hampton Scoop Moulding FSC,59,14,Pewter,16.08,32.15,Wood
9255SI,59x42mm Silver LUXE Hampton Scoop Moulding FSC,59,14,Silver,16.08,32.15,Wood
9715BK,15x25mm Black Flat Moulding,15,21,Black,4.18,8.36,Wood
9715WH,15x25mm White Flat Moulding,15,21,White,4.18,8.36,Wood
9823BK,13x30mm Black Closed Grain Malmo Wedge Moulding FSC,13,10,Black,4.8,9.6,Wood
9823OA,13x30mm Oak Veneer Malmo Wedge Moulding FSC,13,10,Brown,4.8,9.6,Wood
9823WA,13x30mm Walnut Veneer Malmo Wedge Moulding FSC,13,10,Brown,4.8,9.6,Wood
9823WH,13x30mm White Closed Grain Malmo Wedge Moulding FSC,13,10,White,4.8,9.6,Wood
9824BK,17x48mm Black Closed Grain Malmo Wedge Moulding FSC,17,20,Black,7.63,15.27,Wood
9824OA,17x48mm Oak Veneer Malmo Wedge Moulding FSC,17,20,Brown,7.63,15.27,Wood
9824WA,17x48mm Walnut Veneer Malmo Wedge Moulding FSC,17,20,Brown,7.63,15.27,Wood
9824WH,17x48mm White Closed Grain Malmo Wedge Moulding FSC,17,20,White,7.63,15.27,Wood
9899OB,93x42mm Raw Obeche Reverse Moulding,93,26,Natural,12.78,25.56,Wood
9941BK,5x34mm Closed Grain Black Hampstead L-shape Moulding FSC,5,,Black,8.2,16.4,Wood
9941OA,5x34mm Oak Veneer Hampstead L-shape Moulding FSC,5,,Brown,8.2,16.4,Wood
9941WA,5x34mm Walnut Veneer Hampstead L-shape Moulding FSC,5,,Brown,8.2,16.4,Wood
9941WE,5x34mm Wenge Veneer Hampstead L-shape Moulding FSC,5,,Brown,8.2,16.4,Wood
9941WH,5x34mm Closed Grain White Hampstead L-shape Moulding FSC,5,,White,8.2,16.4,Wood
9945BK,20x20mm Black Flat Moulding FSC,20,10,Black,5.15,10.29,Wood
9945WH,20x20mm White Flat Moulding FSC,20,10,White,5.15,10.29,Wood
9946BK,30x30mm Black Flat Moulding FSC,30,15,Black,8.02,16.04,Wood
9946WH,30x30mm White Flat Moulding FSC,30,15,White,8.02,16.04,Wood
9947BK,40x40mm Black Flat Moulding FSC,40,20,Black,12.03,24.07,Wood
9947WH,40x40mm White Flat Moulding FSC,40,20,White,12.03,24.07,Wood
9981BK,11x20mm Black Veneer Stelvio Flat Moulding FSC,11,14,Black,6,11.99,Wood
9981DW,11x20mm Dark Walnut Veneer Stelvio Flat Moulding FSC,11,14,Brown,6,11.99,Wood
9981GY,11x20mm Grey Veneer Stelvio Flat Moulding FSC,11,14,Grey,6,11.99,Wood
9981LI,11x20mm Oak Veneer Stelvio Flat Moulding FSC,11,14,Cream,6,11.99,Wood
9981LW,11x20mm Light Walnut Veneer Stelvio Flat Moulding FSC,11,14,Brown,6,11.99,Wood
9981OA,11x20mm Oak Veneer Stelvio Flat Moulding FSC,11,14,Brown,6,11.99,Wood
9981WH,11x20mm White Veneer Stelvio Flat Moulding FSC,11,14,White,6,11.99,Wood
9982BK,16x30mm Black Veneer Stelvio Flat Moulding FSC,16,26,Black,7.15,14.3,Wood
9982DW,16x30mm Dark Walnut Veneer Stelvio Flat Moulding FSC,16,26,Brown,7.15,14.3,Wood
9982GY,16x30mm Grey Veneer Stelvio Flat Moulding FSC,16,26,Grey,7.15,14.3,Wood
9982LI,16x30mm Limed Oak Veneer Stelvio Flat Moulding FSC,16,26,Brown,7.15,14.3,Wood
9982LW,16x30mm Light Walnut Veneer Stelvio Flat Moulding FSC,16,26,Brown,7.15,14.3,Wood
9982OA,16x30mm Oak Veneer Stelvio Flat Moulding FSC,16,26,Brown,7.15,14.3,Wood
9982WH,16x30mm White Veneer Stelvio Flat Moulding FSC,16,26,White,7.15,14.3,Wood
9983BK,20x30mm Black Veneer Stelvio Flat Moulding FSC,20,25,Black,8.24,16.49,Wood
9983DW,20x30mm Dark Walnut Veneer Stelvio Flat Moulding FSC,20,25,Brown,8.24,16.49,Wood
9983GY,20x30mm Grey Veneer Stelvio Flat Moulding FSC,20,25,Grey,8.24,16.49,Wood
9983LI,20x30mm Limed Oak Veneer Stelvio Flat Moulding FSC,20,25,Brown,8.24,16.49,Wood
9983LW,20x30mm Light Walnut Veneer Stelvio Flat Moulding FSC,20,25,Brown,8.24,16.49,Wood
9983OA,20x30mm Oak Veneer Stelvio Flat Moulding FSC,20,25,Brown,8.24,16.49,Wood
9983WH,20x30mm White Veneer Stelvio Flat Moulding FSC,20,25,White,8.24,16.49,Wood
9984BK,21x52mm Black Veneer Stelvio Flat Moulding FSC,21,44,Black,10.79,21.59,Wood
9984DW,21x52mm Dark Walnut Veneer Stelvio Flat Moulding FSC,21,44,Brown,10.79,21.59,Wood
9984GY,21x52mm Grey Veneer Stelvio Flat Moulding FSC,21,44,Grey,10.79,21.59,Wood
9984LI,21x52mm Limed Oak Veneer Stelvio Flat Moulding FSC,21,40,Brown,10.79,21.59,Wood
9984LW,21x52mm Light Walnut Veneer Stelvio Flat Moulding FSC,21,44,Brown,10.79,21.59,Wood
9984OA,21x52mm Oak Veneer Stelvio Flat Moulding FSC,21,44,Brown,10.79,21.59,Wood
9984WH,21x52mm White Veneer Stelvio Flat Moulding FSC,21,44,White,10.79,21.59,Wood
9985BK,41x52mm Black Veneer Stelvio Flat Moulding FSC,41,44,Black,15.81,31.63,Wood
9985DW,41x52mm Dark Walnut Veneer Stelvio Flat Moulding FSC,41,44,Brown,15.81,31.63,Wood
9985GY,41x52mm Grey Veneer Stelvio Flat Moulding FSC,41,44,Grey,15.81,31.63,Wood
9985LI,41x52mm Limed Oak Veneer Stelvio Flat Moulding FSC,41,44,Brown,15.81,31.63,Wood
9985LW,41x52mm Light Walnut Veneer Stelvio Flat Moulding FSC,41,44,Brown,15.81,31.63,Wood
9985OA,41x52mm Oak Veneer Stelvio Flat Moulding FSC,41,44,Brown,15.81,31.63,Wood
9985WH,41x52mm White Veneer Stelvio Flat Moulding FSC,41,44,White,15.81,31.63,Wood
9986BK,20x20mm Black Veneer Stelvio Flat Moulding FSC,20,15,Black,5.17,10.33,Wood
9986DW,20x20mm Dark Walnut Veneer Stelvio Flat Moulding FSC,20,15,Brown,5.17,10.33,Wood
9986GY,20x20mm Grey Veneer Stelvio Flat Moulding FSC,20,15,Grey,5.17,10.33,Wood
9986LI,20x20mm Limed Oak Veneer Stelvio Flat Moulding FSC,20,15,Brown,5.17,10.33,Wood
9986LW,20x20mm Light Walnut Veneer Stelvio Flat Moulding FSC,20,15,Brown,5.17,10.33,Wood
9986OA,20x20mm Oak Veneer Stelvio Flat Moulding FSC,20,15,Brown,5.17,10.33,Wood
9986WH,20x20mm White Veneer Stelvio Flat Moulding FSC,20,15,White,5.17,10.33,Wood
9987BK,10x40mm Black Veneer Stelvio L-shape Moulding FSC,10,30,Black,14.16,28.33,Wood
9987DW,10x40mm Dark Walnut Veneer Stelvio L-shape Moulding FSC,10,30,Brown,14.16,28.33,Wood
9987GY,10x40mm Grey Veneer Stelvio L-shape Moulding FSC,10,30,Grey,14.16,28.33,Wood
9987LI,10x40mm Limed Oak Veneer Stelvio L-shape Moulding FSC,10,30,Brown,14.16,28.33,Wood
9987LW,10x40mm Light Walnut Veneer Stelvio L-shape Moulding FSC,10,30,Brown,14.16,28.33,Wood
9987OA,10x40mm Oak Veneer Stelvio L-shape Moulding FSC,10,30,Brown,14.16,28.33,Wood
9987WH,10x40mm White Veneer Stelvio L-shape Moulding FSC,10,30,White,14.16,28.33,Wood
9988BK,16x52mm Black Veneer Stelvio L-shape Moulding FSC,16,,Black,16.41,32.82,Wood
9988DW,16x52mm Dark Walnut Veneer Stelvio L-shape Moulding FSC,16,,Brown,16.41,32.82,Wood
9988GY,16x52mm Grey Veneer Stelvio L-shape Moulding FSC,16,,Grey,16.41,32.82,Wood
9988LI,16x52mm Limed Oak Veneer Stelvio L-shape Moulding FSC,16,,Cream,16.41,32.82,Wood
9988LW,16x52mm Light Walnut Veneer Stelvio L-shape Moulding FSC,16,,Brown,16.41,32.82,Wood
9988OA,16x52mm Oak Veneer Stelvio L-shape Moulding FSC,16,,Brown,16.41,32.82,Wood
9988WH,16x52mm White Veneer Stelvio L-shape Moulding FSC,16,,White,16.41,32.82,Wood
9990BK,40x30mm Black Veneer Stelvio Flat Moulding FSC,40,20,Black,10.35,20.71,Wood
9990DW,40x30mm Dark Walnut Veneer Stelvio Flat Moulding FSC,40,20,Brown,10.35,20.71,Wood
9990GY,40x30mm Grey Veneer Stelvio Flat Moulding FSC,40,20,Grey,10.35,20.71,Wood
9990LI,40x30mm Limed Oak Veneer Stelvio Flat Moulding FSC,40,20,Cream,10.35,20.71,Wood
9990LW,40x30mm Light Walnut Veneer Stelvio Flat Moulding FSC,40,20,Brown,10.35,20.71,Wood
9990OA,40x30mm Oak Veneer Stelvio Flat Moulding FSC,40,20,Brown,10.35,20.71,Wood
9990WH,40x30mm White Veneer Stelvio Flat Moulding FSC,40,20,White,10.35,20.71,Wood
CR0223BK,22x22mm Gloss Closed Grain Black Create Flat Moulding,22,18,Black,3.74,7.49,Wood
CR0223WH,22x22mm Gloss Closed Grain White Create Flat Moulding,22,18,White,3.74,7.49,Wood
CR0225AF,21x22mm Ash Foil Create Flat Moulding,21,17,Brown,3.98,7.96,Wood
CR0225AG,21x22mm Antique Gold Create Lustre Flat Moulding,21,17,Gold,3.87,7.73,Wood
CR0225AS,21x22mm Antique Silver Create Lustre Flat Moulding,21,17,Silver,3.87,7.73,Wood
CR0225BF,21x22mm Brown Foil Create Flat Moulding,21,17,Brown,3.98,7.96,Wood
CR0225BK,22x22mm Black Closed Grain Create Flat Moulding,21,17,Black,3.63,7.26,Wood
CR0225BN,22x22mm Brown Closed Grain Create Flat Moulding,21,17,Brown,3.63,7.26,Wood
CR0225BR,21x22mm Bronze Create Lustre Flat Moulding,21,17,Bronze,3.87,7.73,Wood
CR0225BU,22x22mm Mid Blue Closed Grain Create Flat Moulding,21,17,Blue,3.63,7.26,Wood
CR0225CH,22x22mm Charcoal Closed Grain Create Flat Moulding,21,17,Black,3.63,7.26,Wood
CR0225DG,21x22mm Dark Green Closed Grain Create Flat Moulding,21,17,Green,3.63,7.26,Wood
CR0225DR,21x22mm Dark Red Closed Grain Create Flat Moulding,21,17,Red,3.63,7.26,Wood
CR0225GD,21x22mm Gold Closed Grain Create Flat Moulding,21,17,Gold,4.38,8.75,Wood
CR0225GF,21x22mm Grey Foil Create Flat Moulding,21,17,Grey,3.98,7.96,Wood
CR0225GN,21x22mm Green Closed Grain Create Flat Moulding,21,17,Green,3.63,7.26,Wood
CR0225GY,21x22mm Dark Grey Closed Grain Create Flat Moulding,21,17,Grey,3.63,7.26,Wood
CR0225LI,21x22mm Limewash Closed Grain Create Flat Moulding,21,17,White,3.63,7.26,Wood
CR0225MD,21x22mm Dark Blue Closed Grain Create Flat Moulding,21,17,Blue,3.63,7.26,Wood
CR0225MG,21x22mm Matt Closed Grain Gold Create Flat Moulding,21,17,Gold,3.63,7.26,Wood
CR0225MP,21x22mm Matt Closed Grain Pewter Create Flat Moulding,21,17,Silver,3.63,7.26,Wood
CR0225MS,21x22mm Matt Closed Grain Silver Create Flat Moulding,21,17,Silver,3.63,7.26,Wood
CR0225MZ,21x22mm Matt Closed Grain Bronze Create Flat Moulding,21,17,Bronze,3.63,7.26,Wood
CR0225OA,21x22mm Oak Closed Grain Create Flat Moulding,21,17,Brown,3.58,7.16,Wood
CR0225OF,21x22mm Oak Foil Create Flat Moulding,21,17,Brown,3.98,7.96,Wood
CR0225OR,21x22mm Orange Closed Grain Create Flat Moulding,21,17,Orange,3.63,7.26,Wood
CR0225PG,21x22mm Pale Grey Closed Grain Create Flat Moulding,21,17,Grey,3.63,7.26,Wood
CR0225PK,21x22mm Pink Closed Grain Create Flat Moulding,21,17,Pink,3.63,7.26,Wood
CR0225PT,21x22mm Pewter Closed Grain Create Flat Moulding,21,17,Pewter,4.38,8.75,Wood
CR0225RD,21x22mm Bright Red Closed Grain Create Flat Moulding,21,17,Red,3.63,7.26,Wood
CR0225SB,21x22mm Sky Blue Closed Grain Create Flat Moulding,21,17,Blue,3.63,7.26,Wood
CR0225SI,21x22mm Silver Closed Grain Create Flat Moulding,21,17,Silver,4.38,8.75,Wood
CR0225WA,21x22mm Walnut Foil Create Flat Moulding,21,17,Brown,3.98,7.96,Wood
CR0225WE,21x22mm Wenge Closed Grain Create Flat Moulding,21,17,Brown,3.63,7.26,Wood
CR0225WF,21x22mm Wenge Foil Create Flat Moulding,21,17,Brown,3.98,7.96,Wood
CR0225WH,21x22mm White Closed Grain Create Flat Moulding,21,17,White,3.63,7.26,Wood
CR0225YW,21x22mm Yellow Closed Grain Create Flat Moulding,21,17,Yellow,3.63,7.26,Wood
CR0717AF,17x17mm Ash Foil Create Naturals Flat Moulding,17,13,Brown,3.17,6.34,Wood
CR0717AG,17x17mm Antique Gold Create Lustre Flat Moulding,17,13,Gold,3.05,6.1,Wood
CR0717AS,17x17mm Antique Silver Create Lustre Flat Moulding,17,13,Silver,3.05,6.1,Wood
CR0717BF,17x17mm Brown Foil Create Naturals Flat Moulding,17,13,Brown,3.17,6.34,Wood
CR0717BK,17x17mm Matt Closed Grain Black Create Flat Moulding,17,13,Black,2.29,4.58,Wood
CR0717BR,17x17mm Antique Bronze Create Lustre Flat Moulding,17,13,Bronze,3.05,6.1,Wood
CR0717BU,17x17mm Blue Open Grain Create Flat Moulding,17,13,Blue,1.96,3.92,Wood
CR0717DG,17x17mm Dark Green Open Grain Create Flat Moulding,17,13,Green,1.96,3.92,Wood
CR0717DR,17x17mm Dark Red Open Grain Create Flat Moulding,17,13,Red,1.96,3.92,Wood
CR0717GF,17x17mm Grey Foil Create Naturals Flat Moulding,17,13,Grey,3.17,6.34,Wood
CR0717MD,17x17mm Midnight Open Grain Create Flat Moulding,17,13,Blue,1.96,3.92,Wood
CR0717MG,17x17mm Matt Closed Grain Gold Create Flat Moulding,17,13,Gold,2.56,5.12,Wood
CR0717MS,17x17mm Matt Closed Grain Silver Create Flat Moulding,17,13,Silver,2.56,5.12,Wood
CR0717NY,17x17mm Navy Open Grain Create Flat Moulding,17,13,Blue,1.96,3.92,Wood
CR0717OA,17x17mm Oak Closed Grain Create Flat Moulding,17,13,Brown,2.88,5.76,Wood
CR0717OB,17x17mm Black Open Grain Create Flat Moulding,17,13,Black,1.96,3.92,Wood
CR0717OF,17x17mm Oak Foil Create Naturals Flat Moulding,17,13,Brown,3.17,6.34,Wood
CR0717OR,17x17mm Orange Open Grain Create Flat Moulding,17,13,Orange,1.96,3.92,Wood
CR0717OW,17x17mm White Open Grain Create Flat Moulding,17,13,White,1.96,3.92,Wood
CR0717PK,17x17mm Pink Open Grain Create Flat Moulding,17,13,Pink,1.96,3.92,Wood
CR0717PU,17x17mm Purple Open Grain Create Flat Moulding,17,13,Purple,1.96,3.92,Wood
CR0717RD,17x17mm Red Open Grain Create Flat Moulding,17,13,Red,1.96,3.92,Wood
CR0717WA,17x17mm Walnut Foil Create Naturals Flat Moulding,17,13,Brown,3.17,6.34,Wood
CR0717WF,17x17mm Wenge Foil Create Naturals Flat Moulding,17,13,Brown,3.17,6.34,Wood
CR0717WH,17x17mm Matt Closed Grain White Create Flat Moulding,17,13,White,2.29,4.58,Wood
CR0717YW,17x17mm Yellow Open Grain Create Flat Moulding,17,13,Yellow,1.96,3.92,Wood
CR0932BK,9x32mm Black Open Grain Create L-shape Moulding,9,9,Black,4.64,9.28,Wood
CR0932OF,9x32mm Oak Foil Create L-shape Moulding,9,9,Brown,4.64,12.74,Wood
CR0932WH,9x32mm White Open Grain Create L-shape Moulding,9,9,White,4.64,9.28,Wood
CR0989AF,20x32mm Ash Foil Create Flat Moulding,20,26,Brown,5.16,10.32,Wood
CR0989AG,20x32mm Antique Gold Create Lustre Flat Moulding,20,26,Gold,5.01,10.02,Wood
CR0989AS,20x32mm Antique Silver Create Lustre Flat Moulding,20,26,Silver,5.01,10.02,Wood
CR0989BF,20x32mm Brown Foil Create Flat Moulding,20,26,Brown,5.16,10.32,Wood
CR0989BK,20x32mm Black Closed Grain Create Flat Moulding,20,26,Black,5.04,10.08,Wood
CR0989BN,20x32mm Brown Closed Grain Create Flat Moulding,20,26,Brown,5.09,10.18,Wood
CR0989BR,20x32mm Bronze Create Lustre Flat Moulding,20,26,Bronze,5.01,10.02,Wood
CR0989GF,20x32mm Grey Foil Create Flat Moulding,20,26,Grey,5.16,10.32,Wood
CR0989GW,20x32mm Gloss Closed Grain White Create Flat Moulding,20,26,White,5.73,11.46,Wood
CR0989MG,20x32mm Matt Closed Grain Gold Create Flat Moulding,20,26,Gold,5.09,10.18,Wood
CR0989MP,20x32mm Matt Closed Grain Pewter Create Flat Moulding,20,26,Pewter,5.09,10.18,Wood
CR0989MS,20x32mm Matt Closed Grain Silver Create Flat Moulding,20,26,Silver,5.09,10.18,Wood
CR0989MZ,20x32mm Matt Closed Grain Bronze Create Flat Moulding,20,26,Bronze,5.09,10.18,Wood
CR0989OF,20x32mm Oak Foil Create Flat Moulding,20,26,Brown,5.16,10.32,Wood
CR0989SI,20x32mm Silver Closed Grain Create Flat Moulding,20,26,Silver,6.19,12.38,Wood
CR0989WA,20x32mm Walnut Foil Create Flat Moulding,20,26,Brown,5.16,10.32,Wood
CR0989WF,20x32mm Wenge Foil Create Flat Moulding,20,26,Brown,5.16,10.32,Wood
CR0989WH,20x32mm White Closed Grain Create Flat Moulding,20,26,White,5.04,10.08,Wood
CR1013BK,14x13mm Closed Grain Black Create Cushion Moulding,14,10,Black,2.25,4.51,Wood
CR1080BE,35x15mm Beech Closed Grain Create Flat Moulding,35,11,Brown,5.49,10.98,Wood
CR1080BI,35x15mm Birch Closed Grain Create Flat Moulding,35,11,Natural,5.49,10.98,Wood
CR1080BK,35x15mm Black Closed Grain Create Flat Moulding,35,11,Black,5.48,10.95,Wood
CR1080DM,35x15mm Dark Mahogany Closed Grain Create Flat Moulding,35,11,Brown,5.49,10.98,Wood
CR1080WA,35x15mm Walnut Closed Grain Create Flat Moulding,35,11,Brown,5.49,10.98,Wood
CR1080WH,35x15mm White Closed Grain Create Flat Moulding,35,11,White,5.48,10.95,Wood
CR1090BK,35x15mm Black Open Grain Create Flat Moulding,35,11,Black,4.36,8.71,Wood
CR1090BN,35x15mm Brown Open Grain Create Flat Moulding,35,11,Brown,4.36,8.71,Wood
CR1090CM,35x15mm Cream Open Grain Create Flat Moulding,35,11,Cream,4.36,8.71,Wood
CR1090GY,35x15mm Grey Open Grain Create Flat Moulding,35,11,Grey,4.36,8.71,Wood
CR1090LO,35x15mm Light Oak Open Grain Create Flat Moulding,35,11,Brown,4.36,8.71,Wood
CR1090OA,35x15mm Oak Open Grain Create Flat Moulding,35,11,Brown,4.36,8.71,Wood
CR1090PG,35x15mm Pale Grey Open Grain Create Flat Moulding,35,11,Grey,4.36,8.71,Wood
CR1090WH,35x15mm White Open Grain Create Flat Moulding,35,11,White,4.36,8.71,Wood
CR1513BK,23x13mm Black Closed Grain Create Cushion Moulding,23,10,Black,2.77,5.55,Wood
CR1515BK,15x14mm Black Open Grain Create Flat Moulding,15,10,Black,2.26,4.52,Wood
CR1515WH,15x14mm White Open Grain Create Flat Moulding,15,10,White,2.26,4.52,Wood
CR2033BK,20x33mm Black Open Grain Create Flat Moulding,20,29,Black,4.9,9.79,Wood
CR2033GY,20x33mm Grey Open Grain Create Flat Moulding,20,29,Grey,4.9,9.79,Wood
CR2033IV,20x33mm Ivory Open Grain Create Flat Moulding,20,29,White,4.9,9.79,Wood
CR2033OA,20x33mm Oak Open Grain Create Flat Moulding,20,29,Brown,4.9,9.79,Wood
CR2033OB,20x33mm Raw Obeche Open Grain Create Flat Moulding,20,29,Natural,3.13,6.26,Wood
CR2033PG,20x33mm Pale Grey Open Grain Create Flat Moulding,20,29,Grey,4.9,9.79,Wood
CR2033WH,20x33mm White Open Grain Create Flat Moulding,20,29,White,4.9,9.79,Wood
CR2040BK,20x40mm Black Open Grain Create Flat Moulding,20,35,Black,6.65,13.3,Wood
CR2040GY,20x40mm Grey Open Grain Create Flat Moulding,20,35,Black,6.65,13.3,Wood
CR2040IV,20x40mm Ivory Open Grain Create Flat Moulding,20,35,White,6.65,13.3,Wood
CR2040OB,20x40mm Raw Obeche Open Grain Create Flat Moulding,20,35,Natural,3.96,7.92,Wood
CR2040WH,20x40mm White Open Grain Create Flat Moulding,20,35,White,6.65,13.3,Wood
CR2045BK,20x45mm Black Open Grain Create Flat Moulding,20,35,Black,7.09,14.18,Wood
CR2045WH,20x45mm White Open Grain Create Flat Moulding,20,35,White,7.09,14.18,Wood
CR2253BK,22x53mm Black Open Grain Create Flat Moulding,22,48,Black,7,13.99,Wood
CR2253WH,22x53mm White Open Grain Create Flat Moulding,22,48,White,7,13.99,Wood
CR2513BK,25x13mm Matt Closed Grain Black Create Flat Moulding,25,9,Black,2.77,5.55,Wood
CR2513OB,25x13mm Black Open Grain Create Flat Moulding,25,9,Black,2.48,4.96,Wood
CR2513OW,25x13mm White Open Grain Create Flat Moulding,25,9,White,2.48,4.96,Wood
CR2513WH,25x13mm White Closed Grain Create Flat Moulding,25,9,White,2.88,5.76,Wood
CR3013BK,30x13mm Matt Closed Grain Black Create Flat Moulding,30,9,Black,3.18,6.36,Wood
CR3013WH,30x13mm Matt Closed Grain White Create Flat Moulding,30,9,White,3.18,6.36,Wood
CR3020BK,30x20mm Black Open Grain Create Flat Moulding,30,15,Black,3.43,6.85,Wood
CR3020BN,30x20mm Brown Open Grain Create Flat Moulding,30,15,Brown,3.43,6.85,Wood
CR3020GY,30x20mm Dark Grey Open Grain Create Flat Moulding,30,15,Grey,3.43,6.85,Wood
CR3020MB,30x20mm Black Closed Grain Create Flat Moulding,30,15,Black,4.05,8.1,Wood
CR3020MW,30x20mm White Closed Grain Create Flat Moulding,30,15,White,4.05,8.1,Wood
CR3020OA,30x20mm Oak Open Grain Create Flat Moulding,30,15,Brown,3.43,6.85,Wood
CR3020PG,30x20mm Pale Grey Open Grain Create Flat Moulding,30,15,Grey,3.43,6.85,Wood
CR3020WH,30x20mm White Open Grain Create Flat Moulding,30,15,White,3.43,6.85,Wood
CR3090BK,20x14mm Black Open Grain Create Flat Moulding,20,8,Black,2.61,5.22,Wood
CR3090BN,20x14mm Brown Open Grain Create Flat Moulding,20,8,Brown,2.61,5.22,Wood
CR3090GY,20x14mm Grey Open Grain Create Flat Moulding,20,8,Grey,2.61,5.22,Wood
CR3090OA,20x14mm Oak Open Grain Create Flat Moulding,20,8,Brown,2.61,5.22,Wood
CR3090PG,20x14mm Pale Grey Open Grain Create Flat Moulding,20,8,Grey,2.61,5.22,Wood
CR3090WH,20x14mm White Open Grain Create Flat Moulding,20,8,White,2.61,5.22,Wood
CR3245AF,10x32mm Ash Foil Create L-shape Moulding,10,10,Brown,8.17,16.34,Wood
CR3245AG,10x32mm Antique Gold Create Lustre L-shape Moulding,10,10,,7.92,15.83,Wood
CR3245AS,10x32mm Antique Silver Create Lustre L-shape Moulding,10,10,,7.92,15.83,Wood
CR3245BF,10x32mm Brown Foil Create L-shape Moulding,10,10,Brown,8.17,16.34,Wood
CR3245BK,10x32mm Black Open Grain Create L-shape Moulding,10,10,Black,7.37,14.75,Wood
CR3245BN,10x32mm Brown Open Grain Create L-shape Moulding,10,10,Brown,7.37,14.75,Wood
CR3245BR,10x32mm Antique Bronze Create Lustre L-shape Moulding,10,10,,7.92,15.84,Wood
CR3245GF,10x32mm Grey Foil Create L-shape Moulding,10,10,Grey,8.17,16.34,Wood
CR3245GY,10x32mm Grey Open Grain Create L-shape Moulding,10,10,Grey,7.23,14.46,Wood
CR3245MB,10x32mm Matt Closed Grain Black Create L-shape Moulding,10,10,Black,7.4,14.79,Wood
CR3245MW,10x32mm Matt Closed Grain White Create L-shape Moulding,10,10,White,7.4,14.79,Wood
CR3245OF,10x32mm Oak Foil Create L-shape Moulding,10,10,Brown,8.17,16.34,Wood
CR3245PG,10x32mm Pale Grey Open Grain Create L-shape Moulding,10,10,Grey,7.23,14.46,Wood
CR3245WA,10x32mm Walnut Foil Create L-shape Moulding,10,10,Brown,8.17,16.34,Wood
CR3245WF,10x32mm Wenge Foil Create L-shape Moulding,10,10,Brown,8.17,16.34,Wood
CR3245WH,10x32mm White Open Grain Create L-shape Moulding,10,10,White,7.37,14.75,Wood
CR3300BK,20x14mm Black Closed Grain Create Flat Moulding,20,9,Black,2.58,5.16,Wood
CR3300GD,20x14mm Gold Closed Grain Create Flat Moulding,20,9,Gold,3.54,7.08,Wood
CR3300PT,20x14mm Pewter Closed Grain Create Flat Moulding,20,9,Pewter,3.54,7.08,Wood
CR3300SI,20x14mm Silver Closed Grain Create Flat Moulding,20,9,Silver,3.54,7.08,Wood
CR3300WH,20x14mm White Closed Grain Create Flat Moulding,20,9,White,2.58,5.16,Wood
CR3313AG,33x13mm Antique Gold Create Lustre Flat Moulding,33,9,Gold,3.87,7.73,Wood
CR3313AS,33x13mm Antique Silver Create Lustre Flat Moulding,33,9,Silver,3.87,7.73,Wood
CR3313BK,33x13mm Black Open Grain Create Flat Moulding,33,9,Black,3.91,7.81,Wood
CR3313BN,33x13mm Brown Open Grain Create Flat Moulding,33,9,Brown,3.91,7.81,Wood
CR3313BR,33x13mm Bronze Create Lustre Flat Moulding,33,9,Bronze,3.87,7.73,Wood
CR3313GY,33x13mm Grey Open Grain Create Flat Moulding,33,9,Grey,3.91,7.81,Wood
CR3313MB,33x13mm Matt Closed Grain Black Create Flat Moulding,33,9,Black,4.55,9.1,Wood
CR3313MG,33x13mm Matt Closed Grain Gold Create Flat Moulding,33,9,Gold,4.55,9.1,Wood
CR3313MP,33x13mm Matt Closed Grain Pewter Create Flat Moulding,33,9,Pewter,4.55,9.1,Wood
CR3313MS,33x13mm Matt Closed Grain Silver Create Flat Moulding,33,9,Silver,4.55,9.1,Wood
CR3313MW,33x13mm Matt Closed Grain White Create Flat Moulding,33,9,White,4.55,9.1,Wood
CR3313MZ,33x13mm Matt Closed Grain Bronze Create Flat Moulding,33,9,Bronze,4.55,9.1,Wood
CR3313OA,33x13mm Oak Open Grain Create Flat Moulding,33,9,Brown,3.91,7.81,Wood
CR3313OK,33x13mm Oak Open Grain Create Flat Moulding,33,9,Brown,3.85,7.69,Wood
CR3313PG,33x13mm Pale Grey Open Grain Create Flat Moulding,33,9,Grey,3.91,7.81,Wood
