CODE,description,rabbet,width,cost,group
AI93608,Silver Crosshatch - Moda - ITL CS (195M/BOX),20,20,10.75,Wood
AI93609,Gold - Moda - ITL CS (195M/BOX),20,20,10.75,Wood
AI93610,Silver - Moda - ITL CS (195M/BOX),20,20,10.75,Wood
AI93611,Charcoal - Moda - ITL CS (195M/BOX),20,20,8.95,Wood
AI93612,Gloss Black - Moda - ITL CS (195M/BOX),20,20,10.5,Wood
AI93613,Gloss White - Moda - ITL CS (195M/BOX),20,20,10.5,Wood
AI93614,Metallic Silver - Moda - ITL CS (195M/BOX),20,20,9.95,Wood
AI93615,Metallic Gold - Moda - ITL CS (195M/BOX),20,20,9.95,Wood
AI93619,Metallic Rose Gold - Moda - ITL CS (195M/BOX),20,20,9.95,Wood
AI93701,Black - Moda - ITL CS (120M/BOX),20,30,10.75,Wood
AI93702,Teak - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93703,Mahogany - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93704,Walnut - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93705,White - Moda - ITL CS (120M/BOX),20,30,10.75,Wood
AI93706,Lime Wash - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93707,Natural - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93708,Silver Crosshatch - Moda - ITL CS (120M/BOX),20,30,13.5,Wood
AI93709,Gold - Moda - ITL CS (120M/BOX),20,30,13.5,Wood
AI93710,Silver - Moda - ITL CS (120M/BOX),20,30,13.5,Wood
AI93711,Charcoal - Moda - ITL CS (120M/BOX),20,30,11.25,Wood
AI93712,Gloss Black - Moda - ITL CS (120M/BOX),20,30,13.25,Wood
AI93713,Gloss White - Moda - ITL CS (120M/BOX),20,30,13.25,Wood
AI93714,DISC - Metallic Silver - Moda - ITL CS (120M/BOX),20,30,18.35,Wood
AI93719,Metallic Rose Gold - Moda - ITL CS (120M/BOX),20,30,18.35,Wood
AI96001,Black - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96002,Teak - Moda - ITL CS (75M/BOX),20,60,21.95,Wood
AI96003,Mahogany - Moda - ITL CS (75M/BOX),20,60,21.95,Wood
AI96004,Walnut - Moda - ITL CS (75M/BOX),20,60,21.95,Wood
AI96005,White - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96006,Lime Wash - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96007,Natural - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96008,Silver Crosshatch - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96009,Gold - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96010,Silver - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96011,Charcoal - Moda - ITL CS (75M/BOX),20,60,19.95,Wood
AI96012,Gloss Black - Moda - ITL CS (75M/BOX),20,60,23.95,Wood
AI96013,Gloss White - Moda - ITL CS (75M/BOX),20,60,23.95,Wood
AI96014,Metallic Silver - Moda - ITL CS (53M/BOX),20,60,28.05,Wood
AI96101,Black - Moda - ITL CS (130M/BOX),40,20,14.75,Wood
AI96102,Teak - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96103,Mahogany - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96104,Walnut - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96105,White - Moda - ITL CS (130M/BOX),40,20,14.75,Wood
AI96106,Lime Wash - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96107,Natural - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96108,Silver Crosshatch - Moda - ITL CS (130M/BOX),40,20,18.95,Wood
AI96109,Gold - Moda - ITL CS (130M/BOX),40,20,18.95,Wood
AI96110,Silver - Moda - ITL CS (130M/BOX),40,20,18.95,Wood
AI96111,Charcoal - Moda - ITL CS (130M/BOX),40,20,16.25,Wood
AI96112,Gloss Black - Moda - ITL CS (130M/BOX),40,20,17.65,Wood
AI96113,Gloss White - Moda - ITL CS (130M/BOX),40,20,17.65,Wood
AI96114,Metallic Silver - Moda - ITL CS (130M/BOX),40,20,22.5,Wood
AI96119,Metallic Rose Gold - Moda - ITL CS (130M/BOX),40,20,22.5,Wood
AI96201,Cream - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96202,Guacamole - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96203,Kiwi - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96204,Navy Blue - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96205,Kingfisher Blue - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96206,Powder Blue - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96207,Violet - Paintbox - ITL CS (115M/BOX),20,30,12.95,Wood
AI96208,Fuschia - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96209,Blush - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96210,Powder Pink - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96211,Poppy - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96212,Tangerine - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96213,Sunflower - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96214,DISC Chocolate - Paintbox - ITL CS (126M/BOX),20,30,6.8,Wood
AI96215,Stormy Grey - Paintbox - ITL CS (126M/BOX),20,30,12.95,Wood
AI96401,DISC Gloss Black - Venezia - ITL CS (96M/BOX),20,40,17.75,Wood
AI96402,DISC Gloss White - Venezia - ITL CS (96M/BOX),20,40,17.75,Wood
AI96403,DISC Gloss Red - Venezia - ITL CS (96M/BOX),20,40,17.75,Wood
AI96404,DISC Gun Metal - Venezia - ITL CS (96M/BOX),20,40,19.05,Wood
AI96501,DISC Gloss Black - Venezia - ITL CS (30M/BOX),35,90,44.4,Wood
AI96502,DISC Gloss White - Venezia - ITL CS (30M/BOX),35,90,44.4,Wood
AI96503,DISC Gloss Red - Venezia - ITL CS (30M/BOX),35,90,44.4,Wood
AI96504,DISC Gun Metal - Venezia - ITL CS (30M/BOX),35,90,45.7,Wood
AI96601,DISC Black - Baita - ITL CS (96M/BOX),30,40,16.65,Wood
AI96602,DISC White - Baita - ITL CS (96M/BOX),30,40,16.65,Wood
AI96603,DISC Brown - Baita - ITL CS (96M/BOX),30,40,16.65,Wood
AI96604,DISC Natural - Baita - ITL CS (96M/BOX),30,40,16.65,Wood
AI96701,DISC Black - Baita - ITL CS (36M/BOX),30,70,27.6,Wood
AI96702,DISC White - Baita - ITL CS (36M/BOX),30,70,27.6,Wood
AI96703,DISC Brown - Baita - ITL CS (36M/BOX),30,70,27.6,Wood
AI96704,DISC Natural - Baita - ITL CS (36M/BOX),30,70,27.6,Wood
AI96801,DISC Black - Baita - ITL CS (36M/BOX),45,90,38.05,Wood
AI96802,DISC White - Baita - ITL CS (36M/BOX),45,90,38.05,Wood
AI96803,DISC Brown - Baita - ITL CS (36M/BOX),45,90,38.05,Wood
AI96804,DISC Natural - Baita - ITL CS (36M/BOX),45,90,38.05,Wood
AI96901,Gold/Black - Dama - ITL CS (72M/BOX),35,35,25.7,Wood
AI96902,DISC - Silver/Black - Dama - ITL CS (72M/BOX),35,35,25.7,Wood
AI96903,DISC Black /Silver - Dama - ITL CS (72M/BOX),35,35,21.3,Wood
AI96904,DISC White/Gold - Dama - ITL CS (72M/BOX),35,35,21.3,Wood
AI97001,DISC - Gold/Black - Dama - ITL CS (130M/BOX),27,25,21.8,Wood
AI97002,Silver/Black - Dama - ITL CS (130M/BOX),27,25,21.8,Wood
AI97003,DISC - Black/Silver - Dama - ITL CS (130M/BOX),27,25,21.7,Wood
AI97004,DISC - White/Gold - Dama - ITL CS (130M/BOX),27,25,21.7,Wood
AI97101,DISC - Gold/Black - Dama - ITL CS (228M/BOX),20,18,17.65,Wood
AI97102,Silver/Black - Dama - ITL CS (228M/BOX),20,18,17.65,Wood
AI97103,DISC - Black/Silver - Dama - ITL CS (228M/BOX),20,18,17.65,Wood
AI97104,White/Gold - Dama - ITL CS (228M/BOX),20,18,17.65,Wood
AI97901,DISC - Black - Moda - ITL CS (30M/BOX),30,90,37.45,Wood
AI97905,DISC - White - Moda - ITL CS (30M/BOX),30,90,37.45,Wood
AI97912,DISC Gloss Black - Moda - ITL CS (30M/BOX),30,90,33.7,Wood
AI97913,DISC - Gloss White - Moda - ITL CS (30M/BOX),30,90,37.45,Wood
AI97914,DISC Metallic Silver - Moda - ITL CS (30M/BOX),30,90,25.1,Wood
AI97916,DISC Gloss Red - Moda - ITL CS (30M/BOX),30,90,21.8,Wood
AI98012,DISC - Gloss Black - Moda - ITL CS (300M/BOX),10,10,6.45,Wood
AI98013,DISC - Gloss White - Moda - ITL CS (300M/BOX),10,10,6.45,Wood
AI98014,DISC - Metallic Silver - Moda - ITL CS (300M/BOX),10,10,7.45,Wood
AI98015,DISC - Metallic Gold - Moda - ITL CS (300M/BOX),10,10,7.45,Wood
AI98016,DISC - Gloss Red - Moda - ITL CS (300M/BOX),10,10,6.45,Wood
AI98019,DISC - Metallic Rose Gold - Moda - ITL CS (300M/BOX),10,10,7.45,Wood
AI98101,DISC Black - Granita - ITL CS (300M/BOX),18,16,6.05,Wood
AI98102,DISC White - Granita - ITL CS (300M/BOX),18,16,6.05,Wood
AI98103,DISC Lead - Granita - ITL CS (300M/BOX),18,16,6.05,Wood
AI98104,DISC Red - Granita - ITL CS (300M/BOX),18,16,6.05,Wood
AI98201,Oak - Essenza - ITL CS (66M/BOX),35,40,26.75,Wood
AI98301,Oak - Essenza - ITL CS (48M/BOX),50,35,34.95,Wood
AI98401,Oak - Essenza - ITL CS (78M/BOX),54,30,28.95,Wood
AI98501,Oak - Essenza - ITL CS (200M/BOX),30,20,15.6,Wood
AI98601,Oak - Essenza - ITL CS (144M/BOX),40,20,22.25,Wood
AI98701,Oak - Essenza - ITL CS (72M/BOX),54,45,39.95,Wood
AI98801,Oak - Essenza - ITL CS (120M/BOX),32,40,27.5,Wood
AI98901,White - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98902,Black - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98903,Grey - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98904,Taupe - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98905,Cream - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98906,Burgundy - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98907,Cherry - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98908,Lemon - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98909,Orange - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98910,Navy - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI98911,Olive - Positano - ITL CS (360M/BOX),22,15,12.25,Wood
AI99001,Black  - Moda - ITL CS (45M/BOX),50,35,25.05,Wood
AI99005,White - Moda - ITL CS (45M/BOX),50,35,25.05,Wood
AI99101,Black - Moda - ITL CS (72M/BOX),60,21,35.1,Wood
AI99105,White - Moda - ITL CS (72M/BOX),60,21,35.1,Wood
AI99201,DISC - DISC - Gold - Romantica - ITL CS (216M/BOX),20,20,14.95,Wood
AI99202,Silver - Romantica - ITL CS (216M/BOX),20,20,14.95,Wood
AI99203,DISC - Black/Gold - Romantica - ITL CS (216M/BOX),20,20,14.95,Wood
AI99204,White/Silver - Romantica - ITL CS (216M/BOX),20,20,14.95,Wood
AI99301,DISC - Black/Silver  - Palio - ITL CS (211M/BOX),20,20,11.95,Wood
AI99302,DISC - White/Gold  - Palio - ITL CS (211M/BOX),20,20,11.95,Wood
AI99401,DISC Gold - Renaissance - ITL CS (96M/BOX),20,40,16.2,Wood
AI99402,DISC Silver - Renaissance - ITL CS (96M/BOX),20,40,13.7,Wood
AI99403,DISC Black - Renaissance - ITL CS (96M/BOX),20,40,14.55,Wood
AI99404,DISC White - Renaissance - ITL CS (96M/BOX),20,40,13.7,Wood
AI99501,DISC - Gold - Renaissance - ITL CS (114M/BOX),20,30,12.45,Wood
AI99502,DISC - Silver - Renaissance - ITL CS (114M/BOX),20,30,15.05,Wood
AI99503,DISC Black  - Renaissance - ITL CS (114M/BOX),20,30,12.45,Wood
AI99504,DISC White - Renaissance - ITL CS (114M/BOX),20,30,12.45,Wood
AI99601,DISC Gold - Renaissance - ITL CS (154M/BOX),30,20,11.7,Wood
AI99602,DISC Silver - Renaissance - ITL CS (154M/BOX),30,20,11.7,Wood
AI99603,DISC Black - Renaissance - ITL CS (154M/BOX),30,20,13.85,Wood
AI99604,DISC White - Renaissance - ITL CS (154M/BOX),30,20,12.45,Wood
AI99701,Gold  - Renaissance - ITL CS (216M/BOX),20,20,13.1,Wood
AI99702,DISC - Silver - Renaissance - ITL CS (216M/BOX),20,20,13.1,Wood
AI99703,Black - Renaissance - ITL CS (216M/BOX),20,20,12,Wood
AI99704,DISC - White - Renaissance - ITL CS (216M/BOX),20,20,12,Wood
AI99801,Black  - Moda - ITL CS (110M/BOX),40,20,16.95,Wood
AI99805,White  - Moda - ITL CS (110M/BOX),40,20,16.95,Wood
AR10BWRV,Blackwood - Natural Real Veneer (104M/Box),38,20,15.6,Wood
AR10OAK,Raw  - Australian Oak (85M/BOX),38,20,12.45,Wood
AR10OAKC,Raw - Natural Oak  (69 MTRS/BOX),38,20,15.95,Wood
AR10OAKRV,Oak - Natural Real Veneer (104M/Box),38,20,15.6,Wood
AR11OAK,Raw  - Australian Oak (200M/BOX),29,16,10.85,Wood
AR11OAKC,Raw - Natural Oak  (120 MTRS/BOX),29,16,10.7,Wood
AR16OAK,Raw  - Australian Oak (100M/BOX),47,13,14.25,Wood
AR16OAKC,Raw - Natural Oak  (102 MTRS/BOX),47,13,12.35,Wood
AR17OAK,Raw  - Australian Oak (125M/BOX),37,13,13.7,Wood
AR17OAKC,Raw - Natural Oak  (145 MTRS/BOX),37,13,10.05,Wood
AR18OAK,Raw  - Australian Oak (100M/BOX),45,28,25.85,Wood
AR18OAKC,Raw - Natural Oak  (51 MTRS/BOX),45,28,23.8,Wood
AR19OAK,Raw  - Australian Oak (100M/BOX),58,21,18.25,Wood
AR19OAKC,Raw - Natural Oak  (48 MTRS/BOX),58,21,22.25,Wood
AR21OAK,Raw  - Australian Oak Spacer (100M/BOX),5,20,6.4,Wood
AR21OAKC,Raw - Natural Oak  (100 MTRS/BOX),20,5,5.9,Wood
AR22OAK,Raw  - Australian Oak Spacer (100M/BOX),5,12,5.5,Wood
AR22OAKC,Raw - Natural Oak  (100 MTRS/BOX),12,5,5,Wood
AR23OAK,Raw  - Australian Oak Spacer (100M/BOX),8,20,5.8,Wood
AR23OAKC,Raw - Natural Oak  (100 MTRS/BOX),20,8,6.15,Wood
AR24BWRV,Float - Natural Real Veneer (64M/Box),55,35,24.95,Wood
AR24OAK,Raw  - Australian Oak (43M/BOX),55,35,26.9,Wood
AR24OAKC,Raw - Natural Oak  (48 MTRS/BOX),55,35,21.4,Wood
AR24OAKRV,Float - Natural Real Veneer (64M/Box),55,35,24.95,Wood
AR25OAK,Raw  - Australian Oak (200M/BOX),20,13,8.15,Wood
AR25OAKC,DISC Raw - Natural Oak  (180 MTRS/BOX),20,13,6.35,Wood
AR26OAK,Raw  - Australian Oak (125M/BOX),30,20,10.85,Wood
AR26OAKC,Raw - Natural Oak  (90 MTRS/BOX),30,20,13.55,Wood
AR27BWRV,Blackwood - Natural Real Veneer (104M/Box),20,40,15.5,Wood
AR27OAK,Raw  - Australian Oak (70M/BOX),20,40,13.5,Wood
AR27OAKC,Raw - Natural Oak  (54 MTRS/BOX),20,40,16.5,Wood
AR27OAKRV,Oak - Natural Real Veneer (104M/Box),20,40,15.5,Wood
AR28BWRV,Blackwood - Natural Real Veneer (174M/Box),20,30,13.95,Wood
AR28OAK,Raw  - Australian Oak (100M/BOX),20,30,11.6,Wood
AR28OAKC,Raw - Natural Oak  (69 MTRS/BOX),20,30,13.55,Wood
AR28OAKRV,Oak - Natural Real Veneer (174M/Box),20,30,13.95,Wood
AR29BWRV,Blackwood - Natural Real Veneer (232M/Box),20,20,12.95,Wood
AR29OAK,Raw  - Australian Oak (185M/BOX),20,20,9.7,Wood
AR29OAKC,Raw - Natural Oak  (108 MTRS/BOX),20,20,9.95,Wood
AR29OAKRV,Oak - Natural Real Veneer (232M/Box),20,20,12.95,Wood
AR30OAK,Australia Oak (120M/BOX),38,20,14.25,Wood
AR30OAKC,Raw - Natural Oak  (60 MTRS/BOX),38,20,15.95,Wood
AR31OAK,Australia Oak (180M/BOX),25,15,12.45,Wood
AR31OAKC,DISC Raw - Natural Oak  (148 MTRS/BOX),25,15,7.65,Wood
AR32OAK,Australia Oak (120M/BOX),40,20,14.25,Wood
AR32OAKC,Raw - Natural Oak  (81 MTRS/BOX),40,20,16.5,Wood
AR33OAKC,Raw - Natural Oak  (36 MTRS/BOX),60,30,37.7,Wood
AR34OAKC,Raw - Natural Oak  (54 MTRS/BOX),65,20,23.5,Wood
AR35OAKC,Raw - Natural Oak  (108 MTRS/BOX),40,16,13.2,Wood
AR36OAKC,Raw - Natural Oak  (150 MTRS/BOX),28,13,7.95,Wood
AR40OAKC,Raw - Natural Oak  (97 MTRS/BOX),40,10,9.45,Wood
AR660OAK,Raw - Australian Oak (60M/BOX),34,45,23.6,Wood
AR660OAKC,Raw - Natural Oak  (54 MTRS/BOX),45,34,19.3,Wood
AR661OAKC,Natural Oak - Float Raw  (54M/Box),34,45,19.3,Wood
AR10OAKCLR,Raw Clear Coat - Natural Oak  (69 MTRS/BOX),38,20,17.15,Wood
AR24OAKCLR,Raw Clear Coat - Natural Oak  (48 MTRS/BOX),55,35,22.95,Wood
AR27OAKCLR,Raw Clear Coat - Natural Oak  (54 MTRS/BOX),20,40,17.4,Wood
AR28OAKCLR,Raw Clear Coat - Natural Oak  (69 MTRS/BOX),20,30,14.55,Wood
AR29OAKCLR,Raw Clear Coat - Natural Oak  (108 MTRS/BOX),20,20,11.15,Wood
AR10WALRV,Oak - Natural Real Veneer - Walnut,38,20,15.6,Wood
AR18BWRV,Oak - Natural Real Veneer - Blackwood,45,28,22.95,Wood
AR18OAKRV,Oak - Natural Real Veneer - Oak,45,28,22.95,Wood
AR18WALRV,Oak - Natural Real Veneer - Walnut,45,28,22.95,Wood
AR24WALRV,Oak - Natural Real Veneer - Float Walnut,55,35,24.95,Wood
AR27WALRV,Oak - Natural Real Veneer - Walnut,20,40,15.5,Wood
AR28WALRV,Oak - Natural Real Veneer - Walnut,20,30,13.95,Wood
AR29WALRV,Oak - Natural Real Veneer - Walnut,20,20,12.95,Wood
B10001,Traditional-Gold,81,104,190.45,Wood
B10101,DISC Traditional-Gold,62,63,78,Wood
B10102,DISC Traditional-Verdigris,62,63,78,Wood
B10401,Contemporary-Black/Gold,26,19,35.3,Wood
B10402,Contemporary-Black/Silver,26,19,35.3,Wood
B10501,Traditional-Gold,53,56,103.1,Wood
B10502,Traditional-Silver,53,56,103.1,Wood
B10601,DISC Traditional-Gold,79,78,106.9,Wood
B10602,DISC Traditional-Silver,79,78,106.9,Wood
B10701,DISC Traditional-Gold,67,82,130.4,Wood
B10702,DISC Traditional-Black,67,82,130.4,Wood
B10901,DISC Traditional-Gold,50,68,75.3,Wood
B10902,DISC Traditional-Black,50,68,75.3,Wood
B11001,DISC Traditional-Gold,73,113,152.8,Wood
B11101,DISC Traditional-Gold,34,66,65.4,Wood
B11102,DISC Traditional-Silver,34,66,65.4,Wood
B11103,DISC Traditional-Black,34,66,65.4,Wood
B11201,DISC Traditional-Gold,54,117,130.4,Wood
B11202,DISC Traditional-Silver,54,117,130.4,Wood
B11203,DISC Traditional - Black,54,117,130.4,Wood
B11301,DISC Traditional-Gold,31,30,37.6,Wood
B11302,DISC Traditional-Silver,31,30,37.6,Wood
B11401,DISC Traditional-Silver,27,37,32.3,Wood
B11601,DISC Traditional-Gold,26,15,22.3,Wood
B11602,DISC Traditional-Silver,26,15,22.3,Wood
B11701,Traditional-Gold,21,19,29.5,Wood
B11702,Traditional-Silver,21,19,29.5,Wood
B11703,Traditional-Black/Silver,21,19,29.5,Wood
B11801,Traditional-Gold,20,17,26.45,Wood
B11802,Traditional-Silver,20,17,26.45,Wood
B11901,Designer-Gold,30,64,89.6,Wood
B11902,Designer-Silver,30,64,89.6,Wood
B11903,Designer-Black/Gold,30,64,89.6,Wood
B12001,DISC Designer-Gold,46,104,92.3,Wood
B12002,DISC Designer-Silver,46,104,92.3,Wood
B12003,DISC Designer-Black/Gold,46,104,92.3,Wood
B12102,DISC Designer - Black/Silver,31,63,44.4,Wood
B12103,DISC Designer - White/Gold,31,63,44.4,Wood
B12202,DISC Designer-Silver,24,34,38.3,Wood
B12402,DISC Contemporary-Black/Silver,26,45,39.5,Wood
B12501,DISC Contemporary - Black/Gold,26,85,52.3,Wood
B12502,DISC Contemporary-Black/Silver,26,85,52.3,Wood
B12601,Traditional-Gold,70,70,123,Wood
B12602,Traditional-Silver,70,70,123,Wood
B12701,DISC Contemporary - Gold,28,99,57.1,Wood
B12801,DISC Contemporary-Gold,26,87,53.8,Wood
B12802,DISC Contemporary-Silver,26,87,53.8,Wood
B12901,Contemporary-Gold,25,15,28.7,Wood
B12902,Contemporary-Silver,25,15,28.7,Wood
B13001,Contemporary-Gold,16,16,25.55,Wood
B13002,Contemporary-Silver,16,16,25.55,Wood
B13101,Contemporary-Gold,20,20,35.9,Wood
B13102,Contemporary-Silver,20,20,35.9,Wood
B13201,Contemporary-Gold,28,35,42.5,Wood
B13202,Contemporary-Silver,28,35,42.5,Wood
B13301,Traditional-Gold,17,22,35.6,Wood
B13302,Traditional-Silver,17,22,35.6,Wood
B13401,Contemporary-Gold,13,11,15.85,Wood
B13402,Contemporary-Silver,13,11,15.85,Wood
B13501,DISC Contemporary-Gold,13,45,21.6,Wood
B13502,DISC Contemporary-Silver,13,45,21.6,Wood
B13601,Contemporary-Gold/Black,30,41,51.05,Wood
B13602,Contemporary-Silver/Black,30,41,51.05,Wood
B13603,Contemporary-Black/Silver,30,41,51.05,Wood
B13701,Contemporary-Gold/Black,46,71,94.85,Wood
B13702,Contemporary-Silver/Black,46,71,94.85,Wood
B13703,Contemporary-Black/Silver,46,71,94.85,Wood
B13801,DISC Contemporary-Gold/Black,69,115,120.65,Wood
B13802,DISC Contemporary-Silver/Black,69,115,114.9,Wood
B13803,DISC Contemporary-Black/Silver,69,115,114.9,Wood
B13901,DISC Contemporary-Gold/Black,35,56,45.7,Wood
B13902,DISC Contemporary-Silver/Black,35,56,45.7,Wood
B14001,DISC Contemporary-Black/Gold,50,93,48.56,Wood
B14002,DISC Contemporary-Black/Silver,50,93,74.7,Wood
B14101,DISC Contemporary-Silver,71,100,101.6,Wood
B14202,DISC Contemporary - Silver/Black,54,154,122.5,Wood
B14301,Timber-Olive Veneer Black,23,30,47.4,Wood
B14302,Timber-Olive Veneer Brown,23,30,47.4,Wood
B14303,DISC Timber-Olive Veneer Natural,23,30,30,Wood
B14401,Timber-Olive Veneer Black,31,70,97.3,Wood
B14402,Timber-Olive Veneer Brown,31,70,97.3,Wood
B14403,Timber-Olive Veneer Natural,31,70,97.3,Wood
B14501,Timber-Olive Veneer Black,51,102,149.25,Wood
B14502,Timber-Olive Veneer Brown,51,102,149.25,Wood
B14503,Timber-Olive Veneer Natural,51,102,149.25,Wood
B14601,DISC Timber-Olive Veneer Black,71,112,97.76,Wood
B14602,DISC Timber-Olive Veneer Brown,71,112,97.76,Wood
B14603,DISC Timber-Olive Veneer Natural,71,112,150.4,Wood
B14701,DISC Designer-Reeded Gold,13,29,18.9,Wood
B14702,DISC Designer-Reeded Silver,13,29,18.9,Wood
B14801,DISC Designer-Gold,15,52,31.7,Wood
B14802,DISC Designer-Silver,15,52,31.7,Wood
B15101,DISC Designer-White/Gold,31,119,96.6,Wood
B15202,DISC Designer-White/Silver,31,119,96.6,Wood
B16001,Timber-Olive Veneer Black,14,20,37.4,Wood
B16002,Timber-Olive Veneer Brown,14,20,37.4,Wood
B16003,DISC Timber-Olive Veneer  Natural,14,20,24.9,Wood
B16201,DISC Designer-Gold,14,29,20.1,Wood
B16202,DISC Designer-Silver,14,29,20.1,Wood
B16203,DISC Designer-Black,14,29,20.1,Wood
B16501,DISC Designer - Gold,75,106,68.9,Wood
B16503,DISC Designer - Black,75,106,68.9,Wood
B16802,DISC Timber - Teak,25,67,31.7,Wood
B17001,Traditional-Gold,70,71,190.15,Wood
B17002,Traditional-Silver,70,71,190.15,Wood
B17003,DISC Traditional-Black,70,71,113.3,Wood
B17004,DISC Traditional-White,70,71,113.3,Wood
B17101,DISC Traditional-Gold,35,93,100.3,Wood
B17102,DISC Traditional-Silver,35,93,100.3,Wood
B17103,DISC Traditional-Black,35,93,87.6,Wood
B17301,DISC Contemporary - Black,54,105,59,Wood
B17402,DISC Designer - White,37,79,40,Wood
B17403,DISC Designer - Red,37,79,40,Wood
B17405,DISC Designer-Gold,28,79,63.6,Wood
B17501,Traditional-Soft Gold,64,95,158,Wood
B17502,Traditional-Soft Silver,64,95,158,Wood
B17503,Traditional-Soft Black,64,95,158,Wood
B17601,DISC Traditional - Gold,71,151,135,Wood
B17603,DISC Traditional-Soft Black,71,151,171.4,Wood
B17701,DISC Contemporary-Gold,20,20,19.1,Wood
B17702,DISC Contemporary-Silver,20,20,19.1,Wood
B17703,DISC Contemporary-Black,20,20,19.1,Wood
B17704,DISC Timber-Dark Veneer,20,20,19.1,Wood
B17705,DISC Timber-Light Veneer,20,20,19.1,Wood
B17801,Contemporary- Gold,45,28,50.25,Wood
B17802,Contemporary-Silver,45,28,50.25,Wood
B17803,Contemporary-Black,45,28,50.25,Wood
B17804,DISC Timber-Dark Veneer,45,28,31.8,Wood
B17805,DISC Timber-Light Veneer,45,28,31.8,Wood
B17901,DISC Contemporary-Gold,35,45,34.55,Wood
B17902,DISC Contemporary-Silver,35,45,34.55,Wood
B17903,DISC Contemporary-Black,35,45,32.9,Wood
B17904,DISC Timber-Dark Veneer,35,45,32.9,Wood
B17905,DISC Timber-Light Veneer,35,45,32.9,Wood
B18001,DISC Contemporary-Gold,75,90,120.7,Wood
B18002,DISC Contemporary-Silver,75,90,120.7,Wood
B18003,DISC Contemporary-Black,75,90,120.7,Wood
B18004,DISC Timber-Dark Veneer,75,90,120.7,Wood
B18005,DISC Timber-Light Veneer,75,90,120.7,Wood
B18006,DISC Timber-White,75,90,120.7,Wood
B18201,DISC Traditional - Black/Gold,44,105,64.95,Wood
B18202,DISC Traditional - White/Gold,44,105,64.95,Wood
B18301,DISC Contemporary-Gold,16,20,18.7,Wood
B18302,DISC Contemporary-Silver,16,20,18.7,Wood
B18303,DISC Contemporary-Black,16,20,18.7,Wood
B18304,DISC Contemporary-Red,16,20,18.7,Wood
B18305,DISC Contemporary-Green,16,20,18.7,Wood
B18306,DISC Contemporary-White,16,20,17.8,Wood
B18401,DISC - Traditional-Gold,16,20,27.25,Wood
B18402,DISC Traditional-Silver,16,20,20.2,Wood
B18501,DISC - Traditional-Black/Gold,24,30,34.5,Wood
B18502,DISC Traditional-White/Gold,24,30,25.55,Wood
B18601,DISC - Traditional-Black/Gold,48,64,81.05,Wood
B18602,DISC Traditional-White/Gold,48,64,60.1,Wood
B18701,DISC Traditional-Black/Teak,34,60,44.6,Wood
B18702,DISC Traditional-Cherry/Teak,34,60,44.6,Wood
B18703,DISC Traditional-Teak,34,60,46.85,Wood
B18704,DISC Traditional-White/Teak,34,60,44.6,Wood
B18801,DISC Traditional - Black/Teak,48,105,69.95,Wood
B18802,DISC Traditional - Cherry/Teak,48,105,69.95,Wood
