ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
10-036M,"WHITE WASH MAPLE CAP 5/8""",0.625,FT,720472184441,10.05,13.52,14.52,Frame Moulding,276,6.62,N,N,N
100750,"W0 SOFIA BRONZE FILLET 1/4""",0.25,FT,720472154925,4.65,7.07,8.07,Fillet,1200,3.02,Y,N,N
100751,"W0 SOFIA GOLD FILLET 1/4""",0.25,FT,720472154871,4.65,7.07,8.07,Fillet,1587,3.02,Y,N,N
100752,"W0 SOFIA IRON FILLET 1/4""",0.25,FT,720472154826,4.65,7.07,8.07,Fillet,1000,3.02,Y,N,N
10-100M,"NATURAL MAPLE CAP 5/8""",0.625,FT,720472184458,9.71,12.75,13.75,Frame Moulding,375,6.34,N,N,N
102CG,W0 CLASSIC GOLD 1/2,0.5,FT,720472100021,4.26,6.75,7.75,Frame Moulding,350,2,N,N,N
103180,W0 HUDSON GLD BEAD FILLET 5/16,0.5625,FT,720472172790,3.58,5.84,6.84,Fillet,900,1.68,Y,N,N
103190,W0 HUDSON SLV BEAD FILLET 5/16,0.5625,FT,720472172806,3.42,5.57,6.57,Fillet,900,1.61,Y,N,N
103235,"W0 ACADEMIE GOLD FILLET 5/16""",0.3125,FT,720472139243,3.65,5.92,6.92,Fillet,1290,1.66,Y,N,N
103237,W0 ACADEMIE SILVER FILLET 7/16,0.3125,FT,720472139250,3.61,5.87,6.87,Fillet,1296,1.64,Y,N,N
10-507M,"MSTEMS HANDRUBBED GRY CAP 5/8""",0.625,FT,720472191241,9.91,13,14,Frame Moulding,306,6.52,N,N,N
10545,*100 grit sanding disk PK of 3,0,EA,720472218917,32.1,0,0,Supplies,0,0,N,N,N
10554,*Putnam 7mm V-nails HW 4000/bx,0,EA,720472218948,64.35,0,0,Supplies,0,0,N,N,N
10558,*Putnam 10mm V-nails HW 3000/b,0,EA,720472218962,53.59,0,0,Supplies,0,0,N,N,N
10562,*Putnam 12mm V-nails HW 3000/b,0,EA,720472218986,59.44,0,0,Supplies,0,0,N,N,N
10566,*Putnam 15mm V-nails HW 2000/b,0,EA,720472219006,42.67,0,0,Supplies,0,0,N,N,N
105CB,W0 CLASSIC BLACK 1/2 VIENNA,0.5,FT,720472100052,3.81,6,7,Frame Moulding,270,2.54,N,N,N
106180,"W0 HUDSON GOLD FILLET 1/4""",0.5,FT,720472172813,3.44,5.58,6.58,Fillet,900,1.6,Y,N,N
106190,"W0 HUDSON SILVER FILLET 1/4""",0.5,FT,720472172820,3.25,5.34,6.34,Fillet,900,1.52,Y,N,N
108185,"W0 L7 GOLD W/BLACK FILLET 1/8""",0.125,FT,720472168717,8.1,10.28,11.28,Fillet,950,5.52,Y,N,N
11-036M,"WHITE WASH MAPLE STEM 5/8""",0.625,FT,720472191180,12.66,16.13,17.13,Frame Moulding,200,7.9,N,N,N
11-100M,"NATURAL MAPLE CAP 5/8""",0.625,FT,720472191197,12.38,15.74,16.74,Frame Moulding,195,7.71,N,N,N
112-060C,"MSTEMS NATURAL CHERRY 1/2""",0.5625,FT,720472187411,8.66,11.34,12.34,Frame Moulding,375,5.51,N,N,N
112-100M,"MSTEMS NATURAL MAPLE 1 1/8""",0.5625,FT,720472187428,8.84,11.3,12.3,Frame Moulding,360,5.74,N,N,N
112-500A,"MSTEMS SATIN BLACK ASH 1 1/8""",0.5625,FT,720472187435,5.84,7.8,8.8,Frame Moulding,483,4.41,N,N,N
112-506W,"MSTEMS ESPRESSO WAL 1 1/8""",0.5625,FT,720472187442,8.62,11.48,12.48,Frame Moulding,360,5.48,N,N,N
11415,"CO8 Staples 35,000/box",0,EA,720472200066,71.06,0,0,Supplies,0,0,N,N,N
114153,"W0 SPENCER II SILVER FIL 5/16""",0.3125,FT,720472199018,1.69,2.3,3.3,Fillet,1080,1.15,Y,N,N
114154,"W0 SPENCER II GOLD FIL 5/16""",0.3125,FT,720472199025,1.69,2.3,3.3,Fillet,1080,1.15,Y,N,N
11440,*Senco Brad Nailer #SLP20,0,EA,720472205764,395.63,0,0,Equipment,0,0,N,N,N
115-100M,"MSTEMS NATURAL MAPLE 1/2""",0.5625,FT,720472187466,10.45,14.1,15.1,Frame Moulding,330,6.87,N,N,N
115-500A,"MSTEMS BLACK ASH 1/2""",0.5625,FT,720472187473,5.84,7.77,8.77,Frame Moulding,378,4.24,N,N,N
115-506W,"MSTEMS ESPRESSO WALNUT 1/2""",0.5625,FT,720472187480,11.1,15.42,16.42,Frame Moulding,300,6.95,N,N,N
115632,"W0 CONFETTI YELLOW FILLET 1/4""",0.25,FT,720472163590,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
115635,"W0 CONFETTI RED FILLET 1/4""",0.25,FT,720472163613,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
115636,"W0 CONFETTI LT BLUE FLT 1/4""",0.25,FT,720472163620,2.38,3.94,4.94,Fillet,1080,1.4,Y,N,N
115640,"W0 CONFETTI BLUE FILLET 1/4""",0.25,FT,720472163668,2.37,3.92,4.92,Fillet,1080,1.4,Y,N,N
115651,W0 CONFETTI METALLIC GLD FLT,0.25,FT,720472163767,2.37,3.92,4.92,Fillet,1080,1.4,Y,N,N
115652,"W0 CONFETTI BLACK FILLET 1/4""",0.25,FT,720472163774,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
115653,"W0 CONFETTI WHITE FILLET 1/4""",0.25,FT,720472163781,2.39,3.95,4.95,Fillet,1080,1.41,Y,N,N
11612,*Work Station Coil Hose,0,EA,720472200134,74.27,0,0,Equipment,0,0,N,N,N
11815,Medium Thumbnail Inserts (500),0,EA,720472200172,84.99,0,0,Supplies,0,0,N,N,N
11817,Large Thumbnail Inserts (250),0,EA,720472200189,48.03,0,0,Supplies,0,0,N,N,N
119206,"W0 SHOJI DK WAL TALL CAP 1""",1,FT,720472199575,4.16,5.44,6.44,Frame Moulding,150,3.05,N,N,N
119208,"W0 SHOJI EB WAL TALL CAP 1""",1,FT,720472199582,4.16,5.44,6.44,Frame Moulding,137,3.05,N,N,N
119286,"W0 WHITE FILLET 5/16""",0.3125,FT,720472142687,3.1,5.6,6.6,Fillet,380,1.3,Y,N,N
119630,"W1 CONFETTI BLACK CAP 1""",1,FT,720472149891,7.45,11,12,Frame Moulding,135,3.46,N,N,N
119631,"W1 CONFETTI WHITE CAP 1""",1,FT,720472149907,7.45,11,12,Frame Moulding,130,3.46,N,N,N
120660,"W0 MANTILLA GOLD FILLET 1/4""",0.25,FT,720472150422,5.78,8.88,9.88,Fillet,688,3.68,Y,N,N
120662,"W0 MANTILLA SILVER FIL 1/4""",0.25,FT,720472150446,5.77,8.87,9.87,Fillet,787,3.68,Y,N,N
12-100M,"NATURAL MAPLE CAP 13/16""",0.8125,FT,720472187497,17.02,22.55,23.55,Frame Moulding,126,10.56,N,N,N
123960,"W1 FLAX OYSTER LINER 3/4""",0.75,FT,720472159845,2.99,6.42,7.42,Frame Moulding,216,1.6,N,N,N
123962,"W1 FLAX SAND LINER 3/4""",0.75,FT,720472159852,2.96,6.34,7.34,Frame Moulding,216,1.59,N,N,N
123964,"W1 FLAX PEBBLE LINER 3/4""",0.75,FT,720472159869,2.85,6.13,7.13,Frame Moulding,216,1.53,N,N,N
123966,"W1 FLAX BLACK LINER 3/4""",0.75,FT,720472159876,2.67,5.72,6.72,Frame Moulding,200,1.44,N,N,N
12-507M,"MSTEMS GREY MAPLE CAP 13/16""",0.8125,FT,720472187503,16.63,22.25,23.25,Frame Moulding,129,10.22,N,N,N
132902,"W0 FOUNDRY IRON FILLET 3/8""",0.625,FT,720472179898,5.48,9.73,10.73,Fillet,590,3.5,Y,N,N
13644,"Buffermount 40.5"" x 90 ft.",0,EA,720472200509,220.25,0,0,Supplies,0,0,N,N,N
13652,"Release Board 32"" X 40""(5/pkg)",0,EA,720472200516,122.37,0,0,Supplies,0,0,N,N,N
13653,"Seal Release Board 40"" x 60""",0,EA,720472214681,42.56,0,0,Supplies,0,0,N,N,N
138120,"W0 DRESDEN SILVER FILLET 1/4""",0.25,FT,720472163385,5.3,7.3,8.3,Fillet,600,3.34,Y,N,N
13813,"TM2 24.5"" x 150 ft.",0,EA,720472200615,234.28,0,0,Supplies,0,0,N,N,N
13815,"TM2 40.5"" x 150 ft.",0,EA,720472200639,370.25,0,0,Supplies,0,0,N,N,N
140632,"W1 CONFETTI YELLOW 7/8""",0.875,FT,720472150019,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140634,"W1 CONFETTI ORANGE 7/8""",0.875,FT,720472150033,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140635,"W1 CONFETTI RED 7/8""",0.875,FT,720472150040,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140636,"W1 CONFETTI LT BLUE 7/8""",0.875,FT,720472150057,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140638,"W1 CONFETTI MAROON 7/8""",0.875,FT,720472150071,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140639,"W1 CONFETTI PURPLE 7/8""",0.875,FT,720472150088,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140640,"W1 CONFETTI BLUE 7/8""",0.875,FT,720472150095,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140641,"W1 CONFETTI DK BLUE 7/8""",0.875,FT,720472150101,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140642,"W1 CONFETTI BABY GREEN 7/8""",0.875,FT,720472160148,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140643,"W1 CONFETTI BABY BLUE 7/8""",0.875,FT,720472160155,3.35,5.36,6.36,Frame Moulding,160,2.04,N,N,N
140644,"W1 CONFETTI BABY YELLOW 7/8""",0.875,FT,720472160162,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140645,"W1 CONFETTI BABY PINK 7/8""",0.875,FT,720472160179,3.35,5.34,6.34,Frame Moulding,162,2.04,N,N,N
140646,"W1 CONFETTI CITRON GREEN 7/8""",0.875,FT,720472160186,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140647,"W1 CONFETTI TWEEN PINK 7/8""",0.875,FT,720472160193,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140648,"W1 CONFETTI TEAL 7/8""",0.875,FT,720472160209,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140649,"W1 CONFETTI RED ORANGE 7/8""",0.875,FT,720472160216,3.35,5.36,6.36,Frame Moulding,158,2.04,N,N,N
140650,"W1 CONFETTI SHAMROCK 7/8""",0.875,FT,720472160223,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140651,"W1 CONFETTI METALLIC GOLD 7/8""",0.875,FT,720472160230,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140652,"W1 CONFETTI BLACK 7/8""",0.875,FT,720472160247,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
140653,"W1 CONFETTI WHITE 7/8""",0.875,FT,720472160254,3.35,5.36,6.36,Frame Moulding,162,2.04,N,N,N
144508,W1 Lancaster II Deep Cap,0.8125,FT,720472196437,3.74,6.7,7.7,Frame Moulding,308,2.49,N,N,N
144510,W1 Lancaster II Deep Cap 13/16,0.8125,FT,720472196444,4.29,7.04,8.04,Frame Moulding,313,2.86,N,N,N
145790,"W1 GRAMERCY BLACK CAP 13/16""",0.8125,FT,720472153287,4.7,6.58,7.58,Frame Moulding,162,2.91,N,N,N
145791,"W1 GRAMERCY SILVER CAP 13/16""",0.8125,FT,720472153294,3.97,5.25,6.25,Frame Moulding,246,2.66,N,N,N
145BL,W0 145BL 1/2,0.5,FT,720472100137,4.86,6.86,7.86,Frame Moulding,171,2.5,N,N,N
146790,"GRAMERCY BLACK CAP 5/8""",0.625,FT,720472153300,4.92,7.21,8.21,Frame Moulding,190,3.07,N,N,N
147791,"GRAMERCY SILVER CAP 9/16""",0.5625,FT,720472153331,3.15,4.25,5.25,Frame Moulding,430,2.02,N,N,N
150CG,"W0 FILLETS GOLD FILLET  1/4""",0.25,FT,720472100144,3.45,5.06,6.06,Fillet,1296,1.2,Y,N,N
150CS,W0 VIENNA 2 SILVER FILLET 3/16,0.1875,FT,720472114165,3.2,5.02,6.02,Fillet,1296,1.21,Y,N,N
150G,"W0 FL/GOLD FILLET 1/4""",0.25,FT,720472100151,3.46,5.6,6.6,Fillet,1140,1.78,Y,N,N
150S,"W0 FL/SILVER FILLET 1/4""",0.25,FT,720472100168,3.46,5.6,6.6,Fillet,1140,1.78,Y,N,N
15816,C+H 1200 SE Blades/100,0,EA,720472206129,32.15,0,0,Supplies,0,0,N,N,N
15817,**C+H #1500 SE Blades 100/Box,0,EA,720472217590,32.15,0,0,Supplies,0,0,N,N,N
15822,Fletcher #1200 Blades 100/Box,0,EA,720472201032,61.52,0,0,Supplies,0,0,N,N,N
15824,Fletcher #1500 Blades (100),0,EA,720472201049,61.61,0,0,Supplies,0,0,N,N,N
15825,Fletcher #1500SE Blade 100/Bx,0,EA,720472217958,47.21,0,0,Supplies,0,0,N,N,N
15836,No. 12 Heavy Duty Blds 100/Box,0,EA,720472201056,13.32,0,0,Supplies,0,0,N,N,N
15840,No. 991 Utility Blades 100/Box,0,EA,720472201063,39.63,0,0,Supplies,0,0,N,N,N
15842,#992 HD Utility Blades Box 100,0,EA,720472201070,29.58,0,0,Supplies,0,0,N,N,N
160810,"W0 CALAIS GOLD FILLET 1/4""",0.25,FT,720472156202,3.73,6.03,7.03,Fillet,1032,1.54,Y,N,N
160812,"W0 CALAIS SILVER FILLET 1/4""",0.25,FT,720472156219,3.7,5.99,6.99,Fillet,1080,1.53,Y,N,N
160814,"W0 CALAIS BLACK FILLET 1/4""",0.25,FT,720472156226,3.65,5.88,6.88,Fillet,1080,1.5,Y,N,N
161810,"W0 CALAIS GOLD BEAD FLT 5/16""",0.3125,FT,720472156233,4.52,7.21,8.21,Fillet,1000,2.08,Y,N,N
161812,W0 CALAIS SILVER BEAD FLT 5/16,0.3125,FT,720472156240,4.51,7.19,8.19,Fillet,954,2.07,Y,N,N
16202,APB-12 Plastic Scoring Blade,0,EA,720472201124,85.26,0,0,Supplies,0,0,N,N,N
16612,*M3000 Blade 100/Pkg.,0,EA,720472217965,86.08,0,0,Supplies,0,0,N,N,N
16613,M3000 Blade 10/Pkg.,0,EA,720472201292,14.07,0,0,Supplies,0,0,N,N,N
16615,SU-01 Glass Wheel 10/Pkg.,0,EA,720472201308,65.54,0,0,Supplies,0,0,N,N,N
16620,"*Fletcher Mat Blades, 100/Box",0,EA,720472215251,90.28,0,0,Supplies,0,0,N,N,N
166900,"W0 LISBON AGED HONEY FLT 5/16""",0.3125,FT,720472158251,7.01,10.5,11.5,Fillet,1000,4.38,Y,N,N
16705,**45Deg. PREMBlade (8000/8500),0,EA,NULL,70.64,0,0,Supplies,0,0,N,N,N
184508,W1 Lancaster II Rev Bev Cap 1,1.125,FT,720472196451,6.13,9.71,10.71,Frame Moulding,137,4.06,N,N,N
192706,"W1 OLSEN MAPLE SM CUBE 3/4""",0.75,FT,720472199674,4.16,5.8,6.8,Frame Moulding,386,2.65,N,N,N
192708,"W1 OLSEN OAK SM CUBE 3/4""",0.75,FT,720472199681,4.16,5.8,6.8,Frame Moulding,386,2.65,N,N,N
195203,"MADISON NATURAL CAP 1""",1.125,FT,720472197649,5.67,8.53,9.53,Frame Moulding,190,3.9,N,N,N
195204,"MADISON BLACK CAP 1""",1.125,FT,720472197656,5.57,8.36,9.36,Frame Moulding,187,3.84,N,N,N
195205,"MADISON GREY CAP 1""",1.125,FT,720472197663,5.58,8.41,9.41,Frame Moulding,196,3.85,N,N,N
196870,W1 COLOSSEUM II SFT PEWTER 3/4,0.75,FT,720472199308,4.92,7.19,8.19,Frame Moulding,390,3.29,N,N,N
196871,"W1 COLOSSEUM II TARN SIL 3/4""",0.75,FT,720472199315,4.92,7.19,8.19,Frame Moulding,375,3.29,N,N,N
196872,"W1 COLOSSEUM II MOON GOLD 3/4""",0.75,FT,720472199322,4.92,7.19,8.19,Frame Moulding,390,3.29,N,N,N
196874,"W1 COLOSSEUM II TITANIUM 3/4""",0.75,FT,720472199339,4.92,7.19,8.19,Frame Moulding,266,3.29,N,N,N
196876,W1 COLOSSEUM II STEEL BLUE 3/4,0.75,FT,720472199346,4.92,7.19,8.19,Frame Moulding,276,3.29,N,N,N
196877,"W1 COLOSSEUM SLP BL OXIDE 3/4""",0.75,FT,720472197212,4.92,7.19,8.19,Frame Moulding,337,3.29,N,N,N
197440,"W0 BAUHAUS II WHITE FILET 1/4""",0.25,FT,720472199131,3.62,4.64,5.64,Fillet,500,2.07,Y,Y,Y
197450,"W0 BAUHAUS II BLACK FILET 1/4""",0.25,FT,720472199148,3.5,4.55,5.55,Fillet,500,1.96,Y,N,N
197508,W1 Lancaster II  Rev Bev Cap,0.8125,FT,720472196475,4.59,8.27,9.27,Frame Moulding,357,2.85,N,N,N
198500,"W1 FINN CAP 9/16"" BLACK",0.5625,FT,720472193474,4.4,7.29,8.29,Frame Moulding,450,2.96,N,N,N
198510,"W1 FINN CAP 9/16"" NATURAL",0.5625,FT,720472193481,4.4,7.29,8.29,Frame Moulding,470,2.96,N,N,N
198520,"W1 FINN CAP 9/16"" ESPRESSO",0.5625,FT,720472193498,4.4,7.29,8.29,Frame Moulding,494,2.97,N,N,N
200285,"W1 TRIBECA SMALL RIBBED 3/4""",0.6875,FT,720472139694,2.39,4.35,5.35,Frame Moulding,333,1.61,N,N,N
200350,"WO BRIMFIELD SLP BLK W/DT 7/8""",0.875,FT,720472190879,7.16,9.81,10.81,Frame Moulding,450,4.78,N,N,N
200360,"WO BRIMFIELD SLP WHT W/DT 7/8""",0.875,FT,720472190886,7.3,9.99,10.99,Frame Moulding,470,5.11,N,N,N
200750,"W1 SOFIA BRZ SLP W/DENTIL 7/8""",0.875,FT,720472154888,7.52,10.4,11.4,Frame Moulding,350,5.04,N,N,N
200751,"W1 SOFIA GLD SLP W/DENTIL 7/8""",0.875,FT,720472154833,7.77,10.33,11.33,Frame Moulding,450,5,N,N,N
200752,"W1 SOFIA IRN SLP W/DENTIL 7/8""",0.875,FT,720472154789,8.41,10.85,11.85,Frame Moulding,470,5.26,N,N,N
201317,"W1 DRAYTON BLK&GLD SM CAP 3/4""",0.75,FT,720472194235,3.37,4.88,5.88,Frame Moulding,531,2.24,N,N,N
202110,"W1 STITCH LT. TANGERINE 3/4""",0.75,FT,720472173469,6.37,11.73,12.73,Frame Moulding,350,3.94,N,N,N
202113,"W1 STITCH LT CITRON GREEN 3/4""",0.75,FT,720472173476,6.2,11.43,12.43,Frame Moulding,358,3.83,N,N,N
202118,"W1 STITCH DK ROYAL BLUE 3/4""",0.75,FT,720472173513,5.61,10.33,11.33,Frame Moulding,357,3.45,N,N,N
202123,"W1 STITCH BLACK 3/4""",0.75,FT,720472173537,5.54,10.21,11.21,Frame Moulding,344,3.43,N,N,N
203235,"W1 ACADEMIE GOLD 3/4""",0.75,FT,720472139267,4.47,6.84,7.84,Frame Moulding,190,1.96,N,N,N
203237,"W1 ACADEMIE SILVER 3/4""",0.75,FT,720472139274,4.49,6.86,7.86,Frame Moulding,198,1.96,N,N,N
203239,"W1 ACADEMIE BLACK W/GOLD 3/4""",0.75,FT,720472139281,4.46,6.83,7.83,Frame Moulding,192,1.96,N,N,N
204706,"W1 OLSEN MAPLE CAP 3/4""",0.75,FT,720472199810,5.41,7.52,8.52,Frame Moulding,313,3.44,N,N,N
204708,"W1 OLSEN OAK CAP 3/4""",0.75,FT,720472199827,5.41,7.52,8.52,Frame Moulding,313,3.44,N,N,N
206180,"W1 HUDSON GOLD SCP W/BEAD 7/8""",0.875,FT,720472172752,5.21,8.93,9.93,Frame Moulding,162,3.7,N,N,N
206190,"W1 HUDSON SILV SCP W/BEAD 7/8""",0.875,FT,720472172769,5.08,8.69,9.69,Frame Moulding,162,3.28,N,N,N
206200,"W1 HUDSON II IVORY SCP 7/8""",0.875,FT,720472183710,4.66,7.92,8.92,Frame Moulding,162,2.94,N,N,N
206220,W1 HUDSONII BLKGL SCP 7/8,0.875,FT,720472183727,4.92,8.36,9.36,Frame Moulding,162,3.52,N,N,N
206CG,W1 CLASSIC GOLD 3/4,0.75,FT,720472100274,5,7.9,8.9,Frame Moulding,270,2.39,N,N,N
206S,W1 SILVER 3/4,0.75,FT,720472100281,5,7.9,8.9,Frame Moulding,270,2.39,N,N,N
207234,"W1 MODERNE GOLD CAP 3/4""",0.75,FT,720472196758,3.07,4.45,5.45,Frame Moulding,480,2.05,N,N,N
207236,"W1 MODERNE SILVER CAP 3/4""",0.75,FT,720472196765,3.07,4.45,5.45,Frame Moulding,480,2.05,N,N,N
207650,"W0 TATE BLACK CAP 3/4""",0.75,FT,720472181150,3.59,4.84,5.84,Frame Moulding,216,1.89,N,N,N
207660,"W0 TATE SILVER CAP 3/4""",0.75,FT,720472181167,3.54,4.84,5.84,Frame Moulding,216,1.89,N,N,N
207670,"W0 TATE GOLD CAP 3/4""",0.75,FT,720472182409,4.51,6.01,7.01,Frame Moulding,210,2.43,N,N,N
208710,"ALDEN EBON WALNUT CURVE 3/4""",0.75,FT,720472199858,7.84,12.54,13.54,Frame Moulding,230,6.36,N,N,N
208712,"ALDEN DK WALNUT CURVE 3/4""",0.75,FT,720472199865,7.84,12.54,13.54,Frame Moulding,163,6.36,N,N,N
208CG,W1 CLASSIC GOLD 3/4,0.75,FT,720472100298,5,7.9,8.9,Frame Moulding,216,2.39,N,N,N
208CS,W1 CLASSIC SILVER 3/4,0.75,FT,720472100304,5,7.9,8.9,Frame Moulding,216,2.39,N,N,N
209706,"W2 OLSEN MAPLE CUBE 1 3/16""",1.1875,FT,720472199735,7.6,10.58,11.58,Frame Moulding,235,4.84,N,N,N
209708,"W2 OLSEN OAK CUBE 1 3/16""",1.1875,FT,720472199742,7.6,10.58,11.58,Frame Moulding,215,4.84,N,N,N
21003,Corner Weld Glue White-1 pint,0,EA,NULL,10.41,0,0,Supplies,0,0,N,N,N
21004,Corner Weld - Gallon,0,EA,720472201643,53.84,0,0,Supplies,0,0,N,N,N
210124,W1 RAVELLO CRSGRN MAPLE CP 3/4,0.75,FT,720472197021,3.45,5.52,6.52,Frame Moulding,450,2.8,N,N,N
210125,"W1 RAVELLO ELM BURL CAP 3/4""",0.75,FT,720472197038,3.45,5.52,6.52,Frame Moulding,450,2.8,N,N,N
210126,"W1 RAVELLO DANIELA WAL CP 3/4""",0.75,FT,720472197045,3.45,5.52,6.52,Frame Moulding,450,2.8,N,N,N
210127,"W1 RAVELLO POPLAR BURL CP 3/4""",0.75,FT,720472197052,3.45,5.52,6.52,Frame Moulding,450,2.8,N,N,N
210128,W1 RAVELLO BIRDSEYE MAP CP 3/4,0.75,FT,720472197069,3.45,5.52,6.52,Frame Moulding,450,2.8,N,N,N
210247,"W1 RENZO BLONDE BURL CAP 3/4""",0.75,FT,720472197915,5.78,8.05,9.05,Frame Moulding,470,3.68,N,N,N
210285,"W1 TRIBECA SQUARE CAP 3/4""",0.6875,FT,720472139700,3.14,5.44,6.44,Frame Moulding,223,1.87,N,N,N
210286,"W1 WHITE SQUARE CAP 3/4""",0.6875,FT,720472142625,3.52,6.29,7.29,Frame Moulding,450,2.17,N,N,N
210440,"W1 BAUHAUS II WHITE 3/4""",0.75,FT,720472199032,6.41,7.31,8.31,Frame Moulding,470,4.34,N,N,N
210450,"W1 BAUHAUS II BLACK 3/4""",0.75,FT,720472199049,6.19,7.07,8.07,Frame Moulding,400,4.07,N,N,N
210G,W1 GOLD 7/8,0.875,FT,720472100311,5.21,8.2,9.2,Frame Moulding,220,2.48,N,N,N
211317,"W1 DRAYTON BLK&GLD LG CAP 3/4""",0.8125,FT,720472194242,3.75,5.44,6.44,Frame Moulding,394,2.5,N,N,N
21203,3M Photo Mount Adhesive,0,EA,720472201681,22.67,0,0,Supplies,0,0,N,N,N
21207,3M No. 77 Spray Adhesive,0,EA,NULL,35.76,0,0,Supplies,0,0,N,N,N
212285,"W1 TRIBECA SMALL BEVELED 7/8""",0.8125,FT,720472139717,2.7,4.94,5.94,Frame Moulding,210,1.62,N,N,N
212403,"W1 WHITMAN BLACK FLAT 3/4""",0.75,FT,720472181495,7.29,10.22,11.22,Frame Moulding,252,4.97,N,N,N
212405,"W1 WHITMAN TORTOISE  3/4""",0.75,FT,720472181501,7.45,10.21,11.21,Frame Moulding,252,4.97,N,N,N
213403,"W1 WHITMAN Silver3/4""",0.75,FT,720472181518,7.23,10.06,11.06,Frame Moulding,216,4.98,N,N,N
21401,"ATG Tape 1/4"" x 36 yds.",0,BX,NULL,106.99,0,0,Supplies,0,0,N,N,N
21402,"ATG Tape 1/2"" x 36 Yds.",0,BX,NULL,97.1,0,0,Supplies,0,0,N,N,N
21404,"ATG Tape 3/4"" x 36 Yds.",0,BX,NULL,159.84,0,0,Supplies,0,0,N,N,N
21405,"969 ATG Tape 1/2"" Double Thick",0,BX,NULL,174.3,0,0,Supplies,0,0,N,N,N
21406,"924 ATG Tape 1/2"" x 11 yds.",0,BX,70006115367,45.03,0,0,Supplies,0,0,N,N,N
21411,"465 ATG Tape 1/4"" x 60 yds",0,BX,NULL,154.33,0,0,Supplies,0,0,N,N,N
21412,"ATG Tape Large Core 3/8""",0,BX,NULL,186.43,0,0,Supplies,0,0,N,N,N
21416,"810 Magic Tape 3/4"" x 72",0,BX,70012802206,83.1,0,0,Supplies,0,0,N,N,N
21418,"Masking Tape Lg. Core 3/4""x 60",0,EA,NULL,4.58,0,0,Supplies,0,0,N,N,N
21419,"Masking Tape 234 1""",0,EA,70006319290,16.44,0,0,Supplies,0,0,N,N,N
21422,"Sealing Tape 2"" x 60 Yds.",0,EA,70006079316,6.73,0,0,Supplies,0,0,N,N,N
214234,"W1 MODERNE GOLD TALL CAP 3/4""",0.75,FT,720472196772,4.27,6.19,7.19,Frame Moulding,335,2.85,N,N,N
214236,"W1 MODERNE SILV TALL CAP 3/4""",0.75,FT,720472196789,4.27,6.19,7.19,Frame Moulding,335,2.85,N,N,N
21443,"Artist's Tape 3/4"" x 60 White",0,EA,NULL,39.29,0,0,Supplies,0,0,N,N,N
21452,"Highland ATG Tape 1/2""x36 yds",0,BX,70006112919,74.37,0,0,Supplies,0,0,N,N,N
21453,"987 Hghlnd ATG Tape 1/2""x60yds",0,BX,NULL,124.89,0,0,Supplies,0,0,N,N,N
21454,"Highland ATG Tape 3/4""x 36 yds",0,BX,NULL,111.83,0,0,Supplies,0,0,N,N,N
21460,ATG Dispenser #700,0,EA,NULL,121.91,0,0,Supplies,0,0,N,N,N
214650,"W1 TATE BLACK CAP 11/16""",0.6875,FT,720472181174,4.36,6.37,7.37,Frame Moulding,288,2.14,N,N,N
21466,"ATG Tape 1/2"" x 60 Yds.",0,BX,NULL,146.02,0,0,Supplies,0,0,N,N,N
214660,"W1 TATE SILVER CAP 11/16""",0.6875,FT,720472181181,4.36,6.37,7.37,Frame Moulding,260,2.14,N,N,N
214670,"W1 TATE GOLD CAP 11/16""",0.6875,FT,720472182416,6.06,8.9,9.9,Frame Moulding,288,3.74,N,N,N
21468,"ATG Tape 3/4"" x 60 Yds.",0,BX,70006060795,248.66,0,0,Supplies,0,0,N,N,N
21518,"LJ ATG Tape 1/2""x36 yds",0,BX,720472219242,72.56,0,0,Supplies,0,0,N,N,N
21520,"LJ ATG Tape 1/2""x60 yds",0,BX,720472219259,115.52,0,0,Supplies,0,0,N,N,N
215680,"W0 ARTIFACT ANT GREY BB 5/8""",0.625,FT,720472142335,9.72,14.19,15.19,Frame Moulding,340,7.88,N,N,N
