ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
GU4868,ULTRA VUE  GLASS 48x68,0,EA,NULL,319.6,0,0,Glazing & Foam,0,0,N,N,N
H101,L-J Screw Polybag,0,EA,720472213080,2.12,0,0,Supplies,0,0,N,N,N
H102,L-J Snap Polybag,0,EA,720472213097,2,0,0,Supplies,0,0,N,N,N
H201,L-J Bulk Hdwe/Screw Hanger,0,EA,720472213134,175.94,0,0,Supplies,0,0,N,N,N
H216,NIELSEN NOTCHED HANGER/100,0,EA,720472208741,15.17,0,0,Supplies,0,0,N,N,N
H221,L-J Screw Hangers/500,0,EA,720472204545,77.98,0,0,Supplies,0,0,N,N,N
H223,L-J Tapped Angles/1000,0,EA,720472204552,162.86,0,0,Supplies,0,0,N,N,N
H224,L-J Back Plates/1000,0,EA,720472204569,43.69,0,0,Supplies,0,0,N,N,N
H225,L-J Spring Clips/1000,0,EA,720472204576,38.97,0,0,Supplies,0,0,N,N,N
H318,"TAPPED CORNERS, BAG OF 100",0,EA,NULL,20.84,0,0,Supplies,0,0,N,N,N
H43,NIELSEN OMNI POLYBAG,0,EA,720472213981,3.18,0,0,Supplies,0,0,N,N,N
LAF32,"3/16"" 32x40 LJ ACID FREE FOAM",0,BX,NULL,104.29,0,0,Foamboard,0,104.29,N,N,Y
LAF3218,"1/8"" 32x40 LJ ACID FREE FOAM",0,BX,NULL,104.29,0,0,Foamboard,0,104.29,N,N,Y
LAF40,"3/16"" 40x60 LJ ACID FREE FOAM",0,BX,NULL,221.67,0,0,Foamboard,0,221.67,N,N,Y
LAF4018,"1/8"" 40x60 LJ ACID FREE FOAM",0,BX,NULL,221.67,0,0,Foamboard,0,221.67,N,N,Y
LJ125B,"LJ PL Spacer 1/8, 100' Blk",0,EA,731717633211,43.75,0,0,Supplies,60,0,N,N,N
LJ125C,"LJ PL Spacer 1/8, 100' Clr",0,EA,731717633228,43.75,0,0,Supplies,60,0,N,N,N
LJ125W,"LJ PL Spacer 1/8, 100' Wht",0,EA,731717633235,43.75,0,0,Supplies,60,0,N,N,N
LJ250B,"LJ PL Spacer 1/4, 60' Blk",0,EA,731717633242,37.58,0,0,Supplies,0,0,N,N,N
LJ250C,"LJ PL Spacer 1/4, 60' Clr",0,EA,731717633259,37.58,0,0,Supplies,0,0,N,N,N
LJ250W,"LJ PL Spacer 1/4, 60' Wht",0,EA,731717633266,37.58,0,0,Supplies,0,0,N,N,N
LJ375B,"LJ PL Spacer 3/8, 60' Blk",0,EA,731717633273,38.99,0,0,Supplies,0,0,N,N,N
LJ375C,"LJ PL Spacer 3/8, 60' Clr",0,EA,731717633280,38.99,0,0,Supplies,0,0,N,N,N
LJ375W,"LJ PL Spacer 3/8, 60' Wht",0,EA,731717633297,38.99,0,0,Supplies,0,0,N,N,N
LJR,Larson-Juhl Mat Rack,0,EA,720472218795,43.05,0,0,Supplies,0,0,N,N,N
MCAF24,"3/16"" 24x36 AF MOUNTCOR",0,BX,NULL,170.16,0,0,Foamboard,0,170.16,N,N,Y
MCAF32,"3/16"" 32x40 AF MOUNTCOR FOAM",0,BX,NULL,235.3,0,0,Foamboard,0,235.3,N,N,Y
MCAF32PK,"3/16"" 32x40 AF MOUNTCOR FM 5pk",0,PK,NULL,75.79,0,0,Foamboard,0,0,N,N,Y
MCAF40,"3/16"" 40x60 AF MOUNTCOR FOAM",0,BX,NULL,485.92,0,0,Foamboard,0,485.92,N,N,Y
MCAF40PK,"3/16"" 40x60 AF MOUNTCOR FM 5pk",0,PK,NULL,141.42,0,0,Foamboard,0,0,N,N,Y
MCAF48,"3/16"" 48x96 AF MOUNTCOR FOAM",0,BX,NULL,889.64,0,0,Foamboard,0,889.64,N,N,Y
MCAF48PK,"3/16"" 48x96 AF MOUNTCOR FM 5pk",0,PK,NULL,279.25,0,0,Foamboard,0,0,N,N,Y
MCAFB32,"3/16"" 32x40 AF MOUNTCOR BLK FM",0,BX,NULL,319.63,0,0,Foamboard,0,319.63,N,N,Y
MCAFB32PK,"3/16"" 32x40 AF MOUNTCOR BL 5pk",0,PK,NULL,93.92,0,0,Foamboard,0,0,N,N,Y
MCAFB40,"3/16"" 40x60 AF MOUNTCOR BLK FM",0,BX,NULL,572.73,0,0,Foamboard,0,572.73,N,N,Y
MCAFB40PK,"3/16"" 40x60 AF MOUNTCOR BL 5pk",0,PK,NULL,172.25,0,0,Foamboard,0,0,N,N,Y
MCAFCAN32,"3/16"" 32x40 AF MOUNTCOR CNV FM",0,BX,720472197472,385.64,0,0,Mounting Board,0,385.64,N,N,Y
MCAFCAN32PK,"3/16"" 32x40 AF MOUNTCOR CV 5pk",0,PK,NULL,129.45,0,0,Foamboard,0,0,N,N,Y
MCAFCAN40,"3/16"" 40x60 AF MOUNTCOR CNV FM",0,BX,NULL,710.14,0,0,Foamboard,0,710.14,N,N,Y
MCAFCAN40PK,"3/16"" 40x60 AF MOUNTCOR CV 5pk",0,PK,NULL,251.02,0,0,Foamboard,0,0,N,N,Y
MCAFCAN48PK,"3/16"" 48x96 AF MOUNTCOR CNV 5p",0,PK,NULL,366.24,0,0,Foamboard,0,0,N,N,Y
MG1114,MUSEUM GLASS 11X14 32 lites,0,EA,NULL,526.18,0,0,Glazing & Foam,0,0,N,N,N
MG1620,MUSEUM GLASS 16X20 4 LITES,0,EA,NULL,116.64,0,0,Glazing & Foam,0,0,N,N,N
MG1824,MUSEUM GLASS 18X24 12 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG2024,MUSEUM GLASS 20X24 11 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG2228,MUSEUM GLASS 22X28 8 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG2430,MUSEUM GLASS 24X30 7 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG2436,MUSEUM GLASS 24X36 6 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG3240,MUSEUM GLASS 32X40 4 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG3648,MUSEUM GLASS 36X48 3 LITES,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
MG4868,MUSEUM GLASS 48X68 2 LITES,0,EA,NULL,446.56,0,0,Glazing & Foam,0,0,N,N,N
MGX1620,MUSEUM GLASS 16X20 16 Lites,0,EA,NULL,364.72,0,0,Glazing & Foam,0,0,N,N,N
N10014,GERMAN SILVER,0.375,FT,87828273472,13.45,17.52,0,Frame Moulding,70,13.45,N,N,N
N10021,MATTE BLACK,0.375,FT,87828343298,13.22,17.52,0,Frame Moulding,70,13.22,N,N,N
