item,Description,Width,cost,chop,group,
82638,H21xW49xR15 Black & Gold Palermo (82638),49,$47.62,$80.95,Wood,
82639,H21xW49xR15 Ivory & Gold Palermo (82639),49,$47.62,$80.95,Wood,
82642,H21xW49xR15 Gold Palermo (82642),49,$47.62,$80.95,Wood,
82643,H21xW49xR15 Silver Palermo (82643),49,$47.62,$80.95,Wood,
82648,H21xW49xR15 Black & Silver Palermo (82648),49,$47.62,$80.95,Wood,
8420BLK,20x44x12 8420 Black/Silver Edge,40,$13.32,$21.56,Wood,
8537G,18x85x11 Mosaico Gold,85,$6.34,$30.56,Wood,
8537SS,18x85x11 Mosaico Shiny Silver,85,$8.12,$30.56,Wood,
9165BLK,29x59x12 Viera Black,59,$23.97,$38.80,Wood,
9165CHB,29x59x12 Viera Champagne,59,$23.97,$38.80,Wood,
9165G,29x59x12 Viera Gold,59,$23.97,$38.80,Wood,
9165S,29x59x12 Viera Silver,59,$23.97,$38.80,Wood,
9165WH,29x59x12 Viera White,59,$23.97,$38.80,Wood,
9167BLK,24x42x12 Viera Black,42,$18.39,$29.78,Wood,
9167CHB,24x42x12 Viera Champagne,42,$18.39,$29.78,Wood,
9167G,24x42x12 Viera Gold,42,$18.39,$29.78,Wood,
9167S,24x42x12 Viera Silver,42,$18.39,$29.78,Wood,
9167WH,24x42x12 Viera White,42,$18.39,$29.78,Wood,
951BLK,50x32x40 951 Black/Gold Edge,32,$31.92,$51.67,Wood,
951MAH,50x32x40 951 Mahogany/Gold Edge,32,$31.92,$51.67,Wood,
DBAR,38x30 Double Face Stretcher Bar,30,$11.47,$18.57,Wood,
H249MIT,20x35x11 H249MIT Mahogany,35,$20.85,$33.74,Wood,
H249YT,20x35x11 H249YT Walnut,35,$20.14,$33.74,Wood,
H501B,18x28x8 H501B Matt Black/Gold,28,$19.16,$31.01,Wood,
H501MT,18x28x8 H 501 MT Mahogany,30,$19.17,$31.01,Wood,
H501YT,18x28x8 H 501 YT Walnut,30,$19.17,$31.01,Wood,
IMP30BAR,30x30 Imported Stretcher Bar,30,$7.74,$12.87,Wood,
IMP38BAR,38x30 Imported Stretcher Bar,30,$9.29,$15.45,Wood,
IMPLBAR,68x19 Imported Large Stretcher Bar (3),19,$11.24,$18.71,Wood,
IMPSBAR,18x42 Imported Stretcher Bar,42,$7.11,$11.83,Wood,
IMPUNIBAR,38x30 Imported Universal Stretcher Bar,38,$9.29,$15.45,Wood,
IMPXLBAR,65x28 Extra Large Imported Stretcher Bar,68,$14.32,$23.85,Wood,
LBAR,68x19 Large Stretcher Bar,19,$11.77,$19.59,Wood,
N10014,64x10x43 Nielsen #100 German Silver,10,$57.20,$78.39,Wood,
N10021,64x10x43 Nielsen #100 Matt Black,10,$57.20,$78.39,Wood,
N10023,64x10x43 Nielsen #100 Antique Gold,10,$5.40,$67.08,Wood,
N11151,Nielsen #11 Florentine Gold,40,$3.00,,Wood,
N11702,33x11x21 Nielsen #117 Frosted Silver,11,$20.09,$32.51,Wood,
N11710,33x11x21 Nielsen #117 Graphite,11,$20.38,$32.51,Wood,
N11719,33x11x21 Nielsen #117 Frosted Walnut,11,$32.51,$32.51,Wood,
N11721,33x11x21 Nielsen #117 Matte Black,11,$20.09,$32.51,Wood,
N117227,33x11x21 Nielsen #117 Tornado Red,11,$20.09,$32.51,Wood,
N117230,33x11x21 Nielsen #117 Reflex Silver,11,$20.09,$32.51,Wood,
N117232,33x11x21 Nielsen #117 Galactic Blue,11,$20.09,$32.51,Wood,
N117235,33x11x21 Nielsen #117 Tangerine Twist,11,$20.09,$32.51,Wood,
N124G02,32x8x19 Nielsen #124 Antique Silver Leaf,8,$5.40,$16.77,Wood,
N124G04,32x8x19 Nielsen #124 Antique Black,8,$5.40,$16.77,Wood,
N24421,35x13x16 Nielsen #24 Brush Black,13,$23.04,$36.75,Wood,
N24469,35x13x16 Nielsen #24 Brush Stainless Steel,13,$22.71,$36.75,Wood,
N24471,35x13x16 Nielsen #24 Brush Slate,13,$22.71,$36.75,Wood,
N24473,35x13x16 Nielsen #24 Brush Champagne,13,$5.40,$31.46,Wood,
N24474,35x13x16 Nielsen #24 Br.Satin Caramel,13,$16.56,$29.13,Wood,
N24476,35x13x16 Nielsen #24 Brush Sapphire,13,$17.88,$31.46,Wood,
N24477,35x13x16 Nielsen #24 Brush Forest Green,13,$4.32,$31.46,Wood,
N5714,44x22x19 Nielsen #57 German Silver,22,$7.37,$47.10,Wood,
N5723,44x22x19 Nielsen #57 Antique Gold,22,$5.40,$47.10,Wood,
N7502,25x25x15 Nielsen #75 02 Frosted Silver,25,$22.13,$38.93,Wood,
N7503,25x25x15 Nielsen #75 03 Shiny Gold,25,$4.78,$38.93,Wood,
N7513,25x25x15 Nielsen #75 13 Contrast Grey,25,$4.97,$38.93,Wood,
N7520,25x25x15 Nielsen #75 20 Shiny Black,25,$5.40,$34.66,Wood,
N7521,25x25x15 Nielsen #75 21 Frosted Black,25,$18.24,$32.10,Wood,
N97150,18x23x13 Nielsen #97 Florentine Silver,23,$25.02,$40.49,Wood,
N97151,18x23x13 Nielsen #97 Florentine Gold,23,$25.02,$40.49,Wood,
N97154,18x23x13 Nielsen #97 Florentine Grey,23,$25.02,$40.49,Wood,
N97156,18x23x13 Nielsen #97 Florentine Black,23,$25.02,$40.49,Wood,
OEM101,20x7x10 Nielsen #1 01 Anodised Silver,7,$12.51,$20.26,Wood,
OEM102,20x7x10 Nielsen #1 02 Frosted Silver,7,$12.51,$20.26,Wood,
OEM103,20x7x10 Nielsen #1 03 Anodised Gold,7,$12.51,$20.26,Wood,
OEM113,20x7x10 Nielsen #1 13 Contrast Grey,7,$17.52,$20.26,Wood,
OEM114,20x7x10 Nielsen #1 14 German Silver,7,$17.52,$20.26,Wood,
OEM120,20x7x10 Nielsen #1 20 Anodic Black,7,$12.51,$20.26,Wood,
OEM121,20x7x10 Nielsen #1 21 Matte Black,7,$12.51,$20.26,Wood,
OEM1501,25x9x15 Nielsen #15 01 Anodised Silver,9,$13.74,$22.22,Wood,
OEM1502,25x9x15 Nielsen #15 02 Frosted Silver,9,$13.74,$22.22,Wood,
OEM1503,25x9x15 Nielsen #15 03 Anodised Gold,9,$13.74,$22.22,Wood,
OEM1513,25x9x15 Nielsen #15 13 Contrast Grey,9,$21.90,$22.22,Wood,
OEM1514,25x9x15 Nielsen #15 14 German Silver,9,$21.90,$22.22,Wood,
OEM1520,25x9x15 Nielsen #15 20 Anodic Black,9,$13.74,$22.22,Wood,
OEM1521,25x9x15 Nielsen #15 21 Matte Black,9,$13.74,$22.22,Wood,
P549CFLW,P 549 CFLW Walnut Moulding,40,$2.16,,Wood,
P88820002,P 888-20-002 White Moulding,40,$2.16,,Wood,
PP351,PP 35-1 Slip,35,$14.73,$23.84,Wood,
PS70204,30x40x25 Pewter Synthetic (57m),40,$1.08,,Wood,
PS70205,30x40x25 Moccha Synthetic (57m),40,$1.08,,Wood,
PS70304,22x55x16 Pewter Synthetic,55,$1.62,,Wood,
SBAR,18x42 2in Stretcher Bar,42,$9.36,$15.58,Wood,
SSBAR,30x12 1in Small Stretcher Bar,12,$6.90,$11.49,Wood,
UNIBAR,38x30 Universal Stretcher Bar,30,$12.41,$20.66,Wood,
X100750,12mm Sofia Range Bronze Fillet,40,$13.09,$21.18,Fillet,
X100751,12mm Sofia Range Gold Fillet,40,$13.09,$21.18,Fillet,
X103235,10mm Academie Gold Fillet,13,$7.88,$12.75,Fillet,
X103237,10mm Academie Silver Fillet,13,$7.88,$12.75,Fillet,
X119631,55x25x50 Confetti Matt White,25,$19.98,$32.34,Wood,
X120660,10mm Mantilla Gold Fillet,12,$10.59,$17.14,Fillet,
X120662,10mm Mantilla Silver Fillet,13,$10.59,$17.14,Fillet,
X141240,20x16x14 Red Komodo,16,$11.10,$17.97,Wood,
X141250,20x16x14 Black Komodo,16,$11.10,$17.97,Wood,
X141270,20x16x14 Green Komodo,16,$11.10,$17.97,Wood,
X145790,37x20x27 Gramercy Blksil Lns,20,$16.90,$28.30,Wood,
X150790,18x15x13 Gramercy II Blk Sil Pinstripe,15,$12.16,$19.68,Wood,
X155790,20x20x18 Gramercy II Blk Sil Pinstripe,20,$12.99,$21.03,Wood,
X157593,8mm Marais II French Ebony Fillet,13,$10.57,$17.12,Fillet,
X184712,20x13x16 Allegra Antique Gold,15,$14.82,$23.99,Wood,
X184714,20x13x16 Allegra Antique Silver,15,$14.82,$23.99,Wood,
X193931,11mm Providence Range Black Fillet,15,$11.82,$19.13,Fillet,
X193933,11mm Providence Range Gold Fillet,11,$11.82,$19.13,Fillet,
X203239,25x18x15 Academie Mahogy/Blk,20,$11.10,$17.97,Wood,
X204,20x20x13 Ipsilon Silver On Black,20,$11.20,$18.12,Wood,
X212403,15x19x10 Brushed Black Whitman,20,$13.89,$22.50,Wood,
X212405,15x19x10 Tortoise Whitman,20,$13.89,$22.50,Wood,
X213403,18x20x10 Warm Silver Whitman,20,$16.86,$27.28,Wood,
X224963,20x20x13 Petite Gold Embd Cert Wood,20,$16.04,$25.98,Wood,
X224965,20x20x13 Petite Black Embd Cert Wood,20,$16.04,$25.98,Wood,
X224967,20x20x13 Petite Aged Sil Embd Cert Wood,20,$16.04,$25.98,Wood,
X225BL,27x16x22 Matt Black REFLECTIONS,16,$8.88,$16.07,Wood,
X2310,18x13x9 Queen Vic Mahogany,15,$12.36,$20.00,Wood,
X235252,22x20x14 Ferrosa Pewter,20,$16.86,$27.28,Wood,
X239,20x20x13 Ipsilon Gold On Red,20,$11.20,$18.12,Wood,
X241240,32x20x18 Red Komodo,21,$13.22,$21.41,Wood,
X241250,32x20x18 Black Komodo,21,$13.22,$21.41,Wood,
X245150,40x20x32 Gold Black Spencer,20,$18.06,$29.24,Wood,
X245151,40x20x32 Light Silver Brown Spencer,20,$18.06,$29.24,Wood,
X247190,24x30x10 Domus Gold,30,$19.98,$32.34,Wood,
X247192,24x30x10 Domus Champagne,30,$19.98,$32.34,Wood,
X247194,24x30x10 Domus Silver,30,$19.98,$32.34,Wood,
X247196,24x30x10 Domus Dark Silver,30,$19.98,$32.34,Wood,
X261240,48x27x35 Red Komodo,27,$19.26,$31.18,Wood,
X261250,48x27x35 Black Komodo,27,$19.26,$31.18,Wood,
X264970,19x20x15 Petite III Brushed Nickel,20,$13.88,$22.48,Wood,
X264971,19x20x15 Petite III Brushed Brass,20,$13.88,$22.48,Wood,
X264973,19x20x15 Petite III Brushed Steel,20,$13.88,$22.48,Wood,
X265974,22x22x14 Petite III Gold,22,$14.50,$23.46,Wood,
X265975,22x22x14 Petite III Silver,22,$14.50,$23.46,Wood,
X265976,22x22x14 Petite III Pewter,22,$14.50,$23.46,Wood,
X276712,20x18x12 Allegra Antique Gold,18,$15.86,$25.66,Wood,
X276714,20x18x12 Allegra Antique Silver,18,$15.86,$25.66,Wood,
X284712,35x19x25 Allegra Antique Gold,19,$19.67,$31.85,Wood,
X288615,17x20x12 Anvil Bolted,20,$20.61,$33.36,Wood,
X288620,17x20x12 Anvil Rebar,20,$20.61,$33.36,Wood,
X314240,39x39x24 Red Komodo,39,$23.91,$38.70,Wood,
X314250,39x39x24 Black Komodo,39,$23.91,$38.70,Wood,
X317100,30x28x25 Silver Spoleto,28,$19.98,$32.34,Wood,
X317110,30x28x25 Pewter Spoleto,28,$19.98,$32.34,Wood,
X317130,30x28x25 Bronze Spoleto,28,$19.98,$32.34,Wood,
X319712,50x25x38 Allegra Antique Gold,25,$27.44,$44.42,Wood,
X325130,40x40x34 Bronze Spoleto,40,$29.96,$48.49,Wood,
X3263,23mm Silver Black Bole,23,$77.19,$129.33,Wood,
X327100,24x30x20 Silver Spoleto,30,$19.47,$31.53,Wood,
X327110,24x30x20 Pewter Spoleto,30,$19.47,$31.53,Wood,
X327130,24x30x20 Bronze Spoleto,30,$19.47,$31.53,Wood,
X334915,18x25x13 Petite Gry With Sil Lip Cert Wo,25,$14.62,$23.67,Wood,
X334916,18x25x13 Petite Blk With Pwt Lip Cert Wo,25,$14.62,$23.67,Wood,
X334917,18x25x13 Petite Blk With Gld Lip Cert Wo,25,$14.62,$23.67,Wood,
X337591,33x25x15 Marais Gold Lace,25,$19.98,$32.34,Wood,
X337592,33x25x15 Marais Silver Lace,25,$19.98,$32.34,Wood,
X337593,33x25x15 Marais II French Ebony Lace,25,$19.98,$32.34,Wood,
X345790,23x37x15 Gramercy Blk Sil Lns,37,$18.23,$29.50,Wood,
X351800,20x38x17 Belmont Veneer Light Olive,38,$41.56,$67.27,Wood,
X351801,20x38x17 Belmont Veneer Medium Olive,38,$41.56,$67.27,Wood,
X351802,20x38x17 Belmont Veneer Dark Olive,38,$41.56,$67.27,Wood,
X357591,23x40x10 Marais Gold,40,$23.91,$38.70,Wood,
X357592,23x40x10 Marais Silver,40,$23.91,$38.70,Wood,
X357593,23x40x10 Marais II French Ebony,40,$23.91,$38.70,Wood,
X367196,35x49x16 Domus Dark Silver,49,$29.77,$48.17,Wood,
X385252,25x30x12 Ferrosa Pewter,30,$22.10,$35.77,Wood,
X385403,30x58x41 Brushed Black Whitman,30,$38.51,$62.34,Wood,
X385405,30x58x41 Tortoise Whitman,30,$38.51,$62.34,Wood,
X389403,30x16x11 Brushed Black Whitman,16,$16.68,$27.00,Wood,
X389405,30x16x11 Tortoise Whitman,30,$16.68,$27.00,Wood,
X393930,25x40x13 Ivory Providence,40,$25.24,$40.85,Wood,
X393931,25x40x13 Black Providence,40,$25.24,$40.85,Wood,
X393932,25x40x13 Silver Providence,40,$25.24,$40.85,Wood,
X393933,25x40x13 Gold Providence,40,$25.24,$40.85,Wood,
X399403,25x38x11 Brushed Black Whitman,40,$28.06,$45.40,Wood,
X399405,25x38x11 Tortoise Whitman,40,$28.06,$45.40,Wood,
X406361,28x30x15 Antica Chestnut,30,$37.17,$60.16,Wood,
X406362,20x30x15 Antica Charcoal,30,$37.17,$60.16,Wood,
X407,20x20x13 Ipsilon Rustic Gold,20,$11.20,$18.12,Wood,
X420661,25x45x15 Mantilla Black Lace,45,$31.48,$50.95,Wood,
X420662,25x45x15 Mantilla Silver Lace,45,$31.48,$50.95,Wood,
X462620,35x40x25 Anvil II Aged steel,20,$39.46,$63.88,Wood,
X468120,35x40x15 Dresden Black Umber,40,$27.54,$44.59,Wood,
X477593,28x38x12 Marais II French Ebony,38,$27.54,$44.59,Wood,
X480455,30x40x12 Lille Gold,40,$27.86,$45.08,Wood,
X480460,30x40x12 Lille Bronze,40,$27.86,$45.08,Wood,
X480465,30x40x12 Lille Silver,40,$27.86,$45.08,Wood,
X480470,30x40x12 Lille Pewter,40,$27.86,$45.08,Wood,
X488150,32x32x22 Gold Black Spencer,32,$20.09,$32.51,Wood,
X488151,32x32x22 Light Silver Brown Spencer,32,$20.09,$32.51,Wood,
X488152,32x32x22 Dark Silver Black Spencer,32,$20.09,$32.51,Wood,
X538120,55x78x20 Dresden Black Umber,78,$58.01,$93.90,Wood,
X539505,35x55x15 Isabella Black Scp,55,$36.00,$58.29,Wood,
X540505,75x75x25 Isabella Black Scp,75,$83.52,$135.20,Wood,
X551800,25x65x17 Belmont Veneer Light Olive,65,$71.61,$115.91,Wood,
X551801,25x65x17 Belmont Veneer Medium Olive,65,$71.61,$115.91,Wood,
X551802,25x65x17 Belmont Veneer Dark Olive,65,$71.61,$115.91,Wood,
X564100,26x28x18 Havana Toffee,28,$16.93,$27.41,Wood,
X564200,26x28x18 Havana Cocoa,28,$16.93,$27.41,Wood,
X565403,60x20x16 Brushed Black Whitman,60,$28.76,$46.55,Wood,
X565405,60x20x16 Tortoise Whitman,60,$28.76,$46.55,Wood,
X567100,38x32x25 Havana Toffee,32,$26.13,$42.30,Wood,
X567200,38x32x25 Havana Cocoa,32,$26.13,$42.30,Wood,
X576100,24x43x15 Havana Toffee,43,$28.34,$45.87,Wood,
X576200,24x43x15 Havana Cocoa,43,$28.34,$45.87,Wood,
X593931,40x70x18 Black Providence,70,$42.19,$68.27,Wood,
X593932,40x70x18 Silver Providence,70,$42.19,$68.27,Wood,
X593933,40x70x18 Gold Providence,70,$42.19,$68.27,Wood,
X600G,33x51x11 Gold MARQUIS,51,$28.64,$51.83,Wood,
X616361,30x55x15 Antica Chestnut,55,$54.85,$88.78,Wood,
X616362,30x55x15 Antica Charcoal,55,$54.85,$88.78,Wood,
X620100,31x73x17 Havana Toffee,73,$43.64,$70.64,Wood,
X620200,31x73x17 Havana Cocoa,73,$43.64,$70.64,Wood,
X638120,36x62x15 Dresden Black Umber,40,$41.86,$67.76,Wood,
X657591,45x65x15 Marais Gold Poker Emb,65,$45.35,$73.42,Wood,
X657592,45x65x15 Marais Silver Poker Emb,65,$45.35,$73.42,Wood,
X657593,45x65x15 Marais II French Ebony Pkr Emb,65,$45.35,$73.42,Wood,
X667593,42x70x20 Marais II French Ebony,70,$42.26,$68.42,Wood,
X69824714,33x25x25 Tribeca High Rbte/Blk Curve,25,$18.57,$13.02,Wood,
X727593,42x85x15 Marais II French Ebony,85,$65.19,$105.51,Wood,
X728430,22x57x38 Grey Bergere,22,$30.23,$48.92,Wood,
X728431,22x57x38 Ivory Bergere,22,$30.23,$48.92,Wood,
X738430,36x19x10 Grey Bergere,36,$22.52,$36.46,Wood,
X738431,36x19x10 Ivory Bergere,36,$22.52,$36.46,Wood,
X748430,55x44x16 Grey Bergere,55,$45.80,$74.14,Wood,
X748431,55x44x16 Ivory Bergere,55,$45.80,$74.14,Wood,
X751800,45x100x32 Belmont Veneer Light Olive,100,$144.26,$233.52,Wood,
X751801,45x100x32 Belmont Veneer Medium Olive,100,$144.26,$233.52,Wood,
X751802,45x100x32 Belmont Veneer Dark Olive,100,$144.26,$233.52,Wood,
X793931,65x110x30 Black Providence,110,$83.12,$134.56,Wood,
X793932,65x110x30 Silver Providence,110,$83.12,$134.56,Wood,
X793933,65x110x30 Gold Providence,110,$83.12,$134.56,Wood,
X799183,45x80x14 Ambrosia Ornate Gold,80,$72.33,$100.99,Wood,
X799184,45x80x14 Ambrosia Ornate Silver,80,$72.33,$100.99,Wood,
X839505,35x80x15 Isabella Black Panl,80,$49.63,$80.35,Wood,
X842420,52x32x38 Angus Bomber Jacket,56,$41.67,$67.44,Wood,
X842421,52x32x38 Angus Dutch Black,56,$41.67,$67.44,Wood,
X852420,30x47x14 Angus Bomber Jacket,47,$39.37,$63.73,Wood,
X852421,30x47x14 Angus Dutch Black,47,$39.37,$63.73,Wood,
X862420,30x68x19 Angus Bomber Jacket,47,$47.74,$77.28,Wood,
X8770IV,40x60x16 Ivory Sml Pushkin,60,$10.94,$66.24,Wood,
X9082BLK,32x25x19 x9082 Black Bamboo,35,$17.85,$28.90,Wood,
X9082BR,32x25x19 x9082 Brown Bamboo,35,$17.85,$28.90,Wood,
X9082G,32x25x19 x9082 Gold Bamboo,35,$17.85,$28.90,Wood,
X9082S,32x25x19 x9082 Silver Bamboo,35,$17.85,$28.90,Wood,
X9082WH,32x25x19 X9082 White Bamboo,25,$17.85,$28.90,Wood,
X93335,40x23x27 Aged Antique Black Arqadia,23,$17.07,$28.60,Wood,
XC20B,20x20x14 Contract Mat Blk Painted,20,$8.41,$14.00,Wood,
XC20BG,20x20x14 Contract Brushed Gld Fld,20,$9.99,$16.16,Wood,
XC20BS,20x20x14 Contract Brushed Sil Fld,20,$9.99,$16.16,Wood,
XC20SS,20x20x14 Contract Stirling Silver,20,$9.99,$16.16,Wood,
XC20W,20x20x14 Contract White Painted,20,$8.41,$14.00,Wood,
XC30B,20x30x14 Contract Mat Blk Painted,30,$9.82,$16.35,Wood,
XC30BS,20x30x14 Contract Brushed Sil Fld,30,$11.82,$19.13,Wood,
XC30SS,20x30x14 Contract Stirling Silver,30,$11.82,$19.13,Wood,
XC30W,20x30x14 Contract White Painted,30,$9.82,$16.35,Wood,
XC37B,37x20x31 Contract Mat Blk Painted,20,$12.62,$21.00,Wood,
XC37BS,37x20x31 Contract Brushed Sil Fld,20,$14.73,$23.84,Wood,
XC37DS,37x20x31 Contract Dark Silver Foil,20,$14.73,$23.84,Wood,
XC37W,37x20x31 Contract White Painted,20,$12.62,$21.00,Wood,
XC42B,20x42x14 Contract Mat Blk Painted,42,$13.66,$22.73,Wood,
XC42DS,20x42x14 Contract Dark Silver Foil,42,$15.54,$25.14,Wood,
XC42SS,20x42x14 Contract Stirling Silver,42,$15.54,$25.14,Wood,
XC42W,20x42x14 Contract White Painted,42,$13.66,$22.73,Wood,
XC65B,20x65x14 Contract Mat Blk Painted,65,$19.98,$32.34,Wood,
XC65BS,20x65x14 Contract Brushed Sil Fld,65,$21.24,$35.58,Wood,
XC65MC,20x65x14 Contract Moccha,65,$23.21,$35.58,Wood,
XC65SS,20x65x14 Contract Stirling Silver,65,$20.47,$34.30,Wood,
XC65W,20x65x14 Contract White Painted,65,$19.98,$32.34,Wood,
XE9003,45x45x23 Deep Rebate White,45,$28.33,$51.27,Wood,
XH100,19x18x10 Age Gold Rib Hcky Stk,18,$11.41,$18.46,Wood,
XH101,19x18x10 Age Silver Rib Hcky Stk,18,$11.41,$18.46,Wood,
XH1042CHAR,18x30x12 Tamworth Charcoal Stain,30,$12.51,$20.26,Wood,
XH1042GY,18x30x12 Tamworth Grey Stain,30,$12.51,$20.26,Wood,
XH1042TK,18x30x12 Tamworth Teak Stain,30,$12.51,$20.26,Wood,
XH1042WH,18x30x12 Tamworth White Distressed,30,$12.51,$20.26,Wood,
XH1042WN,18x30x12 Tamworth Walnut Stain,30,$12.51,$20.26,Wood,
XH1043CHAR,18x60x12 Tamworth Charcoal Stain,60,$17.57,$28.43,Wood,
XH1043GY,18x60x12 Tamworth Grey Stain,60,$17.57,$28.43,Wood,
XH1043TK,18x60x12 Tamworth Teak Stain,60,$17.57,$28.43,Wood,
XH1043WH,18x60x12 Tamworth White Distressed,60,$17.57,$28.43,Wood,
XH1043WN,18x60x12 Tamworth Walnut Stain,60,$17.57,$28.43,Wood,
XH17222,30x70x13mm Ivory Rib Disher,70,$9.23,$16.25,Wood,
XH2145G,17x30x10 Gold Leaf Melrose,30,$14.82,$23.99,Wood,
XH2145S,17x30x10 Silver Leaf Melrose,30,$14.82,$23.99,Wood,
XH2147G,27x60x11 Gold Leaf Melrose,60,$25.24,$40.85,Wood,
XH2147S,27x60x11 Silver Leaf Melrose,60,$25.24,$40.85,Wood,
XH2175G,19x26x8 Abruzzo Gold Leaf,26,$11.71,$18.96,Wood,
XH2175S,19x26x8 Abruzzo Silver Leaf,26,$11.71,$18.96,Wood,
XH2177G,33x61x11 Abruzzo Gold Leaf,61,$22.71,$36.75,Wood,
XH2295G,21x17x11 Shantung Gold Leaf,17,$12.51,$20.26,Wood,
XH2295GBK,21x17x11 Shantung Gold/Black Leaf,17,$12.51,$20.26,Wood,
XH2295S,21x17x11 Shantung Silver Leaf,17,$12.51,$20.26,Wood,
XH2295SBK,21x17x11 Shantung Silver/ Black Leaf,17,$12.51,$20.26,Wood,
XH2295SOR,21x17x11 Shantung Silver/ Orange Leaf,17,$12.51,$20.26,Wood,
XH4094G,52x45x40 Gold Leaf Float,45,$35.70,$57.80,Wood,
XH4094S,52x45x40 Silver Leaf Float,45,$35.70,$57.80,Wood,
XH4310BLK,32x21x27 Dune Black Stain,21,$14.73,$23.84,Wood,
XH4310BR,32x21x27 Dune Brown Stain,21,$14.73,$23.84,Wood,
XH4310CHAR,32x21x27 Dune Charcoal Stain,21,$14.73,$23.84,Wood,
XH4310MC,32x21x27 Dune Moccha Stain,21,$14.73,$23.84,Wood,
XH4310SAND,32x21x27 Dune Sand Stain,21,$14.73,$23.84,Wood,
XH4310WH,32x21x27 Dune White Stain,21,$14.73,$23.84,Wood,
XH4311BLK,25x45x12 Dune Black Stain,45,$17.44,$28.24,Wood,
XH4311BR,25x45x12 Dune Brown Stain,45,$17.44,$28.24,Wood,
XH4311CHAR,25x45x12 Dune Charcoal Stain,45,$17.44,$28.24,Wood,
XH4311MC,25x45x12 Dune Moccha Stain,45,$17.44,$28.24,Wood,
XH4311SAND,25x45x12 Dune Sand Stain,45,$17.44,$28.24,Wood,
XH4311WH,25x45x12 Dune White Stain,45,$17.44,$28.24,Wood,
XH4312BLK,33x68x17 Dune Black Stain,68,$24.92,$40.34,Wood,
XH4312CHAR,33x68x17 Dune Charcoal Stain,68,$24.92,$40.34,Wood,
XH4312WH,33x68x17 Dune White Stain,68,$24.92,$40.34,Wood,
XH4313BLK,50x19x40 Dune Float Black Stain,20,$27.64,$44.74,Wood,
XH4313BR,50x19x40 Dune Float Brown Stain,20,$27.64,$44.74,Wood,
XH4313CHAR,50x19x40 Dune Float Charcoal Stain,20,$27.64,$44.74,Wood,
XH4313MC,50x19x40 Dune Float Moccha Stain,20,$27.64,$44.74,Wood,
XH4313SAND,50x19x40 Dune Float Sand Stain,20,$27.64,$44.74,Wood,
XH4313WH,50x19x40 Dune Float White Stain,20,$27.64,$44.74,Wood,
XH79378,40x55x15 Gold Ribbed Cup,55,$24.92,$40.34,Wood,
XH79621,50x75x12 Distress Wht Shabbie,75,$35.70,$57.80,Wood,
XH79623L,30x46x15 Distress White Shabbie,46,$17.67,$28.60,Wood,
XH79623S,20x25x8 Distress Wht Shabbie,25,$9.89,$16.01,Wood,
XH9305BLK,22x46x10 Leonessa Black Ornate,46,$18.68,$30.22,Wood,
XH9305G,22x46x10 Leonessa Gold Ornate,46,$18.68,$30.22,Wood,
XH9305SIL,22x46x10 Leonessa Silver Ornate,46,$18.68,$30.22,Wood,
XH9305WH,22x46x10 Leonessa White Ornate,46,$18.68,$30.22,Wood,
XH9307BG,34x69x13 Leonessa Black Gloss,69,$40.15,$64.99,Wood,
XH9307CHAR,34x69x13 Leonessa Charcoal Ornate,69,$40.15,$64.99,Wood,
XH9307GL,34x69x13 Leonessa Gold Leaf,69,$40.15,$64.99,Wood,
XH9307SL,34x69x13 Leonessa Silver Leaf,69,$40.15,$64.99,Wood,
XH9307WG,34x69x13 Leonessa White Gloss,69,$40.15,$64.99,Wood,
XHQ1060,30x46x15 Antique Charcoal,46,$16.67,$26.98,Wood,
XHQ2272,20x35x10 Walnut Gold Lip,35,$11.41,$18.46,Wood,
XHQ3674,20x40x15 Country Cottage White,40,$12.01,$19.43,Wood,
XHQ3674B,40x20x30 Country Cottage White,20,$12.01,$19.43,Wood,
XHQ3675,15x25x10 Country Cottage White,25,$8.88,$14.37,Wood,
XHQ3677,38x30x12 Country Cottage White,30,$16.04,$25.98,Wood,
XHQ3773,25x50x10 Country Cottage White,50,$15.73,$25.46,Wood,
XHQ4063BG,20x35x10 Black/ Gold Liner,35,$11.41,$18.46,Liner,
XHQ4063BS,20x35x10 Black/ Silver Liner,35,$11.41,$18.46,Liner,
XHQ4063MG,20x35x10 Moccha/Gold Liner,35,$11.41,$18.46,Liner,
XHQ4063MS,20x35x10 Moccha/Silver Liner,35,$11.41,$18.46,Liner,
XHQ4063WG,20x35x10 Walnut/Gold Liner,35,$11.41,$18.46,Liner,
XHQ9011,15x25x10 Flt Scratch Slvr Foil,25,$9.56,$16.01,Wood,
XHQ992450,22x80x10 Country Cottage White,80,$22.50,$36.41,Wood,
XI2030W,20x30 White Matte moulding,30,$7.12,,Wood,
XI3020W,30x20 White Matte moulding,20,$7.12,,Wood,
XI4020W,40x20 Matte White moulding,40,$8.03,,Wood,`
XL657,15x15x10 Tribeca Poster Black,15,$9.87,$16.78,Wood,
XL658,15x12x8 Tribeca Flat Black,12,$9.78,$16.63,Wood,
XLBAR,65x28 Extra Large Stretcher Bar,68,$16.87,$28.08,Wood,
XP4011BLK,52x40 Vermont Black Float w/ Silver Top,55,$28.10,$45.48,Wood,
XP4011BR,52x40 Vermont Brown Float w/ Silver Top,55,$28.10,$45.48,Wood,
