Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
140WB,0.5,1.562,0.188,14.09,20.57,27.77,Wood,Special Dark #140 Walnut,
FC-140WB,0.5,1.562,0.188,,,33.95,Wood,FC Special Dark #140 Walnut,
140WE,0.5,1.562,0.188,13.25,19.34,26.11,Wood,Ebony #140 Walnut,
FC-140WE,0.5,1.562,0.188,,,33.95,Wood,FC Ebony #140 Walnut,
140WK,0.5,1.562,0.188,12.46,18.19,24.56,Wood,Satin Black #140 Walnut,
FC-140WK,0.5,1.562,0.188,,,33.27,Wood,FC Satin Black #140 Walnut,
140W1,0.5,1.562,0.188,12.46,18.19,24.56,Wood,Light Grey #140 Walnut,
FC-140W1,0.5,1.562,0.188,,,33.27,Wood,FC Light Grey #140 Walnut,
140W2,0.5,1.562,0.188,12.46,18.19,24.56,Wood,Medium Grey #140 Walnut,
FC-140W2,0.5,1.562,0.188,,,33.27,Wood,FC Medium Grey #140 Walnut,
140W3,0.5,1.562,0.188,12.46,18.19,24.56,Wood,Dark Grey #140 Walnut,
FC-140W3,0.5,1.562,0.188,,,33.27,Wood,FC Dark Grey #140 Walnut,
140VR,0.5,1.562,0.188,6.15,10.15,15.23,Wood,Raw #140 White Oak,
FC-140VR,0.5,1.562,0.188,,,30.78,Wood,FC Raw #140 White Oak,
140VF,0.5,1.562,0.188,9.41,15.53,20.97,Wood,Oil & Wax #140 White Oak,
FC-140VF,0.5,1.562,0.188,,,31.46,Wood,FC Oil & Wax #140 White Oak,
140VL,0.5,1.562,0.188,9.95,16.42,22.17,Wood,Clear Lacquer #140 White Oak,
FC-140VL,0.5,1.562,0.188,,,31.46,Wood,FC Clear Lacquer #140 White Oak,
140VC,0.5,1.562,0.188,11.58,19.11,25.8,Wood,Charcoal #140 White Oak,
FC-140VC,0.5,1.562,0.188,,,32.15,Wood,FC Charcoal #140 White Oak,
140VM,0.5,1.562,0.188,11.58,19.11,25.8,Wood,Mission #140 White Oak,
FC-140VM,0.5,1.562,0.188,,,32.15,Wood,FC Mission #140 White Oak,
140V7,0.5,1.562,0.188,11.58,19.11,25.8,Wood,Bleached #140 White Oak,
FC-140V7,0.5,1.562,0.188,,,32.15,Wood,FC Bleached #140 White Oak,
143AR,0.6875,1.562,0.25,4.2,5.96,8.94,Wood,Raw #143 Ash,
FC-143AR,0.6875,1.562,0.25,,,25.9,Wood,FC Raw #143 Ash,
143AF,0.6875,1.562,0.25,7.46,10.59,14.3,Wood,Oil & Wax #143 Ash,
FC-143AF,0.6875,1.562,0.25,,,26.59,Wood,FC Oil & Wax #143 Ash,
143AL,0.6875,1.562,0.25,8,11.36,15.34,Wood,Clear Lacquer #143 Ash,
FC-143AL,0.6875,1.562,0.25,,,26.59,Wood,FC Clear Lacquer #143 Ash,
143AW,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,WhiteWash #143 Ash,
FC-143AW,0.6875,1.562,0.25,,,27.27,Wood,FC WhiteWash #143 Ash,
143AT,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,White #143 Ash,
FC-143AT,0.6875,1.562,0.25,,,28.65,Wood,FC White #143 Ash,
143AK,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Satin Black #143 Ash,
FC-143AK,0.6875,1.562,0.25,,,28.65,Wood,FC Satin Black #143 Ash,
143AA,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Warm White #143 Ash,
FC-143AA,0.6875,1.562,0.25,,,28.65,Wood,FC Warm White #143 Ash,
143AC,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Charcoal #143 Ash,
FC-143AC,0.6875,1.562,0.25,,,28.65,Wood,FC Charcoal #143 Ash,
143AI,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Rising White #143 Ash,
FC-143AI,0.6875,1.562,0.25,,,28.65,Wood,FC Rising White #143 Ash,
143A1,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Light Grey #143 Ash,
FC-143A1,0.6875,1.562,0.25,,,28.65,Wood,FC Light Grey #143 Ash,
143A2,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Medium Grey #143 Ash,
FC-143A2,0.6875,1.562,0.25,,,28.65,Wood,FC Medium Grey #143 Ash,
143A3,0.6875,1.562,0.25,9.9,14.06,18.98,Wood,Dark Grey #143 Ash,
FC-143A3,0.6875,1.562,0.25,,,28.65,Wood,FC Dark Grey #143 Ash,
143CR,0.6875,1.562,0.25,4.71,6.88,10.32,Wood,Raw #143 Cherry,
FC-143CR,0.6875,1.562,0.25,,,26.82,Wood,FC Raw #143 Cherry,
143CF,0.6875,1.562,0.25,8.24,12.03,16.24,Wood,Oil & Wax #143 Cherry,
FC-143CF,0.6875,1.562,0.25,,,27.51,Wood,FC Oil & Wax #143 Cherry,
143CL,0.6875,1.562,0.25,10.14,14.8,19.98,Wood,Clear Lacquer #143 Cherry,
FC-143CL,0.6875,1.562,0.25,,,28.88,Wood,FC Clear Lacquer #143 Cherry,
143CG,0.6875,1.562,0.25,10.14,14.8,19.98,Wood,Aged #143 Cherry,
FC-143CG,0.6875,1.562,0.25,,,28.88,Wood,FC Aged #143 Cherry,
143CQ,0.6875,1.562,0.25,10.14,14.8,19.98,Wood,Antique #143 Cherry,
FC-143CQ,0.6875,1.562,0.25,,,28.88,Wood,FC Antique #143 Cherry,
143CD,0.6875,1.562,0.25,10.14,14.8,19.98,Wood,Black Cherry #143 Cherry,
FC-143CD,0.6875,1.562,0.25,,,29.57,Wood,FC Black Cherry #143 Cherry,
143MR,0.6875,1.562,0.25,4.9,6.76,10.14,Wood,Raw #143 Maple,
FC-143MR,0.6875,1.562,0.25,,,26.7,Wood,FC Raw #143 Maple,
143MF,0.6875,1.562,0.25,8.16,11.26,15.2,Wood,Oil & Wax #143 Maple,
FC-143MF,0.6875,1.562,0.25,,,27.39,Wood,FC Oil & Wax #143 Maple,
143ML,0.6875,1.562,0.25,8.43,11.63,15.7,Wood,Clear Lacquer #143 Maple,
FC-143ML,0.6875,1.562,0.25,,,27.39,Wood,FC Clear Lacquer #143 Maple,
143MW,0.6875,1.562,0.25,9.49,13.1,17.69,Wood,WhiteWash #143 Maple,
FC-143MW,0.6875,1.562,0.25,,,28.07,Wood,FC WhiteWash #143 Maple,
143MT,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,White #143 Maple,
FC-143MT,0.6875,1.562,0.25,,,28.76,Wood,FC White #143 Maple,
143MK,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Satin Black #143 Maple,
FC-143MK,0.6875,1.562,0.25,,,28.76,Wood,FC Satin Black #143 Maple,
143MA,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Warm White #143 Maple,
FC-143MA,0.6875,1.562,0.25,,,28.76,Wood,FC Warm White #143 Maple,
143MI,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Rising White #143 Maple,
FC-143MI,0.6875,1.562,0.25,,,28.76,Wood,FC Rising White #143 Maple,
143M1,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Light Grey #143 Maple,
FC-143M1,0.6875,1.562,0.25,,,28.76,Wood,FC Light Grey #143 Maple,
143M2,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Medium Grey #143 Maple,
FC-143M2,0.6875,1.562,0.25,,,28.76,Wood,FC Medium Grey #143 Maple,
143M3,0.6875,1.562,0.25,8.7,12.01,16.21,Wood,Dark Grey #143 Maple,
FC-143M3,0.6875,1.562,0.25,,,28.76,Wood,FC Dark Grey #143 Maple,
143M9,0.6875,1.562,0.25,9.49,13.1,17.69,Wood,Wheat #143 Maple,
FC-143M9,0.6875,1.562,0.25,,,28.76,Wood,FC Wheat #143 Maple,
143OR,0.6875,1.562,0.25,3.99,5.51,8.26,Wood,Raw #143 Oak,
FC-143OR,0.6875,1.562,0.25,,,25.45,Wood,FC Raw #143 Oak,
143OF,0.6875,1.562,0.25,7.25,10,13.5,Wood,Oil & Wax #143 Oak,
FC-143OF,0.6875,1.562,0.25,,,26.14,Wood,FC Oil & Wax #143 Oak,
143OL,0.6875,1.562,0.25,7.52,10.38,14.01,Wood,Clear Lacquer #143 Oak,
FC-143OL,0.6875,1.562,0.25,,,26.14,Wood,FC Clear Lacquer #143 Oak,
143WR,0.6875,1.562,0.25,8.66,12.64,18.96,Wood,Raw #143 Walnut,
FC-143WR,0.6875,1.562,0.25,,,32.58,Wood,FC Raw #143 Walnut,
143WF,0.6875,1.562,0.25,13.25,19.34,26.11,Wood,Oil & Wax #143 Walnut,
FC-143WF,0.6875,1.562,0.25,,,33.27,Wood,FC Oil & Wax #143 Walnut,
143WP,0.6875,1.562,0.25,14.09,20.57,27.77,Wood,Padauk #143 Walnut,
FC-143WP,0.6875,1.562,0.25,,,33.95,Wood,FC Padauk #143 Walnut,
143WB,0.6875,1.562,0.25,14.09,20.57,27.77,Wood,Special Dark #143 Walnut,
FC-143WB,0.6875,1.562,0.25,,,33.95,Wood,FC Special Dark #143 Walnut,
143WE,0.6875,1.562,0.25,13.25,19.34,26.11,Wood,Ebony #143 Walnut,
FC-143WE,0.6875,1.562,0.25,,,33.95,Wood,FC Ebony #143 Walnut,
143WK,0.6875,1.562,0.25,12.46,18.19,24.56,Wood,Satin Black #143 Walnut,
FC-143WK,0.6875,1.562,0.25,,,33.27,Wood,FC Satin Black #143 Walnut,
143W1,0.6875,1.562,0.25,12.46,18.19,24.56,Wood,Light Grey #143 Walnut,
FC-143W1,0.6875,1.562,0.25,,,33.27,Wood,FC Light Grey #143 Walnut,
143W2,0.6875,1.562,0.25,12.46,18.19,24.56,Wood,Medium Grey #143 Walnut,
FC-143W2,0.6875,1.562,0.25,,,33.27,Wood,FC Medium Grey #143 Walnut,
143W3,0.6875,1.562,0.25,12.46,18.19,24.56,Wood,Dark Grey #143 Walnut,
FC-143W3,0.6875,1.562,0.25,,,33.27,Wood,FC Dark Grey #143 Walnut,
143VR,0.6875,1.562,0.25,6.15,10.15,15.23,Wood,Raw #143 White Oak,
FC-143VR,0.6875,1.562,0.25,,,30.78,Wood,FC Raw #143 White Oak,
143VF,0.6875,1.562,0.25,9.41,15.53,20.97,Wood,Oil & Wax #143 White Oak,
FC-143VF,0.6875,1.562,0.25,,,31.46,Wood,FC Oil & Wax #143 White Oak,
143VL,0.6875,1.562,0.25,9.95,16.42,22.17,Wood,Clear Lacquer #143 White Oak,
FC-143VL,0.6875,1.562,0.25,,,31.46,Wood,FC Clear Lacquer #143 White Oak,
143VC,0.6875,1.562,0.25,11.58,19.11,25.8,Wood,Charcoal #143 White Oak,
FC-143VC,0.6875,1.562,0.25,,,32.15,Wood,FC Charcoal #143 White Oak,
143VM,0.6875,1.562,0.25,11.58,19.11,25.8,Wood,Mission #143 White Oak,
FC-143VM,0.6875,1.562,0.25,,,32.15,Wood,FC Mission #143 White Oak,
143V7,0.6875,1.562,0.25,11.58,19.11,25.8,Wood,Bleached #143 White Oak,
FC-143V7,0.6875,1.562,0.25,,,32.15,Wood,FC Bleached #143 White Oak,
158AR,1,1.75,0.313,6.17,9.01,13.52,Wood,Raw #158 Ash,
FC-158AR,1,1.75,0.313,,,29.64,Wood,FC Raw #158 Ash,
158AF,1,1.75,0.313,9.43,13.77,18.59,Wood,Oil & Wax #158 Ash,
FC-158AF,1,1.75,0.313,,,30.32,Wood,FC Oil & Wax #158 Ash,
158AL,1,1.75,0.313,9.97,14.56,19.66,Wood,Clear Lacquer #158 Ash,
FC-158AL,1,1.75,0.313,,,30.32,Wood,FC Clear Lacquer #158 Ash,
158AW,1,1.75,0.313,11.87,17.33,23.4,Wood,WhiteWash #158 Ash,
FC-158AW,1,1.75,0.313,,,31.01,Wood,FC WhiteWash #158 Ash,
158AT,1,1.75,0.313,11.87,17.33,23.4,Wood,White #158 Ash,
FC-158AT,1,1.75,0.313,,,32.39,Wood,FC White #158 Ash,
158AK,1,1.75,0.313,11.87,17.33,23.4,Wood,Satin Black #158 Ash,
FC-158AK,1,1.75,0.313,,,32.39,Wood,FC Satin Black #158 Ash,
158AA,1,1.75,0.313,11.87,17.33,23.4,Wood,Warm White #158 Ash,
FC-158AA,1,1.75,0.313,,,32.39,Wood,FC Warm White #158 Ash,
158AC,1,1.75,0.313,11.87,17.33,23.4,Wood,Charcoal #158 Ash,
FC-158AC,1,1.75,0.313,,,32.39,Wood,FC Charcoal #158 Ash,
158AI,1,1.75,0.313,11.87,17.33,23.4,Wood,Rising White #158 Ash,
FC-158AI,1,1.75,0.313,,,32.39,Wood,FC Rising White #158 Ash,
158A1,1,1.75,0.313,11.87,17.33,23.4,Wood,Light Grey #158 Ash,
FC-158A1,1,1.75,0.313,,,32.39,Wood,FC Light Grey #158 Ash,
158A2,1,1.75,0.313,11.87,17.33,23.4,Wood,Medium Grey #158 Ash,
FC-158A2,1,1.75,0.313,,,32.39,Wood,FC Medium Grey #158 Ash,
158A3,1,1.75,0.313,11.87,17.33,23.4,Wood,Dark Grey #158 Ash,
FC-158A3,1,1.75,0.313,,,32.39,Wood,FC Dark Grey #158 Ash,
158CR,1,1.75,0.313,7.86,11.48,17.22,Wood,Raw #158 Cherry,
FC-158CR,1,1.75,0.313,,,32.11,Wood,FC Raw #158 Cherry,
158CF,1,1.75,0.313,11.39,16.63,22.45,Wood,Oil & Wax #158 Cherry,
FC-158CF,1,1.75,0.313,,,32.79,Wood,FC Oil & Wax #158 Cherry,
158CL,1,1.75,0.313,13.29,19.4,26.19,Wood,Clear Lacquer #158 Cherry,
FC-158CL,1,1.75,0.313,,,34.17,Wood,FC Clear Lacquer #158 Cherry,
158CG,1,1.75,0.313,13.29,19.4,26.19,Wood,Aged #158 Cherry,
FC-158CG,1,1.75,0.313,,,34.17,Wood,FC Aged #158 Cherry,
158CQ,1,1.75,0.313,13.29,19.4,26.19,Wood,Antique #158 Cherry,
FC-158CQ,1,1.75,0.313,,,34.17,Wood,FC Antique #158 Cherry,
158CD,1,1.75,0.313,13.29,19.4,26.19,Wood,Black Cherry #158 Cherry,
FC-158CD,1,1.75,0.313,,,34.86,Wood,FC Black Cherry #158 Cherry,
158MR,1,1.75,0.313,7.6,10.79,16.18,Wood,Raw #158 Maple,
FC-158MR,1,1.75,0.313,,,31.42,Wood,FC Raw #158 Maple,
158MF,1,1.75,0.313,10.86,15.42,20.82,Wood,Oil & Wax #158 Maple,
FC-158MF,1,1.75,0.313,,,32.1,Wood,FC Oil & Wax #158 Maple,
158ML,1,1.75,0.313,11.13,15.8,21.33,Wood,Clear Lacquer #158 Maple,
FC-158ML,1,1.75,0.313,,,32.1,Wood,FC Clear Lacquer #158 Maple,
158MW,1,1.75,0.313,12.19,17.31,23.37,Wood,WhiteWash #158 Maple,
FC-158MW,1,1.75,0.313,,,32.79,Wood,FC WhiteWash #158 Maple,
158MT,1,1.75,0.313,11.4,16.19,21.86,Wood,White #158 Maple,
FC-158MT,1,1.75,0.313,,,33.48,Wood,FC White #158 Maple,
158MK,1,1.75,0.313,11.4,16.19,21.86,Wood,Satin Black #158 Maple,
FC-158MK,1,1.75,0.313,,,33.48,Wood,FC Satin Black #158 Maple,
158MA,1,1.75,0.313,11.4,16.19,21.86,Wood,Warm White #158 Maple,
FC-158MA,1,1.75,0.313,,,33.48,Wood,FC Warm White #158 Maple,
158MI,1,1.75,0.313,11.4,16.19,21.86,Wood,Rising White #158 Maple,
FC-158MI,1,1.75,0.313,,,33.48,Wood,FC Rising White #158 Maple,
158M1,1,1.75,0.313,11.4,16.19,21.86,Wood,Light Grey #158 Maple,
FC-158M1,1,1.75,0.313,,,33.48,Wood,FC Light Grey #158 Maple,
158M2,1,1.75,0.313,11.4,16.19,21.86,Wood,Medium Grey #158 Maple,
FC-158M2,1,1.75,0.313,,,33.48,Wood,FC Medium Grey #158 Maple,
158M3,1,1.75,0.313,11.4,16.19,21.86,Wood,Dark Grey #158 Maple,
FC-158M3,1,1.75,0.313,,,33.48,Wood,FC Dark Grey #158 Maple,
158M9,1,1.75,0.313,12.19,17.31,23.37,Wood,Wheat #158 Maple,
FC-158M9,1,1.75,0.313,,,33.48,Wood,FC Wheat #158 Maple,
158WR,1,1.75,0.313,14.74,21.52,32.28,Wood,Raw #158 Walnut,
FC-158WR,1,1.75,0.313,,,42.15,Wood,FC Raw #158 Walnut,
158WF,1,1.75,0.313,19.33,28.22,38.1,Wood,Oil & Wax #158 Walnut,
FC-158WF,1,1.75,0.313,,,42.83,Wood,FC Oil & Wax #158 Walnut,
158WP,1,1.75,0.313,20.17,29.45,39.76,Wood,Padauk #158 Walnut,
FC-158WP,1,1.75,0.313,,,43.52,Wood,FC Padauk #158 Walnut,
158WB,1,1.75,0.313,20.17,29.45,39.76,Wood,Special Dark #158 Walnut,
FC-158WB,1,1.75,0.313,,,43.52,Wood,FC Special Dark #158 Walnut,
158WE,1,1.75,0.313,19.33,28.22,38.1,Wood,Ebony #158 Walnut,
FC-158WE,1,1.75,0.313,,,43.52,Wood,FC Ebony #158 Walnut,
158WK,1,1.75,0.313,18.54,27.07,36.54,Wood,Satin Black #158 Walnut,
FC-158WK,1,1.75,0.313,,,42.83,Wood,FC Satin Black #158 Walnut,
158W1,1,1.75,0.313,18.54,27.07,36.54,Wood,Light Grey #158 Walnut,
FC-158W1,1,1.75,0.313,,,42.83,Wood,FC Light Grey #158 Walnut,
158W2,1,1.75,0.313,18.54,27.07,36.54,Wood,Medium Grey #158 Walnut,
FC-158W2,1,1.75,0.313,,,42.83,Wood,FC Medium Grey #158 Walnut,
158W3,1,1.75,0.313,18.54,27.07,36.54,Wood,Dark Grey #158 Walnut,
FC-158W3,1,1.75,0.313,,,42.83,Wood,FC Dark Grey #158 Walnut,
158VR,1,1.75,0.313,8.96,14.78,22.17,Wood,Raw #158 White Oak,
FC-158VR,1,1.75,0.313,,,35.41,Wood,FC Raw #158 White Oak,
158VF,1,1.75,0.313,12.22,20.16,27.22,Wood,Oil & Wax #158 White Oak,
FC-158VF,1,1.75,0.313,,,36.09,Wood,FC Oil & Wax #158 White Oak,
158VL,1,1.75,0.313,12.76,21.05,28.42,Wood,Clear Lacquer #158 White Oak,
FC-158VL,1,1.75,0.313,,,36.09,Wood,FC Clear Lacquer #158 White Oak,
158VC,1,1.75,0.313,14.39,23.74,32.05,Wood,Charcoal #158 White Oak,
FC-158VC,1,1.75,0.313,,,36.78,Wood,FC Charcoal #158 White Oak,
158VM,1,1.75,0.313,14.39,23.74,32.05,Wood,Mission #158 White Oak,
FC-158VM,1,1.75,0.313,,,36.78,Wood,FC Mission #158 White Oak,
158V7,1,1.75,0.313,14.39,23.74,32.05,Wood,Bleached #158 White Oak,
FC-158V7,1,1.75,0.313,,,36.78,Wood,FC Bleached #158 White Oak,
164AR,0.75,2,0.25,4.83,6.86,10.29,Wood,Raw #164 Ash,
FC-164AR,0.75,2,0.25,,,27.49,Wood,FC Raw #164 Ash,
164AF,0.75,2,0.25,8.09,11.49,15.51,Wood,Oil & Wax #164 Ash,
FC-164AF,0.75,2,0.25,,,28.17,Wood,FC Oil & Wax #164 Ash,
164AL,0.75,2,0.25,8.63,12.25,16.54,Wood,Clear Lacquer #164 Ash,
FC-164AL,0.75,2,0.25,,,28.17,Wood,FC Clear Lacquer #164 Ash,
164AW,0.75,2,0.25,10.53,14.95,20.18,Wood,WhiteWash #164 Ash,
FC-164AW,0.75,2,0.25,,,28.86,Wood,FC WhiteWash #164 Ash,
164AT,0.75,2,0.25,10.53,14.95,20.18,Wood,White #164 Ash,
FC-164AT,0.75,2,0.25,,,30.24,Wood,FC White #164 Ash,
164AK,0.75,2,0.25,10.53,14.95,20.18,Wood,Satin Black #164 Ash,
FC-164AK,0.75,2,0.25,,,30.24,Wood,FC Satin Black #164 Ash,
164AA,0.75,2,0.25,10.53,14.95,20.18,Wood,Warm White #164 Ash,
FC-164AA,0.75,2,0.25,,,30.24,Wood,FC Warm White #164 Ash,
164AC,0.75,2,0.25,10.53,14.95,20.18,Wood,Charcoal #164 Ash,
FC-164AC,0.75,2,0.25,,,30.24,Wood,FC Charcoal #164 Ash,
164AI,0.75,2,0.25,10.53,14.95,20.18,Wood,Rising White #164 Ash,
FC-164AI,0.75,2,0.25,,,30.24,Wood,FC Rising White #164 Ash,
164A1,0.75,2,0.25,10.53,14.95,20.18,Wood,Light Grey #164 Ash,
FC-164A1,0.75,2,0.25,,,30.24,Wood,FC Light Grey #164 Ash,
164A2,0.75,2,0.25,10.53,14.95,20.18,Wood,Medium Grey #164 Ash,
FC-164A2,0.75,2,0.25,,,30.24,Wood,FC Medium Grey #164 Ash,
164A3,0.75,2,0.25,10.53,14.95,20.18,Wood,Dark Grey #164 Ash,
FC-164A3,0.75,2,0.25,,,30.24,Wood,FC Dark Grey #164 Ash,
164CR,0.75,2,0.25,5.72,8.35,12.52,Wood,Raw #164 Cherry,
FC-164CR,0.75,2,0.25,,,28.98,Wood,FC Raw #164 Cherry,
164CF,0.75,2,0.25,9.25,13.5,18.23,Wood,Oil & Wax #164 Cherry,
FC-164CF,0.75,2,0.25,,,29.66,Wood,FC Oil & Wax #164 Cherry,
164CL,0.75,2,0.25,11.15,16.28,21.98,Wood,Clear Lacquer #164 Cherry,
FC-164CL,0.75,2,0.25,,,31.04,Wood,FC Clear Lacquer #164 Cherry,
164CG,0.75,2,0.25,11.15,16.28,21.98,Wood,Aged #164 Cherry,
FC-164CG,0.75,2,0.25,,,31.04,Wood,FC Aged #164 Cherry,
164CQ,0.75,2,0.25,11.15,16.28,21.98,Wood,Antique #164 Cherry,
FC-164CQ,0.75,2,0.25,,,31.04,Wood,FC Antique #164 Cherry,
164CD,0.75,2,0.25,11.15,16.28,21.98,Wood,Black Cherry #164 Cherry,
FC-164CD,0.75,2,0.25,,,31.73,Wood,FC Black Cherry #164 Cherry,
164MR,0.75,2,0.25,5.71,7.88,11.82,Wood,Raw #164 Maple,
FC-164MR,0.75,2,0.25,,,28.51,Wood,FC Raw #164 Maple,
164MF,0.75,2,0.25,8.97,12.38,16.71,Wood,Oil & Wax #164 Maple,
FC-164MF,0.75,2,0.25,,,29.19,Wood,FC Oil & Wax #164 Maple,
164ML,0.75,2,0.25,9.24,12.75,17.21,Wood,Clear Lacquer #164 Maple,
FC-164ML,0.75,2,0.25,,,29.19,Wood,FC Clear Lacquer #164 Maple,
164MW,0.75,2,0.25,10.3,14.21,19.18,Wood,WhiteWash #164 Maple,
FC-164MW,0.75,2,0.25,,,29.88,Wood,FC WhiteWash #164 Maple,
164MT,0.75,2,0.25,9.51,13.12,17.71,Wood,White #164 Maple,
FC-164MT,0.75,2,0.25,,,30.57,Wood,FC White #164 Maple,
164MK,0.75,2,0.25,9.51,13.12,17.71,Wood,Satin Black #164 Maple,
FC-164MK,0.75,2,0.25,,,30.57,Wood,FC Satin Black #164 Maple,
164MA,0.75,2,0.25,9.51,13.12,17.71,Wood,Warm White #164 Maple,
FC-164MA,0.75,2,0.25,,,30.57,Wood,FC Warm White #164 Maple,
164MI,0.75,2,0.25,9.51,13.12,17.71,Wood,Rising White #164 Maple,
FC-164MI,0.75,2,0.25,,,30.57,Wood,FC Rising White #164 Maple,
164M1,0.75,2,0.25,9.51,13.12,17.71,Wood,Light Grey #164 Maple,
FC-164M1,0.75,2,0.25,,,30.57,Wood,FC Light Grey #164 Maple,
164M2,0.75,2,0.25,9.51,13.12,17.71,Wood,Medium Grey #164 Maple,
FC-164M2,0.75,2,0.25,,,30.57,Wood,FC Medium Grey #164 Maple,
164M3,0.75,2,0.25,9.51,13.12,17.71,Wood,Dark Grey #164 Maple,
FC-164M3,0.75,2,0.25,,,30.57,Wood,FC Dark Grey #164 Maple,
164M9,0.75,2,0.25,10.3,14.21,19.18,Wood,Wheat #164 Maple,
FC-164M9,0.75,2,0.25,,,30.57,Wood,FC Wheat #164 Maple,
164OR,0.75,2,0.25,4.65,6.42,9.63,Wood,Raw #164 Oak,
FC-164OR,0.75,2,0.25,,,27.05,Wood,FC Raw #164 Oak,
164OF,0.75,2,0.25,7.91,10.92,14.74,Wood,Oil & Wax #164 Oak,
FC-164OF,0.75,2,0.25,,,27.73,Wood,FC Oil & Wax #164 Oak,
164OL,0.75,2,0.25,8.18,11.29,15.24,Wood,Clear Lacquer #164 Oak,
FC-164OL,0.75,2,0.25,,,27.73,Wood,FC Clear Lacquer #164 Oak,
164WR,0.75,2,0.25,10.52,15.78,23.67,Wood,Raw #164 Walnut,
FC-164WR,0.75,2,0.25,,,36.41,Wood,FC Raw #164 Walnut,
164WF,0.75,2,0.25,15.11,22.66,30.59,Wood,Oil & Wax #164 Walnut,
FC-164WF,0.75,2,0.25,,,37.09,Wood,FC Oil & Wax #164 Walnut,
164WP,0.75,2,0.25,15.95,23.92,32.29,Wood,Padauk #164 Walnut,
FC-164WP,0.75,2,0.25,,,37.78,Wood,FC Padauk #164 Walnut,
164WB,0.75,2,0.25,15.95,23.92,32.29,Wood,Special Dark #164 Walnut,
FC-164WB,0.75,2,0.25,,,37.78,Wood,FC Special Dark #164 Walnut,
164WE,0.75,2,0.25,15.11,22.66,30.59,Wood,Ebony #164 Walnut,
FC-164WE,0.75,2,0.25,,,37.78,Wood,FC Ebony #164 Walnut,
164WK,0.75,2,0.25,14.32,21.48,29,Wood,Satin Black #164 Walnut,
FC-164WK,0.75,2,0.25,,,37.09,Wood,FC Satin Black #164 Walnut,
164W1,0.75,2,0.25,14.32,21.48,29,Wood,Light Grey #164 Walnut,
FC-164W1,0.75,2,0.25,,,37.09,Wood,FC Light Grey #164 Walnut,
164W2,0.75,2,0.25,14.32,21.48,29,Wood,Medium Grey #164 Walnut,
FC-164W2,0.75,2,0.25,,,37.09,Wood,FC Medium Grey #164 Walnut,
164W3,0.75,2,0.25,14.32,21.48,29,Wood,Dark Grey #164 Walnut,
FC-164W3,0.75,2,0.25,,,37.09,Wood,FC Dark Grey #164 Walnut,
164VR,0.75,2,0.25,6.85,11.3,16.95,Wood,Raw #164 White Oak,
FC-164VR,0.75,2,0.25,,,31.93,Wood,FC Raw #164 White Oak,
164VF,0.75,2,0.25,10.11,16.68,22.52,Wood,Oil & Wax #164 White Oak,
FC-164VF,0.75,2,0.25,,,32.61,Wood,FC Oil & Wax #164 White Oak,
164VL,0.75,2,0.25,10.65,17.57,23.72,Wood,Clear Lacquer #164 White Oak,
FC-164VL,0.75,2,0.25,,,32.61,Wood,FC Clear Lacquer #164 White Oak,
164VC,0.75,2,0.25,12.28,20.26,27.35,Wood,Charcoal #164 White Oak,
FC-164VC,0.75,2,0.25,,,33.3,Wood,FC Charcoal #164 White Oak,
164VM,0.75,2,0.25,12.28,20.26,27.35,Wood,Mission #164 White Oak,
FC-164VM,0.75,2,0.25,,,33.3,Wood,FC Mission #164 White Oak,
164V7,0.75,2,0.25,12.28,20.26,27.35,Wood,Bleached #164 White Oak,
FC-164V7,0.75,2,0.25,,,33.3,Wood,FC Bleached #164 White Oak,
184AR,0.75,2.5,0.25,5.33,7.78,11.67,Wood,Raw #184 Ash,
FC-184AR,0.75,2.5,0.25,,,28.41,Wood,FC Raw #184 Ash,
184AF,0.75,2.5,0.25,8.59,12.54,16.93,Wood,Oil & Wax #184 Ash,
FC-184AF,0.75,2.5,0.25,,,29.09,Wood,FC Oil & Wax #184 Ash,
184AL,0.75,2.5,0.25,9.13,13.33,18,Wood,Clear Lacquer #184 Ash,
FC-184AL,0.75,2.5,0.25,,,29.09,Wood,FC Clear Lacquer #184 Ash,
184AW,0.75,2.5,0.25,11.03,16.1,21.74,Wood,WhiteWash #184 Ash,
FC-184AW,0.75,2.5,0.25,,,29.78,Wood,FC WhiteWash #184 Ash,
184AT,0.75,2.5,0.25,11.03,16.1,21.74,Wood,White #184 Ash,
FC-184AT,0.75,2.5,0.25,,,31.16,Wood,FC White #184 Ash,
