ITEM,description,fortybysixty,UPC,cost,group
A4706,ARTIQUE SLATE 32X40,32x40,720472336307,23.23,Matboard
A4707,ARTIQUE PISGAH 32X40,32x40,720472336314,23.23,Matboard
A4708,ARTIQUE CANVAS 32X40,32x40,720472336321,23.23,Matboard
A4709,ARTIQUE IRON 32X40,32x40,720472336338,23.23,Matboard
A4800,ARTIQUE MACADAMIA 32X40,32x40,720472329965,12.78,Matboard
A4801,ARTIQUE PARCHMENT 32X40,32x40,720472329972,12.78,Matboard
A4802,ARTIQUE OYSTER 32X40,32x40,720472329989,12.78,Matboard
A4803,ARTIQUE WHITECAP 32X40,32x40,720472329996,12.78,Matboard
A4804,ARTIQUE EGGPLANT 32X40,32x40,720472330008,12.78,Matboard
A4805,ARTIQUE CINNABAR 32X40,32x40,720472330015,12.78,Matboard
A4806,ARTIQUE ANTIQUE BRICK 32X40,32x40,720472330022,12.78,Matboard
A4807,ARTIQUE TUDOR 32X40,32x40,720472330039,12.78,Matboard
A4809,ARTIQUE KHAKI 32X40,32x40,720472330053,12.78,Matboard
A4810,ARTIQUE CANYON 32X40,32x40,720472330060,12.78,Matboard
A4811,ARTIQUE PLATINUM 32X40,32x40,720472330077,12.78,Matboard
A4812,ARTIQUE SEASPRAY 32X40,32x40,720472330084,12.78,Matboard
A4813,ARTIQUE BLUE ASH 32X40,32x40,720472330091,12.78,Matboard
A4814,ARTIQUE JETTY 32X40,32x40,720472330107,12.78,Matboard
A4815,ARTIQUE GOBELIN 32X40,32x40,720472330114,12.78,Matboard
A4816,ARTIQUE HARBOR BLUE 32X40,32x40,720472330121,12.78,Matboard
A4817,ARTIQUE SEASIDE 32X40,32x40,720472330138,12.78,Matboard
A4818,ARTIQUE BRIDGEWATER 32X40,32x40,720472330145,12.78,Matboard
A4819,ARTIQUE TETON SKY 32X40,32x40,720472330152,12.78,Matboard
A4820,ARTIQUE BOTANICAL 32X40,32x40,720472330169,12.78,Matboard
A4821,ARTIQUE FOREST 32X40,32x40,720472330176,12.78,Matboard
A4822,ARTIQUE EVERGREEN 32X40,32x40,720472330183,12.78,Matboard
A4823,ARTIQUE ACORN 32X40,32x40,720472330190,12.78,Matboard
A4824,ARTIQUE ORCHID 32X40,32x40,720472330206,12.78,Matboard
A4825,ARTIQUE BALMORAL 32X40,32x40,720472330213,12.78,Matboard
A4826,ARTIQUE PUMICE 32X40,32x40,720472330220,12.78,Matboard
A4827,ARTIQUE IVY 32X40,32x40,720472330237,12.78,Matboard
A4828,ARTIQUE SHARROW BAY 32X40,32x40,720472330244,12.78,Matboard
A4830,ARTIQUE VANILLA BEAN 32X40,32x40,720472330268,12.78,Matboard
A4833,ARTIQUE GRAPHITE 32X40,32x40,720472330299,12.78,Matboard
A4834,ARTIQUE SANGRIA 32X40,32x40,720472330305,12.78,Matboard
A4835,ARTIQUE CYPRESS 32X40,32x40,720472330312,12.78,Matboard
A4836,ARTIQUE CLOVE 32X40,32x40,720472330329,12.78,Matboard
A4837,ARTIQUE BIRCH 32X40,32x40,720472330336,12.78,Matboard
A4838,ARTIQUE GREY FELL 32X40,32x40,720472330343,12.78,Matboard
A4840,ARTIQUE GULL 32X40,32x40,720472330367,12.78,Matboard
A4841,ARTIQUE GOLD METALLIC 32X40,32x40,720472330374,12.78,Matboard
A4842,ARTIQUE SILVER METALLIC 32X40,32x40,720472330381,12.78,Matboard
A4843,ARTIQUE INK 32X40,32x40,720472330398,12.78,Matboard
A4844,ARTIQUE MOSS 32X40,32x40,720472330404,12.78,Matboard
A4846,ARTIQUE CUSTARD 32X40,32x40,720472330428,12.78,Matboard
A4849,ARTIQUE NICKEL 32X40,32x40,720472330459,12.78,Matboard
A4851,ARTIQUE DOESKIN 32X40,32x40,720472330473,12.78,Matboard
A4852,ARTIQUE SAFFRON 32X40,32x40,720472330480,12.78,Matboard
A4853,ARTIQUE OLIVE 32X40,32x40,720472330497,12.78,Matboard
A4854,ARTIQUE MIRO 32X40,32x40,720472330503,12.78,Matboard
A4855,ARTIQUE MARINER 32X40,32x40,720472330510,12.78,Matboard
A4856,ARTIQUE NOTTINGHAM 32X40,32x40,720472330527,12.78,Matboard
A4857,ARTIQUE VINEYARD 32X40,32x40,720472330534,12.78,Matboard
A4858,ARTIQUE RAVEN 32X40,32x40,720472330541,12.78,Matboard
A4859,ARTIQUE STONEHENGE 32X40,32x40,720472330558,12.78,Matboard
A4860,ARTIQUE COTSWOLD GREY 32X40,32x40,720472330565,12.78,Matboard
A4861,ARTIQUE BUFF 32X40,32x40,720472330572,12.78,Matboard
A4862,ARTIQUE SNOWDRIFT 32X40,32x40,720472330589,12.78,Matboard
A4863,ARTIQUE SHEFFIELD 32X40,32x40,720472330596,12.78,Matboard
A4864,ARTIQUE COBBLESTONE 32X40,32x40,720472330879,12.78,Matboard
A4865,ARTIQUE DOVER WHITE 32X40,32x40,720472330886,12.78,Matboard
A4866,ARTIQUE EVEREST 32X40,32x40,720472330893,12.78,Matboard
A4868,ARTIQUE BRIDLE PATH 32X40,32x40,720472330916,12.78,Matboard
A4870,ARTIQUE IRIS 32X40,32x40,720472330930,12.78,Matboard
A4871,ARTIQUE MULBERRY 32X40,32x40,720472330947,12.78,Matboard
A4872,ARTIQUE THISTLE 32X40,32x40,720472330954,12.78,Matboard
